SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
3015,34,191,2308,17242,14724,2604,509,669,38291,16,610,2702,1433,65,12,3,172,5007,9,174,663,404,45,5,7,45,1359,21,782,3363,1840,106,16,8,222,6363,7,177,1517,500,31,3,0,80,2318,6,14,34,0,0,0,0,3,58,0,0,37,19,6,0,0,6,73,0,4,0,0,0,0,0,0,3,15,198,1590,518,38,3,3,86,2453,13,43,21,43,49,11,0,11,187,0,32,36,78,39,3,0,100,288,85,1244,7316,19721,14957,2636,531,1086,47572
3016,53,322,2838,21950,19222,2903,570,892,48750,52,410,2695,611,104,6,4,174,4056,9,319,1639,593,47,8,10,61,2682,63,725,4330,1209,150,10,14,240,6739,33,417,1029,297,23,5,4,98,1906,0,118,988,200,6,0,0,36,1347,15,122,710,568,3,6,0,27,1452,0,8,0,5,0,0,0,0,8,47,665,2725,1074,31,7,3,163,4719,85,157,45,37,18,0,4,25,365,5,18,38,50,23,3,3,33,178,246,1885,9975,24317,19447,2926,592,1349,60746
3017,3,36,520,2342,1675,269,52,102,5008,0,53,348,102,11,0,0,26,541,0,3,19,17,3,4,0,0,42,0,56,366,118,14,4,0,26,585,0,9,83,23,0,0,0,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,83,23,0,0,0,5,119,5,24,6,3,3,0,0,3,47,0,0,7,10,10,0,0,0,30,10,123,988,2494,1699,272,54,142,5794
3018,5,58,448,2036,2289,333,56,107,5332,4,60,117,99,3,0,0,6,291,8,22,28,42,8,0,0,0,108,8,83,151,133,18,0,0,7,399,3,110,294,103,3,3,0,28,538,0,0,41,13,0,0,0,0,61,0,4,48,15,0,0,0,3,68,0,0,0,0,0,0,0,0,0,3,113,386,129,3,3,0,28,667,25,43,23,12,3,0,0,23,130,0,7,10,14,10,0,0,3,47,46,305,1019,2330,2320,338,53,164,6577
4000,232,1911,12378,48832,23046,3278,697,1869,92241,13,453,1359,817,58,15,13,143,2868,0,3,20,35,6,3,0,0,65,13,459,1378,853,62,17,10,144,2936,10,366,777,148,15,8,9,94,1426,0,12,9,0,3,0,0,0,25,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,10,381,790,157,22,8,9,93,1462,171,439,246,244,89,20,9,114,1337,8,45,115,299,121,35,16,84,729,433,3231,14906,50380,23335,3362,749,2300,98701
4001,361,3051,33596,213036,89427,14065,2543,5937,362021,196,5357,28935,23169,2146,222,107,1954,62089,30,733,5986,11437,1938,264,40,458,20886,228,6092,34917,34602,4083,487,150,2414,82979,178,5206,19282,2830,132,37,32,891,28587,42,555,2853,359,21,0,8,142,3974,69,1262,3286,815,58,10,6,119,5622,0,35,29,17,3,0,0,4,93,295,7058,25451,4018,218,43,48,1155,38273,119,422,347,259,94,22,14,72,1352,22,148,326,570,189,33,20,173,1470,1009,16770,94642,252495,94006,14648,2773,9744,486101
4002,17,72,931,5124,2120,263,51,158,8740,5,100,522,652,38,4,4,39,1372,0,3,14,24,3,0,0,0,42,5,101,534,673,38,4,4,39,1409,10,111,579,167,11,0,0,40,910,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,111,584,165,11,0,0,40,924,6,15,3,7,9,0,0,0,39,0,0,16,16,3,0,0,11,50,37,306,2073,5989,2182,274,60,244,11159
4003,6,56,684,3385,1333,140,35,158,5802,0,87,317,335,18,3,5,38,811,0,8,5,0,0,3,0,0,15,3,92,321,335,18,6,5,39,823,0,7,23,3,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,3,0,0,0,6,44,6,22,9,3,0,0,0,0,47,4,7,10,15,8,0,0,4,52,18,192,1057,3744,1366,147,40,200,6771
4004,8,41,394,2408,850,78,12,98,3892,3,36,130,355,24,7,11,33,608,0,0,3,15,10,3,0,0,33,3,36,133,370,37,14,11,33,640,0,50,151,68,3,0,0,13,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,151,68,3,0,0,13,286,9,18,3,10,5,0,0,4,48,0,4,3,18,8,0,0,0,34,23,157,688,2868,911,86,23,154,4908
4005,7,71,591,2778,1095,132,13,97,4787,3,68,185,291,13,3,3,34,599,0,0,0,58,17,0,0,0,75,3,68,191,347,30,3,3,34,678,0,37,217,33,0,0,0,9,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,221,33,0,0,0,9,302,3,19,13,8,3,0,0,0,44,0,3,3,17,3,0,0,6,32,16,202,1012,3177,1129,135,16,149,5841
4006,6,45,561,2917,905,118,17,105,4671,0,98,196,411,30,9,0,33,778,0,3,0,3,9,0,0,0,16,0,98,196,415,32,11,0,40,786,0,45,52,6,0,0,0,7,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,6,0,0,0,7,112,10,5,5,4,0,0,0,9,27,0,0,5,15,8,0,0,3,28,13,187,815,3351,947,126,20,154,5631
4007,17,108,1681,5396,2089,247,35,203,9772,3,62,432,144,4,3,0,35,690,0,0,36,86,14,3,0,0,142,3,62,469,231,22,9,0,35,833,0,57,102,18,0,0,0,10,183,0,0,4,12,0,0,0,0,12,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,54,113,31,0,0,0,8,214,11,29,33,11,6,0,0,5,93,0,0,12,3,14,0,0,0,36,31,263,2307,5668,2128,261,42,252,10945
4008,10,22,413,2947,1189,172,40,84,4870,7,93,654,2297,157,30,21,140,3409,0,0,0,9,0,0,0,0,14,7,93,651,2305,163,30,21,140,3417,3,56,192,87,3,0,0,19,363,0,3,19,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,60,210,91,7,0,0,20,392,3,13,0,3,6,0,0,0,34,0,3,8,10,6,0,0,4,27,25,198,1284,5350,1368,201,63,249,8742
5000,237,1828,10199,37310,27308,4281,1042,2045,84246,15,504,1343,691,99,11,5,168,2830,0,19,81,37,18,5,0,3,166,11,529,1419,727,116,14,11,172,2998,7,261,572,199,28,3,10,68,1141,0,10,6,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,15,9,280,581,200,30,4,7,72,1188,405,855,361,241,134,29,35,237,2299,21,81,121,269,169,38,52,154,908,683,3569,12683,38738,27761,4373,1144,2683,91646
5001,16,140,1101,5163,3785,436,102,209,10959,4,237,379,245,6,0,0,58,932,3,15,35,23,3,0,0,0,87,5,252,414,262,9,0,0,64,1020,0,19,9,9,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,15,8,3,0,0,3,46,17,73,53,24,7,3,0,10,182,0,6,15,20,16,4,0,3,64,41,482,1599,5482,3819,445,111,287,12261
5002,16,107,320,1499,1183,120,27,79,3353,0,35,116,49,8,0,0,7,219,0,17,86,41,10,0,0,4,152,3,48,199,90,14,0,0,11,377,3,49,168,56,12,0,0,19,311,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,52,174,56,12,0,0,19,316,109,144,30,10,8,3,3,28,347,10,32,18,22,7,3,5,7,104,150,390,745,1676,1223,126,38,154,4497
5003,11,74,960,7517,11702,1077,170,354,21871,10,250,809,1101,88,3,5,82,2347,0,16,75,249,44,0,0,6,391,12,262,882,1350,129,3,6,86,2734,10,202,361,130,5,0,0,42,744,0,3,54,25,0,0,0,3,82,0,0,20,17,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10,202,431,173,5,0,0,46,866,22,122,86,17,0,0,0,14,264,0,3,6,18,9,0,0,11,57,53,669,2365,9091,11850,1084,180,508,25798
5004,18,112,679,4117,5541,538,93,194,11290,3,119,375,350,77,4,0,42,969,0,12,9,75,37,6,0,6,150,3,131,382,423,116,9,0,51,1116,0,18,7,3,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6,0,18,13,4,3,0,0,0,35,18,72,242,65,6,3,3,25,436,0,5,11,14,15,4,0,6,55,39,339,1326,4619,5684,558,99,278,12940
5005,7,63,298,1714,1314,189,31,73,3688,3,94,157,69,10,0,0,26,362,0,0,10,13,0,0,0,0,26,3,99,166,81,10,0,0,23,388,0,18,22,22,3,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,22,3,0,0,0,67,10,11,8,10,3,0,0,3,44,3,15,5,12,8,7,0,7,53,19,195,507,1838,1338,197,33,112,4239
5006,16,105,703,4620,4969,533,88,220,11256,3,126,571,357,21,3,0,39,1124,0,13,75,99,91,14,0,8,302,3,138,642,454,116,21,0,47,1422,3,67,88,57,3,0,0,18,239,0,3,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,70,100,60,3,0,0,16,255,16,70,87,47,25,4,0,22,276,3,3,15,13,6,0,0,8,51,45,391,1546,5191,5117,561,94,320,13261
5007,10,62,566,3468,3136,487,85,152,7965,11,205,472,567,48,3,0,51,1363,0,9,48,97,34,0,0,5,190,11,217,517,665,80,4,0,55,1554,3,82,75,23,3,0,0,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82,75,23,3,0,0,6,200,22,102,11,5,8,0,0,6,161,7,10,4,3,8,0,0,15,48,56,472,1177,4176,3230,496,89,231,9924
5008,7,61,237,1521,2037,156,26,70,4103,5,49,187,152,21,0,0,12,422,0,9,34,21,0,0,0,0,58,5,55,221,166,21,0,0,12,487,7,50,22,32,0,0,0,3,115,0,12,0,0,0,0,0,0,16,0,3,36,8,0,0,0,3,53,0,0,0,0,0,0,0,0,0,7,72,57,37,0,0,0,7,179,12,41,5,8,0,0,0,0,65,0,3,0,5,0,0,3,0,17,26,226,524,1736,2059,156,26,88,4845
5009,433,3435,26954,186404,253901,34517,5876,8575,520098,165,5278,24983,42726,5237,406,143,2419,81364,73,1714,6630,15155,3974,471,99,578,28690,239,6991,31615,57883,9212,872,245,2992,110051,128,3826,9325,2868,243,27,24,676,17114,124,3223,6308,1377,60,10,9,303,11415,188,4635,8698,2771,130,17,11,388,16833,0,17,7,4,3,3,0,10,49,442,11701,24338,7012,438,53,40,1383,45413,171,712,650,254,196,25,18,146,2183,25,134,268,467,341,46,27,276,1587,1320,22975,83824,252030,264079,35515,6204,13377,679322
5010,5,111,216,1451,1164,114,20,101,3178,0,32,57,77,22,3,0,10,197,0,5,19,78,25,5,0,3,136,0,33,74,157,46,6,0,15,335,3,106,206,82,12,0,0,20,429,0,11,16,13,0,0,0,0,39,0,11,20,10,0,0,0,0,42,0,0,0,0,0,0,0,0,0,3,132,239,104,12,0,0,19,513,16,30,3,3,3,0,0,17,70,0,3,12,9,3,0,0,7,30,26,305,537,1720,1227,120,20,160,4124
5011,3,19,181,1292,2005,225,27,73,3820,0,0,14,42,12,0,0,0,68,0,0,0,18,0,0,0,0,18,0,0,14,55,11,0,0,0,87,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,4,0,0,3,0,0,10,0,0,0,10,0,0,0,3,17,3,19,201,1355,2017,227,27,79,3935
6000,226,1732,9865,29774,10437,1812,492,1221,55571,10,304,370,125,28,3,3,53,893,0,15,34,29,0,0,0,0,74,10,311,403,154,28,6,3,54,971,9,192,410,87,21,0,4,47,765,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,8,11,197,415,87,21,3,4,47,778,64,183,123,101,36,11,9,30,561,3,22,83,118,58,15,12,31,338,316,2444,10893,30240,10574,1844,520,1388,58214
6001,5,149,1539,5824,1574,276,50,216,9631,3,218,439,44,6,3,0,37,751,3,12,80,12,0,0,0,3,110,5,233,519,55,6,3,0,41,861,3,42,39,5,0,0,0,3,89,4,25,9,0,0,0,0,0,38,0,12,39,7,0,0,0,0,63,0,0,0,0,0,0,0,0,0,10,75,77,14,3,0,0,10,185,0,22,9,9,3,0,0,8,51,0,4,6,5,6,0,0,4,28,18,477,2153,5905,1586,279,58,283,10759
6002,8,129,1509,6236,1754,304,61,231,10230,4,230,615,109,3,0,0,52,1013,0,21,85,11,0,0,3,12,133,4,252,702,120,4,0,3,60,1146,0,62,107,8,3,0,0,6,180,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,61,112,8,3,0,0,6,191,3,31,22,13,0,0,0,15,86,0,3,4,8,4,3,0,0,26,20,483,2346,6385,1764,306,63,307,11679
6003,91,864,10315,36087,13708,2967,648,1217,65902,25,793,1555,348,54,15,7,131,2932,10,211,1159,488,95,29,6,46,2048,38,999,2715,839,148,42,14,178,4974,82,1625,2956,656,109,20,13,180,5632,58,233,483,113,10,5,0,22,931,24,172,343,66,0,4,0,20,623,0,28,15,7,8,3,0,0,62,162,2061,3804,841,132,23,12,227,7258,26,94,75,68,22,0,4,23,316,3,35,53,63,19,11,3,29,210,314,4052,16966,37902,14033,3045,681,1667,78662
6004,35,296,4036,15010,5598,1014,184,506,26679,7,564,1161,221,30,3,0,95,2085,0,36,277,296,127,27,12,22,803,9,601,1442,519,150,31,14,116,2884,18,619,1449,238,38,11,7,92,2465,0,26,75,9,0,0,0,0,109,19,77,9,3,0,0,0,5,124,0,41,35,5,5,0,0,4,87,42,759,1573,258,38,15,7,103,2783,3,34,38,31,9,3,0,3,119,4,11,36,29,14,0,3,14,117,90,1703,7120,15842,5822,1060,197,742,32582
6005,6,53,656,3045,970,135,28,101,4990,3,124,319,35,4,0,0,40,525,0,0,11,3,0,0,0,0,21,3,122,330,41,4,0,0,37,545,3,16,34,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,16,34,0,0,0,0,4,60,4,39,20,9,3,0,0,0,71,0,0,0,12,3,0,0,3,15,14,230,1040,3107,980,139,31,153,5685
7000,170,806,2456,7404,2512,425,178,551,14496,7,229,624,102,13,6,3,58,1039,0,3,18,12,0,0,0,7,39,7,233,642,117,13,6,3,64,1081,18,380,308,64,22,4,6,53,852,4,21,74,3,0,0,0,10,115,0,30,27,3,0,0,0,4,61,0,4,3,3,0,0,0,0,11,22,442,407,71,25,4,5,68,1044,184,350,137,94,27,4,9,164,973,17,45,60,85,32,6,13,36,291,394,1866,3702,7774,2616,447,205,878,17882
7001,14,94,318,2809,1373,237,46,159,5042,15,244,755,369,32,5,3,58,1485,0,50,425,140,9,3,0,11,645,15,299,1189,510,44,5,4,69,2133,26,102,112,31,4,0,0,10,281,3,3,7,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,113,116,31,4,0,0,13,308,66,140,60,117,80,13,4,35,511,7,21,13,15,3,0,0,18,71,129,665,1690,3479,1495,258,57,290,8059
7002,67,304,963,12048,7790,1464,345,577,23557,11,327,1415,709,51,6,3,95,2623,11,91,1054,707,92,3,3,51,2018,19,413,2472,1420,147,10,6,151,4636,24,521,2083,914,67,4,3,182,3801,43,261,1074,316,4,0,3,54,1755,32,554,2180,1516,40,0,8,121,4450,0,6,8,0,0,0,0,0,11,101,1336,5345,2748,113,3,16,352,10022,154,259,85,82,26,3,4,83,687,13,36,54,50,12,9,0,34,213,355,2346,8910,16349,8094,1497,371,1196,39116
8000,0,8,26,93,114,23,13,3,271,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,30,96,111,27,13,3,291
8001,75,674,3710,44457,43061,8657,1566,1619,103815,24,978,5367,7828,712,54,20,430,15406,42,849,3418,6471,1446,128,28,254,12637,63,1829,8781,14295,2160,180,45,686,28041,62,1773,2665,708,80,5,11,223,5525,62,2439,4312,756,52,3,0,166,7796,46,4250,4828,872,46,3,0,183,10229,3,104,50,29,3,0,0,8,202,177,8571,11860,2365,180,18,15,580,23754,22,61,38,34,26,7,0,27,211,8,73,59,74,46,4,3,26,299,341,11205,24447,61227,45472,8863,1633,2936,156131
9000,4,52,231,523,231,45,8,38,1130,0,3,24,23,0,0,3,0,54,0,0,15,8,0,0,0,3,29,0,3,42,34,0,0,3,3,87,3,17,17,3,0,0,0,5,49,0,0,16,29,4,0,0,3,59,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,15,36,45,5,0,0,8,115,3,3,0,0,0,0,0,3,12,0,0,3,9,0,0,3,0,16,7,81,320,607,242,45,11,55,1360
