SUA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
3001,857618,905913,1763526,408651,254596,663246,110371,218920,329290,22837,28024,50863,43894,39247,83147,585752,540790,1126544,219749,311750,531496,7.5,7.3,7.4,68.3,59.7,63.9,63.2,55.4,59.2,45454,43746,89204,13926,24300,38222,124000,161723,285722,69635,93048,162676,190483,96817,287297,7806,12159,19970,12475,19094,31565,210767,128073,338839,789701,820107,1609813,189029,197766,386796,486661,506230,992884,450356,472820,923177
3002,27073,29520,56592,9424,5752,15172,2961,6208,9171,661,697,1364,1733,1290,3018,14777,13947,28723,10382,13648,24027,11.7,9.2,10.5,54.6,47.2,50.8,48.2,42.9,45.4,404,371,775,223,439,662,1593,3001,4590,1359,2275,3635,7562,3627,11195,353,565,916,442,632,1070,8353,4831,13184,25036,26688,51722,5298,5670,10963,16268,17013,33282,12861,14232,27097
3003,56042,59225,115263,24530,17260,41791,7229,14377,21604,1758,1821,3580,3123,2495,5617,36644,35956,72594,13748,17779,31525,8.5,6.9,7.7,65.4,60.7,63,59.8,56.5,58.1,1401,1788,3193,645,1343,1984,5341,8744,14084,4480,6345,10826,15075,7254,22333,658,944,1605,891,1345,2235,16623,9547,26169,49394,50885,100278,12738,13787,26528,29685,30067,59751,29625,32099,61724
3004,5027,4922,9951,2950,1466,4418,479,1347,1820,198,178,374,188,206,395,3810,3201,7008,557,1133,1691,4.9,6.4,5.6,75.8,65,70.4,72.2,60.8,66.4,71,79,154,41,87,124,325,645,972,258,371,630,1653,660,2314,64,111,172,60,90,150,1778,862,2640,4628,4499,9126,1183,1238,2422,2536,2337,4874,2834,2945,5779
3005,17142,16618,33764,8958,4131,13088,1524,4062,5579,582,483,1067,1441,1101,2544,12504,9772,22281,3379,5703,9087,11.5,11.3,11.4,72.9,58.8,66,64.5,52.2,58.4,283,288,566,175,265,440,1243,2014,3253,997,1272,2272,6050,2500,8555,202,358,557,240,304,539,6493,3156,9650,15746,15042,30790,4257,4490,8743,9210,8627,17838,9707,9798,19512
3006,245539,266641,512177,105823,64486,170311,34528,68355,102885,6364,7521,13886,11181,10467,21652,157896,150832,308726,68256,95417,163671,7.1,6.9,7,64.3,56.6,60.3,59.8,52.6,56.1,7580,8137,15720,2593,4915,7507,25865,36825,62691,20226,31581,51807,64461,31192,95655,1900,3472,5372,4320,7278,11597,70683,41946,112629,215320,227694,443015,55289,60242,115529,125540,132124,257663,134965,146506,281478
3007,7825,8980,16800,2738,1483,4225,861,1932,2791,211,238,452,458,389,844,4262,4048,8309,2915,4185,7105,10.7,9.6,10.2,54.5,45.1,49.5,48.7,40.7,44.5,87,86,173,50,116,173,379,720,1105,375,802,1179,2175,1257,3437,132,173,303,123,181,305,2432,1609,4049,7233,7982,15219,1644,1852,3491,4579,5019,9597,3893,4458,8355
3008,20379,22935,43314,5446,3703,9149,2246,4331,6578,470,502,971,1220,1013,2230,9378,9551,18931,9389,11672,21063,13,10.6,11.8,46,41.6,43.7,40.1,37.2,38.6,287,339,627,192,401,599,1222,2210,3432,1401,2001,3403,5792,2935,8727,229,355,588,375,595,968,6395,3889,10286,17947,19641,37588,4261,4835,9098,11026,11899,22925,10493,11911,22406
3009,3845,4215,8063,1614,919,2530,443,1013,1450,136,115,255,164,147,313,2347,2193,4542,1261,1784,3042,7,6.7,6.9,61,52,56.3,57,48.6,52.5,40,51,96,32,69,104,237,435,673,233,385,622,996,590,1588,62,115,175,51,105,160,1109,816,1923,3654,3904,7556,928,1021,1949,2179,2256,4436,2081,2332,4415
3010,31139,31301,62437,15458,8367,23820,2900,7680,10578,1037,971,2012,1933,1713,3647,21329,18729,40061,6843,10595,17439,9.1,9.1,9.1,68.5,59.8,64.2,62.3,54.4,58.3,446,501,947,256,543,802,2094,3863,5954,1688,2538,4223,10432,4240,14668,256,534,790,388,634,1023,11081,5405,16479,28345,28549,56893,6373,7024,13396,17662,17426,35085,15390,16547,31938
3011,11046,11103,22145,3146,1825,4970,1036,2140,3179,247,249,497,708,495,1200,5130,4714,9843,5136,5627,10760,13.8,10.5,12.2,46.4,42.5,44.4,40.1,38,39,99,94,193,78,160,237,423,803,1226,580,848,1430,2981,1467,4451,156,245,401,171,245,421,3312,1958,5272,9846,10236,20083,1784,2002,3785,6804,6920,13729,4358,4781,9135
3012,7232,6693,13923,4138,2517,6655,450,1267,1719,318,255,570,313,267,577,5218,4305,9519,1105,1620,2725,6,6.2,6.1,72.2,64.3,68.4,67.8,60.3,64.2,112,151,267,43,135,179,453,860,1313,288,469,757,2409,835,3248,81,107,186,70,117,190,2558,1060,3624,6442,5885,12320,1525,1674,3207,3821,3417,7237,3637,3609,7246
3013,29970,30886,60860,13338,8065,21408,3104,7222,10324,855,969,1824,1912,1353,3267,19207,17610,36815,8187,10991,19179,10,7.7,8.9,64.1,57,60.5,57.7,52.6,55.1,618,521,1140,299,560,859,1986,3558,5544,1432,2271,3700,8153,3832,11983,378,587,960,398,517,918,8933,4937,13869,28050,28779,56827,5599,6277,11881,17649,17787,35436,14272,15564,29837
3014,119956,132606,252559,48069,27723,75791,16735,35611,52348,3294,3529,6826,5377,4911,10290,73485,71773,145258,38618,52768,91389,7.3,6.8,7.1,61.3,54.1,57.5,56.8,50.4,53.4,3398,3611,7007,1656,3183,4838,12654,19097,31748,10273,15683,25952,34458,16479,50939,1045,1919,2963,2187,3585,5775,37688,21985,59675,107373,115828,223198,27058,29693,56744,64013,68342,132351,66297,73153,139444
3015,49538,54519,104061,22942,13431,36376,5682,13237,18916,1302,1601,2904,2389,2010,4402,32322,30275,62596,13664,20463,34130,7.4,6.6,7,65.2,55.5,60.2,60.4,51.9,55.9,1811,1715,3526,660,1258,1915,5172,7930,13106,3415,5120,8536,12684,6893,19578,580,860,1440,721,1135,1856,13981,8897,22877,45929,49783,95714,10898,11742,22641,27867,30224,58091,26313,28655,54968
3016,68377,69885,138259,31740,20482,52229,7604,16544,24150,2056,2360,4411,4352,3548,7902,45749,42940,88688,16919,22229,39153,9.5,8.3,8.9,66.9,61.4,64.1,60.5,56.4,58.4,1830,1983,3812,681,1463,2144,5834,10322,16154,4522,6325,10851,18815,9187,27999,715,1105,1818,846,1243,2091,20371,11534,31912,60317,61593,121911,15922,16862,32787,35692,36026,71722,36981,39356,76335
3017,5660,6346,12010,2294,1267,3563,677,1441,2113,164,187,352,222,216,443,3355,3119,6472,1983,2883,4870,6.6,6.9,6.8,59.3,49.1,53.9,55.4,45.6,50.2,76,70,153,62,98,159,317,524,838,294,477,768,1445,836,2275,69,132,196,101,165,264,1618,1131,2741,5450,5849,11302,1159,1325,2482,3558,3857,7417,2710,2982,5690
3018,7153,7522,14671,2976,1844,4818,724,1811,2537,232,237,464,370,313,686,4304,4203,8509,2157,2783,4947,8.6,7.4,8.1,60.2,55.9,58,55,51.7,53.3,140,159,297,102,163,260,525,964,1487,449,611,1055,2163,954,3117,59,145,200,97,162,258,2322,1254,3582,6308,6601,12908,1567,1635,3198,3715,3819,7530,3874,4133,8004
4000,110366,106168,216532,45996,20929,66923,12542,28252,40795,3884,3740,7623,3912,2889,6799,66332,55804,122139,35739,42917,78655,5.9,5.2,5.6,60.1,52.6,56.4,56.6,49.8,53.3,1198,1433,2632,799,1815,2609,5831,10692,16529,5843,9882,15723,27922,13047,40974,1273,2107,3380,2087,2657,4748,31285,17810,49098,106138,102152,208291,14958,14966,29923,77853,73673,151528,37752,38146,75889
4001,510352,544303,1054657,214826,123350,338176,69705,139917,209618,13079,16650,29732,27229,21393,48625,324844,301313,626156,159814,216581,376397,8.4,7.1,7.8,63.7,55.4,59.4,58.3,51.4,54.8,23767,23290,47060,7764,13515,21275,67378,88732,156113,40337,51873,92208,111028,57322,168352,5606,8490,14096,8171,11988,20163,124805,77801,202608,488155,512441,1000589,84526,88929,173452,335229,351072,686300,215559,229566,445128
4002,11051,11950,23002,5108,2533,7646,1275,3345,4622,315,372,681,483,385,867,7180,6634,13816,3267,4643,7908,6.7,5.8,6.3,65,55.5,60.1,60.6,52.3,56.3,135,155,294,96,172,264,565,1092,1657,497,913,1409,3092,1723,4814,148,334,482,190,287,476,3434,2336,5772,10881,11396,22278,1905,2059,3965,7511,7792,15305,4687,5152,9843
4003,7204,7319,14526,2600,1452,4052,811,1610,2415,201,197,399,385,345,731,4000,3595,7600,2793,3290,6084,9.6,9.6,9.6,55.5,49.1,52.3,50.1,44.5,47.3,61,63,126,34,78,115,283,472,747,294,524,822,1567,1010,2575,119,186,310,123,178,299,1812,1374,3188,6255,6640,12899,1355,1442,2804,4082,4275,8361,3193,3452,6653
4004,5558,5369,10931,1924,1222,3151,502,1171,1668,177,185,362,362,188,556,2971,2766,5738,2109,2137,4238,12.2,6.8,9.7,53.5,51.5,52.5,46.8,48,47.4,45,64,105,38,80,119,186,452,638,223,330,548,1466,574,2043,74,120,197,92,90,187,1635,793,2423,4833,5026,9858,760,854,1620,3579,3626,7201,1726,1943,3669
4005,6241,6384,12625,2507,1273,3782,815,1867,2680,217,201,415,253,196,450,3793,3532,7324,2005,2424,4429,6.7,5.5,6.1,60.8,55.3,58,56.7,52.3,54.5,52,72,124,49,112,160,329,668,995,317,518,835,1686,880,2569,102,136,234,133,136,266,1916,1153,3070,5859,5960,11817,985,1050,2032,3928,3997,7929,2577,2759,5336
4006,5574,5977,11548,1965,906,2870,540,1409,1950,127,171,300,415,256,673,3044,2742,5787,2173,2833,5008,13.6,9.3,11.6,54.6,45.9,50.1,47.2,41.6,44.3,49,37,87,29,64,91,189,400,590,236,346,587,1454,742,2200,83,125,212,65,104,174,1606,980,2583,5410,5549,10956,764,879,1652,3983,4114,8099,1945,2126,4065
4007,10475,11801,22274,2326,1219,3545,1414,2448,3864,234,315,554,376,240,620,4355,4223,8574,5503,6903,12405,8.6,5.7,7.2,41.6,35.8,38.5,37.9,33.7,35.8,176,205,384,141,229,364,787,1139,1933,828,1182,2003,2828,1374,4206,120,222,350,245,364,607,3194,1960,5158,9443,10400,19841,1597,1833,3428,6268,6852,13125,4549,5136,9688
4008,8758,8810,17567,3358,1613,4966,798,1992,2786,270,254,522,739,434,1178,5161,4293,9457,2970,3894,6865,14.3,10.1,12.5,58.9,48.7,53.8,50.5,43.8,47.1,86,106,195,42,91,130,442,750,1193,363,597,962,2842,1086,3924,145,216,365,129,173,307,3116,1473,4596,8546,8416,16963,1255,1361,2610,6373,6221,12596,2940,3121,6062
5000,127785,107646,235436,56575,25206,81774,11504,24650,36161,5692,4087,9778,5097,3551,8648,78865,57495,136361,32978,38902,71882,6.5,6.2,6.3,61.7,53.4,57.9,57.7,50.1,54.2,1422,1466,2891,786,1909,2695,7269,11689,18955,6532,9279,15809,33570,12073,45650,1347,2358,3705,2053,2752,4806,36977,17186,54163,109107,98170,207279,22894,20095,42986,71793,64732,136524,53356,47265,100624
5001,13079,13938,27017,5160,2823,7978,1719,3719,5435,454,461,916,480,309,794,7810,7311,15126,4418,5768,10183,6.1,4.2,5.2,59.7,52.5,56,56.1,50.2,53,200,246,448,152,303,458,894,1645,2533,901,1471,2371,3518,1791,5309,184,305,492,220,374,599,3924,2471,6394,11981,12822,24801,2386,2576,4965,7874,8347,16220,5994,6601,12595
5002,5354,5372,10726,2579,1990,4568,601,1114,1721,228,256,486,207,146,350,3618,3510,7125,1066,1181,2249,5.7,4.2,4.9,67.6,65.3,66.4,63.7,62.5,63.2,108,187,296,67,152,221,524,924,1445,367,589,959,1406,609,2017,83,119,208,115,145,259,1599,879,2481,4401,4299,8701,1485,1652,3130,2302,2104,4399,3159,3427,6592
5003,27803,29410,57207,12984,6202,19193,2852,8132,10981,1070,895,1961,1551,1306,2860,18457,16532,34995,7306,10922,18229,8.4,7.9,8.2,66.4,56.2,61.2,60.8,51.8,56.2,477,478,957,299,569,872,2086,3443,5531,1850,2689,4543,8292,4215,12509,331,685,1019,454,873,1326,9078,5766,14846,26502,27651,54149,5108,5665,10773,16476,16997,33468,13553,14900,28452
5004,14025,15128,29151,5811,2804,8613,1925,4403,6331,587,509,1095,541,426,970,8863,8151,17008,4056,5868,9929,6.1,5.2,5.7,63.2,53.9,58.3,59.3,51,55,239,245,481,139,341,475,1235,2011,3245,1039,1589,2624,4121,1957,6077,146,307,449,256,445,703,4526,2708,7230,13184,13855,27040,2825,3063,5888,7724,7934,15655,7580,8328,15906
5005,4796,4916,9712,2177,1028,3209,502,1322,1822,219,176,398,166,106,274,3063,2638,5700,1170,1776,2943,5.4,4,4.8,63.9,53.7,58.7,60.4,51.4,55.9,45,47,93,37,98,133,254,433,690,237,406,642,1266,575,1841,57,139,193,71,132,200,1395,843,2237,4424,4508,8935,830,857,1683,2908,2919,5819,2041,2169,4210
5006,14611,15022,29636,6218,3647,9873,1516,3700,5217,572,515,1091,951,616,1567,9259,8486,17740,4039,5327,9363,10.3,7.3,8.8,63.4,56.5,59.9,56.8,52.3,54.6,205,179,387,119,317,433,770,1542,2315,848,1306,2150,4260,1890,6149,243,351,594,221,352,570,4716,2596,7316,13474,13835,27309,2685,2980,5663,8709,8792,17501,6598,7251,13853
5007,12039,10945,22980,6986,3529,10519,848,2503,3354,488,409,901,464,449,919,8793,6895,15685,1933,3008,4940,5.3,6.5,5.9,73,63,68.3,69.1,58.8,64.3,266,212,474,88,176,265,791,1238,2031,595,857,1455,3677,1282,4953,119,219,342,154,263,420,3949,1764,5716,10744,10056,20796,2609,2468,5074,6121,5579,11702,6421,6163,12586
5008,6273,5413,11688,3908,1987,5899,434,1172,1604,307,229,541,241,230,474,4896,3620,8516,550,1195,1748,4.9,6.4,5.6,78,66.9,72.9,74.1,62.6,68.8,124,132,259,47,115,161,522,838,1363,421,560,983,2117,669,2791,71,151,219,107,155,263,2302,975,3275,4949,4319,9264,2228,2093,4323,1814,1397,3209,4735,4392,9129
5009,757873,786721,1544598,356982,198644,555624,98465,202726,301188,23635,24171,47805,43885,36312,80199,522968,461843,984811,183635,275970,459605,8.4,7.9,8.1,69,58.7,63.8,63.2,54.1,58.6,36781,33317,70103,11721,20888,32607,112112,143182,255295,63995,80460,144454,173083,77165,250256,6638,11260,17898,10816,19709,30528,190541,108138,298676,702689,722896,1425592,149155,153785,302943,435405,450956,886361,381080,391881,772962
5010,5638,4889,10528,3326,1711,5036,346,869,1218,295,246,545,187,190,378,4152,3021,7179,608,1135,1745,4.5,6.3,5.3,73.6,61.8,68.2,70.4,57.8,64.6,88,80,174,50,111,161,330,635,963,353,466,821,1962,577,2546,54,123,176,67,85,159,2089,792,2877,4119,3514,7635,1946,1851,3803,1574,1287,2864,4005,3627,7636
5011,4410,4632,9046,2012,995,3004,434,1122,1558,181,170,353,282,256,532,2908,2546,5452,1032,1608,2635,9.7,10.1,9.8,65.9,55,60.3,59.6,49.4,54.3,51,55,109,21,73,98,230,425,653,315,512,828,1439,676,2111,53,87,142,78,157,236,1566,918,2487,4074,4112,8191,1112,1150,2267,1791,1664,3451,2974,3224,6201
6000,63194,62485,125680,22953,11071,34024,7411,15562,22970,2244,2176,4414,2733,1971,4702,35339,30782,66113,23096,27087,50178,7.7,6.4,7.1,55.9,49.3,52.6,51.6,46.1,48.9,1106,1276,2377,509,1077,1584,3746,6404,10151,3715,5488,9202,16924,7320,24246,679,1359,2041,1040,1811,2854,18648,10491,29146,60828,59185,120012,8355,8946,17301,44932,42678,87612,21445,22651,44096
6001,10331,11457,21788,3795,2043,5836,1144,2746,3884,290,331,626,584,416,997,5812,5532,11345,3901,5271,9171,10,7.5,8.8,56.3,48.3,52.1,50.6,44.7,47.5,147,155,301,78,165,245,553,948,1501,550,923,1468,2801,1458,4264,152,300,450,178,290,470,3135,2047,5183,9939,10810,20747,1617,1753,3368,6951,7463,14411,4090,4615,8703
6002,11278,12758,24032,4223,2213,6432,1320,3126,4444,342,378,727,599,443,1041,6480,6162,12642,4099,5853,9944,9.2,7.2,8.2,57.5,48.3,52.6,52.2,44.8,48.3,127,129,255,95,167,264,559,1071,1633,625,1043,1670,3158,1701,4857,162,320,482,163,329,490,3485,2348,5829,10784,11985,22768,1819,2034,3849,7756,8323,16079,4396,5139,9528
6003,79951,87423,167374,32158,19673,51831,11193,23034,34224,2126,2864,4988,3573,2608,6183,49052,48180,97234,26260,34354,60619,7.3,5.4,6.4,61.4,55.1,58.1,56.9,52.1,54.4,3979,4357,8336,1489,2682,4169,10499,13992,24484,5734,7521,13260,17512,9050,26568,838,1499,2338,1132,2055,3184,19484,12610,32091,75685,81181,156860,13673,14765,28430,51743,55527,107270,34280,37388,71669
6004,32912,36204,69119,13152,7389,20538,4366,9520,13888,887,1164,2053,1738,1269,3004,20143,19340,39483,10601,14518,25124,8.6,6.6,7.6,61.2,53.4,57.1,55.9,49.9,52.8,960,980,1942,403,699,1106,3195,4976,8173,2137,2919,5060,7908,4054,11957,378,762,1137,457,952,1410,8741,5765,14504,30690,33084,63770,5840,6329,12170,20829,22384,43215,14344,15634,29973
6005,5595,6172,11766,2094,1052,3147,633,1552,2184,160,199,358,268,176,439,3158,2973,6131,2155,2856,5014,8.5,5.9,7.2,56.4,48.2,52.1,51.6,45.4,48.4,98,98,194,64,91,152,356,630,982,303,527,829,1625,750,2383,78,135,210,75,153,223,1773,1042,2816,5468,5850,11312,823,874,1699,4012,4277,8286,2067,2236,4310
7000,31446,29383,60830,10205,7407,17612,2191,3359,5548,1151,1057,2211,2309,1809,4117,15857,13624,29487,10608,11506,22114,14.6,13.3,14,50.4,46.4,48.5,43.1,40.2,41.7,333,531,857,206,484,688,1305,2356,3666,1233,1637,2869,5754,2322,8081,540,716,1250,509,577,1088,6807,3615,10420,29802,28647,58446,5285,5097,10390,22045,21469,43519,10424,9864,20283
7001,9458,10098,19560,5081,4223,9302,880,1663,2537,338,429,766,254,182,430,6553,6488,13035,1675,2334,4005,3.9,2.8,3.3,69.3,64.3,66.6,66.6,62.5,64.4,382,553,934,158,394,551,1023,1745,2766,758,878,1638,2167,1033,3207,91,153,241,132,210,341,2399,1391,3786,8075,8289,16367,2199,2470,4673,4626,4764,9382,5128,5489,10617
7002,52197,46774,98970,28287,18903,47190,4846,8561,13404,2136,2001,4137,1678,1459,3135,36947,30920,67872,8786,11097,19888,4.5,4.7,4.6,70.8,66.1,68.6,67.6,63,65.4,2146,2362,4503,740,1535,2279,5971,8500,14467,3932,4420,8356,12921,5391,18308,546,722,1272,739,962,1701,14203,7071,21278,39954,37366,77321,14175,13566,27746,21375,20175,41553,30007,28021,58029
8000,693,594,1284,275,179,452,75,140,218,38,24,60,33,21,53,419,367,783,154,165,323,7.9,5.7,6.8,60.5,61.8,61,56,57.7,56.9,47,49,93,8,28,37,75,107,183,46,71,123,155,57,214,3,5,9,4,8,10,166,72,235,500,429,927,189,194,383,301,272,569,345,329,674
8001,171133,179998,351131,87396,62800,150199,21993,39779,61770,5090,7403,12499,5862,5207,11068,120343,115185,235532,40846,54697,95545,4.9,4.5,4.7,70.3,64,67.1,66.9,61.1,63.9,19695,16711,36408,5556,8588,14139,33922,41570,75491,14489,17984,32471,25864,14094,39964,1299,2053,3350,1931,4001,5936,29098,20149,49253,157847,163466,321313,35670,36700,72363,97035,102315,199349,88532,90682,179217
9000,2037,1730,3773,885,524,1413,206,361,571,93,98,188,28,34,58,1215,1014,2228,594,513,1108,2.3,3.4,2.6,59.6,58.6,59.1,58.1,56.8,57.6,33,43,76,22,33,56,135,195,328,100,171,279,462,148,609,27,30,58,38,60,99,527,236,765,1614,1578,3194,302,273,581,1223,1197,2416,579,563,1144
