SUA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1000,..,97965,97965,130025,8330,138356,47219,917,48137,44399,209,44608,22612,94,22702,11196,35,11235,255448,107559,363003
1001,..,9708,9708,10641,979,11618,4681,169,4854,4445,74,4522,1867,20,1889,744,3,749,22385,10957,33337
1002,..,2460,2460,2532,276,2809,1052,91,1145,946,44,993,449,18,467,215,4,217,5196,2892,8089
1003,..,3203,3203,3560,314,3871,1269,61,1324,1106,25,1126,440,6,443,128,0,128,6495,3605,10102
1004,..,1955,1955,2598,138,2740,686,22,705,555,3,556,260,3,264,155,0,155,4256,2118,6371
1005,..,3408,3408,3712,405,4116,1752,91,1842,1754,43,1798,780,10,785,376,3,384,8368,3962,12333
1006,..,3702,3702,5016,255,5270,1835,24,1862,1834,12,1851,873,3,876,408,3,406,9969,4004,13977
1007,..,2532,2532,2361,167,2528,936,13,952,725,3,729,296,0,303,142,0,142,4461,2716,7184
1008,..,1938,1938,2872,146,3022,753,8,768,634,4,638,300,0,300,145,0,145,4713,2106,6814
1009,..,31410,31410,37095,3025,40124,17405,414,17816,17597,124,17719,7708,42,7755,3617,11,3631,83419,35032,118450
1010,..,6981,6981,8626,792,9424,3574,113,3688,3184,37,3221,1445,10,1460,767,12,778,17596,7955,25549
1011,..,3440,3440,3955,347,4303,2027,76,2102,1699,11,1714,857,0,861,456,0,462,9000,3884,12879
1012,..,3047,3047,3534,234,3768,909,16,928,663,3,672,249,0,249,139,0,142,5490,3307,8794
1013,..,2698,2698,2728,180,2905,1190,22,1213,1046,4,1051,467,8,470,235,7,240,5661,2917,8575
1014,..,2282,2282,2343,192,2533,925,17,940,780,11,790,379,0,377,224,0,224,4642,2496,7143
1015,..,1633,1633,1924,158,2083,894,36,933,1012,13,1028,495,8,502,232,10,243,4571,1866,6436
1016,..,1444,1444,1586,127,1721,747,18,759,579,10,583,286,3,288,218,0,218,3420,1599,5015
1017,..,3529,3529,3243,443,3680,1484,78,1563,1223,30,1253,567,12,577,270,0,269,6785,4085,10869
1018,..,1800,1800,1538,107,1648,652,4,663,539,3,542,225,0,223,108,0,108,3063,1920,4985
1019,..,2128,2128,3047,189,3239,1209,27,1241,1156,6,1163,564,0,566,297,3,298,6277,2355,8632
1020,..,1198,1198,1308,111,1421,643,21,659,579,3,585,273,0,270,117,0,114,2913,1331,4244
1021,..,1237,1237,1304,137,1443,679,17,687,619,7,623,276,0,276,128,0,128,3003,1393,4395
1022,..,2861,2861,3966,228,4197,1242,27,1270,1182,6,1188,513,0,511,235,0,235,7133,3126,10257
1023,..,44470,44470,54310,4877,59187,26197,1315,27517,25685,434,26116,10380,137,10522,4325,98,4430,120900,51331,172235
1024,..,3558,3558,4183,306,4483,1882,45,1926,1622,16,1639,789,4,790,403,3,405,8886,3927,12808
1025,..,4117,4117,4362,361,4718,1971,46,2021,1946,36,1977,905,13,922,426,3,426,9607,4572,14179
1026,..,1180,1180,1257,59,1318,539,8,552,481,5,480,276,3,278,152,0,152,2705,1252,3958
1027,..,5566,5566,6647,530,7174,2227,84,2307,1991,28,2012,854,4,859,334,0,335,12048,6207,18260
1028,..,1380,1380,1671,123,1799,878,10,891,952,8,952,408,0,408,166,0,166,4077,1519,5596
1029,..,2126,2126,2759,184,2947,889,9,903,739,5,740,355,0,355,168,0,168,4911,2324,7236
1030,..,316378,316378,394413,45605,440012,249501,15341,264844,265604,6942,272546,118436,2784,121224,69561,2098,71660,1097514,389157,1486674
1031,..,4323,4323,4779,422,5203,2167,72,2242,1924,22,1946,870,9,876,420,20,439,10165,4856,15027
1032,..,3181,3181,3360,270,3637,1301,40,1337,1092,8,1097,518,3,522,304,0,304,6578,3503,10084
1033,..,1810,1810,2468,149,2614,687,7,696,623,3,628,270,0,269,131,0,131,4182,1973,6154
1034,..,5397,5397,6254,597,6856,2774,181,2955,2619,67,2687,1332,14,1344,569,5,583,13555,6269,19823
1035,..,24858,24858,31439,2636,34073,15697,745,16442,16600,317,16918,6975,104,7081,3206,63,3268,73913,28727,102649
2000,..,72175,72175,91988,5368,97356,31938,482,32421,30996,135,31132,15050,70,15126,6451,51,6504,176428,78285,254709
2001,..,1609,1609,2135,111,2244,1113,17,1129,1299,0,1299,591,0,588,225,0,224,5359,1741,7099
2002,..,1768,1768,1917,104,2023,723,16,744,645,3,650,285,3,288,109,4,115,3686,1904,5587
2003,..,11213,11213,11568,1292,12856,5168,316,5479,5077,148,5230,2147,35,2187,828,19,846,24788,13019,37811
2004,..,10265,10265,11234,1092,12326,5002,315,5321,4568,84,4652,2075,27,2103,871,15,888,23759,11809,35561
2005,..,1557,1557,1448,116,1566,598,35,634,535,5,540,266,12,272,126,9,136,2970,1732,4697
2006,..,2165,2165,2752,174,2926,925,26,946,968,14,985,452,0,453,174,0,171,5268,2375,7646
2007,..,24721,24721,28829,2213,31048,13317,607,13917,13554,260,13816,5608,102,5713,2017,85,2107,63336,27994,91328
2008,..,1128,1128,2155,69,2229,1039,13,1049,1423,3,1429,632,0,632,215,0,215,5471,1210,6682
2009,..,2097,2097,2164,127,2293,787,30,822,789,11,798,359,0,361,114,0,114,4209,2269,6481
2010,..,354886,354886,426031,49808,475840,245722,16723,262451,260297,6998,267295,104582,2564,107146,50725,1591,52317,1087364,432567,1519926
2011,..,4031,4031,5527,535,6058,3626,59,3686,3429,20,3442,1561,10,1568,1041,3,1044,15191,4649,19836
2012,..,5259,5259,6033,445,6484,2541,74,2618,2323,29,2353,1199,14,1213,540,6,546,12640,5838,18471
2013,..,2410,2410,2153,174,2322,884,8,894,740,0,740,281,0,281,125,0,128,4184,2591,6781
2014,..,1359,1359,1448,102,1546,548,13,555,507,6,507,186,0,182,63,0,63,2746,1475,4220
2015,..,1772,1772,1785,143,1930,765,24,788,708,3,714,310,8,321,106,5,106,3677,1949,5624
2016,..,4959,4959,5436,431,5866,2534,91,2627,2398,40,2436,1147,19,1162,633,10,646,12159,5549,17703
2017,..,1261,1261,1277,115,1396,546,30,578,446,7,457,235,3,238,100,3,102,2604,1421,4026
2018,..,5118,5118,4960,390,5351,2112,56,2172,1918,12,1936,775,0,773,334,5,337,10092,5577,15676
2019,..,2528,2528,2458,182,2639,925,18,944,867,7,872,378,8,384,123,0,128,4752,2741,7495
2020,..,3241,3241,4379,260,4642,1769,21,1797,1720,10,1731,881,6,882,384,3,391,9132,3545,12676
2021,..,3778,3778,4100,338,4443,1679,99,1776,1649,41,1686,743,19,762,295,17,312,8468,4282,12751
3000,..,65149,65149,92411,6803,99210,34941,894,35830,33067,279,33345,16308,113,16426,10211,87,10292,186936,73318,260262
3001,..,167507,167507,225675,27160,252838,123142,8527,131670,124210,3252,127462,52829,1161,53993,28717,640,29354,554576,208248,762826
3002,..,7317,7317,9631,750,10380,3532,113,3639,3100,38,3134,1367,8,1374,697,6,707,18319,8238,26555
3003,..,13603,13603,15853,1995,17853,7930,403,8334,7016,132,7149,2980,24,3000,1614,26,1639,35396,16184,51574
3004,..,914,914,1214,107,1324,645,24,676,800,5,801,363,0,362,174,0,171,3194,1052,4248
3005,..,3577,3577,4823,421,5244,2486,81,2564,2536,16,2549,1022,3,1025,435,0,440,11307,4100,15404
3006,..,53944,53944,71881,9138,81023,34930,2118,37050,33273,680,33954,13028,187,13214,6259,111,6371,159373,66181,225556
3007,..,2367,2367,2657,236,2889,1085,46,1128,896,10,902,410,3,413,259,3,262,5302,2661,7965
3008,..,5504,5504,8028,647,8680,2513,75,2589,2068,10,2087,948,3,953,508,0,516,14079,6245,20325
3009,..,1111,1111,1317,102,1424,515,32,540,456,4,463,237,0,237,119,0,119,2641,1247,3896
3010,..,7068,7068,9083,817,9892,4415,144,4553,4157,34,4193,1824,5,1830,720,3,724,20190,8068,28255
3011,..,2951,2951,3622,291,3911,1335,43,1375,1105,10,1120,518,0,517,292,0,292,6876,3289,10166
3012,..,1466,1466,1714,211,1928,953,43,999,877,15,892,446,0,442,259,0,261,4250,1740,5992
3013,..,6852,6852,8310,728,9033,4145,152,4290,4011,49,4056,1720,15,1736,882,10,885,19061,7797,26863
3014,..,27542,27542,40619,3672,44285,16291,809,17097,16298,239,16534,6346,60,6408,2716,22,2736,82268,32344,114615
3015,..,12690,12690,15632,1301,16938,6648,273,6922,6285,81,6369,3047,22,3064,1579,9,1589,33196,14385,47572
