SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2016,380,342,720,1559,1414,2977,511,516,1033,126,110,240,2206,2045,4254,939,948,1889,582,549,1129,220,199,420,1742,1693,3434,81,138,224,75,130,205,150,91,244,106,241,346,4,3,10,422,609,1029,136,230,363,53,121,179,20,58,83,106,232,336,3,4,6,314,651,969,79,88,164,78,170,249,7,0,9,161,258,426,2309,2408,4716,7529,8016,15545
2017,75,87,162,263,227,486,128,135,263,16,29,43,401,386,793,227,217,444,112,115,226,8,15,28,346,346,696,9,11,25,6,11,20,35,31,68,40,48,86,3,0,7,104,103,204,16,41,55,4,20,30,9,13,21,10,40,50,0,0,0,42,110,159,6,9,23,17,30,39,0,0,3,27,39,67,636,638,1271,1631,1713,3348
2018,299,265,564,1079,927,2003,494,497,988,119,128,240,1691,1544,3235,611,656,1264,419,401,819,165,162,327,1197,1223,2419,57,75,133,30,73,108,114,81,197,86,156,238,3,0,4,289,387,674,135,252,384,63,128,194,23,60,79,109,180,290,3,0,3,334,619,952,57,37,98,61,131,188,0,0,5,122,172,288,1824,2010,3832,5749,6222,11971
2019,127,151,279,400,327,726,329,281,612,76,94,167,799,700,1504,225,238,466,282,309,585,54,70,128,562,613,1178,35,39,76,10,38,48,46,38,86,39,67,103,0,6,4,139,183,318,42,75,116,17,44,59,4,15,17,36,102,142,0,3,3,98,235,339,14,16,29,19,42,64,0,0,0,34,54,90,723,885,1607,2484,2817,5309
2020,280,285,563,1009,947,1954,321,353,674,221,201,420,1551,1501,3047,588,601,1190,252,272,530,244,276,523,1086,1150,2236,64,67,126,20,66,85,115,68,185,64,154,219,0,0,0,264,359,621,134,239,379,40,134,175,31,44,72,84,200,282,0,3,4,294,623,915,30,48,79,42,98,144,4,0,5,75,146,229,1201,1375,2574,4742,5439,10183
2021,244,203,447,737,675,1416,591,619,1216,66,62,122,1393,1363,2755,684,655,1340,369,427,795,51,55,106,1106,1129,2234,67,88,147,11,71,88,102,70,170,101,188,288,0,3,6,285,420,705,134,249,385,65,100,159,28,35,65,84,179,260,0,0,3,310,566,878,25,21,46,47,86,135,0,4,4,64,114,181,1280,1416,2694,4676,5214,9892
3000,3811,3664,7473,25806,23612,49420,5161,5086,10252,2594,2423,5016,33559,31122,64683,16717,16097,32812,3456,3273,6729,2741,2695,5429,22910,22061,44969,457,587,1049,314,809,1120,1156,1128,2288,1165,3018,4179,62,58,119,3151,5603,8751,1426,2704,4131,662,1666,2330,368,810,1174,1381,3653,5035,15,56,69,3847,8888,12741,490,618,1104,855,2100,2953,49,53,108,1393,2771,4165,44037,37119,81155,112707,111227,223934
3001,14586,13420,28008,67028,63006,130033,17849,17435,35279,11318,11358,22677,96196,91799,187995,40138,37959,78096,16561,15608,32175,14998,14879,29872,71694,68452,140142,3903,4443,8350,3133,5840,8969,3931,3238,7165,5282,9276,14558,128,160,292,16382,22954,39334,31902,38796,70699,11824,14043,25870,3286,4487,7774,10538,16352,26892,162,231,393,57711,73914,131627,3282,4257,7538,4135,7834,11961,112,135,255,7534,12226,19754,70683,69794,140480,334791,352553,687349
3002,357,330,690,2164,2013,4173,441,438,877,364,331,697,2958,2785,5749,1395,1278,2673,513,523,1036,313,284,593,2220,2090,4308,51,89,141,50,137,190,92,125,219,120,278,392,8,5,10,321,628,947,202,293,494,116,250,361,57,101,160,172,414,581,0,3,4,548,1056,1603,55,71,130,116,191,301,9,3,10,179,268,444,2408,2465,4874,8997,9619,18619
3003,850,770,1617,3958,3637,7601,1874,1949,3825,670,556,1225,6503,6152,12651,3007,2808,5820,1437,1329,2766,457,497,951,4903,4626,9530,144,163,304,196,410,610,225,244,465,377,729,1105,15,17,28,955,1565,2515,684,1017,1702,446,783,1232,116,223,337,546,1177,1718,10,17,24,1792,3220,5014,163,214,378,263,542,805,14,8,22,435,772,1203,7248,7165,14413,22683,24265,46950
