SUA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
1000,1703,3543,2400,1666,2079,328,79,11793,204,186,122,71,119,23,10,728,77,119,109,67,80,12,4,468,2840,5972,4459,3304,4460,753,204,21999,186,530,406,280,320,45,13,1778,386,663,313,207,181,25,9,1777,566,1192,721,486,496,72,21,3559,3407,7171,5180,3787,4957,825,221,25555,5795,5346,2825,1706,1682,296,70,17716,122,157,107,79,61,4,3,527,9324,12669,8119,5574,6703,1127,296,43804
1001,227,406,247,160,216,49,9,1318,30,30,14,5,9,5,0,83,12,8,14,5,14,0,0,55,359,692,505,369,510,125,39,2611,31,63,42,36,37,6,0,209,47,79,31,22,17,3,3,200,80,139,69,55,48,5,4,407,442,839,575,423,556,133,43,3015,587,563,298,174,149,34,17,1833,11,5,5,8,0,0,0,35,1046,1407,888,609,710,173,54,4891
1002,45,67,53,42,62,4,0,281,4,0,3,3,9,3,0,20,3,0,3,0,0,0,0,11,83,122,122,109,143,29,9,612,3,13,6,5,4,0,0,41,11,23,5,0,4,0,0,46,16,37,13,8,14,3,0,84,95,159,134,119,152,28,5,701,153,133,63,42,34,9,3,435,3,3,3,3,0,0,0,14,251,295,208,160,182,37,14,1144
1003,51,113,68,58,72,16,0,384,0,4,3,0,3,0,0,21,0,0,0,0,0,4,0,9,69,173,123,125,150,43,4,695,3,5,0,0,9,3,0,24,6,8,7,10,3,4,0,38,7,20,7,8,7,3,0,58,80,191,129,139,165,44,6,751,78,106,65,35,41,12,9,349,0,4,3,0,0,0,0,6,156,302,199,177,205,57,17,1107
1004,37,99,61,29,37,6,0,277,6,5,3,4,0,0,0,19,0,0,0,5,0,0,0,8,56,131,89,62,90,16,0,459,4,15,4,3,8,0,0,31,7,12,3,3,3,0,0,29,16,24,8,10,14,0,0,63,73,160,99,73,105,16,0,524,98,105,67,41,24,4,0,332,0,3,0,0,0,0,0,3,169,263,164,112,126,19,3,856
1005,102,157,98,67,77,18,9,527,18,12,4,0,3,0,0,38,0,3,3,3,6,0,0,16,173,313,218,157,204,56,17,1139,8,32,9,11,5,3,0,66,14,34,22,13,18,0,0,97,21,62,30,22,21,3,0,167,199,376,245,173,224,62,17,1301,264,185,108,68,78,12,0,709,9,3,4,0,0,0,0,19,462,563,361,242,301,74,21,2025
1006,63,138,89,72,94,26,11,484,3,6,3,3,6,0,0,24,0,4,3,4,4,0,0,24,103,216,173,152,239,58,21,968,8,10,4,0,6,0,0,21,7,17,12,10,8,3,0,52,16,24,13,12,8,3,0,78,115,245,189,161,251,64,21,1045,140,117,77,52,63,10,0,464,0,0,0,0,3,0,0,6,255,360,271,215,314,76,23,1508
1007,77,80,64,34,51,9,0,308,7,9,3,4,3,0,0,30,0,0,3,0,5,0,0,10,103,142,114,87,113,15,0,574,8,15,14,6,7,0,0,53,11,15,4,7,9,0,0,48,16,30,14,16,17,0,0,94,119,175,125,109,125,18,0,671,176,132,64,38,50,0,0,460,18,9,3,0,0,0,0,27,312,316,189,148,171,23,0,1163
1008,16,56,60,38,49,8,0,231,12,4,4,3,0,0,0,21,3,0,0,0,0,0,0,4,36,87,92,56,93,19,0,385,3,5,4,0,0,0,0,17,6,13,3,3,0,0,0,24,7,13,6,3,3,0,0,36,41,103,99,60,97,19,0,422,64,66,39,24,36,4,0,236,8,0,0,0,0,0,0,10,111,167,143,83,128,21,4,671
1009,606,1356,974,647,825,196,78,4683,82,67,50,27,50,11,7,295,23,42,25,32,22,6,0,144,1052,2290,1785,1307,1905,557,254,9143,73,170,93,56,96,17,5,511,159,273,119,69,81,18,6,727,231,443,216,127,175,35,12,1238,1282,2731,2001,1431,2077,589,260,10375,2008,1772,964,576,640,148,69,6174,21,24,20,15,3,0,0,87,3312,4527,2981,2023,2722,739,333,16639
