SUA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
4002,3,0,0,0,0,0,3,17,0,34,94,20,4,0,0,3,0,0,0,0,0,0,12,170,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,74,47,18,16,3,9,3,0,0,0,0,0,0,3,177,0,7,3,21,46,44,58,20,7,3,5,11,13,0,19,254,0,0,0,0,0,0,0,0,0,3,3,9,3,0,0,21,0,0,0,0,16,19,24,29,4,4,8,11,3,3,6,134,0,9,6,4,4,3,3,0,0,0,0,0,0,0,0,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
4003,0,0,0,0,0,0,0,8,3,19,57,19,0,0,0,0,0,0,3,0,0,0,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,18,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,5,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,30,3,0,0,0,3,0,0,0,0,0,0,4,72,0,0,5,7,13,9,60,54,8,6,24,6,9,0,15,223,0,0,0,0,0,0,0,4,0,0,7,3,4,0,0,14,0,0,0,0,15,24,24,149,33,43,32,47,9,7,9,392,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0,3,0,9,22,15,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,3,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,14,14,11,6,0,0,0,0,0,3,10,59,0,0,0,0,0,0,7,7,0,0,0,0,3,0,3,13,0,0,0,0,0,8,8,3,3,5,0,11,3,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4005,0,0,0,0,0,0,0,11,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,36,7,0,0,3,0,0,0,0,0,0,0,4,64,0,0,3,16,22,13,30,18,4,0,0,0,4,0,7,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,11,27,3,3,8,5,3,4,5,106,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,3,0,0,0,0,0,0,13,4,53,30,9,3,0,0,0,0,0,0,0,0,0,9,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,9,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,9,18,8,10,4,3,3,0,0,0,0,5,60,0,0,0,0,0,0,0,4,3,0,5,3,6,0,5,27,0,0,0,0,18,12,9,18,14,6,15,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4007,3,0,0,0,0,0,7,56,0,24,34,8,0,0,3,0,0,3,0,0,0,0,6,81,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,26,0,10,9,6,0,0,0,0,0,0,0,0,0,0,0,24,0,52,104,19,15,0,10,0,0,0,0,0,0,0,6,213,0,0,13,47,79,38,26,7,3,3,0,0,0,0,5,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,16,3,10,5,3,6,0,5,74,0,3,0,3,4,6,0,0,0,0,0,0,0,0,0,23,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,15
4008,0,0,3,0,0,0,0,38,0,8,28,25,3,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,3,0,0,3,0,0,0,0,0,22,0,5,9,3,0,0,0,0,0,0,0,0,0,0,0,19,0,35,41,15,3,0,0,0,0,0,3,0,0,0,3,104,0,0,0,23,47,6,18,13,9,4,0,3,3,0,3,135,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,28,18,26,79,20,27,24,21,26,5,17,300,0,3,9,3,8,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
5000,100,139,50,23,19,16,51,1009,20,289,267,113,25,14,15,31,7,16,22,20,35,21,77,972,0,3,0,0,7,13,32,26,4,3,12,5,16,6,41,165,0,0,0,0,9,6,32,51,0,9,14,12,27,21,34,216,0,0,4,8,4,3,0,0,0,0,0,0,0,0,8,29,3,8,26,63,75,68,57,60,8,9,9,18,11,21,60,498,0,19,16,15,4,0,0,4,0,0,0,0,0,0,8,70,0,396,166,120,109,53,82,48,6,5,15,8,22,3,40,1078,4,16,76,620,1468,1634,1716,1522,424,484,252,179,172,67,596,9231,0,3,4,0,4,6,8,14,4,5,11,10,4,3,14,89,0,0,3,3,95,137,162,671,188,280,291,221,266,122,119,2559,0,50,6,13,69,25,18,18,0,3,0,0,0,0,8,218,5,9,18,47,27,29,49,35,4,3,6,4,3,7,33,280
5001,8,0,0,0,0,0,0,59,0,51,48,28,0,0,3,4,0,3,10,3,0,0,9,152,0,0,0,3,0,7,7,3,0,0,0,3,0,0,0,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,13,9,4,3,0,3,0,3,0,3,53,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,105,34,15,34,10,10,9,0,0,0,0,0,0,11,221,0,0,14,53,113,123,109,74,14,21,16,5,4,5,26,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,36,59,233,23,41,36,11,31,16,9,530,0,19,3,4,4,4,9,0,0,0,0,0,0,0,0,44,0,0,0,4,7,0,4,3,0,0,0,4,0,0,3,25
5002,7,0,0,3,0,0,3,36,0,0,3,0,0,0,3,0,0,3,3,7,3,3,5,34,0,0,0,0,0,0,7,7,0,0,0,3,8,0,7,33,0,0,0,0,3,0,0,6,0,0,0,3,10,11,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,5,4,3,0,0,0,0,3,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,4,10,0,0,0,0,4,0,3,37,0,0,3,18,60,52,44,62,7,36,12,15,11,4,18,337,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,13,0,0,0,0,10,14,6,77,35,21,16,19,19,6,12,227,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,12
