SUA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1000,1483,374,533,50,2443,1077,218,342,33,1678,897,347,1331,68,2645,554,208,1884,48,2692,6299,946,3019,192,10450,3418,1296,4828,171,9714,19547,2589,4824,370,27332,10403,4368,4660,468,19892,12835,7677,4115,436,25067,11314,8646,2727,319,23000,6155,7880,1746,153,15935,6880,7825,1390,153,16241,11017,14508,1598,187,27311,6055,9698,576,101,16423,3311,6057,203,27,9588,1953,3743,287,20,5996,4218,7142,270,40,11667,8167,14518,4156,199,27035,3138,1189,1216,147,5686,118738,99210,39694,3166,260805
1001,78,20,47,5,151,52,4,32,3,103,44,14,124,10,193,31,5,205,0,242,328,62,338,9,739,191,112,486,14,805,1185,173,506,29,1887,721,352,497,29,1600,957,591,471,43,2058,947,836,328,30,2151,577,783,226,25,1616,621,796,148,10,1582,1164,1547,185,23,2923,634,1104,65,7,1818,319,674,17,0,1014,139,353,28,3,520,264,546,20,0,831,614,1052,329,22,2017,198,98,91,8,403,9068,9128,4163,292,22649
1002,23,8,15,5,45,11,3,3,0,16,17,5,31,6,60,3,3,38,0,49,79,20,64,7,170,56,31,124,3,207,241,55,123,9,427,185,81,126,17,408,198,143,110,15,466,226,161,82,11,471,113,177,63,9,363,148,147,45,8,354,281,288,48,3,614,164,205,15,3,383,98,155,0,0,251,44,103,7,0,157,99,171,5,0,271,144,279,66,4,489,36,8,33,3,78,2153,2039,993,99,5283
1003,20,3,9,0,25,16,0,6,0,20,15,4,23,0,43,11,0,39,0,49,128,18,82,0,235,80,13,134,3,234,507,53,158,12,735,298,94,141,14,540,372,196,154,15,726,336,172,106,7,623,165,172,49,6,391,185,186,56,7,434,303,360,55,4,729,179,217,13,0,415,93,153,7,0,254,48,85,13,0,144,126,168,10,0,307,176,286,103,3,568,69,16,39,0,121,3129,2205,1190,76,6604
1004,30,4,7,0,45,14,3,9,0,25,25,7,20,0,53,10,0,30,0,45,133,15,50,7,196,69,22,106,4,195,447,49,92,7,597,224,48,111,6,394,321,123,99,3,548,265,157,60,3,487,112,98,28,3,239,117,115,27,5,262,185,151,22,0,358,72,109,12,0,191,44,52,0,0,95,16,21,3,0,35,34,46,3,0,91,155,131,61,3,355,65,17,32,0,111,2336,1167,775,51,4335
1005,33,10,10,0,54,16,7,13,7,46,21,7,53,3,79,15,4,71,0,87,126,19,99,11,263,65,37,205,0,306,401,63,196,5,663,229,126,182,19,565,283,209,188,14,696,316,285,140,10,755,200,267,98,11,576,194,266,79,9,547,402,572,82,8,1060,254,481,19,7,768,166,335,12,0,515,74,178,10,0,262,120,272,7,0,397,190,415,146,6,754,70,29,40,0,143,3177,3585,1650,115,8532
1006,65,13,20,0,92,41,3,17,0,66,31,11,26,4,78,16,7,49,3,74,186,22,81,3,296,103,28,118,3,264,581,48,147,10,785,390,104,172,20,686,484,213,183,14,900,454,269,132,5,860,299,294,94,7,691,268,311,73,5,662,486,661,100,8,1261,278,438,38,12,765,161,284,18,0,464,120,199,13,3,336,282,433,14,0,727,320,571,167,5,1065,85,43,29,0,159,4663,3965,1495,95,10224
1007,16,0,7,0,24,6,0,15,3,26,15,0,32,3,53,7,0,61,3,68,124,18,87,6,231,51,23,141,5,225,360,34,116,12,521,161,75,135,4,371,187,113,97,10,403,154,95,69,9,328,67,98,54,4,217,104,132,29,5,276,196,181,42,10,422,127,157,10,0,299,67,111,3,0,181,31,64,5,0,95,53,111,7,0,180,132,236,92,3,468,76,23,50,4,150,1921,1484,1059,75,4536
1008,29,3,9,0,40,27,0,4,0,36,28,0,9,0,41,15,3,32,0,45,154,13,46,3,216,99,21,86,0,213,638,39,71,9,754,322,69,103,5,499,341,99,77,3,516,234,155,49,5,445,107,119,31,3,267,111,98,32,0,244,156,219,28,0,404,86,140,9,0,234,38,90,0,0,128,25,37,4,0,65,32,63,8,0,107,169,218,63,4,455,74,15,15,3,106,2676,1411,679,38,4807
1009,418,88,225,20,754,235,54,107,10,406,201,70,367,20,650,128,47,553,4,740,1452,177,951,61,2640,791,272,1757,55,2881,5467,562,1785,110,7930,2910,1100,1960,178,6154,3342,2072,1957,151,7517,3065,2715,1376,152,7308,1727,2830,1038,67,5657,1856,2935,816,49,5656,3401,5827,1004,104,10337,2006,4326,380,52,6762,1087,2744,158,18,4011,666,1772,139,7,2585,1108,3098,119,13,4336,1992,4315,1612,80,8005,778,323,347,29,1473,32635,35334,16651,1180,85800
