SUA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
2020,203,569,196,209,27,1374,111,113,453,332,475,59,1527,3,0,17,35,39,6,105,10,12,44,75,340,18,495,6,10,29,54,179,50,326,459,469,2014,1687,4727,439,9798
2021,144,592,150,193,19,1254,146,185,763,413,560,95,2157,9,5,22,32,64,10,144,11,7,29,59,291,20,415,7,7,34,32,146,50,271,445,476,2472,1600,4316,455,9765
3000,1980,8704,2852,4660,625,20481,1162,974,6806,5531,8011,1133,23613,79,40,378,362,894,120,1876,130,86,528,924,6365,390,8421,114,63,655,813,3852,1546,7040,5544,4759,33402,28261,97053,11693,180721
3001,8322,34032,9518,12011,1427,81701,12526,6138,45832,20863,24672,3161,113193,714,389,3390,1821,3084,358,9757,1301,632,4534,4914,16861,835,29085,1836,430,5596,3713,10403,3754,25728,70060,30519,222975,116266,239788,24616,704230
3002,185,959,254,414,33,2014,238,180,1209,713,1158,122,3610,4,3,28,14,59,8,112,10,13,39,80,543,23,702,9,3,37,44,329,113,532,603,497,3448,2197,7914,708,15360
3003,539,2191,641,891,131,5056,753,472,2987,1624,2007,276,8123,38,19,163,171,332,46,756,65,47,286,310,1237,89,2028,60,12,208,240,744,268,1532,2533,1624,11349,8045,18989,2114,44653
3004,56,240,41,101,7,485,23,17,158,57,78,12,354,0,0,0,6,9,0,16,0,3,22,27,197,14,264,0,0,11,18,74,22,128,131,108,839,525,2226,196,4036
3005,133,662,146,272,35,1338,64,57,453,247,404,43,1271,0,0,17,18,45,3,84,5,0,38,58,403,10,515,7,4,45,52,289,72,470,447,355,2551,1685,7044,523,12611
3006,1992,8554,2987,3294,453,20233,3125,1343,10462,6707,7464,1074,30179,199,68,1166,1019,2056,210,4717,193,82,918,1562,5333,303,8392,315,110,1468,1320,3582,1224,8012,12069,5779,47093,36160,77948,8416,187460
3007,63,255,88,149,18,612,28,23,191,203,283,31,764,0,0,6,7,18,0,36,7,0,15,43,193,15,262,3,0,14,18,109,35,178,119,122,780,709,2527,197,4452
3008,163,668,199,289,30,1466,211,123,878,525,857,88,2686,0,3,17,23,49,11,100,14,5,18,67,384,19,512,11,4,42,55,202,67,371,439,410,2337,1858,5270,475,10781
3009,38,192,41,75,8,375,27,21,134,122,160,11,479,0,0,0,4,5,0,14,0,0,7,25,75,3,111,3,0,3,12,39,12,69,77,78,544,435,1325,115,2578
3010,251,1136,291,434,38,2328,261,195,1335,632,915,125,3466,5,0,23,16,89,18,155,11,10,89,152,1011,38,1303,8,7,82,64,514,139,813,806,685,4960,3123,12323,923,22815
3011,77,318,122,189,26,780,54,41,255,216,493,43,1099,0,0,6,13,28,3,49,3,0,13,28,177,16,237,0,3,9,19,112,30,167,137,168,851,822,3015,290,5283
3012,52,301,54,133,14,605,92,60,275,122,166,36,747,3,0,3,3,13,0,30,0,3,21,29,182,5,247,7,0,15,17,97,38,169,244,165,1168,628,3062,236,5506
3013,266,1173,310,505,54,2617,292,184,1387,741,1124,126,3846,3,5,26,30,74,7,147,16,15,91,113,780,44,1054,9,6,42,46,300,91,499,937,727,4521,2740,10046,815,19781
3014,1242,4585,1446,1705,193,10525,1496,831,6110,3529,4340,477,16775,43,27,355,334,653,59,1471,78,48,387,767,2635,159,4075,148,50,648,593,1600,471,3516,4958,3333,22389,16673,39527,3542,90422
3015,597,2381,728,936,94,5818,661,356,2804,1342,2059,227,7451,17,9,69,63,163,11,326,48,21,185,252,1263,34,1808,39,15,187,129,537,166,1071,2774,1498,9986,5997,16636,1270,38161
3016,517,2864,745,1154,111,6378,851,553,3929,1718,2396,297,9735,26,19,151,95,242,24,563,36,22,220,369,1497,52,2192,43,20,186,135,769,244,1402,3066,1756,13160,7971,23143,1708,50801
3017,71,221,66,100,18,507,23,20,144,109,229,14,545,0,0,3,3,13,0,20,3,0,13,15,129,10,169,0,0,11,6,40,30,95,104,128,610,469,1877,202,3394
3018,86,360,80,114,17,775,51,43,277,135,209,18,732,0,3,9,9,28,0,57,3,3,21,32,158,12,221,0,0,17,13,58,25,115,234,201,1148,701,2473,196,4945
4000,716,3214,1296,1369,169,7294,439,420,2793,2541,3555,398,10142,18,18,113,125,283,52,607,42,40,204,286,2293,117,2975,36,36,210,249,1002,443,1972,1966,1950,12527,11023,34392,4193,66058
4001,4205,19247,6023,5524,764,44661,7939,4079,28980,13796,16991,2241,74026,386,182,1613,1014,1794,189,5185,665,347,2409,2367,10404,569,16763,662,182,2238,1445,4234,1653,10416,35690,16128,117100,63546,135810,14039,382315
4002,90,407,146,191,21,934,77,53,402,246,491,61,1338,0,4,4,10,32,3,53,0,3,21,34,322,9,394,0,3,12,14,124,36,196,247,212,1320,1019,4252,343,7398
4003,22,128,64,85,9,319,23,26,126,152,313,25,666,0,0,0,4,31,0,44,7,3,7,16,143,3,181,3,0,9,9,67,25,123,90,79,548,549,2121,279,3664
4004,26,181,50,92,7,385,32,33,180,102,168,31,538,0,0,3,0,9,0,13,0,0,3,10,95,9,125,0,0,8,3,44,18,77,94,95,543,400,1699,155,2984
4005,44,241,64,101,10,499,29,36,210,131,241,30,676,0,0,0,0,11,3,26,4,0,16,28,163,10,215,7,0,20,19,58,31,127,110,126,800,572,2212,277,4096
4006,34,150,47,85,3,344,16,19,160,145,285,24,651,0,0,5,4,14,3,21,4,3,5,13,90,5,128,3,0,0,4,28,14,54,80,75,473,428,1661,134,2855
4007,64,246,122,98,13,588,49,48,316,235,416,35,1093,6,0,7,11,19,10,52,3,8,28,27,174,4,248,8,5,14,14,66,28,132,180,196,1002,883,2491,263,5013
4008,36,306,87,130,8,611,32,32,314,195,310,31,912,0,0,10,5,28,4,44,3,0,5,20,153,5,189,0,0,12,14,91,27,146,160,103,1005,670,2849,221,5006
5000,895,3266,1075,1857,296,7835,357,353,2353,1607,2349,423,7449,30,15,221,157,414,53,892,47,30,218,299,2331,139,3070,71,36,322,354,1576,505,2870,2233,2152,14958,11217,40065,4690,75314
5001,158,476,209,262,36,1212,112,82,474,365,469,48,1542,14,0,36,22,62,4,141,7,5,36,75,343,27,494,3,3,29,32,179,72,320,342,339,1824,1596,4498,473,9063
5002,66,262,78,133,12,610,81,83,347,175,185,27,895,3,4,28,14,32,5,88,11,5,32,25,140,10,220,0,3,33,34,111,27,211,266,210,1267,837,1966,230,4774
5003,308,1031,320,563,61,2429,206,165,1123,629,977,119,3221,6,8,48,37,112,11,214,23,13,113,123,699,29,1000,15,9,93,107,398,103,727,745,710,4292,3176,10622,916,20465
5004,145,490,157,224,25,1100,80,73,471,285,448,50,1410,4,0,36,35,56,4,136,4,5,37,54,290,23,414,8,6,45,63,196,58,373,326,370,2356,1675,5082,484,10295
5005,49,183,56,98,11,422,16,27,107,79,128,30,386,0,0,5,4,14,0,33,0,0,14,21,159,3,202,5,0,13,10,57,33,116,71,113,552,477,1720,213,3147
5006,153,568,162,315,42,1323,88,90,540,375,437,66,1599,4,0,32,9,41,3,92,11,9,24,66,395,15,522,3,6,33,46,243,61,392,318,369,1904,1596,5280,462,9933
5007,104,399,98,177,25,882,85,48,331,167,228,46,903,3,0,15,14,50,3,86,14,3,32,48,418,13,529,8,0,16,31,168,70,295,407,236,1721,1203,4725,437,8728
5008,66,268,52,95,10,518,40,23,131,69,81,11,353,0,3,6,12,11,0,38,3,0,20,31,162,10,224,16,0,42,33,199,48,328,236,154,1180,807,2849,285,5508
5009,8486,29022,8336,10548,1663,68872,9239,4964,37641,17026,18673,3334,90880,709,370,3306,1692,3030,378,9476,1082,469,4123,4077,16030,814,26592,1731,476,6025,3906,10026,3120,25281,54577,26257,196386,101315,209969,24398,612906
5010,40,160,39,78,8,352,33,42,168,108,107,24,480,0,0,4,5,26,0,41,5,4,14,29,148,8,203,3,3,23,18,90,33,167,160,149,840,688,2504,250,4581
5011,34,89,54,79,5,288,17,13,109,142,148,9,436,0,0,6,11,23,3,40,4,3,15,26,109,7,162,0,0,18,14,77,23,136,80,80,477,591,1721,152,3097
6000,263,1601,476,816,104,3729,333,272,1473,1231,2068,240,5600,52,14,140,117,280,30,636,26,15,105,142,1232,67,1590,28,13,123,132,687,307,1289,1559,1051,6801,5534,19232,2343,36519
6001,49,314,93,166,22,707,83,61,315,282,500,56,1293,0,0,4,3,16,0,23,0,5,17,34,227,9,293,4,0,14,14,104,36,180,235,185,1074,905,3448,300,6154
6002,56,356,113,160,7,751,44,56,279,296,523,57,1253,0,0,9,12,40,4,71,7,5,19,41,275,8,359,3,0,22,22,125,44,217,187,187,1152,1089,3918,349,6888
6003,694,3467,763,1049,139,8038,1108,740,3848,1829,3062,382,10966,165,83,485,166,392,38,1331,134,64,351,310,1502,84,2445,98,23,284,143,660,264,1478,6188,3139,17800,8623,22383,2260,60398
6004,201,1640,326,541,77,3328,393,293,1692,828,1349,174,4723,13,13,90,59,164,21,356,24,14,97,115,713,27,997,22,6,92,69,297,118,607,1463,847,6186,3294,9949,925,22671
6005,36,260,62,98,10,499,35,17,162,141,239,34,623,0,3,9,4,18,3,35,7,3,12,21,137,0,185,0,0,8,12,66,17,103,140,115,699,509,1890,143,3493
7000,216,852,249,554,121,2238,133,121,543,348,595,164,1900,18,11,86,36,123,33,309,29,21,78,64,569,107,861,18,11,84,57,349,249,779,728,618,3090,2339,7696,1373,15845
7001,132,421,107,197,27,1066,235,163,708,332,355,62,1856,18,10,50,17,66,12,177,31,13,89,54,199,6,399,17,5,51,31,125,47,277,813,487,2399,1409,3183,405,8693
7002,568,1739,484,738,87,4414,658,363,2240,872,1001,168,5298,77,20,222,159,283,31,789,76,27,225,202,925,73,1526,82,30,289,212,798,328,1732,3872,2003,12187,6859,17554,1938,44424
8000,3,19,7,13,0,64,9,3,15,11,14,0,49,3,0,6,3,12,0,21,0,0,0,0,14,0,12,0,0,0,3,8,3,18,66,24,140,92,174,18,508
8001,1951,7074,1675,1864,241,17825,2888,1317,7629,3262,3498,542,19127,352,174,947,347,557,55,2424,448,165,1045,803,2425,133,5014,463,97,976,490,1081,549,3652,29001,11084,57422,24052,36473,4195,162222
9000,18,52,18,26,11,130,8,5,30,20,24,3,83,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,55,62,45,258,227,632,125,1353
