SUA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1000,85167,6727,4783,1235,154,93,1048,99210
1001,7826,693,482,71,9,6,51,9128
1002,1778,131,86,23,0,4,21,2039
1003,1934,157,84,20,3,3,8,2205
1004,972,97,63,14,3,3,15,1167
1005,3051,273,201,33,6,8,23,3585
1006,3437,282,177,37,0,4,28,3965
1007,1211,122,108,12,8,0,14,1484
1008,1204,106,59,20,4,0,15,1411
1009,29901,2858,1843,371,62,36,258,35334
1010,5622,531,323,96,8,4,49,6642
1011,3142,247,198,45,6,4,38,3692
1012,1103,133,65,12,4,0,24,1344
1013,1859,190,144,18,5,3,12,2239
1014,1319,125,116,38,7,3,23,1620
1015,1914,102,65,26,0,3,23,2138
1016,904,100,76,24,5,4,21,1130
1017,2054,196,130,28,3,3,21,2435
1018,941,82,73,12,0,0,16,1130
1019,2060,226,137,30,5,3,24,2495
1020,1099,87,67,8,0,0,13,1275
1021,1067,99,79,13,0,0,18,1275
1022,2121,196,117,33,0,0,19,2483
1023,44298,3951,2442,560,103,44,382,51775
1024,2765,340,205,54,5,9,46,3430
1025,3501,295,214,32,6,7,35,4084
1026,940,66,74,13,3,0,13,1105
1027,3464,346,202,47,4,4,28,4093
1028,1675,155,102,18,3,0,8,1951
1029,1272,138,86,18,3,3,26,1545
1030,523725,26673,14207,7278,610,326,1784,574604
1031,3253,321,217,49,11,3,28,3882
1032,1774,188,141,40,4,5,34,2193
1033,1095,110,73,20,4,3,14,1309
1034,4948,360,290,49,12,7,34,5693
1035,29586,2249,1401,329,53,20,204,33842
2000,60586,4818,3054,535,87,48,474,69594
2001,2204,194,143,24,3,0,14,2597
2002,1134,103,67,11,5,3,11,1328
2003,8934,719,469,73,13,7,44,10255
2004,8300,717,467,59,17,5,54,9617
2005,1019,89,50,10,0,0,3,1180
2006,1765,154,79,12,0,0,10,2024
2007,24617,1848,995,162,24,8,116,27779
2008,2671,141,91,15,0,0,5,2924
2009,1375,115,109,14,3,0,16,1629
2010,493357,27726,13753,5600,519,244,1416,542609
2011,6154,541,377,97,18,11,39,7233
2012,4291,380,237,60,10,7,44,5027
2013,1227,123,104,19,0,0,10,1476
2014,854,88,61,3,0,0,12,1012
2015,1279,116,77,6,0,0,11,1494
2016,4538,325,222,61,8,3,31,5190
2017,909,72,41,16,0,0,3,1042
2018,3280,328,194,36,7,3,31,3883
2019,1518,123,92,20,3,0,17,1769
2020,3305,269,191,21,3,0,24,3815
2021,3063,214,147,17,3,0,18,3466
3000,63132,5388,3943,1063,194,93,763,74582
3001,223850,18768,11272,3069,435,215,1148,258753
3002,5234,576,370,57,11,12,51,6315
3003,12423,1163,627,194,35,14,95,14544
3004,1510,98,81,15,3,0,7,1714
3005,4553,397,311,44,3,3,25,5335
3006,57639,5533,3056,696,115,44,291,67382
3007,1502,159,151,20,4,3,9,1859
3008,3533,411,287,45,15,3,38,4325
3009,816,69,66,9,0,3,4,972
3010,7589,667,420,92,11,9,47,8840
3011,1923,200,146,36,5,3,16,2333
3012,1658,138,118,32,3,0,25,1985
3013,6920,614,461,107,17,10,58,8186
3014,28137,2601,1361,256,46,12,123,32535
3015,11979,942,693,141,16,13,85,13875
3016,15611,1544,1073,213,32,21,114,18601
3017,1211,114,89,18,4,0,9,1453
3018,1624,144,82,14,7,0,7,1875
4000,22685,1876,1262,248,32,16,214,26345
4001,128272,10300,5235,1328,190,81,557,145961
4002,2483,268,160,26,3,3,30,2964
4003,1317,132,101,18,7,0,15,1592
4004,1011,84,71,19,8,3,13,1204
4005,1300,106,90,15,3,3,8,1527
4006,1049,99,78,12,3,0,15,1266
4007,1489,173,99,12,4,0,22,1809
4008,1685,179,145,18,6,0,34,2071
5000,23035,1782,1345,462,70,44,399,27134
5001,2814,249,176,31,3,0,22,3302
5002,1168,95,63,20,3,7,17,1372
5003,7037,635,448,97,17,10,56,8295
5004,3528,304,193,33,7,0,19,4084
5005,1037,111,67,12,3,0,13,1241
5006,3360,287,205,42,11,4,42,3940
5007,3079,230,214,48,9,8,18,3605
5008,1802,117,78,26,7,0,9,2048
5009,206897,14945,8335,2478,306,145,1014,234121
5010,1280,106,95,20,5,0,16,1522
5011,1262,111,83,13,3,3,6,1475
6000,12510,1297,871,133,23,12,125,14965
6001,2069,240,166,10,3,0,16,2505
6002,2253,311,176,21,8,4,32,2796
6003,17879,1859,1093,170,30,25,124,21180
6004,7182,701,469,59,12,4,50,8477
6005,1127,130,70,14,3,0,11,1363
7000,6041,488,301,579,71,51,233,7760
7001,2146,170,117,46,10,10,31,2530
7002,11560,1026,616,218,24,9,78,13528
8000,109,12,3,0,0,0,0,131
8001,46496,3309,1820,469,48,33,192,52370
9000,378,23,17,8,0,0,0,430
