SUA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1000,75,3,8,39,3,24,8,16,5,181,14,374,39,8,9,27,4,31,0,23,0,78,3,218,22,28,4,30,6,46,0,58,13,137,3,347,17,11,4,9,0,26,0,43,13,85,3,208,75,44,9,85,9,64,5,148,21,475,8,946,74,97,12,130,19,181,13,295,35,423,13,1296,148,194,18,225,19,442,28,460,59,966,27,2589,276,356,35,628,52,1081,52,719,125,1003,40,4368,594,625,74,1782,162,2012,103,774,164,1325,56,7677,1019,637,89,2901,249,1971,105,594,143,884,45,8646,1036,497,80,2950,284,1715,129,469,115,576,28,7880,1500,403,73,3087,320,1467,128,323,99,398,21,7825,3825,674,170,5622,611,2311,211,374,169,496,49,14508,3271,357,131,4096,454,801,149,145,56,217,26,9698,2504,189,76,2236,342,371,98,78,27,118,12,6057,1701,85,52,961,186,560,36,48,47,55,14,3743,3205,187,95,2349,283,636,90,103
1001,3,0,0,0,0,0,0,0,0,11,0,20,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,3,0,3,0,6,0,14,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,7,0,16,0,36,0,62,0,3,0,10,0,19,0,32,4,44,0,112,8,12,0,14,0,39,3,28,5,60,0,173,8,19,0,41,5,118,5,61,7,93,0,352,39,34,3,139,13,224,8,58,7,69,3,591,72,43,11,315,28,221,18,48,11,78,3,836,81,43,3,344,32,200,9,26,12,31,0,783,125,32,9,357,40,169,6,27,5,25,0,796,421,56,20,661,75,204,24,31,11,35,6,1547,380,31,5,476,79,82,12,7,3,18,0,1104,244,21,10,309,37,36,9,6,0,6,0,674,157,7,4,90,26,52,5,4,0,3,0,353,225,15,9,202,22,53,7,7
1002,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,15,0,20,0,0,0,0,0,3,0,3,0,17,0,31,0,0,0,3,0,11,0,12,0,27,0,55,3,8,0,12,3,27,0,13,0,21,0,81,9,8,0,23,0,46,0,25,3,22,0,143,25,10,0,48,4,37,3,4,3,24,0,161,29,10,0,79,4,32,3,13,3,7,0,177,23,7,3,66,6,28,4,6,0,7,0,147,78,8,0,110,13,53,5,4,0,11,0,288,70,7,0,88,8,16,4,3,0,3,0,205,61,4,7,61,8,7,0,4,0,9,0,155,56,0,0,23,0,24,0,0,0,0,0,103,90,6,0,49,3,17,0,0
1003,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,7,0,18,0,0,0,0,0,3,0,0,3,7,0,13,0,3,0,4,0,8,0,12,0,20,0,53,5,10,0,16,3,19,0,22,0,19,0,94,8,23,3,42,3,46,3,24,7,38,0,196,13,11,0,52,9,37,3,20,3,23,0,172,13,16,0,80,5,30,6,7,0,16,0,172,28,17,0,80,3,28,0,12,0,12,0,186,86,20,7,147,17,48,3,16,4,14,3,360,65,8,0,111,8,13,0,7,3,5,0,217,61,3,0,61,4,13,0,3,4,0,0,153,35,3,3,21,3,17,0,0,0,3,0,85,67,12,0,63,4,15,0,6
1004,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,15,0,0,0,0,0,4,0,5,0,9,0,22,3,0,0,3,0,9,0,19,0,17,0,49,0,4,0,5,0,9,0,14,0,15,0,48,9,13,0,31,3,19,5,17,3,31,3,123,17,18,0,48,3,32,3,13,3,19,0,157,9,9,0,36,3,16,0,6,0,16,0,98,27,4,3,43,7,23,0,3,0,7,0,115,44,7,0,47,8,25,0,6,0,9,0,151,37,3,0,47,3,6,0,3,0,7,0,109,20,0,3,16,3,3,0,5,0,3,0,52,13,0,0,3,0,6,0,0,0,0,0,21,19,0,0,19,3,3,0,0
1005,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,8,0,19,0,0,0,0,0,4,0,4,0,17,0,37,4,6,0,3,0,11,0,13,7,27,0,63,3,10,0,21,0,36,0,26,4,32,0,126,17,11,0,52,3,60,0,22,3,41,3,209,32,19,0,107,10,75,0,11,9,21,0,285,48,16,3,93,13,63,3,6,0,14,0,267,50,8,3,101,14,57,8,4,4,13,0,266,144,23,4,246,31,95,5,11,3,8,0,572,181,14,3,198,29,37,3,8,4,3,0,481,161,6,0,134,18,7,3,5,0,3,0,335,87,3,0,45,16,22,3,3,0,0,0,178,136,3,0,77,19,29,0,0
1006,3,0,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,4,0,13,0,22,3,5,0,0,0,3,0,13,0,5,3,28,0,3,0,9,0,17,0,6,0,18,0,48,3,12,0,11,0,29,0,18,0,26,0,104,10,19,0,57,0,79,5,19,3,30,3,213,21,21,0,92,4,77,3,23,3,25,4,269,35,14,3,115,8,79,3,16,3,27,0,294,49,17,3,128,16,67,3,3,3,21,0,311,149,36,8,264,30,120,3,17,3,27,0,661,118,14,4,221,20,40,4,7,3,11,3,438,113,8,0,119,6,17,3,6,0,5,0,284,73,7,0,51,5,47,0,10,0,3,0,199,158,8,4,173,22,50,9,3
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,3,0,0,0,3,0,6,4,11,0,23,0,0,0,3,0,3,0,13,0,16,0,34,3,3,0,4,0,13,0,13,3,34,0,75,10,3,0,21,3,26,0,23,3,29,0,113,13,3,0,23,0,30,3,10,0,18,0,95,7,0,3,41,5,24,0,3,0,7,0,98,20,7,0,42,6,39,0,4,7,15,0,132,43,6,3,64,11,33,3,3,3,6,0,181,53,0,0,66,11,15,3,3,0,0,0,157,53,8,0,33,7,4,0,3,0,0,0,111,33,0,0,17,3,5,0,0,0,0,0,64,59,3,0,32,7,9,4,0
1008,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,13,0,0,0,0,0,0,0,5,0,8,0,21,0,0,0,3,0,9,0,7,3,14,0,39,0,4,0,12,0,11,0,14,3,18,0,69,3,5,0,25,3,26,0,13,0,28,0,99,7,14,3,52,8,39,7,13,0,22,0,155,13,6,3,44,6,29,0,4,3,15,0,119,21,6,0,41,6,19,0,4,0,8,0,98,49,11,0,103,3,32,3,6,0,6,0,219,54,3,4,57,5,12,0,5,4,6,0,140,38,4,0,30,3,5,3,0,0,3,0,90,20,0,0,6,3,7,0,0,0,0,0,37,33,0,0,18,0,9,0,5
1009,13,0,0,3,0,5,0,3,4,57,0,88,4,0,5,8,0,7,0,10,0,22,0,54,0,3,0,3,0,9,0,18,3,35,0,70,0,0,0,3,0,8,0,15,3,24,0,47,3,3,0,12,4,19,0,28,3,113,0,177,3,14,0,17,0,46,0,72,7,105,6,272,23,35,0,37,7,110,14,107,17,213,3,562,28,81,6,130,17,328,23,196,19,271,6,1100,63,154,7,401,34,649,30,254,58,404,14,2072,176,179,16,848,76,787,25,239,54,317,8,2715,234,160,18,1011,76,838,30,155,42,262,6,2830,428,118,24,1126,102,741,30,121,44,189,7,2935,1168,219,51,2470,241,1129,75,171,63,228,11,5827,1215,135,40,1958,225,454,63,72,18,135,6,4326,1018,90,34,1129,128,182,27,49,19,60,5,2744,717,38,17,466,95,347,11,38,17,23,0,1772,1238,67,28,1143,137,353,16,45
