SUA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
1000,118738,234673,1881,10303,10411,48146,3463,15790,51976,208998,67732,283231,4182,16810,7446,23576,19853,61487,31477,101868,99210,385101,500,2294,2893,10428,1528,5571,16667,46806,21587,65099,1130,3467,3268,6929,13704,28921,18107,39312,39694,104411,3166,6639,260805,730822
1001,9068,17882,146,809,927,4295,226,1023,5325,20701,6617,26836,410,1697,712,2303,1386,4282,2509,8276,9128,35113,45,236,317,1129,152,530,1940,5283,2457,7177,122,372,395,845,1187,2488,1707,3706,4163,10881,292,607,22649,64481
1002,2153,4236,46,265,214,980,56,282,1177,4606,1491,6126,76,281,174,548,302,926,549,1758,2039,7884,17,71,82,281,34,132,450,1209,582,1690,25,73,104,210,286,610,410,898,993,2586,99,208,5283,14912
1003,3129,6210,24,120,235,1045,46,189,1215,4641,1518,5998,68,269,206,667,408,1250,684,2189,2205,8186,9,34,76,254,40,145,460,1181,584,1602,46,136,125,279,429,867,601,1288,1190,2896,76,171,6604,17461
1004,2336,4619,21,111,98,465,60,267,616,2478,790,3325,34,130,82,269,263,805,375,1199,1167,4528,11,47,56,200,30,99,316,918,411,1268,29,86,47,99,292,615,370,801,775,2062,51,94,4335,11310
1005,3177,6295,74,385,399,1860,94,455,2041,8107,2610,10817,133,549,260,853,583,1796,977,3196,3585,14012,21,112,131,483,54,199,776,2153,984,2946,53,172,150,325,464,981,664,1477,1650,4421,115,242,8532,24965
1006,4663,9212,73,424,387,1747,129,575,2094,8340,2683,11087,180,724,312,990,790,2462,1284,4172,3965,15258,21,97,127,470,62,214,493,1348,707,2135,66,194,147,335,572,1219,783,1747,1495,3884,95,197,10224,28553
1007,1921,3784,38,189,117,531,72,301,761,2906,988,3922,46,194,78,231,371,1133,494,1557,1484,5482,16,90,77,265,41,142,479,1294,610,1793,23,77,64,143,361,772,454,988,1059,2782,75,163,4536,12210
1008,2676,5307,19,116,177,785,56,234,677,2689,923,3820,52,215,117,357,323,975,488,1547,1411,5373,10,38,59,198,23,87,236,644,324,963,30,77,66,136,262,547,360,766,679,1734,38,86,4807,12495
1009,32635,65014,632,3503,3303,15366,1217,5575,18211,71683,23366,96123,1968,8169,2646,8926,7355,23200,11967,40299,35334,136416,226,1043,1129,3960,682,2446,6182,16964,8223,24411,695,2188,1449,3168,6283,13530,8430,18890,16651,43303,1180,2445,85800,247188
1010,7738,15362,95,537,669,3110,208,964,3608,14322,4589,18930,268,1106,504,1612,1278,3918,2050,6637,6642,25571,45,208,282,1026,134,488,1448,3961,1904,5677,118,375,295,643,1192,2532,1607,3555,3514,9235,194,403,18086,50570
1011,3437,6805,66,331,365,1702,96,412,2161,8539,2678,10987,155,604,247,745,618,1917,1010,3265,3692,14246,22,113,133,467,77,310,928,2700,1159,3590,65,202,145,312,537,1150,748,1657,1903,5246,167,345,9199,26650
1012,3097,6151,25,123,157,724,44,205,656,2529,877,3588,37,147,123,401,299,901,464,1456,1344,5044,6,42,75,265,40,139,401,1105,520,1552,27,79,79,180,420,854,521,1111,1046,2667,77,151,5554,14008
1013,2256,4491,39,229,200,935,90,402,1215,4754,1538,6316,104,419,131,427,464,1477,698,2321,2239,8638,12,72,75,256,50,205,486,1325,620,1847,31,85,106,232,409,842,545,1159,1171,3010,91,190,5756,16327
