SUA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
1000,0,42,83,312,195,135,63,30,17,866,0,0,3,15,45,57,70,37,11,238,0,0,3,19,10,23,47,10,11,128,26,213,326,1452,2576,3116,3741,1858,672,13984,0,7,18,112,64,79,34,11,9,339,3,24,24,117,75,67,48,24,15,398,4,19,57,286,275,421,766,259,135,2229,0,3,0,12,22,33,63,43,9,185,0,12,28,82,42,55,14,8,0,238,24,52,44,506,100,112,78,49,29,995,3,13,21,114,46,53,40,16,13,312,0,0,0,15,5,4,0,0,0,31,0,3,3,20,16,10,0,0,0,54,3,37,31,204,103,106,123,61,17,681,3,9,13,76,78,147,261,174,85,837,6,24,22,177,76,35,18,3,9,363,3,6,32,108,29,23,11,0,0,210,3,3,11,43,49,29,24,11,9,180,3,10,10,150,117,92,43,17,5,444,0,0,3,11,23,103,155,25,8,332
1001,0,3,10,62,17,9,4,4,0,111,0,0,0,3,6,15,22,27,12,86,0,0,0,0,0,0,3,0,0,13,6,27,40,100,154,167,181,119,52,845,0,0,3,16,8,5,0,0,0,27,0,0,0,0,10,4,3,0,0,26,0,4,3,19,20,46,100,56,38,273,0,0,0,0,0,3,9,12,5,34,0,0,3,9,0,8,3,0,0,26,12,31,23,282,24,15,9,8,3,406,0,0,0,11,4,0,0,0,0,20,0,0,0,14,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,0,11,10,3,7,5,3,53,0,0,0,3,4,11,18,19,17,66,0,0,0,15,0,0,0,0,0,15,0,0,4,22,0,0,0,0,0,29,0,0,0,3,0,3,0,0,0,10,0,0,4,21,13,8,3,3,0,54,0,0,0,0,0,3,3,3,0,11
1002,0,3,67,49,9,0,0,0,0,135,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,12,22,36,47,45,25,7,210,0,0,0,8,7,0,0,3,0,16,0,0,0,7,3,0,0,0,0,12,0,0,3,8,10,14,7,4,4,51,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,15,3,9,6,41,6,4,0,5,0,76,0,0,3,9,9,0,0,0,0,16,0,0,0,15,0,0,0,0,0,19,6,9,4,18,3,0,0,0,0,42,0,0,0,0,4,0,0,0,0,9,0,0,3,0,0,4,0,0,3,13,0,0,4,9,11,3,0,0,0,23,0,0,0,11,0,0,0,0,0,11,0,0,0,3,0,0,4,0,0,3,0,3,0,7,3,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,10,8,3,0,3,0,23,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,4,11,8,76,72,57,100,68,39,432,0,0,0,5,3,3,3,0,3,18,0,0,0,15,0,4,0,0,0,18,0,0,3,10,7,5,11,8,8,51,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,6,0,3,0,22,0,0,0,0,0,33,0,0,0,7,0,3,0,0,0,14,0,0,0,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,0,0,24,0,0,0,3,4,3,3,3,0,15,0,0,0,11,8,3,5,0,4,24,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,13,0,0,0,0,0,0,10,0,0,7
1004,0,0,0,7,3,0,0,0,0,6,0,0,0,0,0,5,11,15,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,20,48,104,145,77,41,441,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,3,0,3,0,15,0,0,0,0,3,8,33,13,8,60,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,3,0,0,0,9,0,0,0,10,0,0,3,0,0,12,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,3,0,18,0,0,0,0,3,6,8,5,0,24,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,12,0,0,0,0,0,0,6,0,0,12
1005,0,4,4,22,9,5,9,0,0,59,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,3,0,0,3,0,7,20,50,55,64,60,46,14,313,0,0,0,4,3,5,3,0,0,18,0,0,0,0,0,0,0,0,0,11,0,0,0,6,7,7,11,8,3,43,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,4,5,6,8,41,5,3,3,0,0,77,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,6,0,0,0,9,0,8,3,0,0,26,0,0,0,0,0,4,3,3,9,21,0,0,4,3,3,0,0,0,0,14,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,10,0,0,0,13,4,0,3,0,0,23,0,0,0,0,3,3,3,0,0,11
1006,0,8,35,17,15,8,6,7,0,96,0,0,0,0,3,3,8,0,0,14,0,0,0,0,0,0,4,0,3,13,0,26,28,82,162,223,283,168,69,1039,0,0,0,7,4,12,6,3,0,33,0,0,0,5,4,5,3,3,0,15,0,3,4,10,13,15,46,22,8,120,0,0,0,4,5,6,8,0,3,27,0,0,18,3,0,8,7,0,0,40,0,6,3,44,6,13,4,5,0,83,0,0,0,6,5,0,4,4,4,18,0,0,0,7,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,3,8,6,7,6,0,36,0,3,0,3,3,11,22,15,4,56,0,0,0,6,3,0,3,0,0,19,0,0,0,3,3,4,0,0,0,17,0,0,0,3,4,3,3,0,0,9,0,0,0,4,4,4,0,0,0,18,0,0,0,0,0,5,9,3,0,19
1007,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,18,15,10,5,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,10,8,0,23,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,16,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,16,3,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,13
1008,0,0,0,5,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,56,61,131,72,19,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,3,7,9,18,7,3,45,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,16,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,13,0,0,0,0,3,3,0,0,0,7,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,11
1009,3,36,40,341,193,155,89,43,14,910,0,0,0,10,22,29,22,22,3,109,0,0,4,14,10,28,59,29,15,161,26,282,268,994,1283,1438,1601,1121,510,7521,0,0,7,63,46,41,27,18,3,214,0,7,7,47,26,25,21,14,6,150,0,10,10,83,73,92,215,88,73,640,0,3,0,8,6,27,46,38,12,137,0,3,11,34,20,42,12,4,3,143,13,46,25,347,57,55,64,30,16,644,3,8,14,94,40,26,31,11,5,223,0,0,4,28,15,4,3,3,0,60,0,0,0,14,5,4,3,0,0,26,4,36,8,108,76,83,102,61,25,496,0,0,0,17,33,65,109,74,36,337,5,15,3,83,45,28,15,3,3,196,7,17,31,152,42,40,16,3,0,309,0,3,0,18,19,11,14,4,3,74,0,3,11,57,52,49,38,7,3,222,0,0,0,6,14,69,125,59,18,285
