SUA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1000,2895,4163,7053,116179,124484,240669,13,3,20,5676,5978,11649,433,473,907,114718,119365,234083,215,279,489,1688,1563,3248,1731,2154,3885,606,676,1283,2222,2537,4754,114,82,195,1279,1290,2569,3176,3833,7010,19673,19972,39642,1390,1678,3065,1621,1949,3571,21573,24728,46302,9077,10089,19163,487,529,1015,301862,321653,623517,1098,953,2049,1114,828,1945,415,418,831,225,207,435,437,394,829,1153,1709,2864,1816,2312,4127,132656,115006,247660,1228,1014,2245,730,1148,1880,134615,117170,251789,60345,53421,113767,504158,500923,1005080
1001,351,470,820,6554,7952,14504,0,0,0,534,650,1188,57,68,123,10534,11861,22399,33,39,75,227,246,479,167,243,407,48,59,112,749,949,1692,17,19,36,97,129,226,450,540,988,1289,1529,2819,113,150,261,122,134,258,1538,2263,3805,937,1128,2066,24,35,54,23502,27992,51497,610,597,1203,219,153,371,22,21,39,14,12,28,194,167,361,111,143,258,322,318,645,13877,12078,25958,146,120,271,28,66,100,14054,12275,26326,4167,3939,8103,43251,45759,89007
1002,123,164,290,2135,2714,4850,0,0,0,123,148,275,66,68,141,2184,2485,4666,20,35,54,38,36,71,35,40,76,20,28,50,25,34,62,0,3,3,24,29,57,67,110,181,415,508,927,43,56,102,62,76,135,269,422,687,231,233,465,12,11,25,5784,7031,12812,128,149,282,257,210,463,14,3,17,7,6,19,27,16,41,45,44,88,82,65,149,3519,3278,6797,49,38,83,19,24,37,3582,3336,6919,1170,1250,2418,11142,12209,23352
1003,123,199,318,2178,2682,4863,0,0,0,93,98,188,0,0,0,2619,3085,5704,3,4,6,33,31,62,61,62,121,4,3,8,34,41,72,5,0,5,35,45,74,109,150,257,487,604,1089,19,37,55,37,39,78,400,524,925,173,244,413,9,17,25,6290,7659,13954,32,31,61,18,14,31,11,7,22,4,4,7,20,20,36,38,58,99,59,84,139,3926,3564,7490,52,36,88,16,49,69,3997,3649,7642,1294,1384,2678,11825,13026,24852
1004,46,72,120,1692,2072,3765,0,0,0,82,87,171,0,0,0,1756,1964,3716,6,4,7,64,48,109,60,79,139,6,6,16,34,43,75,8,3,9,15,30,48,67,72,138,221,248,470,32,33,65,4,9,17,238,323,565,138,156,297,7,0,8,4431,5181,9611,14,21,31,18,7,29,0,7,7,4,3,7,6,6,11,21,26,48,27,36,70,2334,2104,4436,19,13,39,22,24,47,2378,2138,4519,849,808,1661,7765,8277,16044
1005,115,164,273,2995,3577,6576,0,0,0,210,233,447,92,81,166,5236,5842,11079,10,24,35,66,58,126,56,58,113,30,25,50,35,31,66,8,7,14,62,64,133,102,122,224,667,739,1408,47,49,103,27,43,67,582,699,1287,230,272,504,14,7,17,10473,11939,22413,98,87,182,98,72,173,8,9,16,6,10,18,36,28,59,37,48,79,81,87,161,4280,3691,7964,52,37,86,15,20,34,4342,3746,8085,2158,1553,3712,17362,17651,35020
1006,145,180,329,4320,5242,9561,0,0,0,188,216,399,83,76,161,4027,4644,8672,17,30,49,148,154,303,101,121,229,23,23,44,45,53,98,4,3,5,43,52,95,132,159,288,509,635,1148,22,21,50,33,38,75,626,837,1462,417,513,926,40,40,76,10767,12869,23639,156,141,295,44,37,77,41,51,90,0,0,0,18,17,36,34,72,105,57,86,144,4959,4650,9603,70,50,116,35,56,92,5059,4747,9809,1672,1716,3390,17940,19837,37777
1007,43,51,90,1029,1151,2176,0,0,0,92,109,197,0,0,0,1916,2184,4099,14,14,30,27,26,54,9,17,28,18,31,49,65,100,168,6,9,11,64,101,166,35,48,81,79,102,178,72,119,190,13,15,30,671,965,1636,146,149,293,0,7,5,4264,5140,9402,24,17,45,25,12,40,7,3,8,8,7,11,3,3,5,17,19,36,21,20,45,3289,2936,6224,24,16,37,3,13,16,3315,2968,6281,917,877,1790,8615,9091,17708
1008,29,66,98,2243,2540,4782,0,0,0,129,163,288,0,3,3,1650,1916,3568,4,6,7,11,14,29,25,26,48,11,12,30,28,27,56,0,0,0,34,27,56,33,38,76,289,296,585,19,21,38,15,18,36,391,532,921,134,177,309,3,3,5,5025,5818,10844,18,11,28,3,7,11,0,0,3,0,3,3,0,0,3,17,27,43,18,28,47,2314,1928,4247,19,17,41,6,21,27,2350,1968,4319,720,680,1402,8160,8580,16746
1009,1240,1868,3107,32992,39138,72129,11,12,26,2475,2898,5372,110,128,239,37042,42210,79250,182,242,425,1008,1005,2009,562,758,1326,363,394,758,325,406,727,114,87,201,1419,1571,2991,1529,1890,3418,3905,4574,8483,369,501,864,633,742,1375,4462,5825,10291,3172,3698,6871,154,188,343,90833,106261,197096,580,579,1156,531,469,996,146,196,347,50,33,78,132,111,236,336,506,849,515,647,1169,47098,41228,88326,501,372,877,238,366,604,47842,41968,89812,12929,13074,26004,154615,165064,319676
1010,292,433,726,6107,7220,13324,0,0,0,534,618,1154,0,6,10,6253,7184,13438,25,32,54,79,109,186,191,243,438,45,59,99,80,105,189,14,14,26,91,148,244,494,608,1103,1174,1386,2564,72,112,180,93,116,205,959,1286,2240,762,990,1754,39,44,84,17025,20260,37280,120,107,227,239,222,468,29,19,49,14,19,32,679,615,1291,81,142,227,774,774,1552,10999,10040,21040,111,85,199,59,98,161,11176,10222,21394,3399,3398,6793,33052,35434,68486
1011,118,160,275,3788,4438,8228,0,0,3,282,318,598,0,3,3,5055,5910,10964,12,17,35,67,73,145,36,43,81,9,11,17,48,65,119,18,15,33,44,39,74,176,214,386,705,763,1465,58,72,135,43,59,105,804,1063,1870,326,369,697,6,3,6,11483,13485,24969,225,226,446,129,102,235,6,6,15,12,21,32,47,32,80,30,39,67,86,92,178,3531,3080,6614,34,29,63,13,21,38,3579,3140,6717,1650,1605,3249,17283,18810,36092
1012,58,92,146,2699,3233,5932,0,0,0,143,190,328,0,0,0,2130,2446,4578,18,21,43,32,27,55,66,94,165,11,25,33,20,30,48,6,3,7,67,95,164,49,78,126,353,422,772,41,34,79,16,16,38,396,585,974,124,170,301,4,3,9,6171,7462,13628,17,18,29,14,10,20,4,6,7,4,0,9,8,9,15,4,12,19,17,18,38,2491,2127,4622,19,23,38,11,25,33,2520,2174,4692,921,966,1887,9719,10738,20455
1013,77,100,183,2693,3091,5788,0,0,0,130,154,285,64,61,123,3090,3472,6568,0,4,4,75,61,136,14,39,53,16,17,27,22,23,40,3,5,10,23,16,42,47,48,101,223,249,475,26,44,65,34,42,73,411,473,889,163,168,332,6,7,17,7051,7973,15029,54,48,110,41,41,87,3,0,4,0,0,0,23,22,41,29,31,61,51,52,102,2532,2215,4742,29,31,64,16,21,30,2573,2265,4835,1584,958,2542,11447,11441,22890
1014,40,52,97,2295,2755,5049,0,0,0,141,141,282,0,4,4,1858,2093,3947,3,0,3,16,17,30,58,75,131,21,23,45,18,14,30,0,0,7,14,21,34,48,68,121,483,583,1066,46,60,113,15,27,45,264,360,619,161,172,331,0,4,7,5437,6414,11854,22,21,38,13,12,23,3,3,4,6,3,11,13,10,23,12,39,49,31,51,80,2408,2172,4579,30,14,40,15,17,28,2448,2203,4645,1076,851,1927,9073,9604,18668
1015,35,68,101,1137,1278,2419,0,0,0,59,81,137,36,35,68,3448,3715,7159,0,0,0,15,14,29,29,44,74,52,45,88,35,41,80,11,4,16,68,78,146,99,119,224,267,298,568,23,23,39,108,101,212,450,563,1008,148,159,307,0,6,7,5991,6604,12595,244,216,464,308,195,502,0,3,5,0,0,3,351,304,658,16,17,28,370,320,691,1449,1263,2717,5,9,14,3,7,10,1461,1283,2745,1026,1015,2046,9439,9703,19144
1016,31,42,73,1367,1697,3069,0,0,0,55,64,121,0,0,0,1653,1814,3461,3,3,4,12,16,27,44,64,110,3,6,6,3,6,4,0,0,0,21,27,45,71,85,158,192,191,383,49,73,122,138,175,314,409,473,884,104,115,214,0,0,0,4128,4810,8933,12,11,23,9,11,20,0,0,0,3,10,12,5,0,6,6,19,29,18,27,50,1796,1618,3411,13,8,22,3,9,13,1810,1635,3443,1306,911,2218,7310,7443,14754
1017,133,189,320,1926,2323,4253,0,0,0,117,151,268,0,0,0,2949,3412,6356,10,16,30,19,17,37,59,91,144,16,31,51,25,31,54,0,4,4,43,37,81,163,186,346,648,743,1386,43,47,91,95,108,203,594,764,1357,332,421,754,59,58,120,7090,8445,15537,39,36,74,49,40,88,4,12,16,3,18,19,8,11,20,85,165,252,98,192,296,4503,4231,8728,68,50,121,41,82,117,4612,4361,8971,1550,1561,3109,13578,14835,28407
