SUA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1000,1419,1728,1016,659,887,224,63,5994,1876,2406,1408,919,1097,250,71,8017,2246,2411,1352,813,1112,230,92,8250,34274,39417,22903,14177,17941,3414,965,133094,277,355,217,135,118,17,3,1129,40090,46328,26894,16698,21151,4137,1198,156489,111,211,196,146,201,46,12,927,508,760,530,376,482,95,36,2786,211,429,351,256,358,88,25,1716,8053,10811,6767,4589,5494,870,212,36797,446,457,274,205,167,22,9,1582,9324,12669,8119,5574,6703,1127,296,43804,49414,58993,35008,22273,27853,5255,1497,200291
1001,442,357,177,106,153,67,31,1331,200,223,121,64,110,25,6,747,219,191,96,63,86,20,8,675,3610,3241,1824,1165,1593,386,96,11912,11,10,20,11,6,0,0,59,4482,4021,2227,1410,1941,495,142,14726,35,37,29,24,26,20,12,179,66,60,62,46,47,13,8,302,34,36,39,25,24,3,6,157,881,1233,736,501,604,130,39,4118,40,35,25,16,9,3,0,133,1046,1407,888,609,710,173,54,4891,5532,5434,3119,2019,2652,665,198,19615
1002,173,145,68,43,61,15,0,507,53,70,41,15,35,9,4,222,48,42,30,20,27,6,4,185,653,660,428,272,334,75,14,2435,7,7,10,0,0,0,0,21,932,927,570,347,453,114,24,3360,12,21,10,13,11,5,0,68,18,15,19,19,14,3,3,93,9,8,12,6,15,0,0,49,200,239,166,117,145,30,12,904,14,11,3,4,0,0,0,39,251,295,208,160,182,37,14,1144,1185,1221,781,504,635,149,38,4513
1003,61,73,39,20,24,3,0,227,88,96,33,30,35,8,3,288,123,92,38,27,33,5,3,318,640,660,373,277,374,90,25,2438,0,4,0,0,0,0,0,9,915,921,479,359,468,103,27,3279,3,7,9,7,7,0,0,39,15,35,24,20,21,10,0,124,12,23,11,12,9,3,4,76,119,229,148,134,160,36,10,835,7,4,7,5,3,0,0,37,156,302,199,177,205,57,17,1107,1073,1221,678,533,677,160,45,4383
1004,22,22,14,12,11,3,0,78,23,29,17,10,23,3,0,105,27,28,20,14,17,3,0,102,393,470,262,153,173,40,3,1495,3,6,0,0,0,0,0,13,474,552,314,192,224,46,4,1801,0,0,8,3,4,0,0,20,6,20,14,8,15,0,0,66,4,10,11,6,8,3,0,39,153,218,129,93,100,20,0,701,3,11,4,3,3,0,0,30,169,263,164,112,126,19,3,856,642,813,476,301,349,73,9,2659
1005,96,103,61,43,64,20,3,392,83,84,44,34,38,12,6,295,79,93,41,32,34,13,6,297,1369,1429,810,486,645,135,40,4915,9,9,4,0,0,0,0,22,1635,1709,964,591,779,182,54,5923,8,10,10,7,13,3,0,53,19,35,11,17,26,3,4,112,13,14,12,14,20,4,0,74,404,492,314,203,239,62,13,1730,26,20,12,3,8,0,0,61,462,563,361,242,301,74,21,2025,2096,2272,1324,834,1080,262,77,7951
1006,104,97,63,57,59,22,8,417,125,165,97,61,90,24,3,569,123,150,63,58,60,14,3,475,1195,1376,759,489,591,130,44,4593,11,13,5,3,0,0,0,33,1551,1807,989,669,800,195,64,6078,3,8,10,17,17,9,0,66,28,47,33,34,61,12,0,213,12,28,24,20,37,3,4,122,201,276,197,147,200,49,11,1078,7,11,0,3,8,0,0,29,255,360,271,215,314,76,23,1508,1809,2171,1256,885,1119,268,85,7586
1007,26,28,8,3,4,3,0,68,11,11,4,6,4,0,0,44,29,25,14,5,9,0,0,77,488,549,307,196,230,36,7,1807,3,3,3,3,3,0,0,12,558,619,333,213,255,38,7,2016,0,0,0,0,0,0,0,3,12,14,5,4,0,0,0,36,0,0,0,0,0,0,0,11,279,283,178,138,163,20,3,1055,20,16,4,8,4,0,0,52,312,316,189,148,171,23,0,1163,866,934,521,358,425,62,7,3170
1008,13,20,6,9,14,3,0,65,16,33,21,17,25,10,0,123,28,32,21,13,19,5,0,123,431,508,281,247,266,63,7,1800,0,0,4,0,0,0,0,8,492,593,331,295,318,72,13,2115,0,0,0,0,0,0,0,3,4,12,8,8,4,3,0,39,3,4,7,4,8,0,0,38,98,147,116,68,115,21,0,561,5,5,4,3,0,3,0,23,111,167,143,83,128,21,4,671,608,764,473,377,448,100,15,2787
1009,1268,1409,803,529,672,322,153,5155,1314,1472,833,521,690,263,119,5211,1187,1252,682,401,521,204,88,4341,10463,10576,6082,3753,4881,1652,750,38156,71,93,58,36,39,9,3,308,14306,14804,8460,5245,6805,2446,1115,53178,67,189,151,122,174,67,41,805,320,456,309,217,291,100,31,1733,160,284,201,139,203,49,28,1069,2626,3471,2233,1505,2004,513,229,12577,130,127,89,42,57,7,0,454,3312,4527,2981,2023,2722,739,333,16639,17617,19330,11439,7265,9529,3187,1450,69819
