SUA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
1000,30320,1329,57,31698,235,57,0,4,300,84,10,92,396,60,0,452,506,121,11,28,667,34,18,55,720,49,6,773,744,181,14,34,964,120,24,151,1114,112,6,1234,26044,3629,573,574,30823,485,125,616,31432,1434,64,32931,6904,1166,227,244,8539,414,71,492,9030,1777,38,10841,94,20,3,21,138,0,0,0,141,21,131,282,33043,4815,808,834,39497,908,196,1104,40604,3227,229,44057,6654,735,105,65,7556,85,20,102,7663,407,3,8077,8488,1354,154,100,10098,145,32,177,10267,439,15,10724,270,59,86,3,419,0,0,0,425,21,0,449,119,13,5,157,294,9,0,9,305,33,3,341,15523,2169,350,327,18374,240,51,292,18659,901,25,19584,133,31,3,7,171,65,3,68,235,35,0,277,244,48,9,15,312,24,12,34,350,25,0,376,374,80,10,20,488,90,12,102,587,67,0,658,15902,2247,362,347,18861,331,63,395,19253,964,25,20244,2979,579,118,98
1001,2687,100,3,2792,22,3,0,0,30,0,0,0,35,9,0,39,58,9,0,0,67,5,3,9,73,10,0,79,83,9,0,0,99,5,3,11,102,17,0,119,2363,298,51,39,2751,30,6,42,2795,112,3,2911,627,81,18,22,749,30,0,34,778,123,4,910,0,0,0,0,0,0,0,0,0,0,10,12,2990,378,68,59,3500,63,13,75,3571,239,17,3829,543,50,22,4,612,4,3,8,621,36,0,658,789,74,10,7,879,7,0,8,889,24,0,918,26,10,8,0,43,0,0,0,40,3,0,45,8,0,0,7,16,0,0,0,16,0,0,16,1368,129,36,23,1554,14,7,20,1570,63,0,1636,14,3,0,0,15,3,0,3,19,3,0,23,21,0,0,0,25,0,0,0,27,0,0,29,35,3,0,0,38,3,0,3,43,4,0,54,1396,134,33,23,1591,23,7,21,1617,68,0,1687,261,45,9,7
1002,587,37,0,625,0,4,0,0,9,3,0,3,7,3,0,11,0,0,0,0,3,0,0,0,5,0,0,5,9,4,0,0,13,8,0,8,15,3,0,17,511,60,15,4,592,7,0,9,601,40,0,644,134,23,3,6,165,3,3,7,169,68,0,232,0,0,0,0,0,0,0,0,0,0,3,3,646,81,18,8,756,15,3,16,773,103,3,881,156,20,0,0,181,4,0,3,185,11,0,195,163,31,0,3,192,0,0,0,197,7,0,203,5,3,0,0,10,0,0,0,10,0,0,10,5,0,0,0,7,0,0,0,7,0,0,7,328,52,3,3,394,7,0,7,400,12,0,412,3,0,0,0,0,3,0,3,7,0,0,6,3,0,0,3,8,0,0,0,7,0,0,7,3,0,0,3,8,3,0,3,9,0,0,16,335,53,3,6,397,9,0,10,406,12,0,426,74,5,0,6
1003,645,20,0,664,0,0,0,0,3,0,0,0,5,0,0,5,8,3,0,0,14,0,0,3,19,0,0,19,11,4,0,0,19,4,0,3,22,0,0,22,518,100,13,15,648,16,4,21,660,20,0,683,112,27,7,5,148,11,0,11,156,26,0,178,0,0,0,0,0,0,0,0,0,0,6,6,629,124,19,19,793,22,4,25,819,39,6,867,123,16,3,3,145,0,0,0,143,6,0,147,148,31,3,0,183,0,3,3,191,8,0,196,3,0,3,0,7,0,0,0,7,0,0,7,0,0,0,3,4,0,0,0,4,0,0,4,271,50,7,5,340,3,3,3,340,12,0,354,4,0,0,0,4,0,0,0,4,0,0,4,3,5,0,0,8,0,0,0,10,0,0,10,12,5,0,0,13,0,0,0,14,0,0,14,283,55,7,5,349,5,3,8,356,12,0,370,38,10,0,0
1004,329,23,0,353,5,0,0,0,5,0,0,0,5,3,0,9,8,0,0,0,10,0,0,0,14,0,0,14,13,0,0,0,14,5,0,5,15,3,0,17,262,71,7,0,337,5,5,6,343,26,0,374,83,19,0,7,104,13,3,16,122,23,8,153,0,0,0,0,0,0,0,0,0,0,0,0,339,87,13,9,443,20,8,23,467,50,9,526,72,6,3,0,80,3,0,4,81,5,0,88,78,29,3,0,106,3,0,3,115,9,0,128,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,155,36,3,0,199,4,3,10,202,20,0,226,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,8,3,0,3,8,0,0,11,159,37,3,0,205,6,3,9,210,21,0,228,36,13,0,3
1005,1177,46,0,1222,10,0,0,0,10,0,0,0,12,3,0,15,19,0,0,0,25,3,0,3,26,0,0,28,34,0,0,0,38,3,0,3,42,0,0,43,1064,103,22,7,1198,12,0,16,1217,50,0,1267,242,36,3,8,291,16,0,15,308,61,0,366,0,0,0,0,0,0,0,0,0,0,5,5,1305,136,30,17,1489,32,3,34,1518,111,6,1636,310,31,5,4,348,3,0,3,346,15,0,361,290,30,3,3,325,0,0,5,332,9,0,339,18,0,8,0,22,0,0,0,22,0,0,27,4,0,0,3,9,0,0,0,9,0,0,9,617,62,11,8,706,7,0,3,709,27,0,737,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,10,0,0,17,19,0,0,0,19,0,0,0,20,0,0,22,637,62,11,8,720,7,3,9,728,29,0,758,97,12,3,3
1006,1237,40,4,1277,3,0,0,0,6,0,0,0,8,0,0,11,25,0,0,3,34,0,0,0,29,0,0,32,31,3,0,3,34,3,0,3,40,3,0,43,1108,124,19,13,1262,8,4,7,1274,40,4,1322,311,42,3,7,359,3,0,3,364,39,3,403,0,0,0,0,0,0,0,0,0,0,0,0,1418,160,24,22,1626,9,4,8,1635,79,5,1721,220,22,3,0,244,3,0,0,244,14,0,255,359,55,10,3,428,4,0,4,426,7,0,433,11,0,4,0,11,0,0,0,11,0,0,18,4,0,0,3,10,0,0,0,10,0,0,10,593,72,13,8,687,5,0,7,698,18,0,717,4,0,0,0,7,0,0,0,7,0,0,7,13,0,0,0,14,0,0,0,14,0,0,23,19,3,0,0,20,0,0,0,20,0,0,24,615,77,13,8,710,5,0,7,714,22,0,737,150,17,0,3
1007,369,25,0,395,4,0,0,0,4,5,0,5,9,0,0,9,12,0,0,0,8,0,0,0,14,0,0,14,13,0,0,0,13,9,0,9,18,0,0,18,329,20,3,12,365,14,3,23,391,25,0,411,76,14,8,10,104,8,3,10,116,37,0,149,0,0,0,0,0,0,0,0,0,0,3,3,398,40,7,22,469,25,6,34,501,63,3,572,93,4,4,0,106,7,0,7,111,7,0,116,83,3,3,4,98,3,0,3,100,8,0,105,5,0,0,0,5,0,0,0,7,0,0,11,0,0,0,3,3,0,0,0,7,0,0,3,186,9,7,4,209,6,0,12,224,16,0,240,5,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,8,0,0,0,8,0,0,8,194,15,7,4,216,6,0,12,233,16,0,248,34,3,0,0
1008,370,19,0,387,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,11,0,0,0,15,0,0,15,8,3,0,0,11,3,0,3,12,0,0,12,317,54,9,7,382,5,0,5,386,19,0,401,92,16,4,0,114,3,3,7,127,30,0,155,0,0,0,0,3,0,0,0,3,0,0,3,411,65,8,11,496,12,3,16,510,50,0,559,86,17,0,0,102,3,0,3,104,11,0,116,99,19,0,0,117,0,0,0,119,7,0,124,0,8,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,183,41,3,0,229,3,0,3,235,17,0,247,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,4,7,0,0,0,7,0,0,0,7,3,0,6,191,41,3,0,234,3,0,3,240,14,0,251,34,12,0,0
1009,9604,424,15,10038,80,14,0,0,99,14,0,12,109,19,0,130,320,37,8,6,363,23,0,18,388,16,0,402,397,50,7,3,461,33,0,37,496,31,0,526,8596,981,177,142,9895,165,45,209,10104,449,15,10566,2558,325,80,72,3032,99,13,112,3142,399,7,3546,16,4,0,10,35,0,0,0,35,3,20,54,11173,1311,259,217,12957,259,58,319,13273,852,41,14166,1797,234,24,15,2075,29,7,38,2109,123,0,2238,3030,318,45,22,3408,39,16,49,3463,121,4,3587,82,10,25,0,118,3,4,7,128,6,0,133,27,3,0,23,55,0,0,0,55,7,7,62,4930,563,92,69,5659,70,25,98,5754,253,9,6014,63,6,3,3,72,4,0,5,79,9,0,88,142,17,0,3,165,8,0,8,176,18,0,189,207,20,3,7,232,17,0,18,252,25,0,278,5140,582,96,74,5888,85,27,114,6000,276,9,6287,1166,165,32,37
