SUA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
1000,0,5,8,27,47,92,164,97,24,452,0,15,43,139,79,106,32,21,4,447,55,93,111,1121,187,216,189,104,44,2114,5,25,28,146,63,76,75,50,13,487,0,0,7,51,24,16,8,3,0,116,0,11,12,44,38,28,14,0,0,148,11,78,57,459,224,218,303,142,40,1523,5,13,35,191,169,374,674,482,180,2126,4,43,36,226,88,50,26,5,9,504,0,17,73,228,44,38,12,3,0,427,3,7,19,106,119,82,68,25,11,434,3,17,31,275,204,149,71,32,8,795,0,0,4,25,42,209,364,81,20,745,0,0,5,20,24,49,51,4,0,153,0,0,0,38,16,8,6,9,0,82,3,12,25,150,19,7,4,0,0,216,0,22,47,210,238,601,1175,560,169,3027,65,394,541,2671,2352,2700,1792,559,145,11223,0,9,14,97,92,86,190,79,22,594,4,20,10,140,31,18,10,5,3,237
1001,0,0,0,3,6,6,14,26,12,67,3,3,4,14,3,17,3,0,0,49,20,72,35,606,48,30,19,15,7,850,0,0,3,11,11,0,3,3,0,21,0,5,0,26,7,8,0,0,0,46,0,0,0,4,0,0,0,0,0,3,0,12,3,32,14,10,15,19,3,112,0,3,4,10,4,21,41,40,19,145,0,3,0,11,0,3,0,0,0,24,0,3,8,36,0,0,0,0,0,52,0,0,0,6,8,3,0,3,0,34,3,6,6,30,18,10,7,3,0,83,0,0,0,0,0,7,11,11,0,23,0,3,0,14,3,0,0,0,3,30,0,0,3,12,0,0,0,0,0,18,8,88,107,63,3,3,0,0,0,275,0,5,3,22,18,55,125,70,22,335,5,54,71,227,181,151,103,37,6,839,0,0,0,6,3,4,9,7,0,31,3,7,0,44,4,3,0,0,0,61
1002,0,3,0,0,3,0,0,0,0,10,0,0,3,9,5,0,3,0,0,20,3,9,17,95,13,6,3,4,0,157,0,3,3,11,12,3,0,0,3,30,0,3,5,32,5,0,3,0,0,47,12,22,5,46,6,0,0,0,0,89,0,0,0,5,9,3,7,0,0,25,0,0,3,3,3,6,4,0,3,19,0,0,3,9,11,6,0,0,0,28,0,0,0,10,0,0,0,0,0,12,0,0,0,4,0,0,4,0,0,4,0,6,4,9,9,4,4,3,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,12,0,0,31,114,6,0,0,0,0,151,3,0,0,3,3,16,14,7,5,52,0,27,48,50,50,40,22,8,5,253,0,0,0,3,0,0,0,0,0,10,0,0,7,20,3,0,0,0,0,32
1003,0,0,0,0,0,4,0,0,0,11,0,0,0,6,5,3,0,0,0,15,0,7,4,56,0,0,0,3,0,73,0,4,0,12,0,3,4,0,0,27,0,0,0,3,4,4,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,10,7,4,6,43,0,0,0,11,8,7,9,12,12,53,0,4,0,18,6,3,5,0,4,40,0,0,0,14,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,9,8,3,0,29,0,0,0,0,0,3,8,3,3,16,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,8,0,8,7,18,22,8,17,85,0,17,14,117,84,94,61,24,11,424,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6
1004,0,0,3,0,0,3,18,9,3,36,0,0,0,0,0,8,0,0,0,6,0,0,0,17,0,3,7,0,0,37,0,3,0,3,0,3,3,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,7,13,10,3,37,0,0,0,0,3,14,17,22,0,62,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,10,0,0,0,3,3,13,4,4,0,18,0,0,0,3,0,4,21,4,0,31,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,39,17,4,84,3,9,13,40,36,58,50,20,8,222,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,3,7,3,0,20,0,7,5,9,0,0,0,0,0,15,4,14,13,102,15,9,11,0,0,168,0,0,3,3,0,0,0,3,0,10,0,3,0,12,5,0,0,0,0,25,0,0,3,3,5,0,0,0,0,15,0,7,0,18,8,11,6,6,0,56,0,0,0,0,3,7,7,3,6,32,0,3,6,8,6,3,4,3,0,23,0,3,3,15,3,0,0,0,0,29,0,0,0,7,9,3,7,0,0,29,0,3,5,15,13,0,4,0,0,39,0,0,0,0,3,5,5,3,0,16,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,9,9,36,4,0,0,0,0,52,0,0,0,5,7,14,25,16,7,83,3,24,49,112,75,61,37,12,9,374,0,0,0,0,0,4,5,0,0,15,0,3,0,18,3,0,0,0,0,30
1006,0,0,0,3,7,12,21,12,3,57,0,6,34,9,6,9,11,4,0,73,3,14,11,93,12,20,16,16,0,180,0,0,3,8,7,6,3,3,4,29,0,0,0,7,5,3,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,3,3,9,19,20,30,12,0,95,0,3,4,17,11,22,48,31,15,142,3,3,0,8,3,0,5,0,0,29,0,0,7,9,3,3,0,0,0,24,3,0,0,5,11,3,9,3,0,23,0,3,4,6,9,7,8,0,0,35,0,0,0,0,0,5,27,10,0,49,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,9,8,116,0,3,0,0,0,131,0,0,0,8,12,26,54,37,13,149,3,15,21,114,100,106,127,56,14,565,0,0,0,3,5,7,21,9,0,47,0,0,0,0,0,0,3,0,0,4
1007,0,0,0,0,0,0,8,5,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,36,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,12,0,0,0,0,0,3,12,10,6,30,3,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,9,3,0,19,0,3,7,23,14,10,17,4,0,72,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3
1008,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,15,3,3,6,8,0,32,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,3,3,31,0,0,0,0,7,5,4,7,0,24,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,7,0,0,0,13,0,0,0,0,4,3,14,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,32,15,7,71,0,3,4,28,26,40,61,22,4,186,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0
1009,0,4,3,16,15,60,95,93,11,305,0,14,21,59,44,71,24,24,3,261,22,84,61,780,135,98,112,65,27,1375,4,18,31,137,59,35,45,29,15,377,0,3,3,55,26,19,9,8,0,123,0,3,8,22,13,3,7,3,0,58,7,77,17,229,145,164,218,129,33,1029,0,0,8,47,76,164,256,211,74,850,7,30,11,108,60,34,16,3,3,271,8,44,58,258,92,60,47,6,3,560,0,7,0,44,56,35,32,11,9,182,0,7,36,116,97,78,48,24,3,413,0,0,0,9,33,133,284,132,19,614,0,5,3,26,28,34,27,15,7,140,0,0,0,15,15,5,14,15,0,62,0,8,3,70,6,4,0,0,0,89,0,19,10,49,77,162,357,204,101,981,42,175,298,1475,1182,1093,699,307,113,5373,0,11,10,43,68,50,86,59,18,343,4,16,12,60,13,19,3,0,0,128
