SUA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1000,459,1859,1468,1562,2792,2886,1476,2566,226,15300,893,1921,1316,1368,2227,2578,972,2218,4230,17722,16812,49176,43351,51098,68267,66157,34043,75148,9912,413955
1001,40,190,165,182,329,294,178,207,28,1618,53,145,98,111,260,256,96,167,301,1478,1515,4679,3954,5142,7823,6994,4200,5357,681,40346
1002,12,43,27,27,71,38,42,47,8,318,12,22,13,19,37,36,21,32,60,240,410,1426,978,1165,2093,1344,761,1281,186,9636
1003,10,48,35,38,73,58,22,39,9,332,11,47,40,38,58,37,6,36,101,384,339,1384,1263,1577,1902,1474,704,1281,211,10133
1004,4,42,20,32,36,40,20,39,5,250,9,36,26,31,25,32,12,20,47,238,242,848,669,810,988,754,370,615,103,5400
1005,10,80,42,57,119,93,55,102,3,566,25,60,30,38,95,64,32,62,108,521,616,1909,1429,1657,3289,2570,1340,2261,281,15352
1006,18,90,75,93,116,105,67,113,3,671,31,85,55,67,87,102,54,112,127,717,502,2177,1761,1963,2643,2727,1445,2625,267,16110
1007,14,41,31,41,62,51,27,29,3,294,11,24,10,16,33,25,20,31,74,251,324,770,587,816,1433,1085,561,1145,164,6902
1008,5,34,34,42,33,44,13,32,0,235,17,35,18,14,19,24,13,20,53,202,229,746,685,815,932,863,402,709,115,5492
1009,149,754,604,669,1162,1065,530,721,66,5720,187,557,448,413,956,999,331,630,1101,5621,4930,16425,15094,16420,26099,25596,11359,17348,2427,135701
1010,25,173,94,121,223,197,91,144,7,1083,32,118,98,101,162,134,57,99,231,1038,969,3831,3112,3970,5449,4242,2085,3551,495,27704
1011,20,62,67,71,194,130,80,127,4,755,12,39,34,37,88,107,39,49,138,548,567,1640,1361,1729,3867,3095,1578,2527,291,16647
1012,13,47,30,33,36,55,21,45,3,275,7,29,21,14,28,28,7,14,75,221,295,936,784,937,1056,900,426,726,156,6214
1013,7,47,35,41,90,74,37,64,3,397,20,26,19,32,62,49,21,50,77,363,371,958,969,1187,2306,1603,796,1326,186,9708
1014,15,33,20,36,60,55,24,45,0,286,19,35,20,13,41,26,17,16,48,231,246,851,692,903,1397,948,529,819,104,6499
1015,4,33,29,40,72,67,41,52,0,341,19,31,36,32,78,67,26,24,70,375,259,820,782,901,2020,1592,851,1107,173,8499
1016,7,24,20,22,36,25,17,27,3,183,5,12,9,17,31,17,12,20,70,189,186,578,553,685,964,552,330,474,148,4467
1017,12,62,44,61,122,93,64,60,4,512,14,48,41,38,60,63,22,27,97,403,353,1550,1236,1755,2589,1719,870,1234,196,11502
1018,3,24,26,23,35,38,17,25,0,190,6,26,17,15,35,35,3,22,36,193,195,569,482,540,942,800,383,537,80,4523
1019,7,64,42,55,75,98,42,48,3,432,15,43,36,40,74,71,16,49,95,434,341,1127,1080,1128,1794,1680,721,1191,192,9259
1020,3,28,22,27,38,47,18,83,3,263,9,13,7,11,15,15,10,16,28,116,185,532,509,591,811,746,543,1041,82,5040
1021,10,23,20,20,44,36,26,30,3,207,4,24,10,12,25,13,14,21,38,164,197,466,455,500,910,689,672,880,96,4860
1022,15,55,56,43,58,66,41,54,5,392,11,56,34,43,48,68,18,45,97,415,417,1485,1226,1305,1729,1674,843,1279,189,10151
1023,238,1079,826,888,1813,1542,872,1245,66,8558,225,739,487,569,1210,1273,432,802,1432,7176,7604,25079,22524,24166,39340,36986,19139,26611,3239,204697
1024,13,76,67,56,100,83,59,88,10,548,15,54,31,35,77,59,22,53,126,472,501,1819,1485,1671,2618,2094,1411,1697,306,13603
1025,24,76,61,55,134,128,84,138,10,696,16,50,34,47,83,73,31,64,126,520,619,1785,1552,1877,3327,2941,1720,2828,298,16944
1026,7,24,19,17,33,39,20,44,0,198,7,17,7,8,25,32,13,14,42,165,184,483,385,498,840,619,569,697,100,4376
1027,15,111,71,72,144,98,64,107,10,684,15,74,34,59,66,55,33,53,122,502,598,2369,1815,2529,3395,2925,1426,2284,289,17633
1028,8,35,25,30,54,74,35,71,4,337,4,19,9,25,29,38,21,40,60,241,237,837,687,753,1134,1049,1020,1691,161,7570
1029,5,31,28,34,39,26,24,31,3,220,15,32,23,19,42,35,11,13,67,256,252,840,733,856,1205,896,550,697,135,6170
1030,1597,9021,8103,7536,14465,14913,7093,10346,930,74011,2704,9623,9585,7879,18337,21349,6603,11919,21395,109393,59136,210295,217626,198034,409099,461614,196885,314916,41816,2109429
1031,15,87,62,73,168,134,81,122,15,760,22,68,40,56,119,120,49,58,175,707,605,1820,1587,2043,3788,3300,1736,2452,365,17701
1032,10,37,42,33,89,91,43,44,4,392,15,40,20,35,56,39,27,21,102,345,421,1106,952,1265,1704,1249,642,944,212,8499
1033,7,21,21,33,48,41,15,22,0,205,7,37,14,20,15,21,14,16,58,206,227,902,685,766,850,774,346,653,124,5336
1034,17,97,90,111,206,216,108,149,11,998,28,86,60,46,137,157,54,104,180,846,909,2829,2336,2800,5580,4612,2451,3750,425,25687
1035,158,634,516,554,1019,1012,441,661,37,5035,156,432,388,351,739,819,288,529,938,4638,4669,15384,13953,14254,24398,22348,11150,15649,2046,123844
2000,380,1440,993,1084,1764,2057,939,1575,141,10365,797,1435,1007,994,1648,2016,736,1646,2936,13195,13820,38090,32199,36374,43541,48206,24740,50921,6901,294791
2001,3,41,27,42,72,80,30,67,3,365,6,27,24,35,57,91,37,50,85,417,324,1110,872,972,1602,1862,937,1440,190,9307
