SUA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
2021,10419,26887,1223,1877,319,577,1542,2453,567,806,75,96,0,0,0,3,646,908,7,26,63,115,0,0,4,14,79,151,62,142,12751,30536,1593,..,14347,30536
3000,236350,615172,5004,9310,1955,3961,6960,13272,7242,12241,432,753,198,351,81,153,7957,13496,3688,6341,877,1537,997,2041,969,2251,6536,12168,2464,5637,260262,659753,47355,..,307614,659753
3001,577732,1687207,25207,45070,53399,122204,78614,167275,35347,60642,30327,55714,33548,63887,177,356,99398,180592,1816,2614,1561,2240,132,258,762,2007,4274,7127,2811,5815,762826,2048016,65696,..,828523,2048016
3002,22018,56303,1822,2841,406,697,2229,3536,1611,2479,25,47,109,199,0,4,1747,2727,272,431,153,206,9,29,32,70,469,726,97,208,26555,63505,3385,..,29939,63505
3003,35959,100968,2736,5039,2497,4630,5229,9668,5258,9389,3173,6173,1065,2052,9,28,9505,17642,212,376,185,272,9,29,85,202,488,871,387,709,51574,129865,6031,..,57610,129865
3004,3488,10253,242,428,58,108,307,539,368,633,3,0,0,0,0,0,370,632,19,40,3,9,6,16,7,4,37,73,43,94,4248,11596,945,..,5191,11596
3005,13032,35710,421,721,555,1103,971,1827,883,1404,130,199,231,380,0,0,1249,1977,104,165,17,31,6,14,7,10,128,220,28,45,15404,39783,3493,..,18895,39783
3006,131332,383786,19153,37732,28116,65386,47267,103118,9749,17659,14590,26453,18869,35555,50,84,43257,79751,1438,2125,928,1441,67,135,117,306,2545,4009,1151,2187,225556,572848,26783,..,252338,572848
3007,7007,17638,359,584,205,317,558,900,278,366,0,0,0,0,3,3,283,368,33,47,4,8,22,49,14,30,74,136,32,63,7965,19113,788,..,8752,19113
3008,16397,41160,1393,2275,1048,1811,2442,4091,427,666,168,254,211,351,0,0,806,1273,303,493,149,228,14,17,23,55,476,790,200,344,20325,47657,2419,..,22741,47657
3009,3353,8608,206,328,5,13,211,339,270,402,0,0,0,0,3,3,273,403,30,47,0,0,0,3,5,17,37,68,16,38,3896,9458,464,..,4357,9458
3010,22850,60898,2240,3820,1060,1952,3304,5770,1299,2168,46,76,292,524,3,6,1636,2775,207,329,61,101,5,16,11,37,283,483,188,321,28255,70254,4372,..,32624,70254
