SUA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
1029,0,3,424,435,12,63,245,316,213,154,257,622,390,143,224,759,481,134,294,902,670,92,379,1139,869,85,333,1285,479,23,183,686,100,3,73,177,3221,695,2414,6328,0,10,424,437,18,89,201,303,282,164,258,708,465,149,298,912,529,130,369,1025,771,108,386,1266,814,74,462,1352,357,19,369,744,54,0,205,259,3281,748,2978,7012,3,20,851,872,27,150,444,621,494,320,516,1333,856,296,519,1667,1005,264,664,1931,1442,196,763,2409,1684,159,792,2639,833,40,549,1427,153,3,279,439,6506,1443,5388,13335
1030,64,528,124832,125425,3736,8538,130981,143260,112725,49131,160284,322137,189393,32367,70960,292720,171934,24035,62037,258004,144021,14980,50822,209824,103720,7032,32858,143614,51160,1993,17780,70935,13439,361,9385,23188,790199,138972,659939,1589109,333,963,117766,119058,10480,12715,117587,140780,151804,51563,132974,336337,197894,29771,76751,304417,172124,21931,80195,274252,136229,12608,76895,225736,87614,4718,62351,154685,34962,1072,48759,84791,5802,188,29233,35215,797233,135524,742511,1675272,400,1492,242596,244487,14214,21253,248572,284039,264529,100699,293249,658478,387284,62142,147710,597137,344059,45969,142229,532259,280248,27587,127721,435559,191337,11748,95215,298300,86122,3060,66536,155722,19244,547,38619,58407,1587433,274494,1402452,3264380
1031,3,22,1104,1126,42,215,769,1026,794,493,1017,2301,1079,282,600,1959,1181,225,659,2069,1230,159,612,1997,1041,80,386,1502,641,14,210,863,161,3,94,255,6159,1495,5449,13101,4,52,998,1052,83,294,699,1067,992,462,1027,2485,1163,289,758,2211,1274,255,873,2402,1215,160,849,2221,970,60,733,1764,476,6,662,1153,74,3,384,458,6254,1571,6986,14811,6,73,2095,2177,124,511,1467,2095,1781,955,2053,4786,2239,565,1363,4171,2456,481,1536,4470,2446,318,1457,4220,2008,133,1117,3266,1116,25,876,2017,235,4,480,721,12409,3063,12444,27915
1032,0,12,740,748,29,106,397,528,327,220,461,1011,503,169,389,1063,667,162,511,1345,855,119,502,1479,931,93,385,1414,544,29,263,827,152,0,102,261,4014,910,3753,8684,0,17,678,696,51,128,405,587,423,239,503,1164,567,164,490,1220,763,156,626,1548,932,127,660,1720,835,67,630,1537,414,21,581,1016,59,0,315,378,4054,925,4890,9867,0,31,1416,1449,77,235,800,1115,750,459,966,2171,1073,330,877,2283,1432,322,1138,2892,1785,248,1164,3204,1767,167,1018,2951,961,43,840,1847,219,4,418,640,8067,1834,8647,18552
1033,0,0,335,342,5,23,194,226,153,123,214,487,348,96,176,616,408,109,236,752,614,103,277,995,789,57,235,1083,455,16,155,623,114,8,90,214,2892,533,1917,5339,3,4,350,358,9,38,124,174,222,126,199,550,386,110,190,684,464,118,279,867,697,88,367,1156,731,47,370,1152,346,13,350,707,52,9,194,253,2914,555,2438,5903,3,5,690,698,20,63,323,406,376,244,416,1040,733,205,358,1301,878,231,520,1622,1313,191,651,2152,1521,111,603,2230,796,35,508,1332,158,18,289,463,5802,1089,4356,11245
1034,0,27,1638,1667,53,321,1243,1612,1167,707,1286,3160,1736,311,798,2846,1735,275,755,2761,1724,196,688,2611,1311,67,405,1783,680,15,234,937,187,3,123,310,8580,1927,7179,17684,3,55,1483,1548,99,459,1317,1872,1475,712,1307,3500,1901,308,888,3096,1799,281,1016,3100,1712,182,984,2882,1139,42,814,1996,559,14,739,1308,82,0,428,511,8771,2066,8976,19808,3,85,3121,3212,151,781,2558,3489,2641,1417,2595,6655,3634,623,1690,5944,3532,553,1771,5857,3437,375,1675,5489,2446,110,1216,3777,1241,27,976,2244,268,3,549,826,17346,3989,16152,37489
1035,4,91,8603,8691,197,832,8279,9306,5338,2975,7370,15674,9995,2034,4064,16098,10309,1740,4729,16777,10002,1176,4020,15200,8377,501,2663,11545,4681,188,1638,6503,1189,34,809,2031,50088,9564,42173,101826,12,147,7966,8116,436,1232,6954,8627,7163,3120,5802,16087,10720,2066,4398,17186,10766,1725,5352,17842,10105,1036,5375,16509,7516,429,4470,12420,3481,116,4230,7830,536,21,2485,3043,50746,9892,47028,107668,10,230,16561,16809,634,2065,15237,17937,12502,6092,13172,31763,20724,4105,8465,33288,21072,3468,10081,34615,20106,2212,9395,31707,15893,929,7131,23964,8161,303,5868,14338,1733,52,3293,5075,100835,19454,89200,209491
2000,8,127,18252,18387,286,1730,10995,13014,8535,6097,10088,24720,18266,5345,7868,31477,24652,5560,11478,41694,29286,4298,12859,46447,25978,2234,10110,38326,12245,532,5193,17969,2771,89,2238,5099,122037,26011,89085,237134,19,308,16229,16553,632,2596,8318,11543,11708,6494,8752,26962,20869,5725,8192,34785,27294,5631,11426,44347,29736,3906,12799,46439,23207,1644,11771,36624,8468,322,9721,18508,1324,61,5412,6799,123264,26687,92610,242568,27,431,34474,34943,922,4322,19310,24554,20242,12595,18843,51683,39131,11073,16058,66263,51948,11188,22903,86045,59025,8207,25654,92891,49187,3876,21885,74950,20714,848,14912,36478,4101,149,7655,11901,245307,52697,181696,479697
2001,0,0,652,654,9,56,488,559,414,306,415,1134,751,187,267,1209,786,159,314,1252,717,80,234,1034,585,43,173,797,221,6,81,306,57,0,34,91,3530,846,2658,7038,0,4,603,606,24,98,407,527,537,291,377,1203,825,205,324,1353,791,149,394,1334,720,81,323,1129,519,35,336,885,145,4,225,379,26,0,118,146,3585,862,3112,7558,0,5,1252,1265,36,152,895,1083,951,595,787,2336,1578,392,592,2563,1575,303,702,2583,1435,165,561,2163,1097,78,511,1688,367,12,304,686,76,3,151,233,7119,1705,5777,14599
2002,0,4,377,378,10,72,240,325,250,166,270,687,305,117,204,622,397,84,203,677,472,68,217,759,498,41,148,685,304,7,103,419,82,5,40,126,2312,563,1808,4686,0,14,347,362,21,96,225,345,305,163,243,713,345,104,263,709,468,112,295,874,500,59,322,880,453,19,283,760,229,8,307,539,34,0,185,225,2354,584,2476,5413,0,19,723,740,38,167,465,673,551,333,516,1393,644,224,471,1339,861,194,495,1552,970,133,536,1640,953,64,439,1452,530,14,410,956,117,11,229,358,4668,1144,4285,10101
