SUA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
1033,0,4,3,7,14,0,5,3,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,3,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,192,276,103,40,41,42,3,3,6,8,0,3,35,861,0,0,0,11,5,10,11,6,0,0,0,0,0,0,3,46,0,0,0,0,5,3,0,3,0,0,0,3,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,25,41,63,21,22,14,9,0,4,3,0,3,3,3,228,18,231,371,474,248,132,138,125,13,25,20,29,17,15,65,1926
1034,0,0,8,3,16,9,58,57,5,17,12,4,9,0,0,199,0,0,0,3,0,5,18,25,8,42,8,6,6,0,9,131,0,0,0,0,0,3,14,11,0,3,0,3,4,4,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,89,156,229,59,62,86,70,9,20,29,18,18,3,35,896,0,0,0,15,6,14,25,12,6,0,3,3,0,3,0,92,0,0,0,0,13,4,6,14,0,3,0,7,3,5,6,51,0,0,0,0,4,0,27,13,3,9,0,0,0,3,4,68,0,44,33,42,49,79,181,260,67,92,88,54,83,44,40,1147,16,274,335,413,297,348,759,931,239,442,370,299,297,136,222,5388
1035,3,4,25,62,119,79,273,162,27,27,27,12,20,3,10,854,0,0,13,21,20,53,42,49,3,12,30,26,26,33,14,336,0,0,0,11,25,69,158,189,37,29,52,52,48,24,42,727,3,10,368,2221,393,318,144,81,0,9,5,6,12,0,145,3722,0,0,0,315,108,130,69,20,6,3,21,3,8,4,31,720,86,1428,2981,5406,1397,869,987,753,131,151,158,118,95,40,541,15137,0,9,21,101,72,97,158,148,29,42,28,36,45,22,37,855,0,0,3,8,356,150,89,89,19,43,46,62,77,77,29,1043,0,0,0,3,25,11,52,24,4,8,10,3,4,6,4,161,10,359,1350,2498,1035,1048,1042,879,151,192,299,518,355,305,415,10468,159,3921,8531,13205,5389,4841,5599,4526,956,1290,1601,1903,1834,1294,2312,57372
2000,0,4,47,133,197,114,348,202,42,27,15,42,23,16,31,1247,3,17,33,91,29,37,41,71,9,36,17,8,6,7,39,455,0,0,0,7,28,65,117,190,33,39,35,49,50,10,68,691,3,4,25,90,17,10,8,3,0,0,3,0,0,0,18,180,0,0,0,71,18,33,31,13,7,0,0,0,0,0,30,208,151,2884,6049,7264,2535,1665,1655,1096,186,152,116,143,158,95,1222,25363,3,29,44,289,162,174,265,160,35,29,34,42,40,40,56,1401,0,0,0,14,66,83,82,93,20,20,26,17,21,19,197,663,0,0,14,11,31,37,49,57,6,7,9,3,3,0,9,223,34,614,962,1479,792,667,786,808,145,182,175,261,324,225,688,8136,314,7852,12037,12886,6979,5434,6616,5757,1079,1185,1220,1210,1462,1114,4391,69542
2001,0,0,4,3,8,9,13,24,0,9,3,0,0,3,3,72,0,0,0,6,0,0,0,0,0,4,0,7,5,4,0,25,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,16,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,62,166,276,102,60,65,90,9,10,4,3,3,0,34,902,0,0,0,8,8,4,6,7,7,0,3,0,0,0,5,43,0,0,0,3,5,8,3,8,0,0,5,0,3,0,0,36,0,0,0,0,0,0,3,7,4,3,0,0,0,0,0,21,0,14,35,84,50,20,31,41,3,4,9,4,14,0,10,308,8,193,352,526,291,212,312,352,46,50,47,42,35,27,97,2593
2002,0,0,3,0,0,0,9,11,3,0,3,3,0,0,0,31,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,14,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,75,120,120,24,26,36,38,6,3,0,0,0,0,22,486,0,0,0,7,0,3,0,5,0,0,3,0,0,0,0,18,0,0,0,0,3,4,16,7,0,0,4,3,0,0,0,41,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,14,22,20,8,10,15,11,0,12,0,7,22,3,9,150,15,189,232,204,100,102,156,166,23,45,41,49,33,4,71,1426
2003,0,3,3,15,19,11,81,35,11,9,0,3,9,7,3,206,0,0,0,0,8,10,16,45,10,9,12,3,3,0,3,122,0,0,0,3,0,13,25,21,3,3,3,10,14,3,6,111,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,17,11,289,539,637,246,158,201,163,40,38,35,26,27,9,98,2523,0,0,8,26,20,27,58,28,11,16,7,7,10,0,3,230,0,0,0,0,14,9,5,26,0,3,12,9,3,3,8,95,0,0,0,3,3,0,18,13,3,0,0,0,0,0,0,45,0,73,97,127,72,93,226,263,29,47,22,34,44,49,36,1214,22,874,1137,1164,679,671,1258,1565,267,367,303,271,326,251,370,9516
2004,0,0,3,14,22,18,56,53,13,11,10,6,3,0,0,198,0,0,0,16,10,17,37,46,8,11,3,3,4,6,11,174,0,0,0,0,4,4,22,176,29,19,38,41,24,20,23,403,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,8,28,210,378,474,184,143,153,120,23,9,17,6,8,8,78,1845,0,0,3,25,18,10,28,19,7,3,9,3,10,0,5,144,0,0,0,0,3,6,13,20,3,3,3,4,3,10,6,74,0,0,0,0,0,7,11,15,3,0,0,3,0,3,0,36,6,41,65,83,60,48,134,399,46,54,110,64,76,49,66,1306,47,481,674,842,547,538,979,1556,256,216,338,256,286,188,350,7565
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,71,58,14,3,14,7,0,0,3,0,0,0,15,219,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,10,0,3,11,0,3,8,45,37,14,18,8,7,8,0,12,176,5,84,133,85,44,43,121,130,50,46,44,18,33,9,62,912
2006,0,0,0,3,4,0,6,12,3,3,0,0,5,0,5,47,0,0,0,0,0,0,0,15,9,0,3,0,0,0,0,33,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,83,119,135,42,20,19,24,3,6,0,0,3,0,34,502,0,0,0,0,0,0,4,13,3,0,5,0,0,0,0,30,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,18,14,6,8,9,20,6,0,6,8,3,0,3,128,9,186,204,200,118,100,130,186,49,48,47,27,45,28,83,1468
