SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2015,1701,86,64,27,4,1881,1654,37,21,9,5,1727,776,175,159,0,3,1111,173,74,38,0,0,285,183,11,15,3,0,215,20,20,6,0,0,44,130,5,3,0,0,138,23,8,3,0,0,34,1298,290,220,11,3,1825,14,25,0,0,0,39,119,26,10,0,0,160,4784,471,320,43,10,5624
2016,5120,332,8,125,3,5587,5502,158,4,9,7,5686,2189,858,38,8,6,3098,579,212,43,0,0,838,901,164,10,13,3,1086,106,38,21,0,0,161,158,27,3,59,3,257,85,26,0,0,0,112,4018,1331,114,80,19,5558,149,46,0,0,0,197,491,128,22,24,4,669,15284,1999,146,237,31,17703
2017,1210,52,57,9,6,1335,1123,23,18,0,15,1177,413,100,182,4,6,703,154,19,40,0,0,215,227,32,27,0,6,298,18,15,7,0,0,40,30,3,3,11,3,47,22,0,3,0,0,29,869,169,266,19,20,1342,23,0,0,0,0,25,106,12,21,0,10,148,3326,259,360,26,54,4026
2018,4853,210,146,42,9,5260,5074,81,81,3,8,5247,1967,288,572,3,9,2844,390,119,158,0,0,666,654,52,57,4,6,782,44,38,29,0,0,111,55,14,7,9,4,97,36,7,12,0,0,57,3153,517,836,23,21,4549,53,28,4,0,0,86,396,47,63,6,14,524,13533,882,1132,69,60,15676
2019,2500,205,0,10,6,2723,2206,74,7,3,4,2286,759,366,31,0,0,1162,252,140,15,0,0,402,303,113,0,0,0,420,14,39,0,0,0,54,17,5,0,10,0,35,12,14,0,0,3,35,1368,676,49,10,4,2115,35,42,0,0,0,75,225,57,4,3,3,292,6335,1054,64,28,20,7495
2020,4130,141,331,64,15,4689,4587,51,29,12,12,4686,1367,226,182,3,9,1781,154,65,45,0,0,264,553,39,39,3,3,637,11,5,6,0,0,20,54,3,9,41,3,113,37,4,9,0,0,52,2169,345,288,48,16,2866,50,3,41,0,0,98,274,23,35,5,7,347,11215,567,725,130,45,12676
2021,3862,374,66,30,13,4349,3739,181,37,18,9,3993,1452,610,241,16,14,2328,385,126,81,0,0,594,562,114,36,4,16,732,27,23,57,0,0,107,58,15,16,6,0,95,36,7,6,0,0,53,2522,892,442,22,31,3906,45,32,29,3,0,114,248,58,71,3,6,387,10419,1542,646,79,62,12751
3000,88262,836,685,3321,721,93818,76720,558,404,734,512,78932,24840,2440,3271,204,186,30940,6661,926,1110,28,38,8767,18266,595,788,399,227,20269,1075,365,354,14,15,1815,8546,662,674,788,233,10906,3011,114,118,166,65,3473,62391,5107,6319,1591,768,76167,1985,124,78,147,51,2376,6994,337,478,743,417,8969,236350,6960,7957,6536,2464,260262
3001,173277,11469,12629,1785,341,199500,243565,13650,14373,331,456,272375,96689,32753,46216,257,761,176677,12443,5574,7547,46,47,25664,30217,6960,10615,170,298,48263,966,1318,1573,20,60,3938,4416,1438,1159,1284,110,8399,1940,466,596,35,30,3057,146668,48506,67703,1815,1306,266000,2387,2169,1782,52,54,6451,11836,2820,2908,292,643,18496,577732,78614,99398,4274,2811,762826
3002,8347,557,243,285,14,9446,7021,121,133,7,14,7296,3448,652,726,10,14,4845,421,373,192,0,3,993,1680,175,220,18,9,2109,35,50,74,0,0,158,159,43,43,95,9,356,105,19,24,9,3,157,5855,1305,1278,134,46,8621,231,114,26,4,4,376,562,122,68,38,27,817,22018,2229,1747,469,97,26555
3003,9790,630,1090,235,61,11800,15153,732,1195,23,42,17145,6035,2150,4785,26,74,13075,1023,415,633,3,11,2080,2371,719,1065,35,47,4240,88,76,64,0,0,235,349,94,178,101,23,746,131,40,69,10,3,255,9995,3502,6793,171,160,20624,161,173,30,7,7,383,859,197,396,52,109,1617,35959,5229,9505,488,387,51574
3004,559,3,9,13,9,600,1503,43,28,5,8,1592,784,184,189,0,10,1167,76,4,43,0,0,127,245,31,36,4,4,320,9,0,5,0,0,17,190,28,38,4,6,276,26,0,0,0,0,29,1330,252,316,8,21,1935,13,0,0,3,0,18,80,7,10,3,3,107,3488,307,370,37,43,4248
3005,2981,45,75,86,3,3188,5447,95,81,5,6,5629,2946,579,733,3,5,4272,396,113,169,5,0,682,727,44,54,0,4,825,47,43,19,0,0,113,198,23,35,23,5,281,44,8,12,0,0,63,4358,806,1025,27,13,6230,34,0,17,3,0,55,217,22,51,11,0,294,13032,971,1249,128,28,15404
3006,41085,11034,9179,1645,220,63166,56491,10917,6258,119,160,73938,20858,15199,17589,52,202,53903,1373,1614,1527,4,27,4542,6593,5162,5251,81,118,17209,144,312,363,3,3,826,696,609,646,456,57,2476,467,262,346,25,16,1118,30138,23167,25728,619,424,80071,608,633,500,23,50,1816,3009,1525,1591,141,294,6560,131332,47267,43257,2545,1151,225556
3007,2525,43,18,32,3,2613,2137,24,7,11,8,2181,1323,231,92,6,3,1657,125,109,26,0,3,260,609,72,53,6,4,742,19,31,27,0,0,72,55,16,19,13,3,112,28,3,4,3,0,41,2148,458,231,28,19,2889,22,0,19,0,0,43,175,33,15,5,7,233,7007,558,283,74,32,7965
3008,7121,473,181,280,41,8097,4566,185,45,24,23,4841,2761,909,328,8,30,4030,218,352,19,0,0,584,978,217,69,11,18,1295,33,48,14,0,0,99,102,38,20,116,11,288,58,22,8,0,6,92,4146,1587,460,142,63,6391,175,108,75,6,6,361,395,90,50,32,66,633,16397,2442,806,476,200,20325
3009,1147,19,22,25,0,1211,980,16,6,4,4,1011,778,130,154,0,3,1063,51,27,35,0,0,116,224,8,16,3,0,255,18,3,12,0,0,29,32,4,10,3,0,49,17,0,3,3,0,29,1127,168,231,6,8,1537,25,0,0,0,0,29,79,10,11,4,0,108,3353,211,273,37,16,3896
3010,6357,370,241,149,28,7141,9230,361,144,11,21,9772,4079,1454,700,12,42,6285,548,417,212,0,5,1187,1557,325,137,14,13,2051,66,97,34,0,0,208,169,90,23,43,8,332,79,35,10,0,3,121,6506,2422,1116,65,76,10185,250,22,65,10,6,351,507,129,82,42,55,812,22850,3304,1636,283,188,28255
3011,3718,99,28,78,4,3930,2727,19,12,3,8,2773,1183,180,145,8,0,1518,175,175,74,0,0,424,712,56,51,3,12,827,15,52,9,0,0,79,76,15,10,46,0,145,44,10,3,4,0,63,2203,486,292,61,13,3059,46,29,4,0,0,78,244,47,24,10,9,330,8936,678,358,158,39,10166
3012,882,34,3,29,11,958,1910,51,16,22,8,2011,648,390,140,3,7,1187,331,117,54,0,3,509,380,125,55,3,6,566,5,5,0,0,3,17,267,133,47,9,0,453,27,17,11,0,4,56,1663,786,307,18,22,2789,25,3,3,0,3,36,131,25,20,6,13,200,4610,908,349,67,57,5992
3013,7008,214,104,77,22,7430,9082,124,80,18,16,9314,3935,796,534,18,13,5292,641,291,142,3,8,1083,1763,176,143,3,17,2099,67,126,53,0,0,251,179,38,24,25,12,277,121,26,14,0,3,162,6709,1445,912,48,51,9161,81,84,6,0,7,187,565,97,52,13,36,767,23447,1964,1151,159,135,26863
3014,29078,5050,3157,839,172,38292,32704,2215,1814,68,131,36930,12444,4067,5692,36,108,22352,768,711,958,0,10,2451,4658,1187,1600,55,88,7593,96,141,129,3,0,367,335,170,161,339,26,1026,336,93,102,20,7,553,18639,6361,8645,452,249,34348,653,1316,161,19,14,2155,1658,572,477,97,96,2892,82727,15509,14252,1476,653,114615
3015,12786,1252,402,77,30,14549,14728,624,196,39,36,15630,6459,2756,1192,26,51,10482,580,486,173,3,7,1247,2291,497,210,10,23,3029,76,85,50,0,3,223,356,75,39,21,19,502,129,42,13,0,0,184,9880,3932,1682,61,103,15658,131,300,84,0,14,528,760,257,90,3,103,1212,38291,6363,2453,187,288,47572
3016,11710,754,499,235,20,13221,19922,626,506,33,33,21121,9379,3277,2438,14,47,15157,1491,753,389,7,3,2635,3161,685,461,19,17,4343,92,78,93,0,0,267,1449,110,105,43,15,1728,165,55,36,0,3,261,15745,4959,3521,85,78,24391,349,144,28,4,7,527,1026,257,168,13,28,1493,48750,6739,4719,365,178,60746
3017,1851,102,12,18,3,1977,1543,33,4,4,7,1583,981,250,61,3,9,1311,50,56,3,0,0,108,371,55,28,3,6,452,14,17,9,0,0,36,40,4,3,20,3,76,22,3,0,0,0,28,1477,381,102,25,18,2009,25,36,0,0,0,58,118,32,6,3,0,164,5008,585,119,47,30,5794
3018,1699,79,129,76,4,1985,2078,42,60,3,8,2194,932,162,232,0,8,1327,51,41,66,0,0,166,366,29,58,5,0,457,13,31,24,0,3,69,29,3,5,25,8,74,18,7,0,0,0,26,1399,270,395,32,25,2121,35,4,57,0,4,103,115,7,32,18,3,172,5332,399,667,130,47,6577
4000,37832,542,193,745,255,39567,32011,225,52,203,170,32656,6328,578,452,22,37,7421,1992,477,200,0,6,2676,7169,219,150,89,79,7704,498,244,142,0,5,884,2320,171,70,123,69,2755,999,59,26,27,25,1132,19308,1752,1040,261,215,22585,881,265,77,27,8,1269,2199,151,98,98,77,2628,92241,2936,1462,1337,729,98701
4001,126138,16386,5110,629,288,148554,152244,18452,5236,174,441,176549,35448,17868,13712,118,203,67342,9860,12179,3914,15,56,26019,22914,7888,5694,132,176,36797,1796,2471,1168,9,19,5456,2573,773,672,191,39,4242,1211,503,256,12,8,1995,73797,41677,25415,474,495,141859,2623,3796,1267,16,70,7771,7210,2663,1246,58,174,11358,362021,82979,38273,1352,1470,486101
4002,2977,163,96,16,5,3251,3583,190,61,11,7,3857,984,431,452,3,11,1877,298,434,144,0,0,876,426,61,69,0,3,567,48,37,10,0,0,102,52,26,28,11,3,119,45,16,7,0,0,68,1847,1011,715,16,20,3603,131,6,11,0,5,148,200,43,44,0,11,294,8740,1409,924,39,50,11159
4003,1852,79,0,31,22,1982,1834,57,3,3,15,1913,1078,221,35,0,9,1340,282,277,0,0,0,557,373,47,0,0,0,423,27,24,0,0,0,48,50,15,0,8,7,76,26,12,0,0,0,38,1834,594,37,10,15,2492,103,51,0,0,0,158,177,43,3,0,4,226,5802,823,44,47,52,6771
4004,1364,76,8,16,4,1467,1331,66,7,3,9,1415,434,154,76,0,4,663,297,224,130,0,3,651,230,45,17,3,7,306,27,8,17,0,0,44,80,24,12,15,4,127,19,9,9,4,5,36,1072,463,260,23,22,1834,16,5,3,0,0,19,113,40,7,4,0,170,3892,640,286,48,34,4908
4005,1537,94,41,22,3,1693,1864,102,14,11,14,2001,466,174,111,0,3,758,280,153,67,0,0,498,398,76,39,6,3,523,21,21,0,0,0,38,58,19,7,4,0,83,22,10,4,0,0,34,1239,449,224,11,13,1935,39,6,7,0,0,54,110,26,14,0,6,153,4787,678,302,44,32,5841
4006,1672,96,6,8,7,1794,1666,69,0,0,8,1740,631,198,17,0,4,852,228,317,51,0,0,596,240,40,5,0,4,289,10,9,13,0,0,31,62,3,4,13,0,83,22,8,3,0,0,32,1199,571,89,15,8,1882,24,10,3,4,0,40,113,42,6,7,3,169,4671,786,112,27,28,5631
4007,4698,238,32,66,10,5047,2566,60,13,3,12,2652,1161,173,90,5,3,1433,87,40,16,0,0,143,628,79,32,3,3,741,53,62,5,0,0,118,75,6,7,15,3,98,45,5,7,0,4,60,2037,363,147,22,12,2589,218,135,7,0,0,352,255,35,14,5,3,309,9772,833,214,93,36,10945
4008,1674,455,25,18,0,2167,2016,836,17,9,12,2884,597,435,109,3,3,1147,144,1238,182,0,0,1569,209,213,16,0,6,452,12,33,0,0,0,48,71,42,15,4,3,140,21,32,0,0,0,50,1063,1989,325,5,15,3393,12,9,0,0,0,30,106,133,22,3,4,266,4870,3417,392,34,27,8742
5000,29935,259,95,1167,275,31732,26391,143,55,260,191,27050,5148,492,229,25,15,5911,4787,856,317,19,22,6003,7120,232,80,140,65,7639,729,167,99,24,11,1037,5701,547,167,298,108,6825,1274,53,35,55,30,1449,24770,2355,930,564,251,28866,821,67,38,75,34,1032,2324,177,73,231,161,2969,84246,2998,1188,2299,908,91646
5001,3988,214,4,106,18,4328,3775,58,3,6,17,3855,1324,191,11,5,9,1541,431,181,0,0,4,618,885,81,4,9,5,982,53,123,13,0,0,188,120,23,0,40,5,194,70,12,0,0,0,84,2878,605,35,57,22,3601,69,65,0,0,4,135,254,73,3,7,3,335,10959,1020,46,182,64,12261
5002,443,12,10,187,13,657,1080,34,31,19,8,1180,531,140,152,22,3,846,538,73,52,0,23,689,230,21,29,15,10,308,27,0,0,0,0,27,338,66,16,70,22,515,47,4,3,4,8,68,1719,304,251,107,75,2458,33,3,3,4,4,44,86,22,22,23,10,156,3353,377,316,347,104,4497
5003,6264,492,155,168,15,7095,10033,393,48,18,14,10506,2841,755,240,3,12,3847,355,506,80,0,0,936,1595,296,70,9,3,1969,35,55,94,0,0,183,138,48,10,48,3,255,74,24,8,3,0,112,5037,1689,499,63,21,7308,111,70,109,0,0,291,430,94,54,11,11,592,21871,2734,866,264,57,25798
5004,3711,292,4,314,13,4331,4382,122,3,21,15,4546,1466,212,3,0,3,1689,293,230,3,0,0,522,931,82,9,8,7,1041,6,21,12,3,0,42,128,11,0,53,7,199,68,15,3,3,0,86,2894,579,24,67,16,3578,83,71,0,12,0,164,223,51,3,26,6,317,11290,1116,35,436,55,12940
5005,1258,68,8,22,18,1381,1316,16,7,6,9,1355,366,78,19,0,0,466,127,70,11,0,4,210,396,48,20,3,7,468,5,39,0,0,0,44,81,16,3,3,11,110,33,7,0,0,0,46,1007,259,55,7,20,1349,17,10,0,0,0,28,87,33,0,3,3,128,3688,388,67,44,53,4239
5006,3453,294,24,142,19,3927,4468,171,11,46,7,4700,1374,400,81,4,12,1869,414,240,79,17,3,747,961,164,28,16,5,1175,34,34,3,0,0,78,195,30,11,28,3,261,41,10,0,0,0,59,3024,877,197,62,22,4187,50,35,0,4,0,95,257,49,16,20,8,352,11256,1422,255,276,51,13261
5007,1517,83,0,61,15,1681,3877,247,15,7,5,4151,1141,624,94,0,4,1861,333,279,34,0,8,649,592,113,12,3,3,731,7,28,24,0,0,61,263,110,13,74,6,468,34,14,0,5,0,48,2373,1163,177,86,15,3816,21,6,0,4,0,26,173,52,6,6,13,249,7965,1554,200,161,48,9924
5008,200,8,0,33,0,248,666,52,8,3,3,728,1095,181,112,3,0,1395,355,100,15,0,0,467,160,18,4,3,0,183,8,0,0,0,0,8,1422,99,37,16,10,1582,72,13,0,3,0,92,3112,408,166,24,13,3725,40,0,0,0,0,42,80,12,4,0,0,97,4103,487,179,65,17,4845
5009,159741,23501,5948,1191,241,190627,243848,30466,8343,257,455,283365,55561,25840,18013,112,281,99810,7490,9072,3091,8,29,19693,34550,11744,5414,122,158,51994,768,1305,743,13,16,2844,3534,1149,612,290,63,5652,1756,654,252,24,21,2709,103657,49771,28125,573,570,182700,2681,3003,1502,30,39,7252,10169,3307,1497,130,280,15383,520098,110051,45413,2183,1587,679322
5010,204,19,16,29,3,269,369,17,13,3,0,404,852,95,211,0,3,1161,431,41,16,0,7,494,101,9,14,0,0,122,12,0,5,0,0,23,1028,133,204,11,10,1389,49,4,11,0,0,62,2469,287,465,13,19,3259,28,0,3,0,0,33,100,12,22,14,7,160,3178,335,513,70,30,4124
5011,758,18,0,0,0,778,2109,47,3,7,5,2170,526,19,0,0,4,555,0,0,0,0,0,0,266,7,0,0,0,273,0,0,0,0,0,0,12,0,0,0,0,12,21,0,0,0,0,21,828,23,0,0,4,861,36,0,0,0,0,33,86,0,0,0,3,84,3820,87,5,10,17,3935
6000,23623,189,103,258,113,24284,19417,68,45,114,100,19746,3653,197,225,30,19,4122,807,181,121,0,0,1112,4428,88,113,64,32,4728,183,99,52,0,3,338,1030,42,43,42,17,1166,561,22,15,15,6,626,10663,635,568,151,79,12094,422,27,11,12,11,486,1433,51,48,33,37,1603,55571,971,778,561,338,58214
6001,3496,82,21,18,0,3625,3275,29,10,3,4,3315,1105,238,73,5,4,1425,562,245,27,0,0,834,711,123,28,0,4,866,74,60,9,0,0,138,73,20,6,13,4,112,59,11,0,0,0,65,2572,689,144,24,11,3447,36,6,0,3,0,44,257,45,10,6,4,319,9631,861,185,51,28,10759
6002,3741,201,33,40,9,4025,3432,49,8,8,8,3502,1029,266,33,3,0,1341,619,324,22,0,0,962,848,126,17,10,8,1011,98,43,24,0,0,171,88,20,15,15,0,137,39,24,7,3,0,75,2723,807,128,27,5,3696,75,14,22,3,0,113,263,72,9,11,0,348,10230,1146,191,86,26,11679
6003,23943,798,931,100,40,25812,25592,719,791,54,48,27207,6185,1280,2479,47,36,10027,2609,740,921,0,3,4274,4710,744,1331,55,44,6891,329,225,224,0,0,777,419,89,135,28,7,678,266,48,54,3,0,373,14515,3127,5147,133,97,23018,411,132,153,3,3,706,1436,198,236,25,26,1922,65902,4974,7258,316,210,78662
6004,9433,535,387,31,29,10416,10037,367,226,22,28,10678,3152,710,970,25,20,4884,915,424,423,3,3,1759,1957,378,460,22,15,2827,110,152,108,0,3,374,170,86,66,14,3,338,106,27,32,0,0,163,6406,1777,2052,60,46,10341,204,81,9,0,3,303,596,117,107,3,14,846,26679,2884,2783,119,117,32582
6005,2117,114,3,43,4,2286,1717,32,3,6,6,1768,329,107,9,0,0,440,204,119,18,0,0,344,412,80,6,8,0,509,26,20,17,0,0,55,32,18,3,9,5,68,21,6,0,4,0,29,1018,350,50,17,5,1442,12,18,0,0,0,33,118,30,9,0,3,164,4990,545,60,71,15,5685
7000,1840,15,19,382,74,2336,3269,12,28,84,44,3445,617,56,111,6,4,799,3907,442,228,30,21,4627,675,34,57,60,30,854,921,70,38,9,23,1064,1965,318,458,151,46,2938,423,46,24,34,13,537,8507,970,921,287,129,10811,240,15,6,51,6,319,638,72,67,166,31,973,14496,1081,1044,973,291,17882
7001,1001,135,14,176,3,1332,2199,504,30,106,7,2855,583,721,164,44,12,1520,359,236,24,18,3,641,367,198,30,51,12,664,77,27,0,0,3,109,218,186,24,65,11,508,49,27,0,7,0,79,1655,1400,242,188,39,3517,28,17,3,3,0,52,159,72,18,28,16,298,5042,2133,308,511,71,8059
7002,4715,458,705,381,27,6285,9971,1021,1872,61,32,12948,3592,1469,4464,36,27,9585,1198,614,680,7,9,2508,1845,643,1228,30,31,3783,104,51,34,0,3,188,1270,145,580,79,38,2109,111,37,71,6,7,231,8118,2957,7058,152,114,18407,101,37,37,12,10,199,644,166,345,86,36,1278,23557,4636,10022,687,213,39116
8000,73,0,0,0,0,81,124,0,0,0,0,129,4,3,0,0,0,8,12,5,0,0,0,23,25,0,0,0,0,29,3,0,0,0,0,3,12,0,0,0,0,12,7,0,0,0,0,7,67,13,0,0,0,78,3,0,0,0,0,3,7,0,0,0,0,7,271,14,0,3,0,291
8001,34285,5318,2131,75,60,41862,46356,8487,4813,31,44,59734,8494,6957,10714,12,66,26248,4876,2606,1670,4,21,9176,5245,2671,2922,12,48,10888,251,282,187,3,17,746,1723,422,410,47,10,2607,305,122,77,3,9,511,20901,13061,15978,78,164,50183,371,415,228,0,7,1023,1904,760,611,28,31,3330,103815,28041,23754,211,299,156131
9000,349,14,27,3,3,401,279,11,11,0,3,299,73,0,5,3,0,84,57,26,30,0,0,116,130,16,13,3,0,164,26,0,0,0,0,26,94,16,25,0,0,132,30,0,3,0,0,38,412,58,72,10,5,552,44,0,0,3,0,48,42,4,8,3,3,58,1130,87,115,12,16,1360
