SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1011,3261,142,166,21,8,3600,4148,92,51,20,4,4323,1697,487,522,18,12,2739,399,93,185,3,3,676,653,69,50,6,8,787,32,26,20,0,0,79,56,10,5,14,6,86,33,5,9,0,3,52,2878,688,789,36,28,4421,43,20,109,0,5,182,268,24,62,4,7,363,10597,964,1172,88,52,12879
1012,2898,882,291,86,24,4186,1428,149,104,3,13,1689,629,280,609,26,16,1551,33,123,89,3,0,244,249,104,96,4,3,455,44,47,31,0,0,125,21,14,13,17,7,69,27,5,3,4,0,47,1001,567,834,54,28,2480,44,45,6,0,7,103,175,72,64,17,5,336,5549,1710,1304,153,73,8794
1013,2601,186,19,23,5,2838,2497,92,19,6,0,2610,1022,326,213,15,7,1579,407,54,50,0,0,513,378,64,31,5,3,475,41,48,10,0,0,92,47,6,5,28,9,87,24,9,3,0,0,40,1916,504,309,49,18,2790,34,33,3,0,3,80,194,40,14,12,3,260,7248,852,353,87,37,8575
1014,2304,165,92,38,16,2623,1821,39,20,3,9,1897,778,160,243,6,3,1195,199,61,61,0,3,318,428,74,86,3,10,599,34,53,6,0,0,95,36,17,12,30,0,90,34,16,4,3,0,55,1504,377,402,41,20,2346,39,6,3,0,0,46,176,16,26,3,7,231,5848,609,549,93,48,7143
1015,1918,95,62,26,7,2111,1661,39,43,0,7,1746,744,151,472,13,11,1390,228,22,46,0,0,298,287,25,56,3,3,371,21,3,16,0,3,44,56,14,31,21,3,130,23,6,8,0,0,37,1358,222,632,35,18,2270,27,16,0,0,0,46,165,19,64,8,0,253,5129,397,805,76,36,6436
1016,1754,27,17,12,12,1827,1407,11,4,0,10,1429,522,72,95,15,0,711,226,22,50,0,0,303,307,16,9,3,6,349,52,12,17,0,0,87,29,9,3,16,0,63,33,3,0,0,0,38,1176,137,176,31,14,1541,17,0,0,0,0,17,161,10,7,6,15,201,4520,185,205,52,44,5015
1017,3075,285,60,86,13,3519,2976,161,49,4,3,3201,1092,562,366,4,11,2032,230,155,67,0,0,455,630,144,84,7,10,871,49,100,29,0,3,173,52,18,9,59,3,142,24,17,4,0,0,52,2074,987,563,74,29,3726,34,29,5,3,0,70,226,61,44,13,6,352,8390,1525,726,175,53,10869
1018,1844,104,3,12,7,1970,1250,27,3,0,4,1285,523,209,56,3,4,789,231,88,27,0,0,349,242,15,15,3,0,279,6,8,3,0,0,23,13,0,4,11,0,33,22,3,3,0,0,29,1038,324,113,19,7,1504,38,19,0,0,0,52,124,33,6,0,3,167,4300,507,126,35,12,4985
1019,3056,284,18,90,5,3453,2725,24,7,3,3,2760,967,94,61,3,3,1133,28,20,0,0,0,47,436,21,18,7,3,492,40,45,15,0,0,100,59,23,0,24,4,117,33,4,0,0,0,37,1566,202,101,36,15,1922,66,159,0,3,0,231,198,40,3,16,9,268,7614,714,124,152,36,8632
1020,1130,43,45,23,6,1255,1304,24,13,3,7,1353,720,133,70,5,0,924,147,28,28,0,0,202,220,19,13,0,0,263,9,6,10,0,0,26,23,3,0,8,0,34,20,3,0,3,3,29,1142,194,117,17,4,1479,14,3,0,0,0,20,94,22,11,9,4,146,3683,290,187,62,21,4244
