SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
2020,0,3,0,263,71,10,0,89,17,37,4,20,3,27,174,442,10,0,7,8,3,7,0,0,0,7,5,51,646,158,33,1345,142,766,48,197,40,253,187,3815
2021,0,0,0,222,71,7,4,91,3,31,8,17,3,18,157,397,4,0,4,6,0,3,0,0,4,4,6,30,603,164,42,1379,127,514,51,160,45,204,176,3466
3000,66,75,19,4703,1712,283,100,1507,161,862,90,351,142,739,5581,11526,156,26,84,145,27,90,13,24,56,145,331,1088,15883,2841,858,20054,2235,12988,973,3812,1269,7459,6199,74582
3001,157,541,26,35853,4052,545,201,3554,445,2475,199,875,301,1773,13864,28290,291,37,185,342,67,161,40,54,94,244,660,2180,61402,8853,1965,73728,9231,50294,2531,12574,3111,20058,15009,258753
3002,0,12,0,294,90,13,3,92,7,43,3,29,11,67,406,765,8,3,3,14,0,0,0,3,5,14,23,68,1294,258,42,1715,154,1050,52,425,100,767,449,6315
3003,7,25,0,1066,239,30,15,194,26,134,9,45,24,90,1222,2022,15,10,5,21,10,10,3,3,3,22,52,146,3532,613,113,3947,487,2372,168,779,198,1025,1312,14544
3004,0,0,0,211,35,6,0,27,0,17,3,3,3,3,189,287,3,0,0,0,0,0,0,0,0,0,6,16,345,36,17,517,74,377,31,51,25,46,204,1714
3005,7,12,0,716,74,10,10,63,9,65,3,15,7,27,451,736,3,0,3,10,4,9,0,0,0,3,13,42,982,103,43,1424,148,1386,63,230,99,365,475,5335
3006,37,122,9,6394,1009,222,49,1041,95,635,44,288,70,469,3869,7785,85,21,60,98,20,46,15,17,23,55,182,619,14818,3187,505,20483,2061,12091,661,3689,757,4938,4185,67382
3007,3,6,0,68,17,4,3,32,0,13,0,14,0,20,112,211,3,0,3,3,0,0,0,0,0,0,6,17,314,72,12,485,45,324,21,132,33,284,125,1859
3008,0,11,3,208,46,15,4,60,5,31,0,19,3,52,313,544,0,0,0,0,4,0,3,0,3,12,16,40,780,229,42,1059,112,667,73,368,47,604,347,4325
3009,0,0,0,49,18,0,0,9,4,8,3,6,3,7,50,111,0,0,0,0,0,0,0,0,0,0,0,5,194,36,3,286,26,178,12,60,22,97,56,972
3010,3,9,0,887,126,19,4,124,8,100,6,24,14,49,1161,1637,10,0,9,10,0,3,0,6,7,14,30,97,1760,229,89,2467,269,1734,88,342,110,536,1204,8840
3011,4,5,0,74,23,0,0,22,0,20,4,11,3,29,138,257,0,0,0,0,0,3,0,0,0,8,11,30,392,104,25,566,61,419,28,164,27,368,164,2333
3012,3,0,0,337,32,0,0,38,3,32,0,3,0,8,97,216,7,0,0,5,0,0,0,0,0,3,7,27,586,31,22,518,91,434,21,40,26,86,119,1985
3013,0,6,5,592,124,20,8,110,18,69,4,23,14,63,705,1171,8,0,9,9,4,7,0,0,4,6,23,62,1921,240,57,2268,287,1450,77,372,111,644,747,8186
3014,37,60,0,2670,492,135,24,575,58,299,39,125,39,235,2368,4384,44,4,15,53,19,28,16,6,10,31,78,296,6319,1788,232,10448,906,5358,394,1858,380,2358,2503,32535
3015,7,17,0,1149,204,39,6,225,27,100,15,47,11,72,815,1557,14,3,8,8,3,6,0,6,6,8,35,94,3145,459,105,4303,462,2564,160,646,148,1010,862,13875
3016,12,19,3,1554,290,37,7,211,34,140,8,48,25,124,1739,2668,30,3,19,18,5,12,0,3,9,26,52,183,4672,542,142,4923,677,3193,196,824,250,1357,1814,18601
3017,0,4,0,38,19,3,0,27,7,9,0,7,3,14,100,185,0,0,0,0,0,0,0,0,0,5,5,11,283,60,12,401,50,275,10,68,12,166,107,1453
3018,3,3,0,171,34,5,0,31,4,23,3,11,0,16,275,397,0,0,3,3,0,0,0,0,0,0,4,11,398,64,18,500,71,296,27,76,28,133,282,1875
4000,3,25,7,1429,573,112,26,694,58,279,32,111,40,224,1582,3726,40,5,15,40,7,16,3,11,9,50,103,290,5014,1303,323,9017,845,4097,337,1272,353,2009,1772,26345
4001,68,224,20,14328,2167,432,118,2595,237,1373,146,557,165,1177,7577,16552,108,22,79,183,31,70,11,27,48,162,315,1061,27640,6751,1245,46405,4980,25112,1676,8657,1589,13710,8190,145961
4002,0,3,0,131,37,3,0,69,7,31,0,7,3,13,158,335,3,0,0,3,3,0,0,3,0,3,6,27,613,117,16,1085,107,451,29,138,31,196,178,2964
4003,0,6,0,40,24,6,0,41,0,10,0,12,0,19,77,192,0,0,0,0,3,0,0,0,0,4,3,14,332,62,14,436,42,268,29,108,23,198,88,1592
4004,0,0,0,66,30,3,3,18,0,14,0,5,0,14,119,216,0,0,3,0,0,0,0,3,0,3,10,29,213,37,19,342,44,196,12,74,15,124,137,1204
4005,0,0,0,88,22,4,0,32,0,18,3,7,0,3,130,215,4,0,0,0,0,0,0,0,0,3,5,20,245,97,15,573,54,210,28,76,16,77,140,1527
4006,0,0,0,62,16,3,0,29,0,19,0,8,0,12,109,191,0,0,3,0,0,0,0,0,0,3,0,9,189,41,16,385,40,203,9,84,15,173,112,1266
4007,0,3,0,67,21,24,3,40,0,13,8,19,3,19,123,264,0,0,0,0,0,3,0,0,0,0,3,9,223,139,26,553,41,226,32,192,33,211,133,1809
4008,0,4,0,164,42,10,0,24,6,16,4,10,3,20,127,260,0,0,0,0,0,0,0,0,0,10,3,17,410,81,13,567,74,397,38,104,34,223,135,2071
5000,24,27,7,2502,680,123,37,706,68,366,41,142,61,302,2365,4885,56,6,25,66,10,27,0,8,18,64,189,460,4900,1147,343,7632,756,5074,395,1293,528,2414,2652,27134
5001,0,4,0,234,45,11,4,61,5,30,6,9,4,24,241,447,5,0,0,5,0,4,0,0,7,7,8,33,539,174,34,1115,97,572,52,207,53,204,259,3302
5002,0,0,0,160,29,9,3,19,5,10,3,0,0,10,133,226,0,0,0,0,0,0,0,0,0,4,3,13,363,48,21,398,69,191,23,41,16,56,141,1372
5003,16,12,0,763,119,20,5,153,12,99,12,22,13,46,850,1357,3,3,7,6,4,5,3,0,0,7,22,56,1295,288,75,2610,244,1774,140,372,149,471,883,8295
5004,3,7,3,294,66,19,0,77,10,38,5,17,6,19,508,763,3,0,0,3,0,3,0,3,0,3,14,31,633,236,43,1328,101,650,78,235,47,202,529,4084
5005,0,4,0,102,31,7,0,34,3,17,4,0,0,8,116,220,0,0,0,3,0,3,0,0,0,5,9,15,220,37,18,440,39,214,20,46,22,63,124,1241
