SUA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
2019,37,5,135,58,28,61,10,38,3,379,0,3,0,0,0,0,0,4,0,9,4,14,4,11,7,0,5,9,0,50,11,4,24,23,5,13,27,23,15,144,552,1358,859,771,531,355,223,338,54,5040
2020,64,8,191,67,58,54,22,75,4,538,3,0,0,0,0,0,3,0,0,8,19,21,14,24,20,3,11,15,3,124,39,19,56,32,22,28,25,47,36,313,1329,2404,1916,1241,982,515,460,818,136,9798
2021,77,16,298,114,62,96,24,85,4,777,0,4,4,0,0,0,0,5,0,21,21,26,13,15,18,4,14,16,0,125,32,18,47,36,28,18,27,58,27,294,1108,2792,1764,1301,982,624,372,720,109,9765
3000,1526,254,3902,1699,1144,1019,948,1696,106,12308,51,28,43,34,24,42,24,103,18,359,329,282,266,258,290,91,328,285,67,2198,1075,513,1263,865,642,680,1081,1715,832,8671,26306,34563,37799,21428,17722,8692,13884,17612,2708,180721
3001,3970,1193,11570,5823,4572,3818,1734,3418,340,36439,86,101,102,149,174,177,90,230,36,1151,1326,1962,1044,1085,1367,557,887,741,375,9340,1280,1427,2282,1565,1714,1269,1516,2158,2559,15763,91524,222975,103799,77169,90406,41474,27072,39615,10189,704230
3002,104,28,379,178,82,104,40,136,14,1062,0,3,3,3,0,4,0,6,0,20,26,18,30,21,19,11,24,32,8,182,30,18,47,40,42,41,45,81,71,417,1529,3926,2861,2262,1522,932,750,1371,207,15360
3003,403,87,1166,600,362,379,175,348,43,3555,10,11,5,7,5,6,0,11,0,61,68,104,84,86,71,31,44,42,17,540,108,95,193,165,104,143,105,183,185,1295,5076,12054,7925,6296,5172,2964,1755,2701,707,44653
3004,21,3,68,32,36,27,34,12,0,234,0,0,0,0,0,0,0,0,0,3,5,3,10,4,7,0,11,4,0,44,18,13,27,12,11,23,22,36,7,169,425,829,1034,340,438,221,486,225,47,4036
3005,48,14,211,104,70,69,83,66,5,673,4,4,3,0,0,5,9,7,0,23,18,21,25,20,14,9,42,18,4,174,30,12,84,31,21,27,55,50,54,362,1180,2683,3562,1264,1191,553,1070,903,191,12611
3006,1650,488,4892,2533,1660,1684,491,1340,162,14899,30,27,38,42,44,43,27,53,15,318,300,362,293,259,265,166,183,174,87,2081,453,390,782,546,494,564,377,662,754,5012,24286,47244,32859,24173,22031,15126,6498,12297,2946,187460
