SUA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
1000,4,38,26,260,120,110,180,77,26,842,3,7,20,119,89,226,416,309,100,1291,6,21,13,45,19,21,13,4,0,136,0,9,44,121,17,17,4,3,0,220,0,4,10,64,66,51,41,20,4,255,0,12,16,129,87,59,28,10,5,347,0,0,3,15,22,112,204,51,5,413,0,0,0,15,16,23,31,4,0,87,0,0,0,18,11,3,3,6,0,44,0,10,9,87,8,0,0,0,0,120,0,13,22,83,101,292,633,308,95,1546,32,193,268,1286,1110,1326,919,306,52,5493,0,3,9,54,49,39,98,50,15,330,3,5,4,84,22,4,6,4,0,140,3,9,10,103,94,77,20,9,0,326,26,150,98,335,106,24,17,9,3,767,0,3,0,36,18,55,51,33,23,216,4,19,22,139,211,375,471,242,67,1559,3,8,3,30,42,34,8,5,0,132,3,87,109,335,262,252,191,63,5,1317
1001,0,3,3,23,4,5,9,10,0,59,0,3,3,3,3,18,21,16,6,77,0,3,0,0,0,0,0,0,0,6,0,0,4,14,0,0,0,0,0,24,0,0,0,6,3,4,0,0,0,22,0,4,0,10,3,7,3,0,0,34,0,0,0,0,0,3,7,9,0,18,0,3,0,9,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,7,3,44,57,34,3,0,0,0,0,144,0,3,0,11,9,25,74,35,6,171,0,20,46,121,97,68,52,16,5,434,0,0,0,3,3,4,5,0,0,14,0,4,0,28,4,0,0,0,0,36,0,0,0,13,5,3,0,0,0,23,0,34,31,75,24,9,3,0,0,186,0,0,0,4,0,4,9,0,9,27,0,0,10,12,31,32,43,25,10,162,0,0,0,8,0,0,0,0,0,12,0,3,25,32,22,11,8,0,0,104
1002,0,0,0,5,5,3,0,0,0,14,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,8,47,6,0,0,0,0,62,0,0,0,3,0,5,9,0,0,20,0,15,25,29,25,26,15,4,3,137,0,0,0,0,0,0,0,0,0,0,0,3,7,17,0,0,0,0,0,27,0,4,3,7,3,3,0,0,0,22,0,3,7,29,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,7,0,0,5,3,10,5,12,4,6,45,0,0,0,0,0,0,0,0,0,5,0,6,9,8,7,3,3,0,0,39
1003,0,0,0,5,0,3,4,0,3,24,0,0,0,9,3,4,6,9,6,37,0,4,0,3,3,0,3,0,0,13,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,13,0,0,0,0,0,3,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,10,4,8,34,0,7,9,53,43,45,27,13,5,208,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,13,0,0,3,5,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,3,0,0,0,3,13,8,14,13,6,62,0,0,0,0,0,0,0,0,0,6,0,0,8,16,9,5,14,3,3,57
1004,0,0,0,3,0,3,10,7,0,22,0,0,0,0,3,9,10,14,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,7,0,0,0,6,0,0,0,3,0,3,9,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,8,0,47,0,4,5,17,13,29,27,7,4,112,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,11,0,0,0,4,5,7,14,12,8,44,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,5,16,4,0,32
1005,0,5,0,12,4,3,3,6,0,32,0,0,0,0,3,9,4,0,0,18,0,3,3,0,0,0,0,0,0,9,0,3,3,11,0,0,0,0,0,18,0,0,0,9,5,3,3,0,0,21,0,4,0,5,3,0,3,0,0,16,0,0,0,0,0,3,3,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,20,3,0,0,0,0,29,0,0,0,0,6,8,9,7,0,35,3,13,26,59,45,30,19,3,3,205,0,0,0,0,0,0,3,0,0,9,0,0,0,17,0,0,0,0,0,18,0,0,0,4,3,0,0,0,0,12,3,13,15,27,3,3,0,0,0,64,0,0,0,0,0,0,0,4,0,8,0,3,4,8,10,16,14,12,0,66,0,0,0,4,0,0,3,0,0,6,0,5,9,15,10,6,7,0,0,46
1006,0,3,0,5,9,12,16,4,0,60,0,0,4,8,8,13,25,12,12,81,0,0,0,3,0,0,3,0,0,9,0,0,3,4,0,0,0,0,0,12,3,0,0,3,5,0,5,0,0,13,0,0,4,0,0,4,5,0,0,16,0,0,0,0,0,5,13,6,0,25,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,63,0,0,0,0,0,65,0,0,0,3,5,13,28,22,3,71,0,4,11,54,52,50,52,30,3,254,0,0,0,0,5,4,8,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,5,7,16,4,3,0,0,0,36,0,0,0,0,0,6,9,3,3,28,0,0,0,8,21,22,39,29,10,131,0,10,0,0,0,0,3,3,0,20,0,6,11,23,17,8,16,13,0,83
1007,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,7,7,7,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,3,12,6,4,7,3,0,38,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,19,5,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
1008,0,0,0,0,3,4,7,3,0,16,0,0,0,0,0,3,3,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,10,15,10,3,39,0,0,3,16,13,18,29,10,0,95,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,10,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,17
1009,7,36,13,125,71,85,114,70,10,529,0,0,3,34,46,102,144,141,39,511,3,18,7,18,15,5,3,0,0,75,0,25,26,100,46,24,27,3,3,251,0,3,0,17,37,24,18,3,0,105,0,3,27,58,42,26,18,17,0,186,0,0,0,5,18,66,155,77,5,329,0,4,0,11,15,13,9,5,4,63,0,0,0,9,7,0,3,4,0,30,0,3,0,33,5,3,0,0,0,49,0,11,8,22,26,82,176,107,42,473,21,79,137,761,572,513,339,136,44,2606,0,5,3,26,33,22,44,29,6,164,3,8,10,37,7,7,3,0,0,72,0,7,9,40,38,26,7,8,0,133,6,45,64,210,65,61,32,8,4,501,0,0,4,35,18,29,30,25,16,152,4,25,20,110,154,195,225,151,42,928,3,13,10,15,23,12,5,4,4,83,0,43,83,209,171,96,85,47,10,755
