SUA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1010,28,47,143,166,261,478,620,575,395,2701,4,22,48,57,64,53,38,28,24,338,230,287,572,532,684,829,763,814,616,5335,1766,3470,7253,7680,8889,9927,8044,4602,2031,53658
1011,15,23,41,63,111,293,325,310,195,1364,0,0,3,10,14,24,22,25,7,110,143,193,434,330,353,377,359,310,165,2659,1063,2356,5214,4340,4422,4134,2967,1904,798,27208
1012,4,16,23,31,69,176,320,306,208,1157,5,0,3,3,11,3,6,17,9,56,62,52,126,129,187,253,458,460,292,2025,436,680,1447,1690,2205,3113,3873,2580,1229,17255
1013,8,10,33,49,90,168,286,227,122,997,0,4,13,7,16,25,18,18,3,103,90,184,408,348,291,254,340,305,251,2471,657,1397,2988,2748,2958,2855,2342,1395,667,18014
1014,12,13,44,48,84,146,244,240,216,1048,0,3,4,3,10,8,8,13,5,58,75,109,234,218,207,231,249,259,156,1744,549,967,1997,2078,2256,2445,2137,1436,725,14584
1015,8,21,48,65,88,188,276,322,193,1202,0,9,33,22,34,33,33,50,28,252,88,115,274,230,229,263,240,237,178,1851,568,1188,2825,2307,2337,2116,1497,1152,596,14589
1016,11,15,38,29,93,189,268,189,115,935,6,0,0,5,3,6,6,7,9,44,90,156,376,292,246,295,230,235,197,2118,438,833,1644,1556,1781,2009,1713,929,477,11378
1017,13,21,33,63,85,186,256,310,290,1252,3,3,4,8,13,14,20,16,12,82,126,212,316,240,289,356,289,272,205,2310,801,1947,3331,3306,3704,3825,2753,1703,970,22345
1018,7,6,16,27,45,144,176,160,94,670,0,0,3,3,0,5,12,10,3,37,50,110,292,220,201,184,234,181,74,1550,357,743,1531,1405,1594,1735,1593,961,376,10290
1019,10,11,27,38,83,201,228,231,160,995,0,3,4,4,9,23,20,9,3,68,46,62,125,120,163,227,304,292,283,1625,677,1358,2359,2458,2983,3199,2972,1988,915,18909
1020,0,8,15,19,50,72,105,111,85,461,0,0,3,0,0,5,4,7,4,23,57,57,142,128,163,142,147,98,39,972,333,642,1610,1438,1504,1255,1036,690,304,8807
1021,5,12,30,28,67,109,107,101,44,506,0,0,0,0,3,10,3,7,4,29,36,68,223,169,179,129,111,76,33,1015,339,771,1870,1530,1662,1309,876,439,138,8936
1022,8,9,25,35,47,140,261,206,133,863,3,3,3,7,22,30,19,19,6,109,81,86,140,177,255,304,524,504,373,2444,647,1133,2017,2743,3404,3864,4468,2528,999,21808
1023,175,243,594,696,1369,3155,3932,3653,2388,16199,22,57,109,145,194,190,179,223,121,1237,1096,1610,3450,3038,3560,3761,4090,3919,3057,27590,12970,31673,61122,58050,59720,57071,44628,24596,11405,361232
1024,11,24,63,87,133,319,376,294,163,1484,0,0,7,4,8,25,19,13,3,80,173,317,591,500,457,424,498,403,309,3681,1069,2333,4461,4027,4329,4601,3931,2158,908,27818
1025,21,24,66,85,146,322,378,335,230,1605,0,0,15,22,20,31,26,15,8,141,157,176,376,356,398,350,375,365,149,2708,1138,2232,5245,4912,4735,4369,3449,2131,901,29121
1026,6,4,12,16,34,108,124,114,106,530,0,0,3,0,3,3,3,6,0,23,63,58,105,114,150,147,175,174,83,1077,354,651,1280,1200,1347,1335,1031,727,344,8265
1027,9,10,46,48,126,258,412,446,335,1702,0,0,8,11,13,23,19,12,16,98,125,120,282,247,353,423,687,670,535,3446,980,1887,4272,4831,5660,6000,6458,4159,1962,36212
1028,6,11,25,31,52,108,136,130,98,592,3,0,5,3,9,0,3,3,0,27,54,63,149,135,135,136,120,86,46,929,599,1138,2246,2151,2225,1722,1051,597,292,12031
1029,13,3,19,28,70,168,315,227,105,950,4,0,0,0,3,6,10,24,3,50,51,57,93,103,174,185,299,273,178,1420,431,741,1520,1863,2185,2742,2998,1681,616,14766
1030,757,1818,6012,8593,14751,26314,34038,30095,16559,138932,249,1277,4784,5035,7755,10022,9044,9325,4477,51963,12676,22090,55471,42021,36371,32546,29436,23081,17408,271114,119058,318521,732324,649158,576008,474266,330517,179935,84898,3464682
1031,16,30,76,80,163,295,392,368,278,1699,0,10,11,17,37,23,22,19,9,148,186,236,477,435,411,514,451,403,215,3318,1179,2529,5534,4715,4971,4886,3836,2414,1038,31103
1032,19,17,48,82,119,292,399,403,265,1641,0,0,0,6,7,14,12,21,13,77,87,97,161,180,280,331,402,391,294,2233,706,1339,2425,2495,3205,3591,3361,2169,1048,20340
1033,7,3,19,18,29,136,183,184,83,657,0,0,3,3,5,7,5,10,3,32,42,33,80,86,141,204,252,259,181,1286,310,465,1166,1449,1836,2512,2579,1541,595,12457
1034,18,37,101,117,168,299,414,418,328,1901,3,11,35,43,26,26,32,12,12,201,214,289,449,393,433,454,449,391,201,3279,1863,4404,7559,6556,6464,6184,4460,2716,1304,41504
1035,77,125,298,423,832,2196,3213,3277,1845,12289,19,30,93,99,132,228,362,518,257,1730,764,1076,1994,1826,2160,2323,2624,2496,1572,16837,8745,20436,35238,35928,37457,34924,26991,16518,7055,223294
2000,386,445,1037,1211,2223,4799,10882,9654,5621,36265,44,70,206,218,332,306,361,333,145,2004,2785,2826,6427,7541,9689,11047,11078,7774,4010,63164,15979,30409,62027,76290,98437,108872,90977,44474,17891,545364
2001,10,14,26,33,56,126,235,174,82,739,0,0,5,9,9,9,4,6,0,48,60,60,132,186,177,171,187,137,98,1213,536,1206,2531,2783,2799,2373,1900,795,333,15261
2002,4,12,35,34,62,102,223,239,141,845,0,3,0,3,11,9,17,7,0,51,82,98,180,148,178,227,268,253,184,1620,342,812,1627,1519,1764,1908,1851,1209,563,11603
2003,66,75,164,169,286,545,1129,1129,727,4291,3,17,32,49,60,36,22,25,10,256,357,521,862,796,897,945,1046,882,518,6819,2845,7480,12974,12152,12619,11785,9476,5364,2375,77079
2004,52,91,222,213,315,517,1066,1123,757,4361,3,20,87,86,93,73,48,29,7,446,385,439,879,775,901,932,983,988,678,6967,2675,6954,12406,11240,11537,11398,8873,5243,2515,72838
2005,8,8,26,48,40,79,227,259,184,877,0,5,8,15,29,41,19,3,3,133,37,55,113,82,119,146,194,165,100,1021,296,744,1432,1318,1515,1603,1318,914,460,9602
2006,11,18,37,31,62,145,357,308,184,1139,0,3,9,6,5,12,11,11,0,51,63,84,171,160,208,250,300,301,190,1740,506,937,2168,2219,2565,2726,2712,1601,622,16052
2007,133,172,384,479,645,1274,2652,2828,1912,10475,24,55,138,162,167,149,184,207,98,1180,741,1091,2259,2103,2295,2255,2479,2155,1456,16831,6322,16122,31377,31699,32007,30228,24331,13704,6564,192339
2008,6,3,13,8,32,50,152,111,80,444,0,0,4,3,3,6,0,0,0,17,51,42,94,164,173,156,161,104,72,1017,460,958,1780,2823,3138,2611,2060,764,303,14892
2009,9,7,31,45,43,80,206,313,208,944,0,3,3,4,10,11,6,3,0,38,58,55,132,115,145,174,183,157,103,1125,385,974,2008,1788,1986,2111,1664,1146,539,12599
2010,1476,2378,7693,9609,14005,23969,45271,45194,23980,173567,352,1504,4805,5331,6877,7932,7893,9116,3869,47685,12484,20594,49790,37838,34706,31528,30103,25880,17313,260241,111417,322788,709820,616586,564074,455876,328763,189742,86785,3385848
2011,47,51,198,183,252,484,763,364,154,2499,5,14,65,84,97,71,78,45,13,475,225,315,751,630,571,540,498,288,116,3934,1703,3956,9559,8552,7006,6469,4418,1534,541,43743
2012,43,54,130,150,251,460,883,838,436,3245,8,15,53,61,78,68,68,67,28,450,249,289,638,493,645,728,763,585,335,4716,1439,2967,6125,5758,6536,6453,5229,2999,1271,38774
2013,17,25,48,52,99,181,278,254,168,1131,0,0,11,9,10,11,9,17,7,73,69,93,157,138,199,222,281,242,168,1573,478,1104,1881,1756,2141,2350,1906,1141,537,13299
2014,4,9,24,30,45,104,167,199,156,744,0,0,3,7,9,3,3,3,3,29,54,68,83,103,141,154,155,127,61,943,297,572,1031,1249,1542,1667,1209,704,333,8602
2015,3,14,26,25,50,60,181,202,128,686,0,3,14,9,15,12,7,7,4,71,47,66,156,150,172,180,167,152,86,1182,353,808,1843,1743,1906,1860,1439,886,449,11291
2016,38,62,192,226,240,383,721,730,395,2991,13,35,121,152,122,84,80,76,45,721,232,226,595,542,616,632,680,520,292,4330,1332,2908,6413,6014,6397,5846,4671,2753,1210,37551
2017,0,7,33,26,29,65,159,212,152,696,3,6,13,33,31,18,11,25,8,148,81,81,152,137,165,168,185,160,89,1211,301,673,1414,1256,1320,1255,1049,792,385,8448
2018,16,54,110,120,154,323,600,634,333,2335,0,3,28,15,33,26,27,44,23,199,196,226,483,384,520,557,519,517,249,3651,1032,2613,5384,4706,5226,5160,4011,2473,1062,31669
2019,10,16,36,40,58,122,267,325,247,1119,0,0,3,6,15,10,14,19,3,71,82,75,108,139,165,218,243,261,279,1566,453,954,1971,2129,2361,2413,2108,1446,856,14693
2020,26,15,54,54,97,161,471,478,314,1670,3,8,14,16,28,15,21,11,9,122,101,141,250,301,370,384,422,348,127,2438,922,1898,4050,3870,4606,4463,4032,2198,835,26873
2021,13,20,54,56,66,194,449,476,337,1668,0,3,24,12,16,11,17,0,0,90,151,160,279,296,375,377,440,403,232,2721,959,2233,4106,3970,4520,4302,3438,2003,973,26508
3000,246,361,1144,1521,3154,6575,16618,11391,4597,45606,50,84,205,218,339,401,551,455,205,2500,3853,4735,10585,10544,12177,12389,11004,6489,2707,74486,22674,38551,83730,90945,107797,109646,86399,37808,11982,589522
3001,471,907,2657,3552,5342,8381,21275,17639,9657,69883,108,467,1496,1543,1985,1939,1374,1140,565,10616,6767,11023,23592,19093,18600,16020,14413,11496,8737,129740,73913,166199,334841,308295,287843,233765,168917,83384,36976,1694142
3002,21,35,97,161,270,490,1628,1484,713,4906,4,8,32,21,47,48,34,38,18,248,226,289,545,495,647,756,869,840,433,5109,2140,3749,7480,7470,8575,9116,8644,5273,2016,54462
3003,46,57,195,258,377,577,1227,949,484,4161,7,38,152,164,177,131,105,73,29,879,768,964,2247,2094,2226,1875,1377,812,395,12756,4426,8512,20106,21102,21094,17321,11475,4733,1780,110554
3004,4,3,8,8,32,57,86,58,18,278,0,4,3,0,3,3,8,0,3,27,117,126,306,296,287,159,58,33,13,1394,453,929,2331,2033,1845,1232,466,180,55,9522
3005,8,9,34,69,120,179,440,366,136,1355,3,9,13,17,10,18,8,4,4,87,194,244,512,482,519,416,231,160,72,2829,1375,2933,6648,6394,6260,4660,2430,1165,411,32277
3006,103,161,534,677,1148,2194,4622,4245,2558,16232,31,71,231,217,231,258,233,229,129,1633,2428,3282,6971,6273,6521,6301,6431,5232,3852,47302,19163,40185,82531,84146,83351,73748,62267,33082,14635,493110
3007,4,9,36,57,74,138,446,437,225,1434,0,0,0,17,13,10,8,11,3,61,64,68,178,154,191,220,291,280,220,1660,630,1135,2330,2271,2605,2655,2363,1467,672,16123
3008,15,18,59,92,151,330,1089,933,386,3072,3,3,18,20,25,20,25,33,11,155,200,179,351,425,527,645,877,737,352,4288,1374,2161,4486,5356,6336,7423,8460,4702,1511,41802
3009,4,5,23,24,27,48,218,196,109,655,0,0,3,3,10,12,3,7,0,38,41,50,90,83,74,97,97,110,76,714,361,678,1286,1188,1167,1192,1005,600,270,7753
3010,21,28,79,108,207,424,1139,992,495,3501,3,7,15,28,40,18,27,24,18,181,250,397,1021,964,1105,900,635,504,265,6041,2408,4983,11422,10500,11278,9264,5601,3134,1296,59893
3011,7,9,33,73,111,209,627,586,266,1916,0,0,6,8,18,16,21,8,4,79,107,187,371,433,327,363,380,340,140,2634,771,1396,2605,3048,3394,3838,3524,1977,770,21313
3012,11,11,21,32,71,92,195,114,31,582,0,0,7,6,9,8,25,4,5,70,135,166,452,295,365,252,134,53,18,1869,589,1372,3477,2565,2466,1660,872,322,81,13409
3013,23,42,161,196,283,393,1295,1309,497,4204,4,25,53,42,46,40,29,30,9,274,359,539,1042,932,998,870,679,682,513,6611,2815,5397,10954,9439,9963,8663,5823,3610,1519,58185
3014,38,57,200,285,500,906,2849,2915,1800,9553,21,26,55,48,103,95,83,71,42,537,861,1092,2093,2439,2805,2773,3051,2593,1958,19674,8762,15387,31676,38598,43236,41042,36206,19649,8385,242948
3015,52,76,167,197,366,569,2016,1857,890,6183,9,9,61,84,106,98,67,47,41,513,551,630,1165,1070,1136,1174,1230,1157,906,9013,4232,8698,16916,15731,16352,15185,12094,7030,3116,99361
3016,63,63,192,273,435,779,1780,1511,699,5795,6,25,63,92,98,79,71,63,25,537,863,1596,2521,1943,1919,1578,1302,893,447,13058,6988,15234,26476,23115,22444,18166,12069,5855,2211,132550
3017,4,8,18,30,65,133,313,273,104,957,0,3,7,7,0,3,16,4,3,41,41,50,82,111,129,136,192,183,130,1052,450,910,1515,1573,1879,1902,1755,1067,391,11447
3018,3,4,7,11,36,95,277,256,128,826,3,0,6,4,9,3,3,8,11,48,63,77,173,203,264,251,177,156,80,1463,522,973,1958,2190,2595,2502,1841,1000,418,13999
4000,92,125,374,429,743,1735,4663,3846,2279,14303,14,39,103,149,149,124,157,138,50,914,957,999,2225,2546,3477,3702,3511,2264,1566,21249,5995,11848,25752,29299,38080,41251,33321,15603,6508,207663
4001,343,535,1853,2147,3028,5710,12901,13899,9154,49560,84,310,1032,1444,1766,1704,1503,1882,945,10666,3169,4611,10100,9021,9728,9662,9692,8574,6017,70572,33566,87882,176559,164986,170605,154481,118657,67782,33934,1008461
4002,9,20,64,68,91,183,468,490,283,1673,0,8,18,21,18,24,15,17,5,129,80,80,195,223,253,265,312,258,137,1805,762,1576,3356,3348,3943,3659,2834,1654,723,21852
4003,13,12,43,53,58,156,383,358,217,1283,4,9,17,21,15,11,13,7,0,100,64,136,281,222,218,159,216,142,80,1520,480,1244,2377,1922,2253,2070,1909,1166,476,13906
4004,11,5,21,24,36,110,217,190,90,704,0,0,4,4,4,4,15,17,4,61,67,174,382,299,281,238,224,135,53,1850,340,890,1888,1572,1864,1740,1339,635,245,10520
4005,0,8,14,16,28,96,228,229,136,764,0,0,0,0,3,9,6,5,4,30,64,81,193,194,202,210,170,151,65,1342,351,840,1959,1881,2097,2085,1562,874,394,12031
4006,3,3,19,35,50,131,357,322,179,1112,0,0,0,0,10,6,3,9,9,42,64,53,109,123,160,155,186,155,81,1076,376,823,1469,1553,1962,1790,1588,993,421,10977
4007,4,14,23,24,29,89,356,385,263,1197,0,0,0,3,6,3,11,4,4,36,52,53,89,146,183,267,387,416,329,1919,397,794,1652,2138,2662,3973,5479,3219,1320,21632
4008,11,4,32,40,62,139,297,279,126,983,0,0,5,3,13,4,10,19,4,68,79,110,219,181,303,269,271,245,108,1801,521,1303,2759,2578,3209,2670,2013,1244,429,16725
5000,162,178,406,537,802,1501,2532,2278,889,9276,29,52,162,129,174,204,238,199,87,1263,1578,2197,6638,6124,6208,5258,3830,2264,933,35040,7794,14135,38241,39228,43976,41105,27973,11971,3639,228069
5001,8,6,29,46,61,111,279,373,223,1153,0,0,7,4,11,11,7,18,14,72,125,158,399,338,351,370,371,358,288,2754,1076,1647,3573,3806,4396,4476,3707,2228,1010,25931
5002,8,10,15,30,28,61,67,29,12,263,0,3,0,11,10,9,6,0,0,49,77,102,406,356,283,267,140,46,19,1703,359,677,2529,2336,1930,1629,673,200,44,10370
5003,26,9,56,79,95,234,503,613,308,1929,3,10,26,21,29,22,26,19,18,175,288,290,799,792,835,730,692,536,319,5276,2167,3907,9360,9648,9928,8740,6299,3216,1333,54601
5004,15,4,15,21,31,81,230,305,165,864,0,7,24,16,12,12,12,4,3,88,115,119,316,371,396,427,427,358,246,2765,895,1458,3768,4927,4938,4716,4233,2124,848,27910
5005,3,3,8,10,21,52,109,139,52,389,0,0,0,3,5,3,3,3,4,23,83,73,177,166,240,196,189,127,70,1313,397,624,1354,1442,1778,1533,1221,651,247,9246
5006,11,10,22,53,80,208,373,395,163,1316,0,0,8,5,18,22,24,25,19,123,214,245,533,505,547,449,384,322,155,3350,1285,2152,4593,4794,5411,4527,3147,1732,620,28266
5007,16,16,42,42,60,113,165,131,58,631,0,4,11,17,19,21,6,8,5,81,148,228,619,516,500,461,211,122,33,2839,954,2035,5273,4498,4162,3128,1371,554,150,22126
5008,0,4,20,13,33,33,27,8,0,147,5,0,4,9,4,0,0,0,0,26,69,126,471,385,315,167,54,8,3,1605,383,965,3388,2917,2058,1169,293,44,7,11232
5009,363,570,2029,2814,3635,6082,10629,12528,6552,45206,94,388,1460,1509,1616,1615,1276,1523,768,10251,5637,9283,23854,18347,17131,15255,14060,12473,8634,124672,56066,130796,301816,267117,252568,208458,149286,80684,34295,1481087
5010,8,3,13,27,38,52,41,22,4,204,3,0,3,3,7,14,20,16,7,68,86,149,501,381,359,230,81,29,7,1818,341,856,3133,2305,1946,1167,337,103,32,10222
5011,3,3,9,16,12,27,46,45,21,177,3,0,6,5,9,3,6,4,0,28,50,63,172,162,166,126,148,140,89,1112,342,652,1741,1678,1597,1126,970,470,150,8725
6000,48,44,131,162,378,1008,1723,1583,933,6005,14,14,24,23,46,55,66,50,35,328,602,579,1132,1322,1988,2461,2425,1544,519,12570,4277,6712,13801,16575,22583,25718,20402,8769,2604,121442
6001,9,9,41,46,81,173,271,386,284,1301,0,11,13,11,32,21,13,6,0,98,83,89,167,181,262,283,396,323,147,1942,879,1542,2877,2933,3616,3523,2955,1850,683,20864
6002,11,11,40,39,58,199,296,338,286,1283,0,5,9,14,15,11,14,10,5,77,89,72,186,190,244,334,429,377,231,2158,909,1538,3222,3372,3855,3938,3533,1922,825,23121
6003,78,105,253,256,362,837,1228,1570,1279,5960,13,28,85,133,172,130,91,75,41,778,627,833,1802,1607,1789,1985,1985,1659,859,13147,5564,13150,26547,25361,26848,26446,20163,11219,5038,160324
6004,47,71,130,148,207,381,601,775,735,3084,7,33,71,114,122,67,43,43,24,532,328,412,718,669,815,834,997,710,449,5946,2749,6179,10251,10115,11166,10360,8409,4703,2220,66150
6005,7,3,7,20,25,87,186,266,159,759,0,0,0,5,7,7,3,0,3,28,41,45,84,81,121,146,183,191,78,959,426,682,1303,1455,1944,2131,1877,1122,383,11324
7000,477,576,1170,1082,1125,994,678,202,34,6339,51,74,177,138,261,254,249,163,40,1407,992,1297,2536,2065,2038,1453,720,224,49,11382,3773,6306,13603,11355,10863,7755,3731,1004,171,58562
7001,23,27,73,114,146,166,172,87,43,840,3,8,20,26,31,29,29,26,18,192,161,206,631,475,514,449,258,91,33,2820,650,1371,4265,3599,3767,3079,1373,492,164,18764
7002,42,44,207,286,388,594,729,433,138,2858,4,26,72,81,83,136,100,77,31,614,634,1249,3662,2579,2176,1712,984,373,147,13521,3178,8890,25091,19621,16631,12444,6553,2272,603,95277
8000,0,0,0,3,0,8,3,4,0,23,0,0,3,0,0,0,0,0,0,3,19,17,26,43,34,30,10,3,3,180,72,132,222,261,228,197,92,37,7,1248
8001,81,136,313,415,640,1342,2024,1891,1044,7879,18,61,180,186,228,237,225,286,122,1537,1117,2068,4737,3600,3188,2806,2491,2040,1494,23534,12167,33609,71601,63308,56399,45317,31726,15564,6672,336354
9000,0,0,4,6,23,69,58,21,3,190,0,0,0,3,12,46,51,24,4,148,30,72,172,122,133,116,76,39,12,759,96,208,573,635,711,708,469,182,58,3632
