SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1000,2149,2495,4644,1547,1636,3181,2216,6762,8982,2184,11168,13355,9382,24021,33402,8648,10661,19309,25826,9044,34874,18962,9363,28325,24400,7796,32197,22656,4680,27331,15815,3323,19135,16113,2522,18634,27344,3227,30569,16722,365,17088,9974,156,10126,6273,1544,7813,12491,181,12669,27343,1610,28954,5404,6999,12407,255448,107559,363003
1001,119,215,327,93,133,228,163,642,801,208,1015,1224,678,1949,2626,740,1110,1850,1819,1013,2827,1542,1107,2645,2014,955,2968,2112,679,2786,1616,418,2035,1597,292,1888,2941,411,3348,1834,91,1931,1059,28,1084,538,135,680,877,18,901,2036,203,2240,396,547,939,22385,10957,33337
1002,37,61,98,13,39,49,53,180,232,37,241,284,153,491,642,189,287,479,401,278,679,386,238,629,437,249,686,460,144,606,360,129,495,366,102,467,636,144,778,390,17,409,256,9,264,166,43,205,288,8,290,496,78,579,77,140,211,5196,2892,8089
1003,29,63,93,23,37,62,36,148,182,49,356,399,206,759,971,212,429,635,694,331,1032,514,294,807,701,261,967,615,154,763,395,120,515,425,113,531,731,116,850,422,19,442,270,11,278,153,60,214,333,12,340,579,88,665,123,236,356,6495,3605,10102
1004,44,45,87,24,23,48,51,115,163,36,202,237,184,481,662,173,260,433,570,194,770,384,202,588,536,149,683,479,89,568,243,48,288,262,28,288,377,44,419,200,7,207,99,6,101,47,30,76,95,0,95,360,34,391,104,150,258,4256,2118,6371
1005,44,83,127,33,41,83,67,221,292,72,305,378,224,730,951,279,385,670,610,336,945,525,355,888,683,348,1025,728,244,980,566,194,763,549,170,721,1055,157,1212,778,22,799,537,16,547,277,48,322,431,8,436,769,106,871,136,189,325,8368,3962,12333
1006,83,89,173,54,58,113,68,168,232,58,362,418,260,772,1035,235,431,665,730,333,1063,638,371,1005,854,331,1185,821,196,1015,665,159,818,630,141,774,1254,173,1429,784,18,798,485,9,495,365,97,459,771,10,784,1072,60,1129,149,235,382,9969,4004,13977
1007,22,43,60,19,27,47,45,185,228,53,325,378,207,650,861,203,244,446,503,198,702,355,169,526,406,172,578,328,117,443,235,102,337,269,94,363,426,95,520,300,7,308,183,8,185,100,39,139,188,0,185,474,32,508,148,207,354,4461,2716,7184
1008,34,55,95,33,33,58,37,107,141,36,218,255,186,589,773,202,249,449,724,177,901,484,171,654,505,124,636,428,55,488,258,38,298,236,30,268,410,36,449,248,4,252,139,3,141,71,20,88,111,5,117,465,16,478,103,184,285,4713,2106,6814
1009,586,821,1413,359,424,784,521,1728,2244,572,3228,3800,2277,7609,9884,2416,3905,6323,7327,2805,10133,5661,2961,8624,7114,2614,9724,7073,1696,8772,5505,1249,6758,5543,943,6484,10294,1185,11479,6877,200,7078,4178,96,4281,2758,483,3243,4849,72,4920,8130,616,8745,1380,2384,3762,83419,35032,118450
1010,132,155,285,72,80,145,111,467,581,129,821,949,621,1682,2300,624,874,1499,1847,731,2578,1455,730,2187,1762,605,2365,1752,367,2121,1211,239,1452,1127,188,1311,1933,182,2115,1168,56,1227,644,25,669,415,103,517,675,21,694,1655,159,1810,282,456,734,17596,7955,25549
1011,47,79,123,28,55,75,60,187,247,78,327,404,239,646,890,273,322,594,664,345,1011,580,368,947,786,355,1142,775,236,1010,615,188,799,656,138,793,1125,193,1318,773,31,804,480,14,496,261,66,329,444,15,458,941,78,1018,169,246,417,9000,3884,12879
1012,55,61,113,43,42,84,40,196,234,46,336,382,308,894,1205,199,394,596,976,295,1270,545,288,838,664,204,867,505,86,588,278,59,338,282,50,332,378,53,431,230,6,237,103,0,107,89,40,129,134,3,140,467,39,506,151,254,405,5490,3307,8794
1013,34,45,82,38,52,88,42,160,207,57,316,369,181,623,805,166,300,468,485,226,710,419,251,673,512,222,735,534,130,666,365,138,496,369,98,468,707,91,796,449,21,471,278,3,282,146,37,188,246,7,251,523,30,553,116,161,272,5661,2917,8575
1014,23,46,72,14,21,40,59,147,204,50,249,300,191,672,858,227,298,529,590,232,823,456,190,651,519,162,673,450,76,527,307,62,365,278,49,325,408,51,457,257,4,262,135,5,142,77,16,96,111,3,113,410,49,462,83,169,254,4642,2496,7143
1015,34,52,88,25,22,51,27,95,120,34,170,200,153,314,468,141,133,279,366,161,519,301,190,490,357,157,510,430,119,548,370,72,442,298,50,349,564,82,643,351,23,372,211,14,227,125,35,155,217,18,233,437,33,474,122,142,259,4571,1866,6436
1016,15,22,43,23,26,44,45,111,150,46,188,239,142,438,581,213,145,352,464,151,610,322,140,463,377,87,467,315,44,360,246,25,270,205,24,223,293,27,319,155,0,159,77,3,80,32,14,47,51,3,53,299,21,325,102,135,240,3420,1599,5015
1017,44,68,106,29,40,70,48,257,306,63,411,474,248,911,1158,322,465,787,690,379,1065,535,381,912,759,336,1092,724,183,905,525,110,630,487,98,587,766,103,863,398,16,414,193,13,203,139,45,181,180,4,189,546,92,642,95,182,276,6785,4085,10869
1018,19,48,63,18,26,52,33,157,193,40,254,292,114,488,598,154,152,310,374,157,533,251,112,361,312,130,438,227,69,296,168,40,206,173,44,221,301,57,353,192,5,193,122,3,126,78,24,104,158,4,160,270,6,283,70,130,200,3063,1920,4985
1019,37,63,102,28,14,46,50,126,168,36,194,230,206,544,752,185,277,462,633,219,854,524,200,722,599,171,772,530,96,629,408,79,485,378,44,423,721,65,787,481,11,487,271,3,274,178,34,209,285,3,289,613,46,665,111,160,266,6277,2355,8632
1020,14,29,48,16,23,32,24,62,80,33,112,141,88,253,343,76,146,227,247,89,342,183,109,292,251,100,354,249,69,317,157,35,193,174,55,230,345,84,430,243,5,246,156,5,158,124,27,153,223,7,232,277,23,298,44,93,132,2913,1331,4244
1021,33,30,62,24,22,49,35,97,131,35,121,154,103,215,319,125,96,224,222,90,308,196,115,308,208,120,324,209,80,293,176,77,252,175,54,232,380,110,491,267,12,275,174,7,181,111,31,139,193,9,200,270,22,289,66,86,150,3003,1393,4395
1022,51,81,134,47,39,87,57,156,217,38,306,343,266,661,924,202,368,567,731,273,1001,580,276,853,748,255,999,663,135,797,436,99,533,422,75,502,742,91,826,475,12,488,279,0,279,159,63,222,342,4,347,777,44,821,128,183,316,7133,3126,10257
1023,724,1125,1847,441,570,1015,802,2763,3565,888,4929,5813,3245,10365,13611,3518,4541,8060,10180,3859,14041,7682,4298,11981,9997,4183,14179,9829,2844,12670,7883,2254,10135,7887,1686,9574,15035,2419,17455,10849,430,11280,6805,215,7021,4151,818,4971,8279,207,8487,11038,1228,12260,1652,2600,4247,120900,51331,172235
1024,64,74,135,47,61,108,90,260,344,111,428,541,306,865,1170,334,403,737,969,321,1292,692,348,1042,868,284,1152,842,198,1036,591,128,721,563,99,665,949,90,1044,604,11,610,297,3,294,174,39,211,337,12,345,891,51,946,164,262,420,8886,3927,12808
1025,62,102,165,57,72,130,64,268,335,64,476,536,283,838,1117,336,371,707,747,356,1103,559,388,946,815,414,1226,797,246,1045,608,208,816,657,161,818,1225,193,1423,828,27,854,517,24,543,313,84,400,625,22,648,883,75,953,156,244,405,9607,4572,14179
1026,22,24,53,12,17,31,18,81,105,38,147,188,95,281,379,95,107,202,239,89,333,189,108,297,216,89,306,222,61,284,186,40,226,194,34,221,298,40,340,206,3,212,118,3,122,65,17,79,112,3,115,306,11,319,61,93,148,2705,1252,3958
1027,83,123,208,40,63,105,61,310,370,79,646,726,369,1384,1749,418,725,1147,1415,534,1947,1002,536,1543,1266,425,1693,1180,268,1445,735,204,937,744,142,891,1312,201,1512,848,31,883,476,14,486,290,92,376,561,16,580,957,98,1049,216,398,618,12048,6207,18260
1028,26,39,62,20,23,42,22,91,116,34,124,155,101,239,343,121,105,225,219,99,314,207,118,321,280,119,403,278,100,370,226,80,303,256,70,325,566,136,698,397,15,406,253,13,264,183,65,244,413,6,422,427,32,459,64,63,122,4077,1519,5596
1029,48,47,94,27,26,57,37,133,168,38,267,306,232,548,778,165,263,429,712,186,899,466,194,663,544,179,721,476,90,566,308,73,383,273,43,318,415,55,475,241,0,241,140,0,140,70,27,94,126,0,127,464,32,494,121,170,291,4911,2324,7236
1030,12519,16964,29481,4964,5377,10345,7838,18238,26078,6431,27915,34341,22680,46476,69157,23308,25527,48835,53564,23929,77498,49718,28522,78237,69018,32165,101178,69795,25126,94917,61113,22972,84085,63217,18630,81849,134470,32403,166878,101139,6308,107441,73968,4062,78030,62326,19060,81387,163964,6763,170724,104441,13596,118038,13033,15121,28152,1097514,389157,1486674
1031,58,93,144,30,54,83,70,260,334,81,410,491,313,917,1234,374,479,859,895,423,1324,759,480,1236,977,429,1407,920,254,1174,691,191,885,721,159,877,1274,197,1474,740,40,773,410,21,423,242,69,312,438,30,466,978,90,1072,195,280,474,10165,4856,15027
1032,48,50,106,49,47,92,81,270,358,73,431,505,300,918,1218,324,377,701,942,306,1247,639,298,940,735,212,942,686,121,804,459,66,528,382,39,426,513,41,550,273,7,282,122,3,125,63,25,93,116,3,121,577,47,619,181,240,421,6578,3503,10084
1033,40,34,70,24,27,51,41,115,157,35,208,247,193,521,715,174,248,419,606,164,774,398,159,555,509,116,628,418,71,490,258,56,306,199,34,240,354,31,381,195,6,199,92,0,99,45,15,59,96,3,97,396,21,412,98,143,244,4182,1973,6154
1034,83,105,182,55,82,137,94,363,453,96,508,607,368,974,1341,404,565,973,958,542,1500,853,625,1473,1096,603,1695,1157,436,1594,925,262,1188,975,243,1215,1817,298,2109,1215,53,1264,745,34,779,426,94,518,738,23,763,1296,139,1441,251,329,576,13555,6269,19823
1035,599,776,1378,374,393,766,528,1759,2287,504,3165,3670,2132,5728,7861,2115,2497,4612,6189,2027,8215,4448,2192,6636,5801,2238,8043,5584,1453,7041,4521,1242,5769,4739,932,5672,9127,1267,10397,6612,193,6807,4283,98,4385,2810,463,3272,5530,80,5609,6990,669,7656,1025,1554,2577,73913,28727,102649
2000,1706,2053,3758,1272,1310,2581,1552,4945,6498,1413,8009,9425,6690,17258,23944,5936,8006,13941,17775,6596,24371,13704,6952,20657,17504,5955,23455,16402,3463,19874,11438,2540,13973,11712,1661,13372,19013,1949,20964,11587,262,11853,6099,95,6201,3569,1011,4573,6942,119,7064,18298,886,19185,3820,5214,9033,176428,78285,254709
2001,54,47,96,22,27,45,33,97,131,27,155,183,126,325,453,129,180,314,406,128,535,320,146,462,439,166,609,445,109,552,388,79,464,361,51,410,756,73,829,507,7,515,308,3,308,190,25,214,314,0,314,459,19,473,81,110,192,5359,1741,7099
2002,21,34,56,23,25,51,30,103,128,43,179,225,146,442,585,124,223,348,404,166,572,353,185,541,396,137,534,352,90,444,274,57,330,223,24,252,373,31,402,196,8,209,92,0,97,50,16,69,94,7,98,387,18,404,91,154,242,3686,1904,5587
2003,179,274,453,99,148,249,184,732,915,220,1162,1387,777,2522,3297,889,1286,2177,2278,1143,3426,1833,1267,3103,2239,1096,3329,2226,762,2986,1804,550,2355,1672,354,2027,3067,414,3484,1830,95,1922,1065,28,1090,605,175,786,1247,20,1266,2139,334,2473,432,654,1086,24788,13019,37811
2004,135,200,336,114,145,259,169,632,798,186,1059,1246,699,2122,2819,840,1202,2039,2139,1085,3229,1851,1162,3011,2317,1028,3347,2289,737,3026,1740,486,2228,1630,338,1962,2888,429,3317,1823,64,1888,1002,37,1042,552,151,704,939,22,956,2053,276,2333,386,639,1026,23759,11809,35561
2005,18,31,45,18,34,54,29,98,122,32,160,187,101,379,478,119,189,308,266,146,415,222,176,400,307,124,430,298,81,380,217,47,257,233,26,260,388,38,427,179,13,187,114,4,115,36,19,52,82,6,83,246,40,281,73,129,196,2970,1732,4697
2006,44,47,93,22,19,38,35,134,170,43,201,246,176,516,689,158,240,397,536,210,754,369,222,590,511,203,713,503,103,607,363,72,441,371,45,419,610,72,686,400,13,416,223,5,230,94,26,114,190,4,201,494,43,535,128,184,307,5268,2375,7646
2007,485,654,1139,300,387,685,475,1513,1989,452,2466,2918,1881,5101,6980,1926,2790,4721,4897,2292,7189,4116,2513,6634,5384,2444,7824,5222,1665,6892,4234,1285,5516,4337,889,5230,8184,1138,9318,5376,181,5558,3191,92,3289,1980,425,2405,3897,88,3983,5918,603,6521,1077,1471,2549,63336,27994,91328
2008,42,31,76,22,21,43,14,58,78,24,90,116,79,189,270,83,107,193,235,85,320,266,101,363,358,111,472,354,75,428,342,77,424,343,60,401,696,71,766,572,6,574,408,3,410,328,40,371,638,3,643,579,19,596,78,67,140,5471,1210,6682
2009,25,36,62,16,38,52,26,116,143,40,247,286,130,461,598,147,251,400,370,185,554,355,217,571,424,166,592,440,113,553,312,85,399,318,60,371,496,57,559,268,12,283,146,8,152,65,25,96,149,6,153,400,32,427,73,154,229,4209,2269,6481
2010,13756,20985,34743,5897,6600,12496,8869,20492,29366,7077,29459,36537,25554,55586,81143,26082,32346,58434,62659,29658,92316,58554,35596,94150,79212,39409,118613,79273,30494,109767,68006,25569,93576,69192,19160,88349,139652,29376,169026,99354,5694,105054,64479,3368,67847,48701,13678,62381,112958,3797,116754,101884,14124,116005,16201,17163,33365,1087364,432567,1519926
2011,167,115,284,73,55,132,133,274,405,148,361,507,440,743,1179,557,388,950,1192,387,1577,1035,493,1525,1412,518,1927,1429,356,1786,1153,231,1388,1152,143,1291,2047,147,2197,1155,32,1193,630,5,636,359,30,397,466,17,483,1340,67,1411,303,273,579,15191,4649,19836
