SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
3006,1549,1911,3462,699,792,1494,978,2821,3802,955,4766,5722,3911,10983,14890,4495,6492,10988,11936,5457,17394,10037,6130,16167,13780,6105,19887,13737,4002,17739,10901,3158,14057,11149,2286,13435,20507,3054,23566,13622,753,14380,8228,345,8576,5337,1348,6685,10552,319,10868,14777,2224,17004,2227,3222,5452,159373,66181,225556
3007,41,42,82,27,33,58,45,144,190,56,257,317,197,695,887,277,302,582,699,224,919,529,224,757,596,188,790,521,116,635,345,84,431,354,47,402,483,60,543,271,14,286,163,3,163,79,21,102,112,3,115,419,46,463,93,158,253,5302,2661,7965
3008,120,138,251,90,82,171,145,355,502,127,670,800,639,1594,2234,618,788,1408,2272,511,2788,1327,471,1798,1639,429,2066,1331,224,1554,792,158,951,736,103,840,1207,142,1346,619,32,647,336,14,351,217,47,263,388,8,399,1192,100,1291,294,372,668,14079,6245,20325
3009,17,26,42,5,14,18,26,59,78,20,113,135,99,293,387,125,118,237,295,116,411,212,113,330,263,90,348,260,47,314,194,46,241,172,35,208,304,46,353,154,10,164,99,0,99,65,19,83,94,3,97,201,26,231,46,75,122,2641,1247,3896
3010,165,202,366,82,118,198,152,453,608,143,693,838,501,1260,1762,594,663,1258,1218,572,1790,1092,689,1781,1409,691,2103,1396,543,1936,1226,420,1648,1242,294,1536,2584,519,3106,1839,87,1923,1230,44,1278,736,161,896,1418,42,1461,2821,234,3053,332,395,731,20190,8068,28255
3011,54,73,128,43,43,86,63,218,285,69,383,450,336,890,1228,312,324,633,973,247,1224,693,236,932,789,216,1006,653,140,791,408,90,492,396,48,450,624,52,675,340,6,354,178,6,178,100,20,126,144,7,149,543,54,592,162,236,403,6876,3289,10166
3012,23,52,75,13,15,27,39,59,95,29,86,111,71,127,205,77,67,142,141,97,238,125,100,219,166,144,305,208,126,331,192,115,303,234,133,363,613,314,926,522,32,557,443,25,471,296,78,374,580,41,617,410,68,479,74,82,150,4250,1740,5992
3013,122,169,291,81,106,189,144,401,549,159,664,830,546,1501,2048,640,694,1338,1516,616,2128,1239,679,1914,1475,712,2185,1493,476,1971,1301,348,1649,1313,258,1563,2452,346,2804,1618,69,1683,981,28,1012,570,132,700,994,39,1030,2129,174,2304,282,385,667,19061,7797,26863
3014,677,718,1396,391,329,724,558,1586,2140,489,2589,3079,2227,6083,8312,2413,3700,6110,7120,2836,9958,5888,2866,8758,7753,2697,10447,7536,1813,9347,5671,1343,7013,5477,972,6450,9755,1275,11034,6276,269,6544,3739,139,3873,2386,585,2979,4671,132,4799,8140,927,9064,1108,1479,2590,82268,32344,114615
3015,209,266,473,147,149,296,202,612,812,213,1069,1280,784,2712,3495,962,1520,2488,2770,1250,4019,2290,1380,3670,2871,1368,4244,2880,820,3702,2342,690,3026,2319,468,2784,4402,625,5028,2879,115,2989,1699,63,1763,1014,228,1238,1832,51,1884,2946,327,3273,419,689,1109,33196,14385,47572
