SUA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
3013,0,8,0,0,0,0,0,0,0,14,10,125,0,0,4,0,0,0,0,141,66,209,21,21,11,6,13,6,0,350,3,14,0,3,0,0,4,0,0,25,19,100,5,12,4,0,3,3,0,160,11,22,11,8,6,0,0,8,3,62,225,937,155,109,96,35,44,58,7,1663,0,0,0,4,0,0,0,0,0,8,58,80,103,53,23,12,20,15,0,379,121,103,160,134,67,23,47,41,9,700,512,195,3349,289,206,214,736,505,65,6075,10,6,34,30,8,38,49,75,5,251,23,3,39,37,10,21,74,48,7,273,12,20,27,8,5,3,17,11,3,106,25,27,71,17,10,18,73,60,32,321,1107,1857,3979,716,444,374,1087,833,133,10532,0,8,0,0,3,0,0,0,0,14,3,72,0,0,3,0,0,0,0,79,47,231,4,25,21,0,0,5,0,335,4,16,3,0,3,0,0,0,0,27
3014,15,41,0,0,6,3,0,0,0,67,38,431,0,5,6,4,0,0,5,503,454,976,50,49,87,48,16,51,28,1762,21,62,3,8,3,3,0,0,3,99,143,500,38,42,40,19,13,14,3,818,53,101,13,16,12,16,4,5,3,215,1578,4896,567,549,449,412,142,276,119,8981,7,6,7,10,3,6,3,10,0,49,601,749,441,283,132,195,125,133,36,2684,809,742,773,590,284,326,190,286,46,4033,2930,874,11822,1061,784,1274,1789,2545,349,23424,47,47,81,72,47,99,67,171,3,634,171,108,208,134,54,145,180,183,21,1206,78,91,82,35,19,38,30,67,11,456,146,130,299,82,37,100,149,207,126,1279,7079,9747,14384,2938,1964,2685,2704,3943,751,46208,8,73,0,4,10,5,0,0,0,106,33,322,3,8,23,7,0,3,3,398,279,1437,26,104,171,44,4,39,16,2126,20,110,3,8,14,6,0,5,0,165
3015,0,20,0,0,0,0,0,0,0,23,53,354,0,0,5,0,0,7,0,429,214,502,29,35,44,33,18,57,4,941,6,25,0,0,0,0,0,0,0,41,71,209,9,27,22,6,3,4,3,347,24,59,15,4,19,3,0,0,0,134,635,2293,256,213,225,140,71,201,44,4071,0,3,5,0,4,0,0,3,0,19,185,214,125,99,58,39,42,44,9,809,325,320,335,225,157,79,118,105,29,1689,1059,359,4902,511,374,465,956,931,105,9666,35,13,52,32,17,57,54,114,7,381,70,27,54,66,27,52,76,78,4,444,19,31,28,12,9,13,18,19,4,143,44,30,103,33,21,46,88,109,52,523,2743,4459,5918,1269,989,927,1447,1659,252,19665,7,16,0,0,4,0,0,0,0,26,28,208,3,8,4,0,0,0,3,252,139,775,14,40,77,13,0,23,4,1096,5,40,0,3,5,0,0,0,0,50
3016,3,27,0,0,0,0,0,0,0,37,49,383,0,0,4,0,3,3,4,446,280,501,53,31,47,11,13,26,9,983,11,41,3,0,0,0,0,0,0,62,60,224,14,31,17,8,6,8,3,374,36,52,8,11,11,0,0,3,3,120,717,2662,313,337,271,132,127,151,49,4761,3,0,3,0,0,0,0,3,0,17,240,254,240,156,83,43,66,37,6,1129,478,385,435,473,195,92,119,102,38,2321,1266,489,7006,1217,535,573,1622,1204,190,14101,32,22,67,88,26,49,76,85,4,448,72,58,72,82,27,45,102,96,7,550,37,55,36,22,3,13,26,29,14,234,54,52,125,63,31,37,106,120,75,665,3346,5207,8379,2517,1251,1016,2260,1860,402,26244,3,48,0,0,5,0,0,0,0,55,29,315,10,3,10,0,0,3,0,369,166,820,15,60,85,18,0,9,12,1173,4,56,0,7,6,3,0,0,0,77
3017,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,19,16,0,4,3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31,3,3,0,0,0,0,0,33,3,5,0,0,0,0,0,0,0,10,33,126,15,21,15,6,4,8,6,235,0,0,0,0,0,0,0,0,0,0,8,19,4,11,3,0,5,5,0,60,25,26,20,22,7,8,7,10,0,128,124,15,431,31,30,67,148,164,14,1025,3,0,4,0,3,0,14,20,0,50,5,3,4,7,3,15,21,14,0,64,0,0,4,0,0,0,0,7,0,12,15,10,20,3,0,5,21,29,13,107,240,252,510,101,73,94,219,262,39,1783,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,44,0,0,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3
3018,0,3,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,34,17,42,0,0,0,0,0,0,0,63,0,0,0,0,0,3,0,0,0,9,10,29,3,3,0,0,0,3,0,48,6,5,3,3,0,0,0,0,0,15,78,202,32,29,17,9,15,10,0,393,0,0,0,3,0,0,0,0,0,3,27,31,26,19,5,8,6,7,0,127,31,35,35,36,13,8,9,6,9,177,134,39,830,63,39,46,238,107,21,1520,0,3,9,10,0,4,3,6,0,34,15,3,10,11,3,3,13,11,0,62,6,3,0,0,4,3,0,0,0,19,5,11,21,0,0,3,13,12,7,74,337,429,972,172,98,85,301,161,34,2586,0,4,0,0,0,0,0,0,0,8,0,18,0,0,3,0,0,0,0,23,19,77,0,4,4,0,0,0,0,108,0,8,0,0,0,0,0,0,0,8
4000,3,18,0,0,3,0,0,0,0,25,51,160,3,4,4,0,0,11,0,239,191,314,19,14,27,16,10,21,3,617,13,18,0,3,0,0,0,0,0,27,113,229,17,25,26,9,8,18,3,438,36,39,6,3,7,0,0,5,3,98,1214,2118,238,188,181,103,89,312,47,4479,6,4,6,0,0,0,0,0,0,22,573,390,199,194,90,76,86,123,23,1746,777,375,324,232,124,145,138,207,28,2344,3785,577,8458,679,499,681,2194,2758,275,19903,191,42,116,49,34,82,142,244,12,902,401,73,155,101,57,79,197,318,22,1406,91,44,65,20,16,21,43,104,15,413,472,90,312,70,45,96,310,433,143,1971,7912,4487,9913,1581,1106,1303,3211,4551,570,34632,10,35,0,0,0,0,0,4,0,51,27,140,0,0,15,0,0,3,0,190,153,549,8,39,58,14,0,12,8,841,4,47,0,0,0,0,0,0,0,55
4001,44,225,6,21,15,8,3,5,5,334,484,3781,66,48,78,26,20,33,21,4557,3013,6452,632,673,974,520,436,646,134,13486,113,316,21,23,35,9,16,12,7,554,801,2424,150,201,321,99,49,87,39,4168,346,501,66,75,105,30,12,25,14,1183,8467,26520,3257,3215,3619,2255,1406,2501,534,51768,36,35,41,26,13,15,19,17,5,207,2308,3001,1799,1383,909,631,533,533,171,11270,3529,3327,3208,2136,1647,1135,896,1045,230,17165,8445,3497,36706,4950,3972,3939,6580,7388,1163,76635,315,191,459,413,269,439,443,766,44,3346,714,523,698,741,414,531,617,633,100,4968,318,523,417,188,171,124,234,325,80,2380,546,532,946,362,250,364,663,763,508,4926,29480,51842,48478,14458,12792,10132,11930,14779,3065,196957,56,393,3,23,50,9,0,8,5,547,299,2733,43,68,105,24,3,13,12,3295,1837,7817,249,1161,1395,431,23,408,144,13457,92,476,9,50,63,17,0,9,13,726
4002,0,5,0,0,0,0,0,0,0,5,4,13,0,0,0,0,0,0,0,19,24,52,0,10,0,0,0,3,0,92,0,0,0,0,0,0,0,0,0,0,9,37,3,3,3,3,0,0,0,55,5,8,0,0,4,0,0,0,0,12,81,289,11,26,21,8,7,10,0,459,0,0,0,0,0,0,0,0,0,3,32,37,8,16,4,10,6,6,4,137,48,58,25,31,19,14,10,8,3,211,238,80,1155,141,80,119,278,237,38,2375,5,8,9,3,0,12,22,29,0,92,18,10,17,19,8,9,21,20,3,127,4,3,5,7,0,3,9,8,0,46,18,5,16,8,4,15,45,33,15,152,485,601,1256,269,153,191,400,363,60,3784,0,8,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0,0,0,18,11,84,0,3,10,0,0,0,0,107,0,6,0,0,0,0,0,0,0,6
4003,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,3,6,3,0,0,0,9,4,36,0,0,0,0,0,0,0,0,0,0,4,13,3,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,3,25,72,15,16,5,9,7,60,0,214,0,0,0,0,0,0,0,0,0,0,12,22,9,8,10,3,6,7,3,80,18,15,16,21,14,9,8,25,4,121,105,27,449,77,29,49,115,192,14,1053,4,0,8,5,0,12,20,36,0,88,13,6,5,18,3,10,10,22,3,84,0,3,4,0,0,0,6,21,0,39,9,3,21,5,4,7,15,47,11,126,205,168,549,157,62,91,187,425,42,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,5,4,0,0,8,0,45,0,0,0,0,0,0,0,0,0,3
4004,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,9,6,13,0,4,0,3,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,19,0,7,0,3,0,0,0,0,0,11,13,89,8,20,11,3,3,4,6,158,0,0,0,3,0,0,0,0,0,0,9,9,3,10,3,0,3,0,3,51,19,10,18,31,7,0,6,3,3,101,73,40,426,117,42,35,161,95,18,1006,5,0,6,8,0,6,7,12,0,45,8,4,5,9,3,7,9,8,0,64,3,3,7,0,0,0,3,3,0,18,5,4,13,12,0,0,22,13,8,76,157,199,489,217,78,60,222,138,32,1593,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,8,27,3,3,3,0,0,0,0,39,0,4,0,0,0,0,0,0,0,7
4005,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16,4,23,0,0,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,3,6,19,0,0,0,0,0,0,0,26,0,3,3,0,0,0,0,0,0,9,37,166,12,13,10,7,3,12,4,264,0,0,0,0,0,0,0,0,0,4,21,26,3,16,3,7,3,5,3,79,30,28,19,16,7,4,16,10,0,131,145,71,625,73,23,59,94,145,14,1248,11,4,10,4,3,10,5,19,0,62,15,25,9,4,7,6,13,25,0,92,4,6,6,3,0,0,4,7,0,39,17,11,28,5,6,7,8,31,13,128,290,398,713,136,56,99,150,247,35,2131,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,9,34,0,0,3,0,0,3,0,51,0,5,0,0,0,0,0,0,0,7
4006,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,7,13,22,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,3,8,0,3,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,5,15,109,13,7,5,3,7,3,0,164,0,0,0,0,0,0,0,0,0,0,8,25,5,18,0,7,3,0,0,67,14,15,19,17,15,5,14,5,3,104,80,33,440,47,25,40,162,90,17,929,8,0,6,5,3,3,12,12,0,49,4,3,3,3,3,3,13,6,0,37,0,0,3,3,0,3,3,5,0,21,3,7,11,3,0,5,13,6,8,60,154,243,502,111,53,68,210,128,30,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,3
4007,0,3,0,0,0,0,0,0,0,3,3,22,0,0,0,0,0,0,0,19,13,26,3,0,0,0,0,0,0,42,0,3,0,0,0,0,0,0,0,3,6,31,5,0,0,4,0,3,4,48,0,3,0,0,0,0,0,0,0,9,70,240,27,34,18,13,5,18,5,424,0,0,0,3,0,0,0,0,0,3,34,27,10,24,11,13,3,8,0,133,26,34,31,24,14,11,10,15,3,175,169,38,607,104,35,81,112,172,18,1335,9,3,10,9,0,3,9,16,0,60,15,0,6,11,5,7,16,12,3,81,8,0,8,3,0,0,0,4,0,33,28,6,25,10,0,11,12,15,7,116,382,433,734,220,93,146,171,264,43,2490,0,3,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,20,17,54,0,3,7,3,0,3,0,94,0,0,0,0,0,0,0,0,0,0
4008,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,14,34,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,9,14,0,3,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,6,68,216,36,20,15,10,10,5,7,376,0,0,0,0,0,0,0,0,0,0,8,22,16,19,3,0,13,5,3,82,34,31,54,14,10,8,19,8,3,183,103,29,919,78,45,36,361,131,44,1757,4,4,5,3,3,7,26,22,3,82,3,9,7,10,0,7,31,11,3,80,3,0,4,0,0,3,5,3,3,25,0,5,17,7,0,4,38,21,9,96,252,379,1060,150,84,74,493,204,75,2780,0,4,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,9,9,59,0,4,9,0,0,0,0,77,0,6,0,0,0,0,0,0,0,4
5000,3,13,3,0,3,0,0,0,0,24,45,120,4,3,3,0,0,3,0,186,249,409,57,26,39,12,28,40,15,878,13,20,0,3,0,4,0,0,0,45,100,249,14,33,16,11,24,18,8,462,33,52,14,18,4,4,3,3,0,126,1574,2622,535,270,192,115,258,393,65,6028,9,8,17,0,3,0,4,5,0,49,674,417,394,185,87,61,192,163,33,2215,657,399,597,299,127,96,296,238,44,2741,3140,827,13552,684,496,453,3693,2805,449,26103,128,67,139,63,25,58,157,291,13,945,313,103,224,90,53,56,282,239,29,1387,72,41,61,18,13,16,70,91,8,397,373,95,316,96,55,76,457,409,168,2052,7398,5445,15925,1800,1120,953,5471,4696,836,43642,10,40,0,3,5,0,0,0,0,63,28,114,3,0,8,3,0,5,0,168,180,505,12,58,85,30,3,35,9,912,10,46,0,3,8,0,0,0,0,75
5001,0,4,0,0,0,0,0,0,0,4,3,42,0,0,3,0,0,0,0,49,14,67,8,0,4,0,0,0,3,98,0,5,0,0,0,0,0,0,0,6,11,71,4,9,3,0,0,0,0,93,3,11,0,0,0,0,0,0,0,16,127,361,39,40,30,18,19,39,7,677,0,0,0,0,0,0,0,0,0,0,72,82,33,40,18,14,19,21,3,302,63,73,67,54,15,20,17,34,10,348,250,99,1277,178,80,109,266,248,44,2556,8,4,16,14,8,14,23,41,7,130,14,9,20,15,4,10,23,29,3,126,13,11,10,6,0,3,4,10,0,56,12,12,32,10,4,11,41,29,14,162,596,835,1507,364,169,197,416,463,88,4636,0,7,3,0,0,0,0,0,0,16,3,13,0,0,0,0,0,0,0,24,28,92,3,10,7,4,0,3,0,150,7,7,0,0,0,0,0,0,0,10
5002,3,0,0,3,0,0,0,0,0,7,4,9,0,0,0,0,0,0,0,16,21,31,3,0,10,0,0,9,0,80,0,3,0,0,0,0,0,0,0,7,11,24,3,7,0,0,0,0,0,44,4,3,0,3,0,0,0,0,0,15,96,223,28,42,35,12,9,21,7,473,0,0,0,5,0,0,0,0,0,6,35,37,16,17,7,3,8,8,0,142,38,27,40,41,11,3,6,13,0,173,135,76,556,79,39,47,100,106,24,1152,5,3,13,11,3,10,6,11,0,52,14,12,12,16,7,7,8,10,3,92,6,0,3,0,0,0,0,5,3,21,12,3,16,11,0,6,14,16,16,104,386,473,697,238,104,94,146,194,51,2378,0,8,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,14,17,96,3,8,11,6,0,0,0,152,0,8,0,3,3,0,0,0,0,9
5003,4,3,0,0,0,0,0,0,0,7,3,64,3,0,3,0,0,0,0,78,73,155,13,8,13,3,14,14,0,299,0,22,0,0,0,0,0,0,0,25,36,111,4,3,7,3,3,4,3,182,9,12,6,4,4,0,0,0,0,40,272,956,140,63,67,52,47,93,15,1704,0,0,3,0,0,0,3,0,0,10,105,132,137,46,38,19,53,42,11,570,158,139,225,66,50,43,77,60,12,832,469,193,3512,164,165,211,815,586,118,6242,15,9,36,9,12,41,29,61,0,220,33,24,60,25,14,19,70,55,0,297,18,17,21,11,3,4,27,25,3,136,23,22,56,16,12,9,74,80,32,324,1222,1869,4219,417,391,408,1215,1019,202,10972,3,20,0,0,0,0,0,0,0,23,0,42,3,0,0,0,0,0,3,46,43,178,3,17,20,8,0,11,0,282,0,27,0,0,0,0,0,0,0,32
5004,0,3,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,3,0,33,31,62,3,6,7,3,7,0,0,119,4,3,0,0,0,0,0,0,0,9,11,50,3,0,0,0,0,6,0,72,0,11,0,0,4,0,0,3,0,24,193,471,75,50,29,31,22,69,8,938,0,3,0,0,0,0,0,0,0,3,82,78,59,24,14,23,24,21,3,331,84,45,78,26,19,26,28,25,3,344,337,82,1631,85,61,109,326,291,49,2970,7,8,24,12,4,9,14,30,0,112,36,19,24,15,7,16,25,29,0,168,14,11,16,3,3,3,9,3,0,51,24,10,46,11,3,9,20,23,19,168,837,879,1957,233,153,238,469,497,80,5350,6,8,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,17,20,84,7,8,5,3,0,4,0,136,0,7,0,0,0,0,0,0,0,10
5005,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,8,9,0,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,18,0,3,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,9,49,118,9,6,14,3,0,5,0,213,0,0,0,0,0,0,0,0,0,0,23,20,12,0,7,3,4,6,0,78,16,30,18,9,8,5,5,10,4,108,118,59,512,11,27,42,139,99,19,1033,8,0,7,0,0,3,7,11,0,35,10,0,12,3,0,0,8,11,0,44,5,3,7,0,0,4,0,0,3,26,12,3,9,3,0,6,22,16,8,81,256,277,589,41,61,71,196,159,37,1696,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,19,0,0,3,0,0,0,0,29,0,9,0,0,0,0,0,0,0,8
5006,0,3,0,0,0,0,0,0,0,7,3,20,0,4,0,0,0,0,0,27,42,79,3,3,8,3,3,4,0,136,4,3,0,0,0,0,0,0,0,4,16,46,4,8,3,0,0,0,0,77,5,8,9,3,0,0,0,0,0,20,133,365,47,27,32,7,14,16,6,660,0,0,4,3,0,0,0,0,0,11,57,73,28,35,18,16,23,12,4,270,74,89,78,38,14,20,22,26,5,373,295,140,1701,134,91,110,348,295,71,3186,16,18,18,8,7,21,25,51,0,153,14,17,26,8,3,17,29,22,8,139,10,12,4,3,3,6,7,17,3,58,15,12,29,16,3,6,37,40,12,172,684,879,1954,296,188,204,501,483,115,5295,0,6,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,19,17,83,3,5,6,4,0,0,0,120,3,15,0,0,0,0,0,0,0,16
5007,0,3,0,0,0,0,0,0,0,3,0,37,0,0,0,0,0,0,0,42,41,109,18,3,9,0,16,6,0,204,3,3,0,0,0,0,0,0,0,7,13,37,0,0,4,0,3,0,0,61,0,9,3,5,0,0,0,0,0,13,117,387,75,25,16,9,61,11,6,708,0,0,0,0,0,0,0,0,0,5,37,51,55,28,7,3,31,0,0,211,75,62,72,51,8,6,36,12,4,321,232,76,1935,64,62,47,563,168,61,3211,3,0,15,3,3,6,28,20,4,89,12,6,21,17,0,0,41,12,0,118,0,7,7,3,0,3,18,12,0,45,10,4,36,8,0,8,77,19,24,190,551,794,2241,209,115,88,865,259,102,5221,0,7,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,10,15,91,3,9,15,6,0,3,0,137,0,3,0,0,4,0,0,0,0,8
5008,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,0,13,27,55,12,3,3,6,3,3,0,112,3,0,0,0,0,0,0,0,0,6,6,17,7,3,0,0,0,0,0,33,5,0,3,0,0,0,0,0,0,10,93,237,78,26,13,11,24,20,10,503,0,0,3,0,0,0,0,0,0,4,32,28,50,15,6,3,12,5,3,160,44,23,77,14,18,6,22,18,5,229,150,47,1127,50,99,34,240,137,66,1955,8,3,13,10,0,6,8,11,0,59,9,10,24,3,3,6,23,18,3,100,0,3,3,0,0,3,9,6,0,30,14,6,35,8,7,11,30,18,9,134,385,455,1435,125,160,73,379,232,103,3341,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,22,53,6,9,10,3,0,7,3,97,0,3,0,0,0,0,0,0,0,3
