SUA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,96127,68599,30005,10260,477806
1001,6655,4195,2064,796,42074
1002,1903,1289,685,256,11820
1003,2596,1941,1068,643,13005
1004,1612,1653,848,333,7862
1005,2587,1709,850,409,16875
1006,3469,3383,1905,644,19438
1007,1384,897,489,305,7572
1008,1707,1743,980,351,8399
1009,25330,19099,10587,5098,151360
1010,6443,4442,2288,1097,33285
1011,2432,1409,791,318,16408
1012,1858,1981,1261,610,9781
1013,1702,1224,696,386,10784
1014,1412,993,632,315,8171
1015,1113,661,439,283,7988
1016,1151,807,455,271,6568
1017,2495,1516,761,408,13690
1018,966,748,451,161,5840
1019,2063,1724,1141,572,11777
1020,783,556,323,105,5402
1021,676,360,163,62,4907
1022,2577,2673,1443,608,14064
1023,35425,23592,11811,5569,221084
1024,2815,2120,1131,513,17358
1025,2659,1850,1008,366,18126
1026,712,501,298,127,4736
1027,3961,3544,2111,1012,22664
1028,954,459,242,92,7005
1029,1716,1612,803,307,8693
1030,296385,181349,85208,39082,2265103
1031,2967,1975,1083,422,18481
1032,2043,1556,987,492,11039
1033,1527,1419,813,335,7504
1034,3904,2331,1188,494,25252
1035,22212,14268,7414,3056,138526
2000,64480,47445,20236,7557,326960
2001,1335,922,356,149,8964
2002,1116,963,590,317,6904
2003,7033,4930,2534,967,47065
2004,6823,4670,2470,1193,44195
2005,855,571,342,162,5069
2006,1472,1198,708,286,9146
2007,18775,13210,6616,2906,121799
2008,1806,1267,448,144,10340
2009,1187,741,391,196,7128
2010,275701,171287,84789,37220,2176158
2011,3164,1876,619,176,24330
2012,3357,2274,1175,485,21385
2013,1297,939,530,219,7377
2014,906,574,292,127,4750
2015,1090,717,385,181,6827
2016,3107,2056,1054,471,20696
2017,666,478,278,133,4696
2018,2883,1928,1127,438,18515
2019,1401,986,652,429,8634
2020,2665,2135,983,317,16307
2021,2498,1686,891,409,15791
3000,59539,40320,16014,4422,330770
3001,143190,88365,39684,17030,1075935
3002,5026,3776,2269,803,29045
3003,11071,6215,2359,751,71411
3004,706,211,72,28,6079
3005,2645,1097,480,153,19592
3006,45284,32810,16202,7048,309077
3007,1454,1069,605,306,8694
3008,4283,4086,2157,669,23671
3009,680,415,241,109,4282
3010,5258,2561,1301,475,35472
3011,2073,1628,839,258,11493
3012,922,385,122,29,8207
3013,4700,2513,1425,678,32630
3014,26320,20150,9951,4075,154514
3015,9157,5915,3082,1459,60703
3016,10809,5991,2574,871,80079
3017,930,780,445,186,5969
3018,1467,924,458,195,8461
4000,21747,15012,6004,2498,112749
4001,91584,61811,29987,13875,607920
4002,1772,1216,637,272,11575
4003,983,751,396,145,6860
4004,924,609,245,95,5850
4005,1129,722,367,126,6856
4006,848,584,326,128,5139
4007,2432,2912,1586,674,12393
4008,1395,909,575,177,9085
5000,22953,13952,5489,1578,134844
5001,2720,1921,1003,444,15524
5002,1045,382,106,30,7276
5003,5207,3150,1450,553,33169
5004,2878,2272,1124,435,17478
5005,851,562,301,117,5346
5006,2508,1449,737,222,16505
5007,1739,641,230,55,13134
5008,760,180,27,6,7866
5009,130085,82119,40860,16922,956257
5010,734,187,44,17,6965
5011,677,554,291,110,5491
6000,14371,10286,4156,1071,67836
6001,1878,1289,807,251,11035
6002,2103,1631,885,359,12336
6003,16365,11060,5636,2353,98609
6004,6104,4312,2161,945,37989
6005,1173,849,477,153,6147
7000,4505,1970,460,70,32466
7001,2108,846,255,81,12872
7002,8348,3823,1186,298,66207
8000,147,67,17,5,877
8001,32487,20716,9095,3756,236474
9000,421,239,97,26,2374
