SUA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
1000,0,163,..,99,7,113,0,109,..,211,7,218,3,218,..,21,8,28,0,28,..,209,10,226,0,222,..,187,13,201,0,201,..,79,3,80,0,84,..,169,29,198,0,197,..,436,15,448,10,452,..,166,10,181,0,184,..,671,20,689,15,706,..,140,5,144,0,147,..,1411,51,1458,25,1484,..,775,51,829,4,835,..,83,5,96,0,96,..,461,108,565,10,573,..,68,7,74,0,74,..,255,70,322,8,329,..,2453,357,2811,89,2900,..,14870,1800,16670,324,16990,..,1368,78,1450,40869,42319,441616,16239,1880,18122,41190,500923,883175,..,..,..,..,883175,..,829,14,839,4,840,..,1026,143,1171,34,1199,..,539,37,576,33,608,..,689,316,1007,17,1018,..,1232,655,1887,29,1913,..,88,37,123,3,121,..,2005,1007,3009,44,3055,..,525,40,562,10,579,..,1106,15,1129,25,1146,..,1300,62,1359,17,1377,..,2760,63,2826,44,2865
1001,0,22,..,7,0,7,0,7,..,3,0,3,0,3,..,14,3,19,0,19,..,22,3,27,0,27,..,21,0,21,0,21,..,3,0,3,0,3,..,51,9,61,0,61,..,103,3,99,0,100,..,18,0,18,0,18,..,134,4,134,0,138,..,24,0,25,0,25,..,277,6,282,0,289,..,62,7,67,0,68,..,26,0,26,0,26,..,61,9,72,0,77,..,0,0,0,0,0,..,22,8,26,3,26,..,448,130,572,3,580,..,2471,533,3005,36,3041,..,95,12,109,2811,2922,39800,2568,539,3108,2851,45759,77380,..,..,..,..,77380,..,87,3,91,0,92,..,114,14,129,0,127,..,42,3,46,3,51,..,70,16,93,3,93,..,175,76,257,0,257,..,4,0,5,0,11,..,260,97,359,7,360,..,124,21,146,0,152,..,114,4,115,0,115,..,115,0,115,0,115,..,283,12,298,3,306
1002,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,16,5,18,0,18,..,5,0,9,0,9,..,10,0,10,0,10,..,0,0,0,0,0,..,7,0,5,0,5,..,26,0,26,0,29,..,16,0,16,0,16,..,40,3,44,0,45,..,13,0,13,0,13,..,88,4,90,3,94,..,27,3,31,0,31,..,9,0,9,0,9,..,18,3,23,0,23,..,0,0,0,0,0,..,20,10,34,0,34,..,156,18,174,11,182,..,948,153,1098,17,1113,..,27,0,29,865,897,10192,974,153,1128,880,12209,19446,..,..,..,..,19446,..,16,0,16,0,16,..,230,71,305,4,307,..,19,0,15,0,15,..,49,12,62,0,61,..,194,86,279,0,278,..,25,10,39,0,39,..,268,108,376,3,380,..,3,0,3,0,3,..,19,0,19,0,19,..,57,4,63,3,68,..,77,0,81,0,81
1003,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,8,3,13,0,13,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,6,0,7,0,7,..,6,0,6,0,6,..,4,0,4,0,4,..,34,0,30,0,30,..,14,0,15,0,15,..,0,0,0,0,0,..,29,5,33,0,33,..,5,0,5,0,5,..,9,3,14,0,14,..,75,11,87,0,86,..,459,37,499,7,503,..,34,0,35,977,1014,11510,486,40,529,983,13026,22021,..,..,..,..,22021,..,18,0,18,0,18,..,9,5,10,0,10,..,0,0,0,0,0,..,18,10,24,0,24,..,37,12,42,0,49,..,3,0,3,0,3,..,54,18,70,0,75,..,9,0,13,0,13,..,28,0,28,0,34,..,59,6,59,0,59,..,92,0,96,0,94
1004,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,11,0,11,0,11,..,3,4,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,9,0,9,0,9,..,4,3,6,0,6,..,11,0,11,0,11,..,5,0,5,0,5,..,33,3,37,0,37,..,20,0,18,0,18,..,0,0,0,0,0,..,3,3,9,0,9,..,3,0,3,0,3,..,3,3,6,0,6,..,51,6,59,0,58,..,361,40,404,5,408,..,20,0,23,554,578,7296,382,36,427,558,8277,14111,..,..,..,..,14111,..,16,0,16,0,16,..,15,8,15,0,15,..,13,0,13,0,13,..,18,3,20,0,20,..,17,4,22,0,21,..,0,0,0,0,0,..,32,4,39,0,39,..,54,15,72,3,72,..,32,0,32,0,34,..,29,0,29,0,29,..,55,10,63,0,64
1005,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,15,0,18,0,18,..,3,0,3,0,3,..,7,0,8,0,8,..,4,0,4,0,4,..,9,0,11,0,11,..,19,0,19,0,19,..,3,0,3,0,3,..,34,0,34,0,38,..,5,0,5,0,5,..,65,0,65,0,64,..,22,0,20,0,21,..,16,0,18,0,18,..,23,12,35,0,35,..,0,0,0,0,0,..,18,4,24,0,24,..,120,20,145,0,149,..,684,98,782,10,787,..,40,0,40,1171,1203,15662,722,98,821,1174,17651,30531,..,..,..,..,30531,..,31,0,31,0,31,..,75,11,94,0,94,..,25,4,29,0,32,..,52,24,72,0,72,..,76,17,96,3,99,..,11,3,16,0,16,..,139,50,187,3,186,..,17,3,17,0,17,..,31,0,31,0,31,..,38,0,41,4,41,..,47,3,50,0,50
1006,0,14,..,25,4,28,0,28,..,9,0,9,0,9,..,5,0,5,0,9,..,19,0,24,0,24,..,8,0,8,0,8,..,4,0,9,0,9,..,19,4,18,0,18,..,9,0,9,0,9,..,6,0,12,0,12,..,36,0,36,0,36,..,11,0,11,0,11,..,58,0,59,0,62,..,57,4,59,0,59,..,3,0,3,0,3,..,25,3,35,0,35,..,3,0,5,0,5,..,32,11,38,0,38,..,148,18,169,8,179,..,1073,151,1223,24,1249,..,39,4,42,1109,1152,17436,1117,152,1271,1132,19837,33194,..,..,..,..,33194,..,33,0,28,0,28,..,48,7,55,0,60,..,0,0,0,0,0,..,80,29,112,3,110,..,141,74,211,5,217,..,7,9,22,0,22,..,230,115,342,6,348,..,27,3,31,0,31,..,62,4,66,0,69,..,86,0,90,0,89,..,146,3,148,0,148
1007,0,0,..,0,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,19,0,20,..,0,0,0,0,0,..,17,0,20,0,20,..,5,0,5,0,5,..,41,3,45,0,44,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,43,7,45,0,45,..,200,27,224,5,234,..,24,3,24,789,814,8047,229,24,254,796,9091,15703,..,..,..,..,15703,..,11,0,11,0,8,..,6,0,6,0,8,..,28,0,30,0,30,..,3,0,3,0,3,..,13,0,14,3,14,..,0,0,0,0,0,..,15,0,16,3,20,..,11,3,14,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,14,0,15,3,18
1008,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,5,0,5,..,7,0,7,0,7,..,4,0,4,0,11,..,0,0,0,0,0,..,14,0,20,0,20,..,6,0,6,0,6,..,0,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,23,3,29,3,32,..,157,17,167,3,170,..,15,0,15,468,482,7924,173,17,189,471,8580,15462,..,..,..,..,15462,..,6,0,6,0,6,..,4,0,6,0,6,..,0,0,0,0,0,..,10,13,20,3,25,..,4,0,13,0,13,..,0,0,0,0,0,..,16,16,34,3,36,..,3,0,3,0,3,..,14,0,14,0,14,..,19,0,19,0,19,..,34,0,34,0,34
1009,9,320,..,19,3,23,0,23,..,191,5,194,4,193,..,44,11,57,0,52,..,156,9,171,3,170,..,233,48,280,0,281,..,57,8,66,0,66,..,84,11,96,3,100,..,255,8,262,4,269,..,151,14,159,0,159,..,463,12,477,4,479,..,67,5,71,3,75,..,929,41,971,15,986,..,713,71,780,10,796,..,66,12,72,0,72,..,304,64,373,3,375,..,42,10,55,0,55,..,142,48,185,0,185,..,1539,252,1792,41,1829,..,8690,1321,10010,128,10142,..,502,44,548,8839,9391,145533,9196,1368,10563,8969,165064,282962,..,..,..,..,282962,..,404,3,408,3,409,..,473,44,518,6,522,..,55,3,60,0,60,..,555,238,795,5,803,..,1047,420,1467,17,1485,..,48,24,72,0,72,..,1652,684,2339,22,2360,..,217,11,232,5,240,..,411,4,420,9,423,..,598,35,631,7,634,..,845,34,880,8,881
