SUA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1000,153,331,3601,380,2589,3285,10341,149,329,436,322,285,35,1562,1673,1814,2958,700,860,151,8154,4826,1767,4178,770,963,163,12667,3717,714,3372,205,476,87,8573,7184,540,3636,147,664,91,12267,8965,265,3518,62,430,85,13322,6468,75,2178,28,228,46,9025,1920,9,686,10,73,12,2709,706,3,283,0,28,7,1024,282,6,159,0,10,0,461,125,3,64,0,11,3,212,59,0,34,3,12,3,109,127,7,147,0,35,11,321,552,342,1362,181,975,163,3570,36914,6216,26624,2805,7632,4135,84320
1001,23,79,97,12,17,48,270,20,65,13,29,11,0,136,364,649,137,35,23,7,1213,1188,304,261,50,30,10,1843,810,195,279,14,31,6,1340,1676,133,382,17,213,11,2429,2047,38,304,6,89,8,2498,1209,6,113,3,10,7,1346,125,0,34,0,10,0,174,18,3,7,0,0,0,25,7,0,3,0,0,0,15,3,0,3,0,0,0,8,0,0,0,0,0,0,5,8,0,3,0,0,0,14,121,88,62,15,28,14,323,7606,1563,1696,181,469,117,11632
1002,5,14,28,3,21,26,99,5,20,4,8,4,0,40,57,134,26,9,6,3,228,166,125,67,43,12,4,421,212,50,53,11,3,3,333,406,45,81,11,3,3,562,538,35,105,9,8,3,692,474,6,72,0,3,4,564,78,3,9,0,3,0,98,12,0,6,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,10,22,20,18,6,10,4,68,1987,455,481,98,70,43,3140
1003,0,16,14,0,6,30,68,0,14,3,9,0,0,25,10,236,33,22,15,3,326,10,76,18,13,26,0,154,27,46,32,3,23,0,135,114,42,67,3,42,3,268,427,29,147,4,7,3,618,637,18,167,8,8,4,839,376,5,79,0,3,3,467,144,0,28,0,3,0,168,45,0,8,0,0,0,62,6,0,3,0,3,0,16,3,0,0,0,0,0,3,0,0,3,0,0,0,5,22,32,18,7,3,3,96,1841,514,624,75,147,48,3252
1004,0,3,16,0,4,15,43,0,4,3,4,0,0,17,11,66,15,10,6,4,113,54,60,45,18,12,0,191,81,18,57,3,11,3,174,233,20,81,3,9,4,347,321,36,110,10,6,3,490,303,3,75,0,4,0,380,20,0,7,0,0,0,34,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,11,10,3,4,0,50,1039,236,437,54,56,32,1853
1005,8,22,43,13,8,30,122,0,25,3,7,3,0,39,46,175,39,15,5,8,291,198,109,73,10,7,4,400,168,61,93,3,6,3,339,523,43,127,5,9,6,708,891,54,193,21,18,4,1172,727,12,97,17,5,3,857,77,0,5,0,0,0,90,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,39,30,25,13,6,5,122,2693,531,701,105,68,60,4161
1006,3,8,56,0,20,42,130,0,3,4,3,0,0,13,14,19,19,4,10,0,62,25,124,32,37,6,3,227,55,42,53,17,7,0,177,123,32,54,11,9,0,232,286,78,112,16,0,3,498,619,25,113,10,7,3,774,353,0,67,0,0,0,419,156,0,34,0,0,0,185,46,0,10,0,0,0,58,32,0,3,0,0,0,31,10,0,5,0,0,0,8,27,0,7,0,0,0,25,33,29,22,4,17,4,106,1759,369,584,112,75,61,2963
1007,3,10,53,12,48,39,161,3,14,17,4,32,3,72,44,25,80,13,32,5,197,191,35,169,14,27,4,442,118,8,112,0,21,4,262,133,11,87,0,19,3,252,107,11,53,0,9,0,171,33,0,16,0,4,0,53,0,0,3,0,0,0,6,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18,3,30,4,7,0,61,652,111,622,44,204,62,1695
1008,0,5,23,3,6,15,61,0,0,3,4,3,0,11,6,31,14,3,12,0,67,28,4,34,5,43,4,116,41,4,31,5,8,0,83,115,0,55,0,9,0,186,238,8,74,5,4,0,323,294,0,50,0,10,0,357,60,0,10,0,0,0,69,11,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,14,0,0,3,37,812,56,310,32,97,29,1322
1009,25,148,353,30,46,283,897,9,135,22,38,10,7,229,54,1364,138,96,88,23,1764,338,658,329,211,254,26,1820,467,305,415,56,94,15,1358,1258,248,648,89,112,18,2377,4748,341,1355,43,107,40,6634,8546,141,1495,21,92,35,10327,3441,9,493,9,25,10,3988,914,10,143,0,7,3,1078,297,4,35,0,4,0,339,111,0,20,0,0,0,134,40,0,11,0,0,0,56,54,0,14,0,4,4,72,243,212,237,67,52,42,854,20547,3584,5704,665,906,504,31914
