SUA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
4008,293,422,941,872,1039,632,89,9,0,4293,313,166,378,333,376,613,895,598,226,3894,37,44,102,53,101,82,89,72,38,614,642,631,1427,1253,1510,1331,1069,678,262,8810,48,382,1187,1119,1393,748,78,5,0,4966,325,323,480,518,592,441,101,14,0,2786,12,35,91,69,76,74,13,0,0,369,15,16,23,31,37,23,7,0,0,157,400,758,1776,1742,2098,1293,197,18,3,8282,71,142,181,139,167,104,3,0,0,804,102,58,77,54,45,34,3,0,0,372,177,199,252,197,208,139,3,0,0,1178,575,956,2032,1939,2306,1430,199,26,3,9457,695,254,518,503,696,1075,1647,1109,366,6865,72,103,206,135,208,168,170,118,57,1241,1344,1305,2761,2575,3210,2675,2016,1247,429,17567
5000,2937,4080,10387,11929,14136,10908,2680,384,48,57495,3376,1568,4618,3889,3915,6417,8777,4666,1671,38902,645,708,1945,1743,1968,1802,1302,787,358,11246,6959,6359,16946,17564,20026,19121,12755,5834,2076,107646,1935,5663,16893,17610,20875,14857,3397,473,58,81774,2891,2165,5281,7128,7688,7225,3117,591,78,36161,188,360,1486,1231,1528,1600,485,83,15,6967,199,262,471,494,603,462,201,97,18,2807,5223,8451,24129,26463,30697,24137,7195,1249,166,127710,557,826,1226,1209,1291,914,66,3,0,6091,450,245,467,445,390,448,99,4,0,2555,1008,1074,1692,1654,1680,1362,165,15,0,8648,6230,9520,25825,28122,32375,25505,7367,1261,163,136361,7404,3011,7293,6404,6626,11313,17772,9192,2875,71882,1407,1626,5149,4725,4997,4310,2841,1536,601,27192,15042,14153,38263,39249,44000,41122,27980,11983,3642,235436
5001,584,560,1206,1489,1757,1397,289,30,4,7311,392,158,482,392,424,833,1516,1063,508,5768,45,42,85,94,114,139,139,124,81,859,1020,756,1773,1972,2297,2369,1944,1220,589,13938,283,750,1534,1690,2022,1439,250,11,3,7978,673,346,733,1014,1114,1086,404,59,7,5435,31,32,125,94,152,172,49,9,0,666,25,21,47,45,51,35,13,10,3,253,1013,1143,2435,2845,3345,2733,720,91,14,14330,77,84,92,95,67,71,4,0,0,488,78,29,48,48,33,54,17,3,0,304,152,106,140,143,106,116,18,3,0,794,1172,1254,2579,2985,3445,2852,734,96,14,15126,868,315,794,634,726,1338,2719,1923,865,10183,114,86,205,186,226,286,257,213,140,1709,2152,1655,3575,3806,4398,4480,3711,2232,1014,27017
5002,127,249,951,880,710,495,77,6,0,3510,141,69,229,182,134,190,160,60,17,1181,39,41,167,150,109,109,44,22,6,686,305,366,1339,1214,954,799,281,89,29,5372,78,273,1277,1134,1002,696,95,12,0,4568,162,122,370,440,294,248,77,4,0,1721,4,12,101,69,74,61,14,0,0,325,13,29,31,20,38,20,3,0,0,153,261,433,1777,1670,1403,1020,185,18,0,6774,16,37,60,53,48,29,5,0,0,240,25,16,24,21,7,11,4,0,0,109,43,46,83,71,57,40,13,0,0,350,299,477,1861,1738,1465,1064,196,18,0,7125,324,118,335,311,250,364,372,143,31,2249,80,76,330,283,219,205,109,37,15,1354,706,676,2528,2338,1932,1630,671,200,44,10726
5003,1308,1410,3285,3593,3895,2595,422,23,5,16532,867,373,1250,1034,879,1661,2556,1548,744,10922,126,118,300,283,300,280,254,195,98,1950,2302,1898,4832,4909,5069,4536,3234,1765,847,29410,503,1713,4269,4425,4855,3040,368,13,3,19193,1473,824,1804,2293,2177,1763,584,61,5,10981,64,88,320,266,316,311,63,8,0,1430,59,53,124,107,107,64,12,5,0,534,2105,2679,6507,7088,7458,5176,1023,87,10,32139,163,262,401,334,329,234,18,0,0,1745,310,116,206,178,131,138,35,0,0,1115,476,377,603,511,457,374,53,0,0,2860,2582,3057,7112,7602,7915,5549,1074,93,14,34995,1904,608,1635,1439,1352,2611,4728,2785,1170,18229,271,240,613,614,665,591,500,341,148,3987,4752,3903,9364,9656,9928,8744,6303,3221,1333,57207
5004,584,558,1336,1952,1971,1407,300,35,7,8151,391,131,502,494,410,906,1681,967,394,5868,48,50,129,146,144,171,163,131,120,1110,1022,741,1968,2600,2528,2482,2142,1136,514,15128,251,626,1638,2201,2290,1354,231,29,0,8613,672,369,869,1396,1331,1204,431,60,4,6331,52,38,151,161,155,177,70,3,0,816,34,26,46,47,56,37,24,6,3,281,1004,1052,2710,3808,3836,2770,752,95,13,16037,69,68,104,105,106,131,4,0,0,585,96,32,57,69,44,68,17,0,0,387,161,103,163,177,153,196,25,0,0,970,1166,1151,2868,3982,3989,2969,777,96,13,17008,850,203,617,628,619,1409,3139,1792,670,9929,105,103,284,319,332,341,319,240,172,2217,2120,1462,3772,4933,4940,4720,4236,2125,851,29151
5005,210,201,475,543,639,448,107,19,0,2638,163,57,157,137,124,263,449,297,132,1776,40,30,79,59,102,72,64,37,25,507,411,283,706,738,859,782,617,352,160,4916,114,303,609,670,872,521,96,11,5,3209,230,128,264,338,375,308,135,30,5,1822,17,14,51,42,56,79,29,3,0,298,7,9,18,24,21,19,8,0,4,103,377,453,943,1073,1327,927,268,51,9,5425,17,26,34,34,47,24,3,0,0,191,30,3,16,13,11,6,3,0,0,86,47,31,52,46,60,26,5,0,0,274,422,479,991,1124,1387,952,274,51,9,5700,343,81,196,175,184,425,806,528,208,2943,83,69,166,147,210,154,140,72,34,1064,855,624,1354,1444,1778,1539,1225,651,247,9712
5006,732,721,1542,1781,2091,1350,238,30,0,8486,483,237,617,495,461,769,1209,760,287,5327,96,87,189,171,198,169,127,116,58,1217,1306,1051,2346,2449,2746,2292,1574,909,350,15022,307,896,1990,2204,2592,1611,249,20,7,9873,766,370,794,993,1110,870,270,35,4,5217,31,56,195,133,167,160,40,5,0,799,16,19,52,62,63,50,19,10,0,287,1124,1347,3031,3392,3931,2686,580,72,11,16177,97,163,229,195,211,146,16,0,0,1052,139,57,72,82,75,68,18,8,0,511,241,221,297,276,282,210,27,7,0,1567,1360,1573,3327,3668,4213,2896,610,82,11,17740,1067,416,897,760,762,1263,2278,1427,501,9363,205,173,374,379,434,368,265,228,114,2524,2627,2153,4596,4803,5410,4531,3154,1735,620,29636
5007,505,623,1687,1585,1473,886,129,11,0,6895,318,217,673,411,297,363,388,253,87,3008,67,100,248,181,158,164,69,41,15,1036,890,943,2608,2175,1929,1410,586,302,100,10945,292,976,2741,2456,2367,1460,203,15,4,10519,505,256,684,697,608,463,130,15,0,3354,16,59,175,116,113,78,20,0,0,567,26,40,73,71,68,35,15,3,0,332,836,1325,3673,3339,3159,2035,367,30,7,14768,73,109,142,113,104,72,9,0,0,616,73,36,61,54,35,35,4,0,0,299,139,146,205,164,141,105,11,0,0,919,978,1471,3884,3504,3301,2144,380,30,7,15685,680,358,849,565,462,611,840,456,133,4940,137,204,543,434,410,385,154,72,20,2357,1796,2037,5279,4500,4164,3130,1377,558,153,22980
5008,192,350,1103,933,683,327,33,8,0,3620,152,87,388,260,135,94,62,13,3,1195,27,52,189,129,106,63,27,5,0,600,367,489,1678,1328,922,482,121,22,3,5413,126,491,1787,1622,1163,632,74,8,6,5899,207,120,426,420,283,126,21,4,0,1604,12,31,156,82,69,47,14,0,0,405,13,16,32,32,21,7,3,0,0,133,350,656,2400,2161,1529,815,108,15,6,8040,29,52,88,73,59,42,7,0,0,345,30,14,32,25,16,10,3,0,0,129,57,64,122,100,73,51,12,0,0,474,411,721,2521,2263,1602,869,117,15,6,8516,350,129,453,318,181,155,120,28,6,1748,66,118,419,340,275,151,52,5,0,1422,825,966,3392,2926,2058,1168,293,44,7,11688
