SUA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5009,30293,47930,109780,97939,97754,63995,12949,1069,139,461843,24889,12262,31935,29695,23638,37893,59040,38845,17777,275970,2456,3893,9810,7089,6481,5876,5019,4408,3879,48906,57641,64093,151521,134718,127874,107757,77000,44326,21790,786721,7965,42892,151400,131769,129896,78526,12339,727,106,555624,34896,39618,54974,56894,52936,42864,16668,2152,189,301188,1405,2562,9472,6637,5615,5466,1594,182,18,32941,1057,2039,3838,2947,2638,1626,527,153,41,14861,45328,87113,219683,198245,191084,128480,31125,3212,351,904615,3589,6860,11626,9428,9257,6200,495,50,12,47516,9683,5599,5734,4701,3332,2775,759,84,5,32683,13280,12459,17361,14135,12587,8973,1252,132,18,80199,58602,99565,237046,212373,203667,137452,32378,3349,374,984811,54052,23582,43864,39179,34693,59001,107268,69713,28254,459605,5163,8040,21274,15855,14439,12229,9766,7716,5703,100180,117817,131189,302182,267409,252800,208679,149417,80772,34331,1544598
5010,150,300,994,699,563,275,35,3,0,3021,138,74,331,197,157,113,78,35,11,1135,49,78,221,146,132,72,33,7,3,738,335,456,1548,1038,848,463,143,45,12,4889,90,398,1630,1235,1033,576,76,6,4,5036,144,105,361,281,193,108,21,0,0,1218,11,32,138,86,65,49,4,0,0,382,8,16,40,36,32,23,0,0,0,155,248,546,2172,1635,1332,748,102,8,5,6797,17,38,64,60,60,37,3,0,0,278,19,7,32,18,9,10,3,0,0,98,38,47,100,79,68,40,3,0,0,378,287,595,2267,1714,1395,788,108,6,5,7179,279,117,413,259,236,185,159,75,19,1745,84,139,454,336,310,193,64,23,5,1609,650,857,3133,2305,1947,1170,337,103,32,10528
5011,159,240,607,560,577,326,62,5,0,2546,132,79,270,194,142,212,376,165,36,1608,22,27,76,64,61,51,59,60,56,481,320,345,954,815,778,592,504,227,99,4632,62,251,745,773,763,355,50,3,0,3004,147,142,313,325,332,225,74,8,0,1558,13,17,62,61,44,37,9,0,0,239,11,16,41,22,15,12,0,0,0,110,237,416,1166,1175,1155,618,144,5,0,4917,32,48,68,74,69,47,0,0,0,342,48,24,38,31,24,19,9,0,0,190,79,67,102,108,94,62,9,3,0,532,311,487,1271,1288,1247,686,153,7,0,5452,305,115,308,242,213,335,705,346,64,2635,41,53,159,150,133,104,108,117,90,956,660,652,1741,1678,1597,1126,970,470,150,9046
6000,1841,2174,4707,6030,8141,6414,1286,163,26,30782,1963,749,1937,1953,2577,5340,7658,3617,1292,27087,241,242,479,547,743,891,790,496,199,4625,4044,3167,7132,8524,11459,12643,9734,4270,1520,62485,847,2589,5756,6858,9430,7059,1280,173,32,34024,1915,1489,2969,4248,5235,5161,1647,267,33,22970,133,177,537,439,655,815,210,41,7,3003,120,123,210,240,328,233,110,52,11,1416,3015,4373,9469,11783,15652,13270,3247,527,77,61417,334,435,500,527,646,590,34,3,10,3072,324,151,245,230,295,327,48,9,0,1624,651,590,744,758,941,919,84,14,10,4702,3673,4963,10211,12535,16593,14189,3331,537,88,66113,4297,1255,2631,2958,4453,9684,15416,7310,2185,50178,496,510,966,1090,1548,1854,1667,926,335,9387,8459,6720,13807,16584,22591,25721,20410,8770,2604,125680
6001,469,534,1011,1064,1351,957,129,16,0,5532,352,208,429,391,457,818,1308,909,388,5271,35,34,72,83,86,102,108,92,46,654,854,776,1513,1534,1893,1881,1551,1021,432,11457,179,571,1194,1201,1560,1016,108,9,3,5836,530,367,608,695,817,676,169,28,0,3884,26,25,100,66,84,114,21,0,0,440,20,15,34,31,25,37,12,3,0,186,749,981,1940,1994,2487,1841,317,37,8,10348,71,107,126,130,133,72,0,0,0,641,107,37,75,44,47,45,6,0,0,353,178,147,197,170,179,115,7,0,0,997,927,1127,2134,2166,2665,1960,325,42,7,11345,800,339,605,617,753,1386,2415,1649,612,9171,63,80,143,158,196,185,217,157,67,1271,1793,1546,2882,2935,3616,3533,2953,1850,683,21788
6002,526,562,1124,1253,1486,985,185,25,0,6162,347,207,449,458,465,935,1571,942,480,5853,31,22,77,73,84,132,156,102,54,743,903,796,1652,1792,2038,2051,1912,1067,538,12758,170,531,1361,1445,1653,1099,158,14,0,6432,565,390,738,807,907,745,247,37,9,4444,22,43,98,96,109,118,24,0,0,517,15,17,40,33,42,40,19,7,3,204,771,981,2239,2379,2718,2006,451,56,14,11605,69,144,116,113,124,79,4,0,0,662,113,48,66,47,51,45,6,3,0,379,181,192,183,163,181,120,13,0,0,1041,952,1173,2423,2539,2896,2127,458,62,14,12642,779,307,630,669,784,1558,2791,1692,732,9944,71,64,173,158,179,261,284,179,78,1441,1802,1545,3222,3372,3857,3943,3536,1935,822,24032
6003,3162,4623,9946,10242,10741,7878,1438,143,24,48180,2692,1585,2917,2413,2504,5287,8540,5556,2872,34354,294,334,671,622,652,747,679,556,328,4884,6149,6539,13533,13281,13897,13905,10652,6252,3219,87423,762,3794,11965,11951,13351,8766,1164,66,16,51831,3686,3994,5904,6530,6236,5635,1969,271,19,34224,206,308,949,716,625,698,175,12,3,3697,119,145,303,210,242,179,62,27,14,1294,4773,8239,19120,19403,20450,15277,3364,382,50,91048,302,643,903,582,495,324,16,4,0,3277,928,526,509,309,267,288,59,8,0,2910,1232,1175,1413,898,760,616,79,13,0,6183,6008,9411,20530,20300,21211,15890,3437,393,50,97234,5940,3091,4623,3818,4258,9097,15412,9880,4494,60619,551,682,1405,1247,1390,1472,1322,962,494,9521,12496,13179,26558,25366,26861,26463,20178,11231,5044,167374
6004,1505,2090,3620,3948,4434,3152,544,35,7,19340,1102,709,1255,1091,1085,2003,3560,2442,1285,14518,147,177,315,292,319,347,353,225,172,2345,2751,2976,5188,5327,5833,5503,4457,2709,1464,36204,423,1864,4496,4459,5356,3489,425,16,5,20538,1680,1694,2208,2602,2605,2236,757,103,10,13888,94,133,380,261,253,281,84,10,0,1488,59,74,99,98,98,88,35,5,0,560,2255,3757,7185,7423,8314,6099,1299,136,20,36473,190,366,351,279,298,202,11,0,0,1700,419,262,184,165,136,124,9,3,0,1304,606,633,543,451,427,326,21,3,0,3004,2865,4387,7727,7869,8739,6421,1318,135,20,39483,2516,1421,1892,1657,1772,3284,6435,4177,1955,25124,291,382,631,588,662,661,667,384,253,4517,5676,6194,10257,10115,11175,10364,8421,4700,2226,69119
6005,232,229,468,590,777,581,87,8,4,2973,159,69,175,148,211,478,855,544,211,2856,15,14,37,31,44,49,52,56,32,342,415,314,684,770,1031,1110,996,608,243,6172,91,260,567,630,905,613,81,4,3,3147,250,162,290,410,455,470,123,18,3,2184,18,23,42,36,71,57,13,0,0,265,16,12,11,20,17,14,12,4,0,93,375,459,905,1096,1443,1157,224,30,4,5693,31,49,49,45,52,33,4,0,0,258,47,19,30,20,31,30,3,0,0,179,77,62,78,66,81,71,7,0,0,439,456,524,984,1160,1524,1225,237,28,4,6131,375,129,248,236,335,816,1546,995,333,5014,37,35,65,60,87,88,94,97,46,621,858,683,1299,1456,1949,2137,1880,1122,383,11766
7000,696,1246,3377,3056,3022,1791,390,41,5,13624,1649,1335,2420,1780,1500,1378,1018,359,68,11506,411,462,979,772,782,512,226,78,16,4248,2756,3047,6777,5602,5300,3690,1635,473,93,29383,457,1552,4347,3890,4156,2598,546,54,5,17612,472,431,1176,1276,1094,782,292,28,3,5548,31,69,302,285,268,234,35,10,0,1238,87,130,243,182,179,105,32,6,0,974,1046,2182,6067,5634,5702,3724,906,95,12,25367,390,554,853,641,522,202,29,3,0,3207,94,122,258,187,151,81,16,0,0,911,483,681,1114,830,671,290,45,3,0,4117,1529,2867,7182,6458,6375,4011,957,102,16,29487,3453,2466,4431,3311,2818,2567,2218,725,126,22114,905,1025,2030,1611,1702,1188,560,176,36,9228,5887,6355,13643,11378,10890,7759,3731,1004,171,60830
7001,328,468,1575,1369,1481,1050,209,15,0,6488,242,131,396,298,261,322,371,222,95,2334,65,88,330,227,223,209,95,24,19,1280,638,685,2295,1890,1957,1581,674,268,112,10098,208,671,2272,2004,2229,1640,266,14,0,9302,376,181,518,494,429,368,155,22,0,2537,25,32,143,98,96,96,33,3,0,531,22,20,69,45,43,34,10,0,0,239,630,903,3006,2636,2799,2130,469,42,0,12608,24,49,64,54,58,35,5,0,0,295,37,15,29,24,12,19,3,0,0,135,66,61,93,72,69,60,8,0,0,430,689,966,3100,2706,2866,2186,474,42,0,13035,588,218,554,468,436,497,701,396,137,4005,145,186,614,432,464,399,203,55,22,2520,1423,1377,4265,3603,3769,3085,1373,492,164,19560
7002,1654,3030,8651,6964,6061,3751,755,51,7,30920,1278,570,2010,1481,1019,1525,1963,968,291,11097,278,461,1316,846,734,645,319,122,43,4756,3204,4058,11973,9284,7814,5923,3039,1141,336,46774,824,4190,13886,11295,9884,5964,1074,61,9,47190,1835,1608,3168,2593,1958,1558,606,70,3,13404,92,268,858,548,476,392,95,7,0,2742,98,200,414,247,240,140,39,5,3,1391,2852,6267,18324,14687,12559,8053,1816,154,21,64731,181,322,502,397,359,221,35,0,0,2020,322,152,234,170,120,88,35,0,0,1116,504,480,727,568,481,309,69,0,0,3135,3361,6739,19051,15259,13040,8361,1883,149,21,67872,2813,1127,2937,2256,1797,2628,3945,1877,505,19888,586,1042,3133,2132,1809,1454,730,247,78,11215,6762,8918,25121,19645,16648,12448,6558,2275,603,98970
8000,30,39,75,86,67,49,8,0,0,367,21,14,19,18,16,35,26,11,8,165,9,6,7,12,11,9,3,0,0,63,58,60,101,120,96,92,40,15,7,594,5,39,100,112,112,60,10,0,0,452,34,29,29,42,35,30,10,6,0,218,3,5,17,19,3,7,0,0,0,45,0,0,3,0,6,3,0,0,0,16,42,80,150,173,152,100,28,5,0,726,3,3,13,6,5,0,0,0,0,35,8,0,3,0,3,0,0,0,0,14,14,6,14,6,8,3,0,0,0,53,58,86,164,179,160,108,28,5,0,783,34,29,31,45,34,58,58,33,7,323,17,14,31,42,32,36,7,3,0,185,107,132,222,261,228,197,92,37,7,1284
8001,7510,12240,29091,26178,23615,13634,2639,234,35,115185,5127,3557,5311,4255,3786,8652,13055,7586,3360,54697,520,927,2113,1485,1294,1231,975,784,778,10109,13165,16729,36515,31923,28699,23522,16674,8599,4180,179998,2270,11966,41624,37684,35227,18515,2735,164,17,150199,8755,9464,11618,11972,9174,7262,3089,403,32,61770,443,723,2947,1995,1413,1231,348,40,10,9155,360,567,812,646,514,297,107,33,17,3344,11826,22717,56995,52295,46331,27307,6281,637,81,224464,430,883,1412,1114,867,597,81,7,0,5383,2086,1162,842,561,393,446,166,22,8,5688,2517,2040,2252,1677,1258,1044,243,31,9,11068,14346,24760,59249,53965,47587,28346,6520,666,84,235532,11272,7026,8039,6176,6053,14650,23341,13504,5473,95545,1037,1889,4364,3205,2787,2359,1889,1407,1118,20053,26655,33679,71649,63346,56429,45355,31755,15582,6678,351131
9000,46,45,165,217,240,201,81,12,0,1014,48,15,46,54,50,96,112,65,23,513,12,6,28,18,47,48,21,14,3,203,110,72,244,296,334,350,214,91,33,1730,18,71,225,312,353,300,117,9,0,1413,41,28,79,98,123,110,73,17,4,571,3,9,24,22,16,31,11,0,0,122,9,6,7,12,14,12,3,3,0,69,70,119,336,448,508,446,203,29,4,2170,5,4,5,9,5,6,0,0,0,34,0,0,4,7,0,11,0,0,0,21,9,7,7,13,4,16,0,0,0,58,79,119,343,462,519,465,207,29,4,2228,105,57,155,134,108,155,214,130,47,1108,24,30,74,43,88,87,56,24,6,439,215,210,573,642,711,709,478,182,58,3773
