SUA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1000,504158,500923,1005080,28328,26703,55035,65768,62703,128469,30093,28519,58615,23506,21579,45086,46201,47519,93714,54615,57250,111863,69467,71160,140622,78858,77147,155996,66549,61860,128415,31509,31990,63495,9271,14500,23769,464351,467122,931474,39805,33798,73606,29224,29006,58232,568,512,1079,548,541,1093,30339,30067,60405,409500,404976,814476,43743,46094,89838,441562,441616,883175,15730,16990,32723,442583,442805,885391,7085,6854,13937,58273,55652,113919,19535,19747,39284,3923,5373,9294,6909,16306,23211,129541,157098,286643,29881,30002,59881,130584,120154,250735,39892,35248,75137,27738,20613,48349,1491,1032,2519,439568,443046,882610,64815,58163,122981
1001,43251,45759,89007,3067,2967,6033,5756,5576,11331,2983,2824,5806,3142,3004,6152,5755,6076,11828,5244,5626,10870,5497,5782,11273,5174,5692,10866,3889,4309,8195,1990,2597,4591,753,1311,2064,40319,43064,83378,2933,2693,5627,1071,1198,2266,43,35,74,24,21,44,1137,1245,2388,35489,37552,73041,4579,4837,9410,37583,39800,77380,2752,3041,5792,38389,40692,79084,630,631,1262,5278,5149,10422,2025,2030,4053,754,993,1745,1095,2044,3144,13130,15934,29064,4470,4469,8937,8801,8503,17301,2833,2840,5667,1847,1866,3712,223,235,459,38548,41280,79827,4426,3994,8416
1002,11142,12209,23352,662,651,1312,1403,1417,2820,1035,1132,2171,1250,1300,2547,1404,1488,2894,1153,1281,2431,1347,1447,2794,1238,1396,2632,949,1045,1989,537,702,1241,166,351,521,10301,11311,21611,843,894,1736,786,850,1641,15,10,30,14,12,20,818,875,1687,8675,9563,18245,1597,1668,3269,9256,10192,19446,1083,1113,2200,9379,10376,19758,180,166,342,1311,1302,2610,791,898,1686,679,786,1465,599,816,1414,4852,5647,10502,544,577,1113,1840,1898,3739,589,634,1229,380,409,783,30,31,60,9172,10048,19218,2165,2357,4521
1003,11825,13026,24852,579,599,1176,1371,1262,2628,683,595,1275,492,481,973,1068,1153,2218,1295,1449,2742,1538,1782,3323,1792,2015,3807,1629,1748,3383,912,1174,2087,461,779,1241,11101,12323,23423,729,699,1425,361,413,777,24,11,36,7,8,13,391,435,830,9597,10514,20110,1323,1492,2810,10506,11510,22021,443,503,943,10513,11544,22054,146,156,301,1243,1155,2399,497,456,948,112,147,260,265,522,781,4082,4580,8658,721,729,1448,2776,3179,5947,813,962,1777,487,526,1008,18,33,54,10702,11790,22495,1243,1363,2607
1004,7765,8277,16044,330,367,697,883,850,1735,406,371,775,286,279,568,623,614,1234,705,811,1516,933,944,1875,1216,1400,2615,1399,1479,2875,743,777,1523,246,384,631,7181,7741,14923,587,539,1125,425,497,923,12,7,16,3,3,8,442,504,949,5975,6342,12321,1099,1244,2344,6818,7296,14111,349,408,755,6863,7374,14233,69,76,146,776,761,1535,251,254,500,38,51,91,102,236,342,2250,2491,4738,461,534,997,2013,2157,4168,629,651,1282,400,389,794,20,13,32,6811,7313,14130,916,883,1804
1005,17362,17651,35020,1182,1087,2275,2464,2287,4751,1314,1226,2546,1454,1405,2864,2469,2212,4676,2077,2079,4154,2013,2177,4189,1946,2025,3979,1439,1570,3014,730,1023,1749,261,561,824,16367,16753,33115,1003,901,1900,1026,941,1967,18,20,34,20,18,41,1062,978,2045,14619,14786,29401,1568,1496,3063,14876,15662,30531,790,787,1581,14988,15729,30717,283,277,560,2286,2117,4407,926,910,1832,475,623,1104,496,820,1314,5468,6632,12105,986,891,1869,3808,3729,7538,1048,1050,2100,640,626,1266,38,49,83,15020,15726,30743,2401,1959,4353
1006,17940,19837,37777,995,952,1945,2392,2369,4755,1188,1320,2507,820,744,1565,1645,1651,3302,1869,2147,4012,2333,2630,4965,2329,2691,5014,2434,2895,5327,1490,1684,3169,452,759,1209,16939,18870,35807,1005,965,1965,353,418,769,8,8,13,8,7,18,368,435,803,13826,15269,29093,2887,3221,6114,15762,17436,33194,1106,1249,2355,15806,17548,33357,276,264,544,2187,2159,4346,858,987,1848,179,238,416,302,662,965,6544,7568,14111,1047,1211,2253,4031,4526,8556,1077,1214,2289,568,572,1142,51,47,98,16264,17762,34026,1385,1888,3276
1007,8615,9091,17708,496,478,974,985,981,1972,510,437,949,479,486,962,1020,1097,2114,906,948,1861,1190,1167,2356,1320,1344,2663,1011,1038,2049,504,716,1219,194,398,593,7896,8445,16337,724,648,1370,732,745,1472,4,10,15,9,8,13,741,764,1500,7470,7897,15364,389,412,800,7659,8047,15703,215,234,443,7749,8240,15992,129,120,250,889,881,1761,300,290,594,68,83,154,156,365,525,1691,1978,3674,602,528,1133,2372,2512,4885,822,935,1759,699,649,1353,27,18,38,7637,8138,15769,1087,1066,2152
1008,8160,8580,16746,359,297,655,854,870,1722,469,382,856,263,202,463,465,527,997,678,768,1452,1068,1159,2227,1252,1448,2700,1603,1610,3214,871,953,1826,271,358,633,7590,8038,15626,577,544,1119,257,249,507,4,4,11,5,4,6,269,261,526,6754,7031,13786,779,901,1680,7535,7924,15462,124,170,301,7408,7816,15222,90,105,192,798,812,1606,338,293,626,43,47,93,107,258,365,2024,2416,4443,529,520,1051,2395,2572,4966,859,812,1671,404,347,753,14,13,27,7416,7917,15329,587,563,1151
1009,154615,165064,319676,9675,9129,18804,20778,19463,40241,9836,9515,19349,9064,8713,17777,16898,17663,34566,18538,19869,38409,20330,21874,42205,19396,21709,41107,16765,18945,35704,9510,11828,21338,3818,6360,10176,146763,157771,304529,7848,7299,15145,5854,5932,11786,147,154,299,80,111,194,6083,6192,12273,122498,129716,252218,22396,24597,46994,137427,145533,282962,8570,10142,18711,137957,147066,285024,2609,2476,5080,19198,18027,37225,6936,6929,13862,2532,2826,5350,3163,6394,9553,49560,55217,104776,9395,8956,18350,38089,41508,79600,10799,12444,23243,5621,6144,11762,431,355,789,143606,153243,296849,8782,9854,18630
