SUA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
3006,0,0,15,44,10,0,3,0,0,67,16864,31628,27629,49830,23927,21029,17249,8285,3004,199434,3,7,12,90,33,8,0,0,0,155,0,0,15,127,93,84,36,22,0,376,0,8,7,22,15,8,4,0,0,67,12,69,90,359,147,116,75,40,15,911,0,0,16,79,26,17,24,6,0,172,49,138,757,1218,377,237,152,68,24,3015,0,0,7,52,61,65,106,116,17,431,4,10,14,59,39,66,97,57,19,369,90,843,1079,2786,3038,2478,3053,1925,654,15956,5,23,31,190,68,60,45,13,6,450,3,16,41,172,70,59,64,32,10,463,3,17,60,209,171,197,457,291,86,1481,0,3,4,24,41,55,85,80,15,300,6,30,148,224,86,100,56,21,0,672,39,120,373,1404,213,113,108,60,18,2455,11,32,60,111,46,48,43,31,9,381,7,18,43,230,59,57,31,12,4,461,0,8,11,62,32,17,3,10,3,157
3007,0,0,0,0,0,0,0,0,0,0,614,1351,1114,1858,962,988,819,435,167,8311,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,11,7,23,43,53,74,39,10,255,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,0,3,0,0,9,0,3,0,3,6,5,11,5,0,34,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,17,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3008,0,0,0,0,0,0,0,0,0,0,1198,2820,2165,3594,2097,2447,2599,1355,362,18633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,9,16,10,0,55,0,0,0,0,0,0,0,0,0,5,0,3,0,6,5,0,3,0,0,20,0,0,0,0,0,3,0,11,0,15,0,0,0,3,3,3,5,6,0,18,5,41,26,109,176,230,477,333,76,1471,0,0,0,13,0,7,3,3,0,23,0,0,0,7,3,3,14,4,0,36,0,3,3,15,14,27,69,58,15,201,0,0,0,0,0,0,3,3,0,9,0,0,7,3,0,4,0,0,0,13,4,11,0,47,9,3,8,3,3,85,0,0,0,0,0,0,4,0,4,14,0,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3
3009,0,0,0,0,0,0,0,0,0,0,343,725,613,991,449,477,372,206,89,4261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,14,11,35,17,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,7,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,0,0,0,0,0,2592,4775,4174,8089,4082,3553,1981,1021,350,30612,0,7,0,9,13,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,12,11,4,0,47,0,0,0,0,3,0,0,0,0,7,0,10,14,38,29,4,0,0,0,94,0,0,0,3,0,3,5,0,0,13,0,0,0,4,0,0,0,0,0,3,9,38,44,137,204,172,146,70,21,834,4,4,12,30,18,9,0,3,0,73,0,3,3,4,10,4,3,0,0,20,0,0,3,11,15,22,24,20,3,90,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,3,0,0,0,11,3,24,17,192,36,12,3,0,0,289,0,4,3,13,0,0,0,3,0,31,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
3011,0,0,0,0,0,0,0,0,0,0,640,1592,1497,2549,1416,1515,1310,677,221,11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,99,123,51,15,357,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,13,22,21,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3012,0,0,0,0,0,0,0,0,0,0,746,1099,962,2094,852,620,292,97,17,6788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,3,38,33,29,29,5,0,141,0,0,4,20,11,4,3,0,0,49,0,0,0,3,0,0,0,0,0,5,0,0,0,6,6,3,6,9,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,8,5,59,0,6,6,0,0,80,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013,0,7,10,31,7,0,0,0,0,67,2487,4976,4698,7964,3815,3505,2242,1268,435,31388,0,10,3,24,8,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,3,3,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,6,3,43,11,4,0,3,0,74,0,0,0,0,0,0,4,3,0,8,0,0,0,3,3,0,0,0,0,3,0,19,19,73,99,113,134,53,12,525,0,3,3,25,10,3,0,3,0,47,0,0,0,0,3,0,0,0,0,6,0,3,7,14,11,9,19,12,3,80,0,0,0,3,0,0,3,0,0,8,0,0,7,7,9,3,0,0,0,21,4,13,15,168,28,7,3,0,0,237,0,0,3,0,0,0,3,0,0,10,0,3,0,16,3,3,3,0,0,23,0,0,0,4,0,0,0,0,0,3
3014,0,3,0,0,0,0,0,0,0,7,7543,17312,13719,24655,13666,13571,11267,5733,1996,109451,0,0,0,18,3,0,0,0,0,20,0,0,0,4,3,0,3,3,0,14,0,6,0,0,0,0,0,0,0,12,11,59,36,155,89,53,66,23,3,495,0,0,3,21,9,3,10,0,0,47,3,14,26,79,21,21,8,11,4,191,0,3,0,0,10,11,25,29,0,77,0,4,0,12,4,5,18,17,4,67,49,635,641,1386,1830,1407,1986,1161,374,9469,0,3,8,46,22,28,11,10,0,135,4,6,18,56,34,35,33,10,0,202,4,21,36,100,137,108,265,184,47,901,0,0,3,3,3,13,17,19,0,68,0,21,19,16,15,5,8,4,0,86,17,51,39,453,49,39,38,31,15,735,3,15,20,26,5,8,19,14,5,114,0,4,3,30,10,0,5,0,0,53,0,0,3,4,0,0,3,0,0,11
3015,0,19,30,18,6,4,0,0,0,78,3991,7946,7286,12160,5990,5725,4349,2304,782,50529,0,4,4,46,11,0,0,0,0,65,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,3,9,13,10,39,13,16,4,5,3,102,0,0,0,0,4,3,0,0,0,12,4,18,38,124,39,21,4,3,3,252,0,0,0,0,0,0,3,8,0,13,0,10,3,3,3,0,4,0,0,33,3,61,59,176,236,200,296,159,61,1249,0,5,6,30,13,13,6,3,0,82,0,0,0,3,4,5,3,0,0,23,0,0,11,8,28,24,51,19,9,162,0,0,0,0,0,0,0,0,0,3,0,0,5,14,12,7,0,0,0,43,10,58,198,435,36,14,8,10,0,774,0,0,8,8,0,5,0,3,0,26,0,14,11,23,5,5,3,0,0,65,17,47,12,73,11,3,0,0,0,162
