SOSR_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOSR199,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
SOSR201,0,0,33,481,619,826,647,526,113,3241,215,1543,2813,12256,4409,3274,2186,796,221,27709,59,111,490,2232,218,232,140,22,8,3522,157,697,1105,2232,245,108,62,11,4,4621,10,65,201,1486,1584,1972,1827,743,169,8052,37,106,314,2304,2201,1323,785,339,71,7473,267,1119,1000,2744,1249,759,543,127,41,7865,210,829,3085,12103,8185,6949,2427,836,354,34974,11,56,66,465,363,282,268,154,66,1734,11,67,236,919,335,179,73,16,3,1845,1005,4171,7660,28360,12302,9785,7727,4734,1896,77642,7004,11230,15341,41250,16713,14066,11089,7370,3324,127389,137494,252600,286454,639075,265362,211120,149599,82732,31661,2056095,68,517,1539,3021,741,340,162,52,14,6447,116319,195147,183032,335360,155673,117549,78160,42867,26330,1250452,59,217,341,2145,325,148,30,8,0,3283,4,23,228,1415,912,759,376,254,44,4013,36,136,629,3050,1396,1111,535,209,88,7188,81,227,422,1994,570,375,159,61,40,3936,20,42,98,1174,756,676,609,189,65,3635
SOSR203,0,0,0,10,36,44,53,51,4,198,3,7,44,91,17,15,14,4,0,195,0,3,4,9,0,0,0,0,0,19,5,77,57,35,3,0,0,0,0,184,0,3,4,20,51,87,71,42,7,284,0,3,3,18,18,8,3,3,0,65,3,20,18,69,32,17,18,0,0,182,0,10,29,70,34,25,6,0,0,177,0,3,3,23,18,15,21,13,3,88,0,6,4,35,11,7,3,0,0,66,24,95,159,347,144,180,183,168,87,1387,243,449,615,1276,755,659,548,392,191,5130,5029,9312,10993,20117,9480,8701,6667,3744,1596,75635,4,26,60,82,28,8,5,0,0,218,4361,7662,9138,15985,7817,7030,4906,2905,1848,61648,0,3,0,25,3,0,0,0,0,37,0,0,9,45,61,39,27,17,3,200,0,0,0,15,7,9,3,0,0,26,7,11,13,53,18,12,3,0,0,111,0,0,0,4,3,3,3,0,0,21
SOSR211,0,0,0,3,19,25,27,26,8,106,3,32,23,142,45,32,25,5,3,305,0,0,5,50,0,3,0,0,0,59,10,91,89,53,6,0,0,0,0,252,0,0,0,29,21,21,18,3,0,92,0,0,0,16,22,8,3,3,0,53,3,35,25,69,33,38,44,3,3,255,10,12,17,80,34,20,8,0,0,181,0,3,4,20,16,19,19,14,7,95,0,3,6,24,6,5,0,0,0,58,27,233,356,695,316,255,204,125,40,2254,596,993,1173,2530,1262,1193,1044,613,241,9648,9977,18430,18978,35007,16043,15011,11647,5919,2053,133073,0,6,5,15,3,0,0,0,0,32,8803,15481,16101,29440,13903,13401,9632,5449,2952,115164,0,11,3,67,6,4,0,0,0,93,0,0,4,28,19,13,13,0,0,77,0,7,0,16,3,3,0,0,0,27,0,8,11,62,17,14,16,0,0,121,0,5,8,21,17,9,12,4,0,77
SOSR212,0,0,0,0,3,16,13,0,3,34,9,24,12,101,43,17,11,0,0,219,4,0,25,128,0,0,0,0,0,157,4,13,12,34,0,0,3,0,0,64,0,0,0,6,8,12,13,7,0,41,0,5,9,54,81,40,22,13,0,229,3,10,17,29,13,13,6,3,0,107,5,0,11,47,18,27,7,0,0,109,0,0,4,5,7,6,7,6,4,45,0,6,3,17,9,0,0,0,0,36,18,122,164,423,216,149,102,80,24,1299,332,642,748,1683,912,911,762,499,212,6702,5702,11176,11134,20877,10588,9766,7481,4035,1507,82267,0,43,131,160,43,4,5,3,0,392,4983,9377,9134,16887,8952,8328,5927,3647,1814,69054,0,10,0,31,4,3,3,0,0,51,0,0,0,3,3,0,0,0,0,10,0,0,11,14,4,3,0,0,0,26,0,4,8,27,19,6,8,0,4,76,0,0,0,3,9,0,5,0,0,15
SOSR213,0,0,0,4,7,16,24,22,4,84,4,15,17,83,18,17,18,6,4,178,0,0,10,44,3,0,0,0,0,51,3,22,11,18,3,0,0,0,0,57,0,0,0,7,4,11,8,4,0,30,0,4,3,7,11,4,4,0,0,33,11,35,25,82,48,39,54,11,3,300,0,5,9,48,31,11,5,0,0,104,0,8,3,18,17,15,30,12,7,109,0,5,13,40,12,12,9,3,0,82,13,76,77,290,148,185,193,121,56,1162,434,839,915,2092,1200,1282,1270,796,334,9158,8283,16369,14689,28523,15136,15150,12792,7194,2649,120784,0,4,11,12,5,3,0,0,0,36,7280,14170,12417,25434,13488,13115,10159,6230,3443,105732,0,0,3,18,9,0,0,0,0,25,0,0,4,14,3,13,3,3,3,38,0,0,0,14,3,0,3,0,0,24,4,16,6,65,23,23,7,8,7,161,0,0,0,11,7,11,3,3,0,37
SOSR214,0,0,0,0,9,11,9,13,0,42,3,4,3,40,5,9,3,5,3,80,0,0,12,55,0,0,0,0,0,64,3,7,12,17,4,0,0,0,0,41,0,0,0,3,9,0,6,3,0,27,0,0,0,11,9,0,0,0,0,25,0,11,11,35,21,16,23,6,0,122,0,4,10,37,16,0,0,0,0,70,0,0,0,9,10,18,16,8,3,64,0,0,0,0,3,3,0,0,0,16,9,16,37,122,88,84,103,85,24,565,231,441,476,1088,791,888,910,588,267,5692,4058,8283,7857,13878,8544,9042,8690,5023,1869,67240,0,0,0,0,0,0,0,0,0,0,3450,7223,6109,11886,7371,7629,7090,4260,2368,57384,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,3,13,5,3,0,0,0,20,0,0,3,24,20,17,5,3,0,85,0,0,0,7,5,0,3,0,0,19
SOSR215,0,0,0,0,8,14,20,10,7,63,0,0,5,48,15,10,14,4,0,102,0,3,10,48,0,0,0,0,0,66,3,32,21,31,5,0,3,0,0,96,0,0,0,3,3,8,6,0,0,20,0,0,4,15,10,8,5,5,0,44,3,12,8,35,30,47,43,8,3,197,0,11,10,38,25,23,3,0,0,104,0,0,3,15,26,28,21,17,3,108,0,3,4,18,7,6,8,0,0,47,8,33,31,181,144,141,205,133,52,926,337,760,775,1820,1309,1502,1325,875,357,9050,6537,13764,11414,22394,13448,14555,13263,7255,2740,105368,0,0,3,0,0,0,0,0,0,6,5778,11876,9417,19704,11414,12010,10027,6063,3495,89777,0,6,0,17,0,0,0,0,0,24,0,0,0,0,4,0,0,0,0,9,0,0,9,27,9,3,0,0,0,56,3,7,3,41,17,22,7,3,3,103,0,0,0,13,7,7,10,3,0,39
SOSR221,0,0,0,0,3,10,5,9,0,22,0,0,0,4,0,8,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,3,0,9,3,4,4,8,14,12,20,5,0,74,0,3,0,7,0,0,0,0,0,8,0,3,0,9,0,6,9,6,0,37,0,0,0,0,0,3,3,0,0,4,5,7,3,50,33,45,49,38,11,231,103,228,187,504,385,523,491,231,108,2753,1650,3825,2922,5822,4133,4821,4362,2023,633,30195,0,0,0,0,0,0,0,0,0,0,1442,3251,2477,5223,3410,3579,2847,1510,686,24426,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,12,5,0,0,32,0,0,0,3,4,0,3,0,0,11
SOSR222,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,9,7,0,30,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,7,3,0,15,0,0,0,0,0,0,0,0,0,3,0,8,4,31,17,30,37,23,10,172,60,195,164,359,303,340,269,105,47,1843,1060,2420,1961,3774,2737,3228,2638,1043,344,19200,0,0,0,0,0,0,0,0,0,0,899,2123,1548,3185,2179,2401,1652,754,381,15127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,4,4,3,0,0,0,14,0,0,0,0,4,0,4,0,0,6
SOSR231,0,0,0,3,38,56,45,34,4,176,0,15,3,103,32,26,23,7,0,211,0,3,9,51,0,3,0,0,0,75,9,26,17,41,6,8,4,0,0,105,0,0,0,21,28,39,32,19,0,143,0,0,3,30,39,12,18,3,0,107,8,28,32,65,56,64,80,18,4,363,3,8,27,128,64,28,8,0,0,261,0,0,0,24,23,51,47,13,0,164,0,4,8,25,33,21,7,5,0,100,9,56,107,380,290,365,390,211,69,1874,698,1710,1679,3617,3268,3641,2942,1254,349,19145,10584,27624,24555,41804,33275,35706,27407,10409,2499,213864,0,3,0,0,0,0,0,0,0,3,9282,23984,19278,33512,26060,25294,16059,5764,1970,161197,0,0,0,14,3,0,0,0,0,19,0,0,0,11,3,5,4,6,0,30,0,3,7,22,3,3,0,0,0,45,3,14,17,94,45,49,21,9,0,246,0,0,0,16,12,11,6,0,0,50
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,11,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,3,0,0,0,7,0,0,7,7,0,3,0,0,0,16,0,3,3,10,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0,19,4,3,8,5,7,3,3,0,0,21,0,0,3,7,7,7,3,0,0,35,0,0,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,3,10,30,88,24,10,8,3,0,176,28,32,98,304,105,71,44,6,0,689,215,173,624,1864,628,460,283,72,9,4331,0,0,3,3,0,0,0,0,0,3,124,139,304,665,210,210,116,24,17,1804,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,7,8,0,0,3,0,0,12,0,0,0,8,0,0,0,0,0,10
SOSR301,0,0,14,145,143,198,151,97,29,777,27,272,344,1426,563,484,292,119,38,3559,69,190,747,2746,357,488,323,70,5,5002,44,299,400,695,107,41,24,4,0,1619,0,5,17,64,68,73,50,20,0,295,0,17,38,231,125,52,16,7,0,497,101,552,586,1387,620,482,322,83,29,4183,58,282,618,2531,1679,1315,565,191,89,7328,6,65,106,310,327,208,188,107,32,1361,0,68,297,893,469,372,110,28,4,2236,457,2496,4118,12639,4877,3706,2457,1192,420,32366,3418,5828,7924,19092,8304,6711,4955,2928,1551,60722,69788,136920,147339,301291,130481,103861,72883,34214,12259,1009029,6,82,259,541,152,57,33,10,4,1141,59887,106346,102502,184083,82883,69373,49990,26292,14224,695580,24,101,110,496,80,43,10,4,0,868,0,8,68,447,262,198,91,47,12,1133,3,21,52,350,184,149,52,27,16,862,39,163,294,1171,383,286,128,51,30,2543,4,25,43,291,153,118,80,30,11,753
SOSR302,0,0,7,37,49,81,67,54,9,299,3,23,27,115,43,43,40,19,4,317,4,32,92,278,60,46,46,9,3,565,29,67,98,170,34,16,11,0,0,425,3,0,4,16,30,25,17,7,0,111,0,3,11,61,77,33,22,14,3,218,25,131,152,334,180,187,142,38,14,1212,3,32,48,123,65,42,30,7,0,345,8,23,27,123,102,48,82,35,18,470,0,9,39,182,87,65,43,8,0,439,72,370,810,2690,919,937,779,514,149,7238,1026,1987,2606,5937,2824,2516,2154,1201,651,20903,16397,33803,34747,72428,34625,29043,24738,12394,4290,262469,0,3,6,24,8,0,0,0,0,48,14139,25818,24237,44657,20973,19020,15133,7698,4051,175730,0,11,16,95,13,4,5,0,0,140,0,0,26,142,101,73,45,12,3,406,0,3,9,42,25,15,4,3,0,97,15,39,97,492,128,98,52,12,12,950,0,4,8,89,53,29,25,15,6,229
SOSR303,0,0,0,8,20,20,40,22,3,116,5,62,43,187,85,57,46,22,0,497,4,14,28,165,13,8,6,0,0,228,19,97,119,146,36,16,4,0,0,439,0,0,0,7,5,4,5,0,0,24,0,8,0,25,15,7,3,3,0,65,19,146,126,336,197,174,150,62,13,1226,4,33,39,134,56,27,19,4,0,315,0,28,26,103,72,61,93,39,16,440,0,39,95,200,145,112,55,16,0,661,97,535,783,1946,941,761,699,417,147,6322,1168,2277,3345,6914,3577,3083,2453,1403,574,24797,20510,43827,43453,82514,42096,37366,29703,15016,5092,319582,0,18,30,51,9,12,3,0,0,122,17506,35914,33767,61860,31447,28760,21764,11975,5985,248973,3,12,16,62,9,3,0,0,0,104,0,0,0,20,16,9,8,0,0,50,4,3,3,37,8,5,0,0,0,63,18,80,91,460,170,145,79,37,13,1095,0,4,6,35,20,10,14,3,0,94
SOSR311,0,0,0,0,5,8,13,8,0,33,6,31,16,160,43,15,4,3,3,281,3,3,24,62,0,0,3,0,0,88,4,18,13,26,8,0,0,0,0,78,0,0,0,0,0,0,0,0,0,3,0,0,0,11,9,3,3,0,0,34,4,20,26,64,32,30,30,12,4,228,0,37,36,102,43,9,0,0,0,233,0,3,10,18,22,18,29,24,3,119,0,31,30,58,63,54,8,3,0,246,19,78,94,337,176,131,194,128,41,1197,377,777,967,2616,1545,1435,1079,628,249,9662,7451,15942,14801,28424,15234,14415,11866,6773,2193,117087,0,6,9,14,3,0,0,0,0,27,6644,13504,12337,22816,12088,11538,9274,6013,2823,97044,3,10,6,43,11,0,0,0,0,78,0,0,0,0,0,0,0,0,0,5,0,3,0,9,0,4,0,0,0,13,3,11,10,72,19,33,23,6,6,185,0,0,0,3,0,0,3,0,0,13
SOSR312,0,0,0,0,0,5,3,6,0,12,0,6,0,19,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,7,5,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,3,16,17,5,5,0,0,62,0,0,0,8,3,0,0,0,0,11,0,0,0,4,3,3,3,3,0,21,0,0,3,12,17,9,3,0,0,38,3,29,17,81,43,36,41,29,11,280,152,225,260,610,330,297,206,132,35,2249,1960,3876,3636,7211,3723,3374,2385,1241,385,27787,0,0,0,0,0,0,0,0,0,0,1786,3164,2844,5542,2731,2380,1830,1147,544,21976,0,0,3,15,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,5,13,6,3,0,0,0,27,0,0,0,3,0,0,0,0,0,5
SOSR313,0,0,0,0,0,5,14,9,0,26,0,9,6,54,13,9,0,3,0,95,0,0,3,24,0,5,0,0,0,36,3,11,16,20,4,3,0,0,0,49,0,0,0,3,4,0,0,0,0,7,0,0,0,3,3,0,0,0,0,11,3,18,14,45,35,26,50,11,3,208,0,3,0,19,5,0,3,0,0,34,0,3,0,8,8,16,12,9,8,67,0,11,20,61,39,9,8,6,0,157,11,45,41,196,114,112,123,90,19,751,364,648,690,1819,956,858,687,438,222,6678,5499,11460,9625,18811,9613,9322,8130,4351,1444,78241,0,0,0,0,0,0,0,0,0,0,5051,9323,7955,15459,7781,7532,6338,3770,1674,64885,0,0,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,10,4,3,16,50,17,26,14,6,4,143,0,0,0,5,4,5,4,0,0,16
SOSR314,0,0,0,0,4,3,10,5,0,19,3,5,12,48,8,8,3,0,0,88,0,0,46,176,0,3,0,0,0,228,3,16,12,18,5,0,3,0,0,56,0,0,0,0,3,0,0,0,0,4,0,0,0,8,7,6,0,0,0,17,0,16,9,50,25,34,27,6,6,175,3,18,8,47,12,6,5,0,0,98,0,0,3,15,19,14,13,4,4,70,0,13,18,40,33,24,7,3,0,133,6,53,69,268,146,139,93,70,24,866,425,826,784,2110,1049,925,773,424,126,7444,5683,11903,9523,19945,10070,9098,7308,3780,1189,78499,0,0,0,8,0,0,0,0,0,11,4783,9955,7303,15181,7453,6779,5092,2947,1387,60875,4,4,4,7,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,7,0,0,3,12,0,0,0,0,0,18,3,12,9,72,20,16,21,6,0,156,0,0,0,3,5,0,0,0,0,8
SOSR315,0,0,0,5,8,7,11,9,0,38,0,10,0,27,13,16,18,7,0,85,3,12,22,94,3,0,0,0,0,135,3,12,21,28,6,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,30,15,54,35,54,53,19,8,276,0,15,16,62,15,10,0,0,0,116,0,3,8,15,18,22,27,13,0,110,0,12,17,61,31,23,12,5,0,157,5,66,93,314,180,208,221,137,36,1256,588,1084,1122,3294,1737,1707,1344,726,280,11885,8660,18205,14441,30172,16190,15934,13476,6433,1782,125283,0,0,0,0,0,0,0,0,0,0,7595,15507,11687,23553,12118,11793,9319,4411,2007,97985,0,0,0,5,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,10,0,6,3,12,0,0,0,0,0,16,4,3,21,92,44,24,20,14,3,217,0,0,0,11,7,4,3,0,0,20
SOSR321,0,0,0,0,7,6,5,3,0,21,0,0,0,3,3,0,3,0,0,8,3,3,0,3,0,0,0,0,0,10,0,3,3,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,16,16,21,28,24,8,0,112,0,0,4,3,0,0,0,0,0,7,0,3,0,8,10,12,11,11,3,54,0,0,11,14,28,13,13,3,0,76,0,23,31,86,72,94,99,63,14,473,201,413,375,984,725,732,656,268,88,4438,3079,6968,5368,10536,7137,7352,6312,2535,654,49939,0,0,0,0,0,0,0,0,0,0,2769,5955,4464,8843,5323,5400,3908,1674,602,38931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,17,0,0,6,20,19,21,17,3,0,88,0,0,0,0,0,0,0,0,0,5
SOSR322,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,15,16,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,12,0,0,3,3,3,3,0,3,0,19,0,3,0,23,25,39,40,31,12,172,59,152,176,435,367,377,388,165,35,2156,1389,2870,2301,4467,3172,3653,3326,1366,296,22828,0,0,0,0,0,0,0,0,0,0,1118,2563,1925,3797,2405,2734,2066,846,245,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,4,10,0,0,38,0,0,0,0,0,0,0,0,0,0
SOSR331,0,0,0,3,9,28,26,22,5,89,0,6,7,28,8,14,20,4,0,90,0,7,10,48,13,17,8,3,0,102,7,15,18,43,12,6,0,0,0,94,0,0,0,4,4,5,0,3,0,11,0,0,0,3,12,3,3,0,0,23,0,46,33,98,109,122,135,33,14,595,0,11,5,48,50,33,8,0,0,161,0,8,9,30,45,44,45,21,0,199,0,6,21,72,73,72,30,13,3,292,20,85,95,446,398,450,427,237,36,2194,814,2111,1980,5101,3915,3891,2977,1261,263,22316,11453,30466,24478,46933,35217,35710,27336,10373,2170,224138,0,0,0,0,0,0,0,0,0,0,10022,25342,18600,36338,25634,24010,15809,5538,1522,162798,0,0,0,5,0,0,0,0,0,14,0,0,0,6,3,0,5,0,0,11,0,4,7,21,16,4,3,0,0,57,3,14,30,104,64,85,47,8,0,357,0,0,0,7,9,7,7,0,0,29
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,12,0,0,5,15,10,7,13,7,0,66,0,0,0,0,0,0,0,0,0,0,3,0,5,8,7,14,4,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,9,37,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,14,11,4,0,0,3,0,35,0,0,7,3,4,0,0,0,0,11,0,0,8,0,0,7,4,0,0,17,0,0,4,0,3,0,3,0,0,10,5,0,28,78,19,20,18,3,0,174,28,37,130,417,160,200,157,38,3,1172,182,249,772,2257,975,1147,1120,225,19,6937,0,0,0,0,0,0,0,0,0,0,130,183,337,734,438,791,472,77,6,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,3,0,0,29,0,0,0,9,0,0,0,0,0,15
