SOSR_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR101,..,308395,308395,382429,44765,427194,243382,15236,258612,258730,6918,265647,114596,2768,117366,67015,2087,69102,1066150,380174,1446323
SOSR102,..,97923,97923,114737,10305,125044,54379,2456,56833,54704,875,55575,22592,269,22868,9951,173,10131,256365,112009,368375
SOSR111,..,12214,12214,14639,1176,15814,7047,216,7262,6898,67,6966,2907,18,2928,1282,10,1289,32771,13698,46467
SOSR112,..,50821,50821,54906,5072,59976,23544,894,24434,20868,320,21191,9614,104,9724,4548,49,4600,113477,57262,170737
SOSR113,..,33010,33010,37018,2729,39746,14154,317,14470,12532,102,12638,5580,25,5601,2762,17,2782,72041,36200,108244
SOSR114,..,27883,27883,31119,2256,33376,11746,345,12090,10506,101,10613,4936,41,4982,2225,8,2232,60535,30640,91181
SOSR115,..,39620,39620,46608,3118,49727,17497,369,17865,16118,110,16222,7680,41,7719,3638,28,3667,91535,43282,134817
SOSR121,..,8569,8569,12294,786,13081,4793,68,4852,4601,12,4616,2232,10,2238,1113,0,1117,25032,9433,34473
SOSR122,..,5817,5817,7191,481,7671,2584,36,2615,2383,3,2388,1209,4,1209,580,0,582,13952,6343,20291
SOSR131,..,36523,36523,67003,3674,70675,25512,403,25914,26873,75,26952,14913,42,14957,8370,25,8392,142669,40739,183411
SOSR179,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,..,346965,346965,413059,49036,462092,238547,16642,255193,252519,6978,259493,100934,2558,103489,49021,1587,50603,1054074,423771,1477840
SOSR203,..,17743,17743,18196,1661,19854,8660,523,9177,8092,233,8326,3253,94,3344,1267,86,1357,39466,20337,59805
SOSR211,..,28476,28476,31143,3213,34362,14988,720,15702,14007,277,14285,6128,83,6210,2867,39,2903,69140,32805,101942
SOSR212,..,17636,17636,19454,1524,20979,9002,300,9308,8675,127,8798,3914,41,3960,1746,34,1779,42787,19669,62461
SOSR213,..,27856,27856,30936,2106,33048,12932,329,13258,12860,94,12955,5629,44,5673,2032,23,2052,64391,30446,94837
SOSR214,..,17217,17217,18315,1244,19562,6706,150,6854,6177,40,6215,2805,30,2829,1115,26,1139,35117,18702,53821
SOSR215,..,25248,25248,27794,1771,29567,10491,169,10655,10432,45,10474,4680,22,4707,1889,11,1900,55280,27267,82548
SOSR221,..,7134,7134,8279,541,8822,2846,30,2879,2702,11,2707,1274,8,1278,540,4,542,15635,7731,23363
SOSR222,..,4249,4249,5041,343,5388,1843,22,1868,1757,7,1767,776,4,781,335,3,339,9761,4633,14393
SOSR231,..,29303,29303,52589,2440,55029,19871,217,20086,21156,61,21217,10972,20,10990,5053,16,5071,109645,32059,141696
SOSR279,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,..,158218,158218,209158,26022,235188,116091,8396,124486,116789,3223,120013,49303,1162,50462,26571,630,27203,517911,197658,715565
SOSR302,..,45093,45093,61015,8123,69141,30743,2000,32748,29157,648,29811,11297,188,11484,5381,98,5483,137605,56151,193760
SOSR303,..,62033,62033,79166,8455,87622,35210,1909,37115,32939,609,33546,13635,158,13791,6419,71,6491,167357,73241,240599
SOSR311,..,24145,24145,30034,2618,32647,12678,428,13105,11417,119,11542,4950,29,4979,2394,20,2412,61472,27362,88835
SOSR312,..,5677,5677,6744,621,7368,3023,104,3124,2705,26,2727,1153,3,1158,576,0,578,14199,6432,20639
SOSR313,..,16041,16041,20332,1676,22011,8109,264,8378,7435,59,7491,3513,12,3526,1825,7,1836,41220,18066,59285
SOSR314,..,13726,13726,18168,1488,19660,7869,281,8143,8142,121,8263,3618,54,3668,1914,43,1960,39706,15710,55417
SOSR315,..,21606,21606,29342,2478,31821,11927,315,12240,11416,89,11501,5519,32,5551,3680,12,3698,61885,24532,86419
SOSR321,..,9007,9007,12528,891,13418,4723,97,4819,4549,20,4568,2103,3,2109,1388,3,1392,25280,10026,35309
SOSR322,..,4946,4946,6109,451,6560,2013,51,2070,1653,12,1665,897,11,902,617,7,623,11286,5473,16758
SOSR331,..,28580,28580,53193,3218,56410,20823,378,21205,21031,90,21123,10614,20,10632,6268,29,6293,111931,32318,144249
SOSR379,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
