SOSR_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR179,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR199,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,247,489,778,539,444,365,229,51,7,3146,247,489,778,539,444,365,229,51,7,3146,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR201,..,3073,105198,173721,160506,132288,98099,52399,13724,739012,..,9692,54021,31854,22464,12784,4971,1197,258,137242,..,332,1336,4426,9219,7037,2908,1846,1236,28344,367948,..,..,..,..,..,..,..,..,367948,..,114484,..,..,..,..,..,..,..,114484,..,66393,52832,17099,10842,4203,563,21,0,151944,..,16072,14051,4148,3714,3936,2907,1810,1021,47658,..,9741,12294,3605,2558,1623,574,159,50,30616,..,31871,42786,10954,6825,5215,3055,1122,324,102156,..,8762,25538,24997,27061,25062,19468,12172,6830,149887,4413,6128,8402,4954,3910,2708,2216,1367,549,34643,372364,266548,316461,275762,247103,194847,134760,72099,23988,1903927,..,8683,139517,179532,161280,126404,87134,37118,6201,745880,..,14627,55875,30374,20840,10430,3509,680,121,136449,..,2782,14246,31240,41261,22654,9733,7853,4662,134417,349484,..,..,..,..,..,..,..,..,349484,..,116500,..,..,..,..,..,..,..,116500,..,47737,37302,8878,6032,3208,609,27,4,103801,..,13548,10007,3093,4353,8685,7822,6587,3816,57903,..,8938,8195,1826,1275,849,361,147,81,21678
SOSR203,..,106,3108,5055,5026,5039,4071,2261,663,25338,..,645,2119,1178,823,509,225,58,10,5563,..,19,75,245,424,265,113,71,55,1259,13320,..,..,..,..,..,..,..,..,13320,..,3557,..,..,..,..,..,..,..,3557,..,2586,1463,645,413,182,25,0,0,5313,..,460,278,110,105,95,71,65,17,1209,..,306,279,87,72,38,17,4,3,805,..,1457,1224,282,249,174,141,46,11,3579,..,334,956,1002,1456,1519,1088,660,404,7421,249,343,370,220,156,147,86,50,29,1655,13569,9815,9870,8823,8725,7961,5841,3215,1191,69019,..,238,3954,5366,5293,4944,3734,1768,331,25628,..,918,2174,1074,842,461,160,32,3,5652,..,259,932,1610,1777,880,346,310,204,6312,12614,..,..,..,..,..,..,..,..,12614,..,3730,..,..,..,..,..,..,..,3730,..,1725,931,269,183,118,18,0,0,3246,..,385,203,77,126,250,216,141,81,1471,..,263,158,40,45,25,5,3,0,540
SOSR211,..,240,5668,8613,8438,8566,6941,3486,811,42768,..,1419,3851,2094,1534,894,369,118,26,10298,..,49,187,502,822,442,175,102,65,2346,26303,..,..,..,..,..,..,..,..,26303,..,5913,..,..,..,..,..,..,..,5913,..,5072,2328,967,578,240,40,3,0,9225,..,751,498,194,214,252,157,92,52,2214,..,510,446,211,167,98,40,6,5,1493,..,1915,1515,469,476,400,258,95,23,5147,..,601,1816,1821,2198,2408,1872,1019,485,12227,506,733,686,421,309,267,206,113,38,3275,26808,17207,16983,15289,14737,13562,10065,5043,1506,121195,..,484,7333,9028,8690,8649,6209,2553,404,43351,..,2058,3899,2038,1508,754,305,64,11,10641,..,673,2329,3245,3083,1442,595,422,270,12073,25034,..,..,..,..,..,..,..,..,25034,..,5909,..,..,..,..,..,..,..,5909,..,3324,1367,383,311,174,44,0,0,5609,..,688,299,95,273,453,405,248,137,2599,..,464,231,74,56,43,14,3,0,895
SOSR212,..,145,3351,5229,5778,5638,4434,2351,659,27591,..,780,2216,1246,902,560,262,82,18,6052,..,28,113,281,458,263,98,67,32,1347,15504,..,..,..,..,..,..,..,..,15504,..,3801,..,..,..,..,..,..,..,3801,..,3353,1391,577,338,140,23,4,0,5826,..,432,276,110,133,127,84,54,36,1261,..,285,260,121,100,54,14,8,3,848,..,738,858,293,265,268,143,38,10,2612,..,336,1049,1067,1450,1478,1130,667,320,7501,354,355,403,260,214,173,168,91,30,2045,15862,10255,9921,9184,9643,8699,6363,3364,1106,74389,..,321,4214,5715,6061,5566,4009,1794,309,27980,..,1153,2190,1173,913,531,187,54,7,6219,..,345,1223,1884,1888,789,326,248,157,6869,14840,..,..,..,..,..,..,..,..,14840,..,3972,..,..,..,..,..,..,..,3972,..,2233,824,220,181,110,18,0,0,3578,..,395,176,61,169,228,244,161,104,1531,..,268,126,37,34,27,3,3,5,496
SOSR213,..,176,4503,7750,8170,8625,7488,4217,1123,42060,..,1058,2984,1896,1492,1030,410,131,22,9023,..,39,139,437,655,368,155,90,64,1952,22924,..,..,..,..,..,..,..,..,22924,..,5288,..,..,..,..,..,..,..,5288,..,4448,1880,733,505,195,44,0,0,7797,..,511,313,131,175,201,144,83,57,1607,..,323,297,141,130,53,29,8,3,981,..,732,861,363,356,340,238,90,14,2999,..,491,1401,1503,1996,2431,2006,1230,570,11621,414,599,529,347,300,292,234,134,31,2873,23335,13665,12907,13293,13779,13534,10746,5989,1881,109130,..,309,5882,8341,8692,8784,6994,3171,543,42719,..,1575,3072,1917,1508,890,311,84,15,9378,..,506,1641,2610,2619,1090,480,400,284,9624,21609,..,..,..,..,..,..,..,..,21609,..,5317,..,..,..,..,..,..,..,5317,..,2861,1079,360,272,197,32,3,0,4798,..,347,178,76,177,325,279,243,104,1729,..,317,176,42,49,37,12,13,8,645
SOSR214,..,79,1924,3538,4322,4888,4845,2807,733,23136,..,459,1431,989,851,601,353,106,10,4799,..,25,65,211,391,233,101,60,32,1121,11447,..,..,..,..,..,..,..,..,11447,..,2703,..,..,..,..,..,..,..,2703,..,2380,960,450,325,147,26,0,0,4282,..,256,145,83,78,101,82,49,24,811,..,199,149,68,58,54,18,3,0,544,..,481,362,172,235,261,190,74,26,1797,..,272,611,777,1243,1512,1451,928,485,7274,193,298,249,167,161,187,217,126,31,1632,11644,7153,5896,6450,7656,7982,7277,4146,1350,59551,..,168,2525,4044,4620,4996,4684,2020,379,23428,..,725,1456,1025,835,571,277,59,11,4961,..,266,802,1317,1484,601,296,263,157,5192,10757,..,..,..,..,..,..,..,..,10757,..,2625,..,..,..,..,..,..,..,2625,..,1427,507,205,162,118,26,0,0,2442,..,171,81,46,91,182,185,160,80,995,..,176,92,25,22,28,9,4,5,354
SOSR215,..,114,3382,6149,6786,7810,7442,4037,1004,36725,..,720,2399,1736,1539,1016,515,117,26,8068,..,23,95,328,594,347,154,98,82,1718,18850,..,..,..,..,..,..,..,..,18850,..,4195,..,..,..,..,..,..,..,4195,..,3695,1619,711,474,233,29,3,0,6765,..,379,198,94,162,200,153,81,48,1318,..,221,210,108,105,68,36,19,4,772,..,408,518,247,346,379,270,96,16,2278,..,354,923,1161,1886,2485,2289,1355,632,11073,273,430,391,254,286,322,320,149,36,2463,19127,10545,9735,10783,12172,12859,11212,5945,1851,94224,..,253,4530,6634,7368,8065,6886,2915,496,37150,..,1093,2523,1808,1505,896,390,79,11,8305,..,283,1180,1957,2104,915,367,387,251,7446,17758,..,..,..,..,..,..,..,..,17758,..,4239,..,..,..,..,..,..,..,4239,..,2288,927,279,235,175,40,3,0,3944,..,291,120,51,134,313,269,219,139,1541,..,227,129,52,57,42,19,11,6,541
SOSR221,..,22,796,1622,2087,2399,2360,1095,226,10610,..,153,584,523,484,387,199,32,3,2366,..,8,19,82,137,91,31,28,11,413,5059,..,..,..,..,..,..,..,..,5059,..,1095,..,..,..,..,..,..,..,1095,..,997,385,201,128,61,13,0,0,1786,..,91,56,24,36,59,46,27,19,359,..,64,54,35,32,30,12,5,0,220,..,78,116,54,107,128,99,41,11,626,..,77,249,321,640,947,838,427,168,3663,80,106,110,79,108,119,126,40,11,781,5141,2688,2364,2939,3761,4221,3714,1699,455,26980,..,48,1071,1843,2264,2508,2110,751,105,10697,..,267,603,543,485,368,134,18,5,2426,..,59,282,482,520,211,133,87,80,1855,4705,..,..,..,..,..,..,..,..,4705,..,1151,..,..,..,..,..,..,..,1151,..,615,234,90,71,39,14,0,0,1065,..,59,20,8,33,77,79,62,36,374,..,53,32,14,12,9,3,0,0,120
SOSR222,..,14,474,1021,1309,1628,1419,589,125,6581,..,100,321,293,344,253,118,23,4,1460,..,3,19,62,104,94,38,24,12,351,3141,..,..,..,..,..,..,..,..,3141,..,733,..,..,..,..,..,..,..,733,..,606,284,133,93,36,3,0,0,1162,..,60,29,17,23,39,38,19,17,236,..,23,31,14,20,17,4,3,0,116,..,49,85,38,69,91,53,17,4,398,..,58,164,206,409,612,513,217,96,2285,61,72,80,49,62,76,56,24,5,491,3201,1723,1488,1835,2428,2851,2250,915,264,16948,..,32,659,1151,1457,1668,1211,422,64,6660,..,152,339,332,357,220,79,15,9,1505,..,41,171,297,300,152,65,55,45,1124,3010,..,..,..,..,..,..,..,..,3010,..,734,..,..,..,..,..,..,..,734,..,363,167,50,39,19,5,0,0,650,..,31,19,4,23,55,33,45,30,235,..,28,15,11,13,6,9,0,0,78
SOSR231,..,174,5226,12767,19005,21149,16516,6216,1167,82214,..,838,3097,3105,3615,2725,1186,241,30,14841,..,39,99,460,921,686,309,182,127,2821,35019,..,..,..,..,..,..,..,..,35019,..,9564,..,..,..,..,..,..,..,9564,..,8353,3586,1446,994,444,46,0,0,14871,..,597,295,181,299,413,378,263,147,2578,..,420,350,222,267,197,123,34,10,1619,..,380,532,325,483,664,497,166,20,3062,..,500,1157,1671,3315,4547,3917,1745,565,17418,476,907,727,541,599,695,627,211,62,4843,35494,21775,15067,20712,29508,31520,23596,9058,2129,188852,..,376,7306,14916,21035,21014,13939,4028,500,83124,..,1329,3364,3376,3726,2390,810,114,21,15130,..,248,1019,1840,2249,1136,633,515,371,8009,33184,..,..,..,..,..,..,..,..,33184,..,10038,..,..,..,..,..,..,..,10038,..,5054,2162,613,417,236,46,0,0,8522,..,452,188,74,189,446,538,454,344,2693,..,515,258,106,114,92,54,16,12,1161
SOSR279,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,157,257,492,309,249,168,109,24,11,1774,157,257,492,309,249,168,109,24,11,1774,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR301,..,2035,47323,78279,75145,63054,46907,21194,5206,339136,..,9614,30471,17558,12272,6550,2758,629,103,79966,..,294,1265,3524,5085,3142,1319,743,497,15875,194039,..,..,..,..,..,..,..,..,194039,..,48497,..,..,..,..,..,..,..,48497,..,35971,18553,7144,4087,1650,228,7,0,67646,..,8101,5555,2012,1932,2121,1591,912,477,22698,..,6658,6669,2446,1686,1035,433,115,30,19070,..,16580,18833,5746,4263,3405,1909,672,156,51564,..,3492,11102,11659,12944,12413,10005,5570,2782,69955,3199,4472,4603,2825,2064,1485,1079,486,159,20371,197241,135719,144369,131186,119478,94861,66230,30327,9413,928816,..,4426,62043,84033,76743,60621,40567,14954,2403,345799,..,14167,31310,16836,11465,5604,1955,353,47,81730,..,3175,11637,19072,19526,9326,4313,3046,1971,72066,183604,..,..,..,..,..,..,..,..,183604,..,49306,..,..,..,..,..,..,..,49306,..,25384,11931,3532,2366,1418,312,4,0,44946,..,6967,4014,1385,2433,4306,4068,2983,1710,27867,..,6348,4575,1143,912,589,258,87,22,13931
SOSR302,..,392,9609,18369,18724,16394,15058,7478,1763,87788,..,2358,8023,5009,3603,2183,1245,340,62,22823,..,68,289,910,1411,853,373,211,135,4243,46476,..,..,..,..,..,..,..,..,46476,..,11275,..,..,..,..,..,..,..,11275,..,9384,4308,1800,1115,535,83,0,0,17228,..,1451,1104,444,445,445,418,259,147,4713,..,1398,1402,660,501,304,173,71,17,4522,..,3255,4257,1620,1347,1287,945,378,78,13157,..,883,2488,3006,3451,3415,3337,1921,921,19422,668,1069,1102,728,613,452,391,180,56,5255,47140,31529,32584,32528,31207,25876,22021,10833,3179,236898,..,833,13075,20529,19458,16436,13264,5057,879,89523,..,3705,8449,4629,3463,1997,822,182,18,23275,..,612,2888,5690,5787,2606,1215,884,625,20303,44175,..,..,..,..,..,..,..,..,44175,..,11497,..,..,..,..,..,..,..,11497,..,6784,2631,862,658,482,122,9,0,11543,..,1298,787,288,529,1107,1120,874,545,6545,..,1429,1049,337,269,200,89,25,15,3417
SOSR303,..,629,11426,20163,21595,20475,17912,9223,2202,103626,..,3453,8639,5527,4431,2878,1409,330,49,26709,..,103,496,1257,1772,1004,411,212,143,5392,59540,..,..,..,..,..,..,..,..,59540,..,12663,..,..,..,..,..,..,..,12663,..,10817,4232,1797,1181,507,83,3,0,18616,..,1850,1149,533,492,555,409,273,137,5402,..,1412,1318,643,518,316,138,48,11,4401,..,3706,3850,1487,1444,1368,814,279,73,13027,..,1359,3418,3748,4833,5196,4445,2466,1206,26673,1100,1561,1401,938,791,766,600,254,58,7467,60642,37535,35937,36094,37048,33069,26212,13091,3887,283507,..,1246,15630,22986,23201,20612,15979,6601,1032,107281,..,5101,9201,5589,4446,2504,964,194,32,28025,..,1127,4298,7271,6756,2798,1211,942,610,25009,56575,..,..,..,..,..,..,..,..,56575,..,12819,..,..,..,..,..,..,..,12819,..,7176,2337,831,691,489,94,3,0,11631,..,1618,774,284,631,1110,1120,750,476,6772,..,1384,843,271,262,191,67,28,21,3063
SOSR311,..,232,4188,6379,7310,7652,7107,3986,931,37789,..,1422,2893,1630,1403,896,479,159,33,8916,..,49,234,458,652,342,147,126,63,2079,21669,..,..,..,..,..,..,..,..,21669,..,4154,..,..,..,..,..,..,..,4154,..,4246,1621,788,614,274,29,0,0,7570,..,658,396,193,244,272,198,132,49,2140,..,505,415,212,183,97,44,13,3,1469,..,916,1006,477,498,405,321,148,17,3791,..,485,1293,1288,1775,2100,1863,1244,512,10565,450,680,610,388,344,323,290,128,35,3240,22112,13355,12658,11810,13025,12376,10465,5929,1650,103378,..,527,5731,7378,8170,7921,6487,2944,402,39560,..,2078,3018,1644,1433,863,382,119,14,9553,..,666,1988,2701,2207,900,460,493,255,9681,20694,..,..,..,..,..,..,..,..,20694,..,4100,..,..,..,..,..,..,..,4100,..,2789,800,355,311,189,34,3,0,4482,..,532,187,115,255,425,403,337,195,2439,..,443,182,79,78,59,20,6,8,879
SOSR312,..,68,1087,1665,1722,1730,1374,707,157,8513,..,421,804,434,380,221,86,35,3,2379,..,7,68,141,171,90,42,23,14,557,5334,..,..,..,..,..,..,..,..,5334,..,915,..,..,..,..,..,..,..,915,..,1009,352,210,112,62,10,0,0,1743,..,165,88,46,60,56,38,23,19,494,..,94,72,50,42,19,9,0,0,285,..,264,200,97,128,110,65,34,7,903,..,188,405,409,560,566,407,226,94,2853,126,208,161,99,97,89,69,27,4,891,5459,3354,3219,3146,3270,2952,2103,1072,287,24873,..,134,1496,1853,1838,1705,1208,509,82,8823,..,590,811,437,378,182,85,19,3,2509,..,198,488,591,469,164,100,83,53,2145,5187,..,..,..,..,..,..,..,..,5187,..,866,..,..,..,..,..,..,..,866,..,566,145,73,63,27,3,0,0,872,..,99,42,14,52,99,79,72,35,503,..,95,45,19,18,12,6,0,0,188
SOSR313,..,204,2981,4480,4753,5026,4921,2714,622,25702,..,987,2085,1200,880,629,357,86,15,6243,..,25,141,309,408,211,104,55,38,1292,15493,..,..,..,..,..,..,..,..,15493,..,2611,..,..,..,..,..,..,..,2611,..,2759,998,474,332,145,19,0,0,4724,..,455,211,110,120,179,125,62,27,1288,..,308,268,131,118,59,26,13,3,930,..,539,530,271,317,285,221,88,16,2263,..,367,837,823,1238,1418,1257,752,340,7029,301,434,379,231,243,248,192,85,23,2144,15791,8689,8445,8021,8408,8200,7231,3854,1080,69726,..,389,3990,5035,5234,5280,4439,1956,306,26620,..,1492,2106,1207,943,589,282,62,7,6694,..,475,1330,1731,1518,591,289,275,150,6356,14716,..,..,..,..,..,..,..,..,14716,..,2540,..,..,..,..,..,..,..,2540,..,1748,458,210,159,130,23,0,0,2728,..,336,107,77,180,277,265,176,107,1514,..,296,108,55,66,30,23,6,6,587
SOSR314,..,142,3111,5143,5144,4957,4215,2223,445,25378,..,824,1997,1279,1065,614,292,101,11,6179,..,18,119,299,403,197,109,58,35,1241,15955,..,..,..,..,..,..,..,..,15955,..,2643,..,..,..,..,..,..,..,2643,..,2775,911,402,320,138,17,4,0,4573,..,407,236,110,149,161,141,86,47,1336,..,300,314,139,121,67,43,11,0,994,..,578,757,266,279,298,196,66,9,2450,..,355,772,798,1102,1354,1223,653,284,6535,290,355,336,211,204,171,131,65,25,1788,16248,8394,8559,8641,8789,7957,6361,3257,858,69061,..,334,4163,5703,5527,4978,3786,1525,203,26214,..,1260,2095,1311,992,538,225,48,9,6478,..,324,1117,1573,1311,499,232,263,132,5455,15115,..,..,..,..,..,..,..,..,15115,..,2624,..,..,..,..,..,..,..,2624,..,1657,480,200,159,108,18,0,0,2620,..,301,110,60,152,284,241,196,97,1430,..,314,196,42,52,39,11,9,6,673
SOSR315,..,245,4197,6907,7664,8017,7704,3675,679,39092,..,1323,2901,2177,1842,1237,596,150,17,10237,..,45,207,543,561,364,191,95,55,2056,24545,..,..,..,..,..,..,..,..,24545,..,3833,..,..,..,..,..,..,..,3833,..,4506,1670,851,551,204,31,3,0,7818,..,785,481,248,311,361,223,140,62,2612,..,447,365,237,186,129,72,24,6,1467,..,563,736,386,510,580,407,149,10,3338,..,389,1003,1265,1928,2464,2213,1162,395,10822,470,579,524,421,395,379,339,158,22,3288,25014,12709,12086,13030,13951,13740,11768,5557,1248,109104,..,502,5705,7730,8220,8484,6963,2365,329,40293,..,1932,3218,2162,1872,1075,465,86,9,10809,..,690,1870,2494,1985,855,478,354,199,8927,23262,..,..,..,..,..,..,..,..,23262,..,3864,..,..,..,..,..,..,..,3864,..,2799,811,332,277,156,40,0,0,4410,..,641,235,145,299,524,477,304,181,2813,..,417,188,72,100,59,41,14,3,894
SOSR321,..,81,1258,2486,3328,3728,3526,1404,262,16084,..,427,1098,885,923,637,336,72,9,4381,..,14,72,177,226,137,81,49,29,785,9144,..,..,..,..,..,..,..,..,9144,..,1525,..,..,..,..,..,..,..,1525,..,1747,623,348,259,78,14,0,0,3060,..,302,169,129,154,160,115,63,17,1098,..,141,121,65,79,75,38,16,0,532,..,121,141,124,207,252,161,56,15,1080,..,141,338,480,868,1177,1129,522,170,4823,206,228,208,176,163,206,188,67,31,1461,9351,4722,4032,4876,6196,6437,5585,2248,530,43981,..,150,1832,3042,3667,3954,3008,898,98,16657,..,665,1147,990,912,576,262,31,3,4588,..,256,656,865,747,326,206,142,86,3290,8690,..,..,..,..,..,..,..,..,8690,..,1500,..,..,..,..,..,..,..,1500,..,1130,332,126,124,62,17,3,0,1792,..,236,104,63,131,181,199,140,71,1126,..,148,52,31,47,39,21,3,0,358
SOSR322,..,32,458,982,1301,1781,1726,706,130,7121,..,183,473,418,387,308,170,44,3,1996,..,12,49,90,135,83,34,22,4,434,3885,..,..,..,..,..,..,..,..,3885,..,518,..,..,..,..,..,..,..,518,..,777,299,162,123,39,6,0,0,1403,..,172,83,64,76,83,51,26,13,562,..,50,46,32,36,23,16,4,0,203,..,73,78,74,105,122,97,46,5,605,..,70,191,256,486,652,725,344,86,2808,95,108,80,73,101,110,85,47,12,707,3979,2001,1761,2139,2757,3197,2908,1233,259,20231,..,54,657,1124,1575,1921,1516,441,47,7320,..,264,547,452,396,325,120,22,3,2134,..,131,335,366,294,133,96,89,34,1483,3601,..,..,..,..,..,..,..,..,3601,..,542,..,..,..,..,..,..,..,542,..,443,160,50,61,29,3,0,0,758,..,130,47,25,58,85,89,49,29,515,..,49,24,19,15,9,3,3,0,124
