SOSR_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOSR431,0,0,16,22,26,13,82,71,26,22,8,4,4,9,14,317,0,0,3,3,8,0,4,3,0,13,8,0,3,0,9,48,0,0,0,3,5,23,20,22,7,4,5,6,5,0,6,113,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,5,6,3,0,0,3,0,0,0,0,3,39,11,436,2046,2702,609,471,536,446,42,66,52,26,24,22,337,7820,0,3,10,72,39,52,71,31,11,3,3,3,3,4,17,330,0,0,0,4,133,158,47,48,13,0,8,12,7,3,35,472,0,0,5,3,14,7,15,34,4,9,0,0,3,3,4,99,8,120,179,268,141,163,181,124,39,18,33,38,43,18,89,1467,28,1281,3363,3784,1572,1398,1495,1216,248,215,191,193,161,113,779,16025
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOSR499,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,31,18,15,4,6,0,0,0,0,20,21,15,171,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,11,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,12,13,0,5,4,8,21,18,20,116,0,20,41,50,45,39,35,54,12,9,16,34,82,91,71,605
SOSR501,13,39,276,699,2529,3262,9146,10788,1725,1863,1274,993,839,448,520,34404,14,96,99,369,340,973,967,1806,381,671,551,368,255,202,132,7237,0,6,9,66,436,828,1150,1871,314,335,342,336,347,210,227,6480,7,108,155,871,361,646,348,187,17,37,29,24,19,27,94,2939,0,14,9,123,84,180,304,174,57,45,51,17,26,16,38,1130,525,5756,14030,44246,22366,24317,25329,26705,5631,6447,4713,3646,2798,1339,4729,192576,7,61,173,793,705,938,1408,1289,364,412,317,357,370,229,264,7674,0,6,9,84,4012,3965,1604,1943,363,443,631,515,509,308,565,14941,0,10,77,101,982,890,2307,3126,344,494,330,248,271,139,128,9460,103,1501,2410,9153,6086,11914,18285,21265,3925,5176,5191,4984,5178,3376,2874,101429,1207,18702,28721,75641,60658,83945,105224,134137,29230,35131,29462,25840,24443,14341,19028,685713
SOSR511,0,3,12,21,61,49,296,591,90,85,58,48,33,4,15,1367,0,0,0,0,0,3,10,13,8,4,8,9,8,8,0,70,0,0,0,0,4,9,20,27,0,12,4,4,8,3,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,274,521,1465,541,461,516,533,148,115,91,49,61,19,139,4960,0,0,10,37,26,13,37,29,17,6,5,13,5,3,6,211,0,0,0,0,11,22,3,14,0,3,9,3,8,0,4,79,0,0,0,8,32,34,139,136,19,27,24,10,13,4,3,450,4,42,59,133,76,92,143,274,45,42,105,68,62,24,45,1218,48,747,877,1961,1289,1317,1921,3003,619,680,663,474,450,188,483,14714
SOSR512,0,4,18,34,52,49,337,564,143,125,78,78,47,19,27,1578,0,0,3,3,0,10,10,53,18,5,15,9,4,0,0,130,0,0,0,3,8,21,78,85,24,10,25,24,25,10,37,351,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,6,5,3,0,0,5,0,0,0,29,49,478,924,2422,796,615,527,560,166,169,90,78,63,29,265,7223,0,3,8,47,27,31,44,18,7,12,13,14,18,3,11,246,0,0,0,4,22,35,23,25,5,5,13,4,11,4,9,168,0,0,6,7,41,27,128,182,35,17,15,13,17,17,10,518,11,80,107,218,133,129,257,432,91,168,119,73,65,32,85,1991,85,1116,1435,3366,1908,1945,2604,4294,1129,1199,843,659,579,285,853,22313
SOSR513,0,0,4,8,29,29,164,224,43,46,20,12,14,3,17,613,0,0,0,4,5,10,3,38,12,6,5,9,16,3,0,110,0,0,0,0,5,28,48,70,14,14,18,19,12,7,16,249,0,0,0,6,9,6,7,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,13,3,42,182,445,218,249,186,296,70,75,68,37,21,7,79,1986,0,0,3,12,11,13,6,27,7,6,0,11,7,8,5,118,0,0,0,0,5,8,3,6,0,3,10,6,8,0,0,56,0,0,0,0,13,14,58,82,21,8,23,11,10,3,4,242,3,7,18,90,62,88,135,231,64,73,68,90,102,39,70,1154,10,134,295,754,761,927,1243,2379,561,672,539,521,466,231,453,9936
SOSR514,0,0,0,17,39,38,87,172,34,26,27,3,19,10,8,469,0,0,0,0,0,0,0,8,0,0,12,3,0,0,3,26,0,0,0,0,0,7,9,12,0,0,7,3,4,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,96,244,702,375,361,433,698,138,200,100,68,45,25,175,3683,0,0,6,18,17,17,18,22,6,4,3,0,5,3,3,119,0,0,0,3,3,3,9,10,3,6,0,3,10,0,0,41,0,0,0,3,13,10,27,23,6,0,5,3,0,0,4,97,0,31,25,70,49,49,82,144,15,33,29,27,38,41,47,686,14,305,367,994,762,792,1032,1579,348,436,322,206,212,145,385,7900
SOSR515,0,0,16,29,42,38,130,208,25,33,23,19,6,4,13,592,0,5,0,0,0,4,12,23,3,9,9,10,0,3,0,76,0,0,0,0,5,25,28,117,12,16,17,12,16,9,13,270,0,12,3,3,7,8,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,280,630,1834,610,450,421,374,72,77,69,45,25,15,200,5139,0,0,7,47,28,29,42,17,5,6,11,11,10,20,4,240,0,0,0,0,15,17,10,29,3,0,15,14,6,6,11,122,0,0,0,6,35,17,36,88,3,10,17,3,10,0,4,236,6,64,83,193,99,115,168,367,76,109,105,78,82,51,87,1676,51,716,1039,2594,1473,1431,1611,2393,502,625,563,430,490,285,692,14896
SOSR521,0,0,5,9,24,22,105,84,13,22,9,15,4,0,11,327,0,5,3,0,3,3,0,10,0,0,0,0,0,0,5,28,0,0,0,0,3,3,19,11,3,4,4,3,8,0,5,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,159,341,1118,382,298,264,202,46,43,28,34,15,6,114,3071,0,3,6,20,10,10,19,14,0,0,3,0,3,0,6,94,0,0,0,0,3,4,3,7,0,0,3,0,0,0,5,20,0,0,0,3,6,10,24,26,0,4,0,7,0,10,0,89,0,25,50,107,53,46,59,61,16,19,16,13,38,29,65,594,20,399,546,1507,838,741,855,850,230,268,218,190,203,101,354,7317
SOSR522,0,0,0,4,13,5,18,31,10,5,0,3,6,17,0,111,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,5,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,156,444,149,80,91,69,10,19,21,26,12,5,56,1218,0,0,3,4,0,0,9,4,0,3,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,5,0,3,5,11,0,0,0,0,0,0,0,0,26,0,16,10,39,20,27,17,22,4,7,3,14,12,13,10,226,9,153,234,594,339,273,271,298,69,109,84,69,66,66,117,2756
SOSR531,0,3,21,66,146,129,406,444,48,67,49,42,16,16,40,1493,0,4,0,5,6,11,8,17,4,0,0,0,0,3,46,102,0,0,0,4,15,25,45,46,8,9,9,3,22,6,24,209,0,8,5,9,0,7,0,0,0,0,0,0,0,0,8,32,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,12,25,530,1346,4033,1561,1466,1400,1076,175,198,157,77,88,28,545,12696,0,7,28,100,70,68,85,58,20,18,22,26,15,5,18,539,0,3,0,3,78,85,34,38,5,12,6,3,0,7,98,382,0,0,9,14,113,57,132,107,17,17,12,9,10,0,17,520,0,91,205,548,314,328,416,348,59,84,69,83,93,47,334,3021,62,1401,2273,5862,3751,3647,4132,3782,776,908,620,531,510,233,2003,30491
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,11,13,0,3,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,5,0,0,0,22,0,0,0,10,11,16,31,26,8,17,0,17,9,3,18,168
SOSR599,0,0,0,0,7,4,18,8,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,42,96,33,51,20,24,9,3,11,20,36,43,52,446,0,0,0,0,0,3,0,0,0,4,0,3,4,3,3,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,9,0,0,11,14,18,16,15,21,4,5,3,19,29,40,41,242,0,42,75,143,109,141,125,137,35,51,50,82,128,158,211,1484
SOSR603,3,3,39,47,84,92,171,154,25,15,9,11,8,17,17,697,0,3,8,8,3,32,27,34,13,23,3,3,4,9,9,179,0,0,0,3,5,32,64,103,13,23,21,24,14,11,19,336,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,12,4,3,3,0,0,0,0,0,0,33,42,752,1430,2237,786,512,572,391,105,79,63,58,49,38,234,7341,0,7,19,92,62,85,158,102,19,21,25,39,31,16,15,687,0,0,0,5,29,27,21,32,11,17,25,16,34,22,7,243,0,0,3,3,16,16,22,34,0,0,0,4,3,0,0,109,5,186,247,386,228,404,617,773,215,228,343,289,285,220,159,4592,88,1769,2796,3705,2140,2278,3054,3393,749,895,1068,1189,1304,953,967,26346
SOSR611,3,0,6,17,25,31,43,64,5,3,0,6,3,4,0,205,0,0,0,0,4,7,7,15,0,15,11,4,5,11,0,84,0,0,0,0,3,4,23,15,3,3,14,0,3,3,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,14,313,521,884,294,162,167,140,21,20,11,26,13,4,81,2667,0,4,3,28,17,17,27,27,11,12,3,7,10,5,3,170,0,0,0,0,8,0,8,12,3,10,9,4,18,4,7,91,0,0,3,0,0,7,8,7,0,0,0,3,0,3,0,30,0,48,80,126,63,76,215,475,167,126,237,218,100,134,92,2148,30,666,952,1287,717,652,949,1291,341,324,522,539,452,412,339,9480
SOSR612,0,0,3,4,3,9,12,16,0,3,0,0,0,0,0,51,0,0,0,0,3,0,0,19,3,7,8,0,7,0,0,51,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,107,195,328,82,45,30,24,6,0,3,0,0,0,30,862,0,0,0,14,3,6,5,13,3,0,0,0,0,0,0,50,0,0,0,0,0,3,0,3,0,3,0,0,3,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,18,36,27,6,36,16,17,0,3,4,22,22,6,19,224,7,180,297,452,191,195,157,191,39,32,24,35,47,17,72,1947
SOSR613,0,0,0,4,9,3,14,11,0,9,3,0,0,0,3,55,0,0,0,0,3,4,0,5,0,7,0,0,0,3,0,22,0,0,0,0,0,3,8,4,0,3,3,0,3,3,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,226,403,120,45,40,33,15,7,7,9,5,0,56,1084,0,0,0,13,4,6,8,9,0,3,0,0,8,0,3,57,0,0,0,0,5,0,0,0,0,3,0,0,4,0,3,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0,24,23,44,19,20,28,36,6,8,3,8,10,4,19,268,6,272,362,568,280,183,229,213,51,77,52,37,46,27,123,2523
SOSR614,0,0,0,3,0,0,4,11,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,104,202,40,19,17,8,4,0,0,4,0,0,15,443,0,0,0,3,0,5,3,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,9,0,6,8,13,7,5,5,3,3,0,3,0,0,4,3,63,3,86,146,266,95,80,65,53,10,13,12,4,4,11,17,865
SOSR615,0,0,5,14,12,24,17,30,3,3,0,0,3,0,6,117,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,16,0,0,0,0,3,7,8,14,6,3,3,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,9,8,310,615,1027,273,165,135,113,16,14,11,8,7,0,111,2823,0,5,9,29,8,12,32,21,6,6,10,0,12,0,0,145,0,0,0,0,0,3,4,3,0,0,0,0,5,0,0,17,0,0,3,0,5,4,6,7,0,0,0,0,0,0,0,30,3,35,77,124,58,45,49,63,7,16,13,11,15,5,15,533,22,589,938,1442,652,473,480,453,66,92,71,71,116,42,235,5744
SOSR621,0,0,3,0,6,10,11,8,15,0,4,0,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,99,193,334,137,71,57,42,8,10,9,3,4,3,40,1014,0,0,0,12,17,7,16,7,3,4,0,0,0,3,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,3,0,12,3,0,0,0,0,0,0,0,18,0,11,30,41,22,23,26,22,9,0,10,9,11,3,9,214,8,181,310,494,290,204,222,140,44,29,26,28,23,19,90,2109
SOSR622,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,77,145,231,75,51,44,15,4,3,0,3,4,7,10,674,0,0,3,4,5,3,18,5,0,0,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,26,19,12,10,9,0,0,3,6,3,3,3,109,8,123,221,333,174,108,127,61,12,11,16,11,12,16,20,1261
SOSR631,0,3,18,24,39,46,85,57,0,0,11,5,9,0,5,300,0,0,3,3,7,0,6,4,0,4,0,0,0,0,0,31,0,0,0,0,3,3,11,22,3,0,5,0,3,3,3,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,10,7,384,952,1741,632,437,407,311,37,23,15,16,13,11,201,5201,0,0,15,77,60,53,72,51,7,4,8,12,8,9,5,390,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,14,0,0,3,6,20,5,16,4,0,4,0,0,0,0,0,61,3,57,147,213,140,123,115,71,12,19,20,22,31,15,48,1042,30,760,1546,2578,1509,1181,1264,811,116,120,132,132,136,86,405,10798
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,3,0,3,3,0,0,0,6,18
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,6,4,3,0,0,0,3,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,21,0,7,7,16,10,12,12,13,3,7,4,11,13,14,14,139
SOSR703,0,0,7,14,22,38,145,154,49,30,27,18,27,31,14,574,0,0,3,19,36,63,49,135,33,54,57,58,51,49,17,626,0,0,0,14,56,105,137,170,35,29,27,55,33,18,49,731,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,3,4,8,0,0,0,5,5,0,3,41,4,142,491,886,368,323,429,543,158,212,189,164,199,103,164,4390,0,0,5,39,39,35,65,59,23,27,25,19,38,21,10,409,0,0,0,3,120,126,74,94,16,32,41,34,28,16,26,616,0,0,7,3,10,10,73,144,14,28,15,32,16,8,17,375,5,52,114,630,779,579,752,1341,247,280,473,401,544,338,306,6842,21,424,1181,2654,2890,2909,3642,7047,1540,1880,1954,1875,2129,1299,1251,32703
SOSR712,0,0,0,0,0,13,37,40,18,3,3,7,6,0,0,142,0,0,3,0,0,3,6,20,0,16,14,9,17,8,0,103,0,0,0,0,3,0,14,22,3,3,3,6,4,5,0,58,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,39,113,200,80,54,73,62,22,25,32,17,16,4,21,749,0,0,3,19,14,31,81,39,18,66,43,109,147,83,18,669,0,0,0,0,16,14,11,13,8,0,11,3,3,0,3,71,0,0,0,3,5,3,31,76,13,13,7,7,12,4,4,181,0,7,17,58,54,60,177,175,31,37,26,47,66,41,49,850,0,95,206,414,367,407,760,1233,255,364,320,401,432,252,191,5691
SOSR714,0,0,0,0,3,0,0,8,6,0,0,0,0,4,0,20,0,0,0,3,0,0,3,7,5,3,3,0,0,0,0,21,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,46,13,6,7,18,0,3,4,0,0,0,7,134,0,0,0,0,0,0,3,3,3,0,0,6,0,0,0,25,0,0,0,0,0,3,4,7,0,4,0,3,0,0,0,22,0,0,0,0,0,0,0,12,0,4,0,0,6,0,0,21,0,0,0,11,9,10,9,27,15,3,3,3,0,3,3,102,0,17,30,82,70,89,90,191,59,51,39,53,46,31,39,888
SOSR715,0,0,0,0,0,0,7,16,0,0,3,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,8,0,0,0,0,0,0,4,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,55,19,16,12,12,3,5,0,3,4,3,4,182,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,8,3,3,0,8,0,0,0,29,0,0,6,18,23,29,21,28,14,4,5,7,5,4,13,177,0,14,57,106,108,126,132,203,56,45,41,45,62,40,72,1112
SOSR721,0,0,0,0,4,4,5,19,0,0,6,0,0,0,3,35,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,7,8,3,3,0,5,0,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,28,14,10,17,16,0,3,0,3,11,0,9,125,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,11,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,7,20,15,18,23,39,5,5,11,4,16,11,7,191,0,17,28,71,82,78,118,191,42,57,47,37,57,49,70,948
SOSR722,0,0,0,0,0,0,3,3,0,0,3,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,35,10,13,6,4,0,0,0,4,3,3,8,110,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,5,0,0,4,17,0,4,14,7,3,0,0,4,8,0,11,75,0,11,34,73,40,33,55,53,15,8,14,11,20,11,32,424
SOSR731,0,0,0,0,12,7,21,16,3,0,0,0,0,0,0,67,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,11,17,10,11,0,7,7,3,5,3,10,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,57,149,229,80,82,82,76,10,16,4,18,16,9,57,888,0,0,5,12,5,3,12,8,0,0,3,4,3,0,6,57,0,0,0,3,44,54,17,20,3,12,21,6,0,4,12,201,0,0,3,0,8,3,18,12,8,0,0,0,0,0,0,50,0,10,34,89,72,49,30,44,5,9,16,10,23,16,46,448,3,114,260,518,458,394,367,335,64,75,93,82,102,59,248,3169
