SOSR_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOSR331,0,8,53,96,176,179,631,568,79,74,62,49,35,18,58,2077,0,0,18,30,8,28,19,15,9,3,7,10,5,7,3,157,0,0,0,4,22,88,68,105,18,14,21,29,30,13,27,446,0,0,0,12,3,0,0,0,0,0,3,0,0,0,3,20,0,0,3,17,5,4,0,0,0,0,0,0,0,0,4,40,24,1104,2642,4265,1719,1595,1901,1380,223,175,133,117,131,63,622,16085,3,21,58,254,145,162,239,171,21,29,26,26,16,4,40,1216,0,0,3,13,61,82,36,43,10,6,11,8,10,3,28,327,0,3,14,17,116,69,216,93,16,13,7,4,7,4,7,578,22,218,597,1302,818,812,786,599,113,124,98,136,156,117,354,6249,115,2810,5139,8480,6945,6131,6965,5003,893,860,718,726,752,490,2273,48299
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,8,4,3,0,3,3,3,0,0,0,0,0,9,40
SOSR399,0,0,0,6,4,3,14,9,0,0,0,0,3,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,12,0,0,0,0,0,0,0,3,0,0,0,0,3,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,109,169,83,62,55,35,4,9,9,16,122,188,67,972,0,0,3,4,9,3,8,5,0,0,0,0,7,24,5,67,0,0,0,0,3,0,0,6,0,0,0,5,0,3,0,28,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,16,0,10,18,39,29,22,42,38,9,5,22,50,123,110,93,616,0,99,190,297,260,242,280,203,46,56,84,154,401,514,338,3157
SOSR401,3,14,123,250,335,416,1442,1338,232,232,173,98,134,111,97,4999,0,18,52,127,202,262,330,875,242,442,273,125,268,163,54,3433,0,0,10,15,294,440,465,438,77,105,78,87,106,58,111,2286,3,43,53,110,28,38,37,10,8,0,5,0,0,0,9,356,0,15,35,128,35,71,78,66,4,5,14,13,7,7,13,487,256,4993,17454,26171,6607,5713,6348,7909,1282,1496,935,772,727,378,2178,83212,4,20,97,431,324,389,657,470,107,147,143,143,156,114,83,3279,0,0,3,123,4199,3653,1353,1442,273,311,398,379,466,351,421,13376,0,4,31,23,66,79,272,312,48,65,57,29,43,37,16,1068,90,2350,2373,3872,3540,5600,9651,11116,2373,2562,3166,2919,3163,2467,1727,56956,693,18445,38141,41869,24316,28118,36800,53004,9721,11368,12118,12229,13864,8940,9611,319239
SOSR412,0,0,5,10,9,5,73,149,21,35,11,15,12,7,0,345,0,0,4,0,0,4,5,15,3,5,3,0,10,0,0,53,0,0,0,0,3,8,13,78,12,11,22,11,3,3,7,163,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,16,278,1651,2638,393,253,219,213,41,35,21,22,30,7,181,5996,0,0,0,23,4,20,22,25,0,14,5,0,7,0,3,130,0,0,0,0,9,6,5,3,0,0,3,0,3,4,0,42,0,0,7,0,0,3,20,38,0,4,3,5,9,3,3,91,0,60,146,219,47,61,77,216,52,27,83,48,35,18,65,1145,26,747,2358,3294,754,586,779,1155,210,229,260,213,192,64,401,11268
SOSR413,0,4,12,24,35,20,95,133,4,31,26,3,10,9,8,425,0,0,3,5,10,4,5,25,4,12,7,0,10,0,3,91,0,0,0,3,6,6,22,24,3,0,9,5,4,0,3,95,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,6,14,3,0,0,0,0,0,0,0,0,37,17,541,1506,2019,460,371,401,429,61,109,53,42,30,17,217,6265,0,3,10,43,22,42,52,45,8,17,8,11,4,0,5,268,0,0,0,5,16,10,12,33,0,0,7,31,19,26,32,197,0,0,7,3,11,4,26,31,0,0,6,3,0,0,6,100,6,120,128,160,113,89,176,196,52,46,39,46,113,67,156,1508,50,1249,2377,2710,1074,912,1335,1758,280,380,322,356,400,188,654,14052
SOSR414,0,0,5,4,8,4,12,11,3,0,0,0,0,0,0,45,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,9,11,7,0,0,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,151,456,732,156,88,65,64,12,6,5,3,16,0,82,1848,0,5,0,5,12,8,11,3,3,0,0,0,0,0,3,52,0,0,0,0,0,0,3,25,3,3,0,0,0,0,0,35,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,7,4,29,27,28,30,27,28,83,48,58,32,19,29,11,30,479,21,336,646,885,286,210,248,287,95,133,102,72,109,60,171,3659
SOSR415,0,3,14,17,21,12,96,61,19,22,18,24,5,7,3,316,0,0,0,7,9,0,3,48,4,28,17,9,3,3,0,134,0,0,0,3,3,14,32,19,3,3,8,5,9,3,9,101,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,4,4,0,0,0,0,0,0,0,0,0,18,17,473,1596,2340,473,361,367,549,32,83,47,45,18,20,242,6673,0,3,9,30,22,26,36,40,3,3,3,4,14,3,9,210,0,0,0,9,16,20,24,46,0,6,3,4,5,0,3,128,0,0,7,0,5,0,12,34,8,7,4,0,0,0,3,88,5,99,160,194,95,77,108,198,66,90,54,30,59,26,60,1309,38,1138,2554,3096,1048,872,1130,1555,233,376,305,241,256,135,534,13525
SOSR421,0,0,5,4,4,10,18,18,7,13,6,3,0,7,3,107,0,0,0,3,4,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,3,3,6,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,10,148,519,736,160,114,100,115,10,16,5,4,0,3,76,2010,0,0,0,10,3,3,16,7,0,0,0,0,0,0,0,45,0,0,0,0,10,24,9,15,0,0,0,3,5,0,3,69,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,15,0,22,38,48,29,17,27,27,7,5,12,8,17,10,40,301,18,305,737,914,323,266,260,311,44,66,47,62,76,37,184,3649
SOSR422,0,0,0,10,0,3,13,13,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,315,447,87,45,29,39,0,0,6,8,0,0,49,1119,0,0,3,7,9,3,5,0,0,0,5,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,24,43,57,24,9,5,6,4,0,4,5,8,4,3,208,3,214,472,620,194,119,132,133,17,18,30,24,20,13,74,2078
