SOSR_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR101,859,3469,6049,511,585,3464,14943,92,2952,177,504,69,38,3829,606,22950,1180,1127,364,190,26408,1421,10936,2167,1993,408,144,17071,1872,5224,2395,757,322,82,10657,5538,4452,3401,874,1794,109,16171,24746,4658,7442,1049,1366,219,39482,86615,3813,14917,952,2027,428,108756,84386,1092,12613,353,1288,316,100046,56832,346,8018,131,640,164,66124,33129,166,4938,94,322,108,38761,17186,71,3066,56,180,50,20601,9707,40,1786,27,100,28,11684,16517,25,3676,17,215,39,20499,5654,3534,4107,935,909,732,15870,345163,63744,75926,9373,10583,6126,510915
SOSR102,99,918,1090,122,150,823,3206,36,725,75,139,39,17,1024,299,7182,577,304,243,85,8700,1566,3383,1247,563,478,82,7321,1886,1457,1314,210,227,48,5139,4669,1171,2079,243,441,68,8661,13888,1599,4246,162,529,105,20526,24070,794,5219,98,403,95,30673,10524,86,1763,23,98,31,12522,3132,21,510,10,40,4,3713,970,12,194,0,21,6,1204,350,9,103,3,4,0,471,152,3,37,0,5,3,196,168,9,72,0,16,7,276,785,1008,726,201,153,125,3008,62594,18378,19246,2079,2831,1509,106635
SOSR111,23,99,119,6,16,68,338,16,89,22,38,4,3,173,326,754,129,33,32,4,1285,1131,442,233,84,50,14,1950,654,175,227,19,25,7,1107,1364,201,385,13,186,7,2158,2791,187,533,11,60,15,3596,2992,18,324,3,23,14,3377,367,3,54,3,3,0,432,42,0,9,0,0,0,54,11,0,6,0,0,0,12,5,0,0,0,0,0,9,0,4,0,0,0,0,6,4,0,9,0,0,0,12,136,117,81,28,23,16,400,9866,2091,2116,236,438,153,14894
SOSR112,90,418,510,74,143,416,1652,48,387,44,104,29,10,626,471,3020,461,241,161,58,4409,2577,1976,902,446,199,79,6176,2254,775,1023,161,138,34,4378,5948,882,1631,150,383,48,9044,10851,655,2584,125,287,71,14571,9367,174,1596,66,141,40,11375,2043,25,318,13,30,6,2432,482,10,100,3,15,3,604,96,4,39,3,9,0,145,49,8,14,3,3,0,66,11,0,4,3,4,0,28,49,0,40,0,6,0,95,477,506,354,141,133,61,1669,34819,8816,9600,1529,1678,824,57272
SOSR113,35,189,396,50,122,293,1085,20,211,59,66,53,6,420,329,1523,389,158,151,31,2591,1602,1156,823,335,230,45,4191,1418,482,769,96,152,23,2938,3673,548,1197,69,374,44,5905,6060,352,1402,64,192,45,8112,4515,66,830,33,67,19,5529,974,4,171,5,20,4,1180,188,3,47,0,9,3,252,52,9,15,0,0,0,72,13,3,5,0,3,0,24,3,3,3,0,0,0,8,26,0,16,0,6,0,56,274,260,220,79,65,63,961,19181,4816,6342,960,1450,580,33329
SOSR114,38,143,317,90,112,275,970,52,129,59,82,49,9,377,707,988,437,149,142,38,2469,1981,869,874,287,210,61,4283,1488,402,768,83,97,26,2865,2952,311,986,78,249,28,4602,3576,181,1033,36,143,25,4992,2957,57,685,15,67,17,3788,968,6,222,3,23,3,1227,373,0,87,0,9,3,472,163,0,61,0,6,0,223,62,0,21,0,3,0,92,38,0,11,0,4,0,56,49,0,35,0,5,3,95,219,194,209,70,73,40,810,15621,3287,5812,892,1196,536,27336
SOSR115,69,150,651,153,462,487,1977,60,161,98,115,108,15,556,675,838,860,303,302,52,3038,2116,913,1461,350,407,63,5315,1631,341,1244,103,176,30,3529,3252,266,1466,66,269,36,5347,4803,150,1419,42,140,42,6598,4075,51,965,21,76,24,5209,1171,9,291,3,34,6,1515,354,0,99,0,11,0,469,122,6,31,3,6,0,169,51,3,17,0,8,0,76,9,3,14,0,3,0,34,42,5,40,0,11,4,112,269,160,358,93,126,73,1076,18699,3061,9015,1253,2149,833,35006
SOSR121,13,22,196,31,115,144,522,3,33,40,65,25,3,174,110,122,228,108,73,12,657,300,78,388,67,108,14,954,250,27,282,10,40,9,620,602,14,314,7,42,11,986,879,15,362,6,33,8,1305,728,7,222,0,20,3,974,252,0,66,0,0,0,319,73,0,18,0,0,0,91,19,0,3,0,3,3,35,3,0,3,0,0,0,14,6,0,0,0,0,0,4,13,0,11,0,0,0,19,49,19,68,18,30,12,193,3297,336,2222,313,490,213,6866
SOSR122,9,29,135,25,144,127,473,10,16,18,20,14,5,78,64,50,208,99,56,11,487,159,53,267,53,49,7,589,136,21,182,16,46,4,401,226,9,168,7,35,8,450,317,10,214,0,21,3,563,270,5,132,0,23,3,435,86,0,37,0,6,0,127,44,0,18,0,0,0,58,17,0,8,0,3,0,25,8,0,4,0,0,0,12,4,0,3,0,0,0,8,4,0,12,0,6,0,20,31,7,59,6,33,6,147,1369,201,1455,227,446,178,3881
SOSR131,45,26,2825,117,1933,2689,7633,37,15,265,75,107,6,509,256,55,1517,123,409,49,2403,678,43,1622,106,363,35,2852,593,5,1407,30,243,24,2306,1135,18,1366,16,282,28,2844,1894,3,1525,11,205,21,3668,1909,0,1155,13,135,22,3236,1072,0,503,3,55,10,1638,536,3,225,0,21,3,788,278,0,112,0,8,0,404,139,0,51,0,3,3,198,62,0,20,0,4,0,86,102,0,84,0,10,3,199,175,19,922,57,800,58,2037,8916,192,13597,559,4576,2953,30803
