SOSR_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
SOSR522,0,3,0,0,0,0,57,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,42,3,6,7,0,3,0,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,419,26,15,8,3,3,4,3,3,17,508,422,8,0,0,3,0,0,0,0,25,454,39,0,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,464,11,6,0,3,0,0,0,0,24,503,202,3,0,0,0,0,0,0,0,10,218,16,0,4,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,0,4,0,0,0,0,0,0,0,24,3,0,0,0,0,0
SOSR531,9,10,13,6,3,14,648,51,6,6,0,3,3,3,3,0,6,82,3,0,0,0,0,0,0,0,0,0,6,561,46,53,9,12,7,12,10,3,18,735,14,3,0,0,0,0,0,0,0,70,80,5147,300,261,46,47,29,31,19,16,261,6152,3750,88,63,8,6,12,3,14,3,123,4076,526,18,10,0,4,0,4,0,0,9,570,38,4,0,0,0,0,3,0,0,3,50,8,0,0,0,0,0,0,0,0,0,8,566,21,10,0,3,0,9,0,0,10,622,7,0,0,0,0,0,0,0,0,22,29,4325,109,74,11,13,11,12,16,3,158,4725,1262,41,16,3,0,8,3,3,3,35,1373,207,3,4,0,0,0,3,0,0,8,219,41,0,3,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,250,3,7,0,0,0,3,0,0,12,277,11,0,0,0,0,0
SOSR579,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,13,13,163,13,12,4,9,3,3,5,4,33,251,132,0,3,0,0,0,0,0,0,4,147,13,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,17,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,12,9,145,3,6,0,0,0,0,0,0,18,176,16,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SOSR603,10,4,3,3,3,21,733,70,22,42,18,14,26,12,5,13,10,229,11,3,0,0,0,0,0,0,0,0,8,668,80,84,23,21,31,12,9,14,34,976,0,0,0,0,0,0,0,0,0,6,7,2988,180,141,39,27,34,14,15,20,80,3538,2680,40,22,3,0,3,0,0,0,79,2835,639,18,6,3,0,0,0,0,3,6,686,69,6,18,5,6,7,6,4,0,12,134,9,0,0,0,0,0,0,0,0,0,12,718,27,26,6,9,7,4,6,3,23,824,7,0,0,0,0,0,0,0,0,8,17,3402,71,42,9,7,11,10,8,8,103,3679,1616,12,10,0,0,0,3,7,0,63,1711,489,3,8,0,0,0,0,0,0,17,521,86,6,6,5,3,8,6,0,6,5,134,6,0,0,0,0,0,0,0,0,0,9,583,15,13,5,3,8,6,0,6,24,662,12,0,0,0,0,0
SOSR611,0,0,3,0,0,9,198,12,0,14,11,0,6,7,0,4,7,64,0,0,0,0,0,0,0,0,0,0,0,158,26,24,17,4,14,12,0,3,13,267,3,0,0,0,0,0,0,0,0,3,8,976,51,47,20,6,11,11,3,3,41,1169,1016,6,5,3,0,0,0,0,0,20,1054,149,0,3,0,0,0,0,0,0,3,161,16,3,13,0,0,8,4,3,0,0,52,4,0,0,0,0,0,0,0,0,0,4,168,3,17,4,0,6,6,9,0,7,215,4,0,0,0,0,0,0,0,0,7,6,1192,11,23,4,4,6,6,9,4,27,1286,579,8,3,0,0,0,0,0,3,20,616,129,0,0,0,0,0,0,0,0,3,135,11,0,3,6,3,8,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,140,0,3,5,3,8,3,0,0,3,174,4,0,0,0,0,0
SOSR612,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,48,0,4,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,315,13,13,0,3,0,0,0,0,7,350,363,4,6,0,0,0,0,0,0,11,383,32,0,0,0,3,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,3,37,0,0,0,3,0,0,0,3,3,42,3,0,0,0,0,0,0,0,0,0,3,405,4,4,0,3,0,0,0,3,13,429,211,0,0,0,0,0,0,0,0,12,221,35,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
SOSR613,0,0,0,0,0,4,72,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,54,12,3,0,0,0,0,0,0,6,77,0,0,0,0,0,0,0,0,0,0,0,354,19,14,0,5,0,0,3,0,16,403,508,6,0,0,0,0,0,3,0,10,533,51,0,0,0,0,0,3,0,0,0,55,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,3,0,0,3,62,4,0,0,0,0,0,0,0,0,0,3,568,6,3,0,0,3,3,3,0,12,599,296,3,0,0,0,0,0,0,0,18,314,43,0,0,0,0,0,0,0,0,3,48,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,4,56,0,0,0,0,0,0
SOSR614,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,7,155,199,7,3,0,0,0,0,0,0,0,203,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,209,7,3,0,0,0,0,3,0,0,221,161,3,0,0,0,0,0,0,0,3,165,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0
SOSR615,0,0,3,0,0,3,120,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,103,11,9,0,0,3,0,0,0,3,131,3,0,0,0,0,0,0,0,0,4,3,938,41,30,0,5,3,5,0,0,43,1068,1258,17,19,0,0,0,3,0,0,33,1330,132,0,3,0,0,0,0,0,0,3,133,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,132,0,3,0,0,0,0,0,0,4,139,6,0,0,0,0,0,0,0,0,0,8,1396,17,22,0,3,0,3,0,0,37,1472,716,8,4,4,0,0,3,0,0,30,772,85,0,0,0,0,0,0,0,0,3,85,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,5,96,3,0,0,0,0,0
SOSR621,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,34,4,4,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,400,16,9,4,0,0,0,0,0,9,437,475,4,7,0,0,0,0,0,0,20,504,36,3,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,43,3,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,519,4,7,0,0,0,0,0,0,24,552,214,4,0,0,0,0,0,0,0,3,221,27,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0
SOSR622,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,264,13,10,0,0,3,0,0,0,9,296,312,5,3,0,0,0,0,0,0,3,331,21,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,336,5,4,0,0,0,0,0,0,3,357,138,0,0,0,0,0,0,0,0,3,142,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0
SOSR631,0,0,0,0,0,4,272,9,0,3,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,4,227,24,20,3,0,3,0,0,0,4,288,4,0,0,0,0,0,0,0,0,3,7,2315,99,92,6,6,5,4,6,0,67,2611,2259,38,18,3,0,4,3,3,0,87,2420,212,10,0,0,0,0,0,0,0,3,224,12,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,220,10,0,3,0,0,0,0,0,5,244,3,0,0,0,0,0,0,0,0,3,7,2489,47,18,4,0,7,3,3,3,96,2668,827,13,10,0,3,0,0,0,3,37,886,119,0,0,0,0,0,0,0,0,8,125,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,122,0,0,0,0,0,0,0,0,8,136,3,0,0,0,0,0
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,3,25,13,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,16,14,21,28,7,45,1316,194,10,26,7,8,10,11,10,15,36,336,15,0,3,0,0,0,0,0,0,3,20,1220,94,121,18,18,24,28,36,24,85,1672,0,0,0,0,0,0,0,0,0,11,10,2817,167,210,34,35,36,52,46,30,155,3586,1160,22,20,0,11,3,0,6,3,44,1272,658,21,19,8,0,3,6,0,3,26,744,211,9,8,3,4,0,7,7,5,13,275,7,0,0,0,0,0,0,0,0,0,8,873,29,28,8,3,3,16,4,8,43,1028,3,0,0,0,0,0,0,0,0,3,9,2038,54,53,10,17,8,16,9,14,87,2307,416,3,3,0,0,0,0,0,0,19,448,289,11,3,0,3,0,0,0,3,14,326,166,0,5,0,3,0,0,0,0,7,183,4,0,0,0,0,0,0,0,0,0,11,461,7,9,0,8,3,3,0,7,25,521,0,0,0,0,0,0
SOSR712,3,0,3,4,3,4,167,8,0,0,0,0,3,0,7,4,7,32,0,3,0,0,0,0,0,0,0,0,7,106,23,24,3,5,3,6,10,7,12,197,0,0,0,0,0,0,0,0,0,0,0,482,49,57,13,16,8,21,18,14,25,706,207,3,9,0,3,0,3,3,0,10,238,47,4,0,0,0,0,0,0,0,0,56,4,0,3,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,56,4,3,0,0,0,0,0,3,5,69,3,0,0,0,0,0,0,0,0,0,3,262,5,12,5,4,0,3,6,0,9,308,89,0,0,0,0,0,0,0,0,3,93,17,0,0,0,0,0,3,0,0,3,28,9,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3,0,4,3,39,0,0,0,0,0,0
SOSR714,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,88,6,9,3,0,4,0,3,3,9,115,45,3,0,0,0,0,0,0,0,0,50,17,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,67,3,0,0,0,0,0,0,0,3,73,14,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
SOSR715,0,3,0,0,0,6,61,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,42,0,10,0,0,4,3,0,0,6,66,0,0,0,0,0,0,0,0,0,4,4,141,6,10,0,7,4,6,4,0,11,196,50,0,0,0,0,0,0,0,0,0,54,15,0,0,0,0,0,0,0,0,3,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,6,75,11,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
SOSR721,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,96,7,11,5,0,7,0,0,0,9,130,40,0,4,0,0,0,0,0,0,8,43,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,49,0,4,0,0,0,0,0,0,6,59,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR722,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,72,6,9,0,3,0,0,0,0,5,96,56,0,0,0,0,0,0,0,0,0,60,4,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,5,66,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR731,0,0,3,0,0,7,104,25,3,0,0,0,0,0,0,0,8,42,0,0,0,0,0,0,0,0,0,0,3,118,8,0,0,0,0,3,0,0,14,149,0,0,0,0,0,0,0,0,0,0,3,545,25,14,12,0,3,4,0,0,39,656,327,9,7,0,0,0,0,0,0,23,355,75,0,3,0,0,0,0,0,0,0,84,10,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,85,0,4,0,0,0,0,0,0,9,95,0,0,0,0,0,0,0,0,0,3,3,417,9,8,0,0,0,0,0,0,31,459,82,0,3,0,0,0,0,0,0,4,94,15,0,0,0,0,0,0,0,0,5,20,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,48,6,5,0,0,0,0,0,0,3,61,45,3,0,0,0,0,0,0,0,3,53,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,0,0,0,3,65,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SOSR802,32,33,33,34,27,76,5100,528,115,141,42,51,68,93,59,52,110,1264,33,3,0,0,0,0,0,0,3,3,42,4919,422,330,63,81,98,127,95,81,186,6404,10,0,0,0,0,0,0,0,0,14,21,10920,603,458,90,111,136,140,130,101,309,12990,5672,42,19,8,3,9,7,13,0,91,5865,3174,46,76,10,6,15,20,15,3,62,3433,515,46,100,32,24,35,43,24,34,56,915,33,0,0,0,0,0,0,0,0,0,36,3728,96,180,44,26,51,62,40,43,125,4384,11,0,0,0,0,0,0,0,0,12,20,9414,138,200,49,31,60,66,49,46,227,10267,2739,28,9,0,3,0,4,3,0,79,2869,1793,18,27,0,3,3,3,3,4,43,1904,653,22,43,5,9,7,15,3,3,28,796,18,0,0,0,0,0,0,0,0,3,25,2472,40,78,10,11,14,12,9,3,67,2721,5,0,0,0,0,0
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
