SOSR_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR101,23091,670,255,920,24005,4181,103,28289,191287,19595,1783,1374,214033,4502,1171,5671,219712,12123,203,232032,216311,26120,2155,1900,246485,3343,806,4151,250629,8042,240,258913,20829,2101,2609,248,25781,308,33,332,26118,710,26,26858,3106,446,78,3261,6889,116,48,171,7056,497,273,7819,431524,48260,6629,6777,493190,8268,2062,10327,503516,21374,740,525625,6576,1110,89,153,7926,1273,150,1423,9351,734,12,10097,11949,2227,123,317,14613,1045,495,1537,16157,1037,42,17232,18520,3335,220,470,22545,2321,644,2958,25500,1771,57,27324,450053,51591,6844,7241,515729,10586,2706,13288,529017,23144,789,552952,158221,31948,3103,5458,198729,6854,2104,8962,207685,41084,858,249630,865,233,13,870,1978,40,15,62,2035,275,2210,4522,609132,83772,9961,13572,716434,17481,4827,22311,738744,64499,3856,807095
SOSR102,2941,62,24,89,3028,465,8,3501,32057,4076,494,207,36842,691,209,900,37735,2349,40,40127,56768,6203,794,432,64197,769,199,966,65169,2147,46,67362,5008,598,721,68,6396,89,29,118,6514,196,12,6714,558,56,19,507,1141,30,0,28,1170,78,33,1283,94397,10931,2024,1218,108573,1578,436,2017,110591,4760,132,115485,976,163,16,25,1182,132,24,156,1336,124,0,1464,2469,305,36,36,2850,200,49,249,3103,184,8,3288,3450,471,55,59,4035,332,75,406,4438,309,5,4754,97847,11399,2080,1277,112605,1910,510,2424,115028,5068,136,120234,25049,3581,727,656,30007,1021,280,1297,31307,5377,78,36762,151,40,9,90,283,3,0,3,291,39,277,606,123044,15025,2814,2024,142900,2939,786,3725,146626,10487,487,157600
SOSR111,247,6,3,6,255,36,0,291,4372,435,64,29,4899,79,18,99,5000,278,9,5282,7480,737,113,57,8388,128,20,148,8529,232,11,8773,688,72,93,4,857,13,0,15,869,10,0,882,83,5,0,61,150,8,0,8,150,3,6,164,12623,1256,272,147,14298,227,38,264,14559,516,24,15101,129,39,3,7,177,40,7,45,224,18,0,244,395,46,3,3,456,27,15,44,496,29,6,528,532,85,7,9,638,70,14,86,727,40,6,773,13153,1343,275,160,14928,297,58,350,15281,562,32,15877,3550,512,109,83,4252,198,52,253,4510,621,16,5142,21,0,0,17,34,0,0,0,34,3,43,81,16716,1853,386,267,19222,499,106,608,19824,1182,84,21098
SOSR112,438,7,3,14,446,82,0,527,15099,1806,215,112,17230,307,102,408,17636,1026,22,18684,21547,2878,303,211,24939,265,76,339,25273,895,21,26196,1966,243,317,20,2534,29,4,39,2576,89,7,2671,236,39,0,204,483,3,3,4,491,34,19,540,38838,4960,838,548,45189,600,190,787,45977,2044,63,48088,373,96,7,7,480,123,12,131,611,66,4,685,794,110,15,32,947,79,17,102,1046,87,4,1134,1165,208,17,37,1428,206,29,234,1659,156,3,1822,40002,5166,860,584,46615,806,217,1027,47638,2202,68,49911,10318,1687,244,275,12529,582,121,704,13228,2679,44,15954,61,9,0,35,105,0,5,5,106,21,102,232,50388,6864,1105,893,59245,1385,346,1736,60977,4894,218,66095
SOSR113,301,7,0,4,304,59,0,364,6796,924,123,70,7909,149,34,182,8088,538,14,8636,11986,1641,167,122,13918,223,64,290,14211,681,28,14918,992,132,160,23,1301,8,12,18,1320,57,0,1378,136,27,3,153,317,5,4,8,327,17,12,353,19904,2723,448,367,23446,388,114,499,23947,1290,53,25283,217,51,3,8,283,107,7,116,397,56,3,456,555,72,22,17,658,79,16,96,749,55,0,808,768,121,26,25,940,187,24,212,1147,116,3,1264,20669,2847,471,394,24382,571,139,713,25095,1402,51,26551,6471,1180,204,234,8086,525,82,608,8691,2022,39,10756,49,16,0,10,82,0,0,0,82,14,94,195,27195,4046,676,634,32547,1101,220,1317,33871,3440,189,37500
SOSR114,176,0,0,3,180,27,0,209,6773,916,99,41,7831,108,38,147,7977,430,3,8411,10667,1521,187,132,12500,120,47,172,12669,513,25,13202,916,138,171,14,1241,18,5,25,1261,38,0,1298,153,26,11,201,385,9,0,9,391,23,4,425,18507,2597,470,380,21954,261,91,344,22301,1006,32,23340,178,54,0,12,238,76,6,80,322,52,0,373,409,97,6,18,538,52,4,61,596,32,0,623,589,151,11,28,776,129,12,143,919,84,0,997,19091,2748,477,410,22730,383,102,489,23220,1089,32,24339,5145,915,188,174,6415,369,53,422,6842,1345,24,8209,50,16,3,14,81,0,0,3,82,0,108,188,24288,3680,670,596,29227,754,156,914,30134,2432,169,32735
SOSR115,337,11,0,11,347,52,3,409,10726,1364,185,109,12377,169,45,215,12593,772,7,13370,16499,2425,292,164,19373,280,70,345,19722,776,28,20527,1437,166,277,21,1900,32,0,32,1934,77,3,2012,237,27,12,273,549,24,3,24,574,49,16,634,28899,3980,764,562,34206,504,112,621,34826,1667,54,36547,297,60,7,10,375,116,5,116,495,80,3,578,590,100,12,25,725,29,24,51,774,54,0,834,886,157,17,39,1099,144,22,171,1274,132,7,1410,29783,4142,783,603,35305,646,140,786,36097,1800,58,37960,8361,1419,278,321,10376,473,86,564,10937,1912,38,12893,94,13,0,31,138,5,0,3,146,21,118,284,38236,5571,1057,951,45822,1123,233,1359,47175,3735,215,51133
SOSR121,132,8,0,3,137,16,4,156,3148,456,57,37,3693,50,9,66,3752,232,3,3990,4970,765,96,76,5904,77,11,88,5996,264,0,6257,382,54,79,0,510,10,0,10,522,10,0,536,34,8,3,71,117,4,0,4,116,16,3,133,8533,1279,228,183,10224,147,25,170,10390,519,10,10923,64,21,4,3,96,35,6,43,138,16,0,157,195,23,10,7,232,10,6,11,247,25,4,274,260,46,12,12,327,46,9,57,383,45,4,426,8791,1332,243,190,10551,188,34,225,10774,565,16,11354,2171,412,52,68,2697,134,23,159,2858,706,3,3572,27,3,3,4,37,3,0,3,43,3,47,92,10987,1746,291,262,13290,328,59,385,13670,1280,68,15015
SOSR122,71,0,0,0,68,10,0,82,1555,248,25,11,1844,9,11,18,1858,148,3,2010,2289,409,45,36,2772,42,17,59,2830,153,3,2985,180,32,48,4,260,3,4,3,268,11,0,277,26,8,0,32,66,6,0,6,71,3,0,77,4042,696,116,81,4935,59,25,84,5021,324,4,5349,34,8,0,0,44,21,0,21,61,18,0,87,75,18,0,0,97,12,8,13,112,4,3,116,113,25,0,0,138,30,8,38,177,22,3,201,4153,718,116,85,5075,91,36,118,5193,347,11,5551,1303,217,38,41,1596,91,18,104,1698,388,3,2100,17,3,0,0,22,0,0,0,22,0,13,32,5472,942,158,125,6696,175,47,227,6918,740,29,7678
SOSR131,1085,20,3,23,1112,108,0,1211,23238,2273,333,191,26033,239,76,315,26339,1190,16,27551,32626,4246,523,359,37759,337,84,415,38173,1273,58,39507,2335,297,400,42,3067,18,3,22,3094,109,4,3205,496,50,17,621,1178,8,0,12,1194,82,19,1292,58693,6868,1267,1209,68035,605,158,761,68798,2653,102,71553,358,78,7,5,452,105,7,112,565,87,0,649,781,151,27,32,990,71,27,100,1087,92,4,1186,1139,226,33,37,1439,178,39,216,1654,177,5,1841,59834,7093,1304,1248,69479,783,196,977,70454,2831,109,73396,14107,2203,461,516,17285,535,129,657,17947,3258,81,21278,206,43,7,46,306,4,0,4,309,19,259,580,74142,9342,1774,1810,87064,1319,321,1643,88708,6106,443,95260
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,23424,712,211,923,24351,3868,99,28315,150473,18804,1634,1141,172053,4395,992,5386,177433,10500,207,188146,238158,28810,2502,2114,271580,3887,846,4740,276315,9021,303,285641,20110,2252,2650,215,25221,311,55,360,25579,690,26,26295,3006,513,53,2960,6539,185,41,229,6763,449,227,7443,411746,50380,6836,6429,475392,8780,1930,10708,486097,20666,758,507523,6359,1233,109,174,7886,1688,142,1830,9711,775,25,10519,12440,1952,109,277,14787,1290,543,1833,16615,914,29,17558,18806,3190,222,459,22669,2974,683,3657,26326,1692,60,28076,430550,53570,7054,6884,498057,11753,2613,14370,512427,22358,820,535599,148762,25337,2988,4274,181363,7114,1705,8828,190188,34550,634,225374,926,221,17,787,1951,44,12,51,2006,225,1873,4105,580242,79128,10062,11942,681371,18913,4330,23245,704621,57135,3325,765078
SOSR203,531,9,0,13,540,74,0,621,4013,537,71,26,4644,112,29,145,4793,290,10,5093,9237,924,92,52,10309,129,23,154,10460,319,8,10793,857,79,132,13,1085,10,0,10,1092,31,0,1126,99,18,0,71,188,0,3,4,194,7,3,203,14206,1550,299,167,16225,256,53,313,16536,650,24,17203,160,31,3,3,198,38,0,38,232,10,0,246,394,44,3,3,449,35,12,41,488,17,3,515,551,80,8,5,643,71,12,82,726,30,3,763,14761,1629,303,174,16872,321,67,392,17258,680,24,17970,4338,666,118,132,5255,204,54,267,5519,958,15,6488,38,0,3,13,59,0,0,0,59,7,52,109,19138,2296,429,320,22184,529,123,652,22832,1643,92,24566
SOSR211,535,13,8,21,555,63,3,624,7727,980,109,59,8870,165,58,223,9094,529,16,9638,15275,1770,240,146,17437,194,56,251,17690,610,19,18316,1418,188,178,20,1803,17,6,29,1827,39,0,1870,169,12,0,162,351,15,0,15,365,28,3,397,24589,2950,534,385,28462,389,125,513,28979,1211,35,30221,316,44,4,17,374,99,9,109,481,51,0,527,648,84,9,18,760,38,38,79,842,73,3,916,964,128,11,29,1135,141,50,190,1321,121,3,1446,25551,3080,539,418,29589,537,169,703,30299,1331,38,31672,8389,1288,233,226,10134,509,117,631,10767,1950,52,12773,40,3,0,13,61,4,3,9,64,6,94,166,33984,4375,772,658,39788,1049,291,1345,41134,3286,185,44602
SOSR212,321,10,6,16,337,51,3,397,4996,618,58,42,5714,138,41,176,5899,363,3,6259,9762,985,167,103,11016,144,24,164,11181,369,13,11558,851,94,94,10,1051,28,11,33,1087,33,0,1116,108,22,0,97,222,4,0,4,228,9,4,244,15713,1721,324,249,18008,317,70,388,18390,769,13,19174,204,22,7,0,231,60,9,69,301,35,3,342,346,50,9,3,402,53,12,63,464,32,0,492,547,68,15,3,635,115,18,130,769,61,3,835,16259,1790,339,251,18642,434,85,522,19156,832,20,20010,4544,736,118,136,5533,313,88,397,5935,1583,25,7539,33,0,0,18,58,4,0,4,65,8,68,146,20840,2521,459,410,24231,751,175,925,25159,2427,115,27693
SOSR213,464,11,0,16,477,50,0,518,6645,848,119,57,7664,131,30,161,7829,435,18,8286,15550,1623,230,148,17558,222,49,270,17823,525,3,18355,1201,137,195,16,1551,17,5,26,1579,45,0,1619,139,21,3,157,316,4,0,11,327,20,20,361,23536,2628,545,380,27096,375,88,459,27556,1025,39,28624,200,59,9,3,270,41,3,40,305,30,0,337,558,62,9,4,637,53,19,69,700,42,4,747,756,122,16,4,898,92,19,110,1013,72,4,1087,24291,2748,567,391,27996,466,102,571,28566,1098,45,29710,7406,935,197,196,8733,299,68,365,9103,1166,9,10281,39,10,0,30,78,0,0,0,78,16,101,186,31734,3688,768,608,36808,768,175,938,37748,2276,154,40178
SOSR214,187,7,0,6,198,17,0,216,3332,462,36,30,3864,62,33,92,3957,258,4,4217,7166,935,196,72,8366,122,16,141,8511,291,18,8814,603,66,113,11,788,0,0,7,790,23,0,818,84,4,0,76,169,0,0,0,171,8,3,180,11178,1466,347,194,13186,191,50,238,13423,579,31,14037,91,12,6,10,117,43,0,47,161,21,0,180,237,36,9,0,282,11,12,29,306,24,3,336,332,46,9,10,400,55,14,74,471,45,3,519,11514,1511,354,201,13583,248,68,314,13895,625,32,14552,3385,592,134,116,4224,211,34,241,4466,622,16,5102,27,9,0,4,44,0,0,0,44,11,46,107,14919,2109,492,324,17851,453,96,553,18404,1262,92,19757
SOSR215,333,0,0,4,338,46,0,385,5495,716,127,52,6397,107,27,137,6535,410,10,6951,12191,1514,233,125,14073,153,17,175,14246,468,34,14743,1013,136,185,18,1362,15,3,17,1384,42,4,1429,186,27,6,169,390,3,0,3,389,31,0,418,18893,2401,557,367,22218,274,55,332,22544,948,46,23541,163,18,4,5,193,46,3,44,236,25,0,266,389,37,9,3,430,34,12,47,477,27,0,505,547,58,10,6,627,75,14,90,718,53,0,767,19441,2457,568,382,22840,355,69,423,23263,996,51,24307,6323,866,213,213,7612,235,52,282,7893,1066,23,8985,54,7,0,19,81,3,0,3,86,0,61,147,25821,3325,784,609,30541,589,115,706,31242,2062,142,33447
SOSR221,79,0,0,0,84,10,0,94,1436,214,12,10,1677,20,7,33,1711,107,8,1825,3375,449,88,29,3940,37,11,47,3987,151,0,4140,317,36,30,3,386,3,0,3,387,14,0,403,38,18,0,54,113,0,0,0,113,4,0,113,5171,718,137,92,6107,66,15,77,6190,277,11,6481,35,13,0,7,49,16,7,22,64,11,0,82,104,15,3,5,132,13,0,13,144,9,0,151,140,30,3,9,180,27,7,29,211,21,0,230,5303,746,140,104,6292,86,20,106,6401,301,11,6711,1605,301,59,72,2038,77,12,89,2127,317,6,2452,19,3,0,5,30,0,0,0,30,7,11,44,6931,1048,198,176,8355,166,30,194,8546,625,31,9205
SOSR222,39,0,0,0,46,3,0,49,1058,142,28,6,1233,10,3,15,1248,59,0,1309,2006,278,48,22,2354,17,8,23,2374,114,0,2491,187,16,34,8,244,3,0,3,246,13,0,255,39,0,0,23,62,0,0,0,62,9,0,72,3287,436,111,50,3890,29,16,46,3932,191,0,4123,22,7,0,0,26,14,0,14,37,14,0,54,65,3,3,3,79,4,0,5,79,6,0,93,89,10,3,3,104,15,0,17,119,22,0,142,3376,444,115,57,3992,51,13,66,4054,212,0,4273,1024,159,31,44,1259,44,8,53,1307,187,5,1496,14,0,0,0,14,0,0,0,14,0,16,26,4410,609,140,98,5257,93,18,116,5373,405,24,5796
SOSR231,1013,11,5,10,1030,95,5,1130,15490,1582,224,117,17410,144,49,189,17599,822,29,18449,28146,3287,435,325,32194,242,55,298,32490,963,43,33499,1795,241,389,27,2462,24,0,24,2481,81,6,2569,410,37,10,464,929,3,4,11,937,44,17,1000,45847,5149,1062,932,52994,406,105,513,53507,1908,99,55510,275,47,7,6,337,65,0,65,403,52,0,459,722,93,19,11,841,75,15,91,931,40,3,968,998,148,19,16,1178,136,15,159,1337,96,3,1431,46840,5293,1085,949,54171,547,123,670,54840,2003,100,56943,11851,1664,366,472,14358,295,67,361,14717,1898,50,16664,186,18,21,37,256,4,0,4,256,7,152,421,58879,6974,1468,1458,68786,845,188,1038,69821,3912,298,74032
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,6905,243,70,309,7219,1047,10,8283,84858,9247,1056,560,95719,2581,532,3114,98832,5584,96,104520,107898,12356,1334,827,122413,2273,393,2666,125081,4020,98,129197,10671,1224,1286,95,13280,188,21,209,13486,425,14,13921,1277,199,25,1353,2852,95,10,112,2967,216,106,3289,204705,23030,3700,2829,234265,5137,957,6095,240363,10250,311,250922,3747,648,73,92,4560,947,64,1016,5572,440,18,6028,5756,861,87,174,6872,632,180,810,7686,415,9,8108,9510,1502,157,268,11434,1579,244,1823,13256,853,25,14133,214216,24530,3854,3095,245697,6715,1207,7923,253619,11098,337,265058,65138,9590,1638,1809,78177,3508,712,4219,82394,12961,231,95585,333,50,4,233,619,18,4,18,642,56,822,1516,279684,34174,5500,5143,324496,10239,1923,12160,336661,24117,1388,362165
SOSR302,1264,40,15,63,1319,184,3,1515,18809,2467,262,133,21665,481,119,603,22271,1169,22,23460,26505,3835,338,202,30880,499,111,602,31484,1067,34,32585,2037,250,271,21,2578,54,0,57,2631,109,4,2743,379,40,8,307,733,13,4,16,753,41,29,821,47727,6584,878,660,55853,1054,230,1286,57136,2381,88,59611,669,140,27,23,857,184,11,193,1044,83,4,1132,1456,257,12,40,1760,108,36,146,1905,100,0,2006,2122,399,39,59,2613,293,46,339,2951,182,3,3142,49855,6981,917,716,58471,1343,276,1622,60091,2564,95,62748,14665,2289,404,364,17728,665,111,774,18500,2486,31,21020,81,32,4,44,161,11,0,11,169,17,196,384,64598,9308,1323,1130,76351,2016,394,2404,78752,5073,324,84150
SOSR303,967,29,3,32,997,146,0,1149,22771,2901,396,157,26228,666,151,816,27043,1559,24,28626,30681,4253,531,302,35771,710,97,816,36584,1387,41,38018,2550,351,401,24,3325,44,11,53,3386,137,7,3522,366,56,13,330,756,29,13,40,793,62,14,872,56369,7560,1343,810,66079,1453,275,1723,67805,3149,87,71038,844,163,26,33,1070,295,11,306,1378,171,0,1546,1617,256,29,44,1950,189,93,276,2227,140,3,2374,2466,421,54,80,3013,480,105,585,3602,310,8,3915,58830,7981,1394,892,69099,1932,377,2307,71404,3458,88,74949,15605,2579,508,421,19123,1060,260,1325,20440,3468,57,23965,62,3,3,54,130,0,0,0,130,25,233,386,74506,10560,1906,1367,88344,2991,641,3636,91975,6950,377,99302
SOSR311,167,4,0,5,170,28,0,200,7103,857,134,55,8152,268,67,331,8485,524,16,9022,9946,1259,196,120,11512,332,59,391,11905,541,6,12454,831,92,133,12,1068,32,9,40,1110,48,0,1156,104,23,7,133,266,9,3,13,279,22,4,302,17983,2228,466,320,20996,644,134,779,21773,1129,28,22932,337,64,9,3,406,125,12,134,545,79,0,626,603,78,16,28,722,93,29,121,844,56,3,904,936,140,19,35,1133,215,43,262,1390,138,3,1532,18919,2374,486,353,22128,861,175,1037,23169,1269,25,24465,5496,976,190,134,6802,540,88,630,7425,1381,31,8837,35,4,0,18,54,0,0,0,54,0,79,139,24454,3354,675,505,28983,1403,260,1661,30647,2654,137,33437
SOSR312,19,0,0,3,24,7,0,25,1450,137,23,11,1619,58,4,64,1682,92,0,1777,2221,243,62,36,2560,108,3,106,2665,126,3,2791,190,27,41,3,255,7,0,7,260,0,0,262,20,0,0,34,57,3,0,3,59,3,8,73,3876,404,115,86,4484,178,9,180,4669,223,15,4904,110,22,0,7,145,61,0,64,211,17,0,229,214,22,0,0,231,24,5,26,258,20,0,280,325,39,0,11,379,80,4,86,465,42,0,504,4206,448,119,94,4862,256,14,269,5134,267,15,5409,1889,217,73,83,2261,282,20,303,2561,473,8,3037,8,0,0,6,20,0,0,0,20,0,43,61,6104,666,188,185,7142,540,33,571,7710,742,61,8512
SOSR313,97,4,0,6,102,23,0,123,4839,468,101,61,5473,139,20,162,5628,279,0,5909,7136,802,165,80,8179,122,20,139,8316,360,6,8683,663,81,82,0,829,14,0,14,842,40,0,880,102,14,0,85,203,12,7,17,218,5,5,227,12744,1359,350,226,14683,284,51,331,15011,682,8,15700,231,28,14,5,274,78,10,88,366,50,0,416,361,55,11,20,443,37,5,38,479,25,0,508,587,82,21,22,712,116,20,130,844,75,3,920,13339,1445,366,244,15396,395,66,463,15858,755,13,16624,4840,672,191,145,5850,322,70,391,6239,1056,10,7309,36,11,0,10,61,4,0,10,67,11,52,132,18216,2132,561,400,21302,724,134,860,22165,1820,74,24066
SOSR314,122,3,0,3,120,15,0,133,5673,572,118,46,6413,139,26,168,6583,318,11,6909,8112,896,148,85,9244,159,16,179,9417,279,12,9711,727,57,132,4,926,21,0,26,948,40,0,993,100,11,4,138,256,6,0,6,256,23,5,288,14615,1532,404,276,16829,327,51,376,17207,667,33,17901,220,33,7,8,266,87,10,93,357,40,3,402,432,44,12,21,511,58,7,64,575,30,3,610,655,84,13,26,780,142,18,158,936,71,6,1013,15272,1614,419,299,17607,468,67,535,18142,731,39,18918,4872,685,205,170,5935,267,43,308,6250,871,14,7130,33,3,0,19,64,0,0,0,64,0,88,150,20182,2307,633,493,23602,739,105,845,24455,1606,141,26198
SOSR315,173,6,0,6,182,33,0,209,7694,871,115,65,8749,173,43,222,8972,621,20,9608,10719,1466,196,139,12515,278,40,320,12832,647,30,13506,963,105,191,21,1281,24,10,28,1307,68,0,1369,147,22,4,183,355,10,4,17,372,22,3,397,19521,2466,509,401,22898,487,95,586,23477,1350,47,24881,350,64,3,12,434,175,5,184,619,95,4,715,589,62,25,10,690,49,36,87,774,51,0,824,938,130,34,25,1123,224,46,266,1391,148,4,1537,20454,2599,536,431,24024,709,137,852,24868,1496,55,26419,7244,1141,317,292,8991,770,127,891,9886,2308,32,12229,65,3,4,29,101,3,0,0,104,23,111,241,27760,3736,858,753,33114,1481,264,1743,34860,3831,198,38888
