SOSR_CODE_2016,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,678,115,172,9,976,24,3,24,999,58,3,1067,358,61,7,418,843,27,5,31,881,51,24,956,52922,6560,799,895,61178,1284,268,1557,62734,3205,92,66035,715,152,10,21,898,237,18,251,1149,108,3,1266,1112,225,17,42,1390,153,76,224,1617,146,0,1760,1827,376,23,62,2285,386,95,481,2766,254,6,3026,54748,6938,822,957,63466,1671,361,2037,65498,3462,94,69058,12351,2257,214,398,15225,614,166,777,16004,4224,63,20285,90,21,0,58,164,3,0,4,173,17,170,360,67195,9214,1040,1408,78856,2289,526,2820,81677,7702,333,89703,14859,1704,165,116,16850,441,90,534,17383,1186,20,18588,15528,2443,186,145,18305,361,81,439,18743,1068,23,19828,411,92,144,10,657,16,3,16,676,51,0,724,187,24,4,278,494,15,3,23,514,47,12,567,30983,4259,502,550,36299,842,173,1010,37315,2347,52,39715,424,83,8,14,519,152,11,161,686,68,7,759,580,160,10,12,767,79,52,130
SOSR203,40,3,7,0,49,0,0,0,55,3,0,58,10,4,0,10,28,0,0,0,28,0,0,28,1906,190,31,29,2156,34,0,34,2192,106,0,2298,10,4,0,0,16,3,0,3,24,3,0,23,35,5,0,0,36,3,0,6,44,6,0,47,44,10,0,0,55,12,0,9,66,11,0,72,1953,198,31,29,2211,42,0,46,2256,118,0,2372,371,50,4,7,435,15,4,23,458,118,3,577,5,0,0,0,11,0,0,0,11,0,6,9,2329,252,35,35,2656,60,4,71,2719,235,5,2964,366,43,3,3,411,4,0,4,418,27,0,442,455,72,3,4,529,8,0,9,536,36,0,572,27,0,7,5,39,0,0,0,39,0,0,37,3,0,0,5,15,0,0,0,15,0,0,15,843,119,16,17,994,6,0,12,1004,61,3,1071,9,3,0,0,13,10,0,10,25,0,0,23,15,4,0,0,20,3,3,5
SOSR211,54,15,12,0,83,4,3,4,91,5,0,94,21,0,0,29,52,0,0,0,52,3,0,55,3383,371,60,54,3875,45,24,69,3938,209,5,4154,46,4,0,0,46,13,3,15,63,4,0,69,56,8,3,3,67,0,3,3,69,6,0,73,93,11,3,3,115,9,5,22,135,11,0,144,3477,383,61,64,3982,59,32,87,4071,216,5,4301,589,96,26,23,738,31,10,46,781,243,3,1025,4,0,0,0,3,0,0,0,3,0,6,16,4072,478,86,86,4727,91,43,131,4857,462,17,5333,537,67,3,11,607,7,0,9,618,34,0,652,546,74,9,7,640,16,0,16,650,42,0,692,18,7,5,0,32,0,0,0,32,0,0,33,4,3,0,8,17,0,0,0,17,0,0,15,1106,148,17,17,1293,25,0,21,1315,79,3,1392,8,0,0,0,6,10,0,8,16,3,0,17,15,0,0,0,21,0,3,3
SOSR212,45,10,9,0,68,4,0,4,69,3,0,74,20,0,0,15,34,0,0,0,35,3,0,41,2387,254,62,33,2741,61,7,66,2806,141,0,2941,28,3,3,0,29,10,0,12,38,3,0,45,37,3,0,0,49,7,3,7,55,5,0,59,61,8,3,0,79,14,3,14,96,10,0,102,2456,261,63,31,2815,77,8,84,2900,148,0,3048,363,74,14,11,454,30,5,33,487,220,0,710,3,0,0,0,3,0,0,0,3,0,6,9,2816,333,75,43,3272,103,13,119,3391,362,8,3766,320,35,7,5,364,14,4,16,378,22,0,400,395,50,12,0,456,10,0,10,463,27,0,489,14,0,7,0,15,0,0,0,18,0,0,22,13,3,0,0,14,0,0,0,14,0,0,16,736,90,22,7,854,23,4,23,874,50,0,928,9,3,0,0,11,4,0,4,19,0,0,14,10,4,0,0,11,0,3,3
SOSR213,73,10,14,0,94,3,0,0,99,8,0,103,22,3,0,22,52,0,0,0,53,0,0,58,3403,361,64,62,3896,55,11,67,3961,156,6,4122,33,6,0,0,42,9,0,9,54,3,0,54,48,13,0,3,62,9,0,8,70,11,0,85,84,19,3,3,110,15,0,16,121,14,0,133,3492,383,65,63,4005,73,15,84,4087,170,6,4258,559,77,13,11,655,17,3,13,670,134,0,806,8,0,0,0,11,0,0,0,11,0,14,26,4053,456,79,74,4668,84,18,101,4767,300,23,5089,416,46,9,5,476,7,0,8,490,30,3,519,600,92,11,7,709,14,3,15,721,27,0,747,15,0,4,0,26,0,0,0,26,0,0,25,9,0,0,10,19,0,0,0,19,3,0,25,1039,141,30,22,1234,16,3,26,1258,56,3,1315,13,0,0,0,15,0,0,0,14,0,0,16,25,0,0,0,23,0,0,0
SOSR214,20,3,8,3,40,0,0,0,40,5,0,48,8,0,0,18,32,0,0,0,32,0,0,32,1589,238,46,40,1910,27,3,33,1938,104,9,2054,22,0,0,0,21,4,0,4,27,3,0,30,20,8,0,0,28,0,4,6,28,7,0,37,40,9,0,0,48,9,4,15,57,4,0,63,1629,241,46,44,1954,33,7,42,2003,114,9,2120,260,51,17,14,338,26,4,25,366,78,3,447,7,3,0,0,9,0,0,0,9,0,5,16,1894,292,59,50,2303,56,14,75,2376,195,16,2579,200,16,3,7,232,7,0,7,234,19,0,253,254,43,9,4,306,4,0,7,312,14,0,326,5,0,7,0,11,0,0,0,11,0,0,16,3,0,0,3,3,0,0,0,3,0,0,8,465,61,10,14,559,5,0,12,567,39,0,606,4,0,0,0,3,0,0,0,5,0,0,8,8,0,0,0,8,0,0,0
SOSR215,67,6,18,0,95,0,0,0,95,3,0,98,17,3,0,39,61,0,0,0,57,3,0,62,2678,311,79,66,3133,57,8,63,3196,145,6,3348,23,8,0,0,27,3,0,3,36,0,0,36,31,0,0,0,35,5,0,5,40,3,0,41,53,8,3,0,61,6,0,6,72,8,0,80,2729,319,86,64,3197,61,8,68,3269,151,6,3426,511,68,21,23,621,13,7,19,645,150,3,794,5,0,0,0,5,0,0,0,6,0,6,16,3247,386,100,91,3831,78,10,87,3914,299,20,4238,333,34,4,0,374,9,3,9,386,21,0,410,400,63,11,6,485,3,0,5,492,12,0,504,14,7,3,0,29,0,0,0,29,3,0,29,9,0,0,9,15,0,0,0,15,0,0,15,757,109,26,16,904,9,0,13,918,40,0,958,9,0,0,0,9,5,0,5,11,0,0,11,6,0,0,0,5,0,0,0
SOSR221,16,3,6,0,20,0,0,0,20,6,0,27,4,6,0,10,19,0,0,0,19,0,0,19,759,98,32,14,899,10,0,11,907,47,3,953,4,0,0,0,11,0,0,0,12,0,0,10,9,0,0,0,9,0,0,0,9,0,0,9,19,3,0,0,22,0,0,0,21,0,0,20,775,101,32,18,915,12,3,10,930,49,3,977,127,23,5,3,163,3,0,4,164,44,0,214,3,0,0,0,3,0,0,0,3,0,3,7,902,125,37,15,1079,15,3,16,1095,93,3,1197,72,13,4,0,95,0,0,0,95,3,0,95,124,10,3,0,139,3,0,3,141,10,0,151,5,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,204,29,13,0,246,3,0,3,248,8,0,254,4,0,0,0,4,0,0,0,4,0,0,8,3,0,0,0,4,0,0,0
SOSR222,10,0,0,0,20,0,0,0,20,0,0,20,3,0,0,4,5,0,0,0,5,0,0,5,494,81,22,3,598,4,0,6,602,31,0,636,7,0,0,0,3,0,0,0,3,0,0,6,8,0,0,3,13,0,0,0,9,3,0,17,11,0,0,3,16,0,0,0,17,3,0,25,508,79,22,10,612,3,0,3,620,35,0,657,83,18,3,3,101,6,0,10,111,23,0,136,3,0,0,0,3,0,0,0,3,0,3,3,593,96,23,10,723,7,3,13,729,61,3,798,73,10,3,0,81,0,0,0,81,3,0,87,71,11,0,0,84,0,3,3,88,4,0,93,0,0,3,0,5,0,0,0,5,0,0,5,4,0,0,0,6,0,0,0,6,0,0,6,140,21,6,3,175,0,3,3,176,9,0,188,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
SOSR231,113,23,43,3,181,0,0,0,181,15,0,199,70,10,4,123,203,0,0,0,208,12,3,220,7784,908,174,211,9078,81,13,92,9173,359,17,9552,58,13,0,0,71,10,0,10,84,7,0,95,97,7,7,0,117,7,3,8,125,12,0,132,158,18,4,0,181,15,3,17,205,23,0,224,7939,929,185,213,9266,97,17,113,9379,374,17,9772,1139,188,42,52,1423,31,7,40,1460,313,5,1776,20,3,0,3,27,0,0,0,24,0,28,52,9096,1120,228,270,10715,129,23,153,10869,689,49,11605,1083,89,18,6,1197,8,4,12,1213,70,0,1278,1189,152,24,20,1382,11,3,15,1395,77,3,1483,42,7,23,0,75,0,0,0,72,3,0,76,17,5,0,22,43,0,0,0,43,3,3,50,2333,246,64,49,2697,26,9,28,2724,151,7,2883,19,4,0,0,19,0,0,0,25,5,0,23,26,5,0,0,29,0,0,0
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,416,65,96,3,584,15,3,19,600,32,3,631,148,24,3,175,353,17,0,14,371,26,8,404,27238,2999,486,367,31091,754,117,865,31957,1587,34,33575,432,71,11,15,537,117,10,129,661,64,0,731,530,97,4,23,649,53,18,68,717,62,0,786,964,169,14,40,1185,166,31,198,1378,129,0,1514,28201,3160,507,407,32274,922,141,1066,33343,1713,33,35088,5266,868,124,159,6414,276,53,328,6738,1575,15,8334,24,3,0,15,43,0,0,0,43,3,57,101,33492,4036,623,583,38730,1198,194,1391,40125,3294,108,43526,6379,593,92,33,7101,210,35,243,7341,427,5,7783,4963,748,65,33,5809,177,34,216,6023,300,3,6326,167,33,68,0,264,3,3,5,270,21,0,291,72,3,0,76,155,4,0,7,163,20,3,184,11577,1379,223,154,13326,400,73,472,13802,770,11,14578,147,23,9,3,178,49,0,50,221,23,0,249,223,25,6,10,265,21,12,35
SOSR302,84,29,24,0,140,3,0,3,148,9,0,154,46,3,3,44,101,5,0,8,107,3,0,114,6543,943,125,97,7708,154,32,186,7890,372,8,8265,101,20,5,6,130,21,0,22,149,12,0,161,136,36,0,6,182,8,0,7,188,12,0,196,234,60,5,11,310,23,0,28,336,23,0,359,6776,1004,132,106,8016,179,35,214,8226,387,8,8623,1261,202,35,25,1517,54,17,72,1584,291,7,1884,12,0,0,3,16,3,0,3,18,3,12,31,8050,1208,165,134,9552,237,49,283,9835,684,21,10542,1211,153,26,7,1393,40,11,50,1443,79,3,1525,976,201,17,4,1198,24,9,34,1227,82,3,1316,35,3,12,0,51,0,0,0,51,3,0,49,16,0,0,16,36,0,0,0,36,4,4,46,2240,361,49,30,2681,66,17,81,2759,163,7,2932,29,4,3,0,35,18,3,14,51,3,0,57,28,14,0,0,40,8,3,7
SOSR303,114,17,42,0,166,7,0,7,170,16,0,190,48,5,0,41,102,7,3,9,110,8,0,119,8144,1045,194,131,9515,249,33,280,9797,486,12,10293,120,23,0,3,146,55,0,55,198,25,0,225,177,34,3,0,215,18,7,30,239,22,0,262,296,48,3,5,357,71,7,82,439,49,0,485,8441,1099,194,139,9871,320,43,363,10231,534,12,10782,1192,191,46,30,1456,76,10,87,1545,375,6,1934,6,0,0,6,9,0,0,0,9,3,17,29,9644,1289,238,169,11346,398,58,452,11791,919,32,12745,992,108,16,10,1123,35,9,39,1163,55,0,1222,784,111,16,11,925,26,3,31,954,58,0,1014,33,0,19,0,52,0,0,0,52,4,0,55,7,0,0,13,23,0,0,0,23,3,0,31,1823,226,51,27,2122,62,12,74,2196,119,3,2312,23,9,0,3,36,14,0,14,45,8,0,55,28,9,0,4,36,0,0,0
SOSR311,47,5,11,0,71,3,0,3,68,3,0,74,16,4,0,19,39,0,0,0,39,0,0,37,2727,300,74,50,3143,110,17,129,3274,157,4,3439,40,15,0,0,52,11,0,16,71,5,0,74,59,10,0,0,73,4,4,11,82,11,0,95,102,27,3,0,130,16,8,26,152,15,0,171,2830,318,74,48,3272,125,26,150,3430,178,4,3604,467,81,16,16,571,35,3,46,617,179,3,799,7,0,0,0,10,0,0,0,10,0,10,15,3298,401,92,65,3852,165,31,196,4048,361,12,4426,210,27,4,4,245,3,0,3,247,15,0,264,197,18,4,4,226,4,0,8,233,17,0,251,11,0,3,0,10,0,0,0,10,4,0,16,4,0,3,0,6,0,0,0,6,0,0,8,420,45,11,3,485,9,0,8,497,38,0,539,8,3,0,3,7,0,0,0,10,0,0,14,8,3,0,0,11,0,0,0
SOSR312,5,3,0,0,11,0,0,0,12,0,0,16,0,0,0,9,14,0,0,0,14,0,0,19,598,65,15,19,696,19,3,23,721,34,3,765,15,0,0,3,19,9,0,9,25,3,0,28,29,0,0,0,24,4,0,4,32,9,0,40,43,0,0,3,43,12,0,12,56,11,0,66,639,67,15,17,742,31,3,37,780,48,3,829,134,16,8,7,163,22,0,20,179,44,0,226,3,0,0,0,3,0,0,0,3,0,0,3,773,86,22,30,908,50,5,57,961,91,6,1060,24,0,0,0,28,0,0,0,28,7,0,32,26,0,0,0,24,3,0,3,29,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,3,57,3,0,3,53,4,0,61,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
SOSR313,31,4,10,0,39,5,0,5,43,4,0,48,10,0,0,16,19,0,0,0,20,0,0,26,1790,197,46,34,2068,48,4,54,2119,98,0,2223,33,0,0,3,38,12,3,14,58,5,0,65,30,3,3,3,37,3,0,3,42,3,0,47,69,3,3,5,76,19,3,22,100,12,0,105,1856,198,49,42,2142,67,6,73,2215,112,0,2332,334,57,20,13,418,23,3,26,445,120,0,569,3,0,0,0,3,0,0,0,3,0,4,4,2190,261,65,51,2561,89,13,106,2668,232,4,2909,93,10,0,4,106,3,0,3,108,8,0,116,96,19,0,0,114,0,0,0,118,9,0,131,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,191,28,0,4,227,3,0,3,229,22,0,248,4,3,0,0,8,0,0,0,8,0,0,8,0,3,0,0,3,0,0,0
SOSR314,30,5,12,0,46,0,0,0,46,4,0,48,16,0,0,21,36,0,0,0,36,4,0,35,2054,215,58,42,2369,50,11,63,2433,105,0,2543,32,9,3,0,46,11,0,11,52,3,0,59,37,0,0,0,44,0,0,0,42,9,0,53,74,9,3,3,85,15,0,15,102,9,0,111,2131,223,60,40,2455,63,11,79,2534,113,0,2650,321,36,19,18,393,8,0,12,402,77,0,483,3,0,0,3,7,0,0,0,7,0,12,21,2454,261,79,60,2853,76,12,87,2945,193,11,3149,141,11,3,0,152,3,0,0,156,8,0,162,107,10,3,0,121,0,0,0,121,8,0,129,12,0,4,0,13,0,0,0,13,3,0,13,0,0,0,3,7,0,0,0,7,0,0,7,254,27,10,3,290,3,0,0,293,22,0,315,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0
SOSR315,35,9,11,0,50,4,0,4,55,9,0,66,13,0,0,33,55,0,0,0,52,4,0,59,2543,313,73,58,2985,72,20,98,3077,206,3,3295,43,8,0,3,49,17,0,21,70,12,0,78,53,9,0,0,62,5,0,8,70,0,0,70,90,15,0,3,108,25,3,23,134,15,0,152,2632,323,74,60,3096,96,26,125,3216,217,8,3444,504,104,22,22,647,44,7,53,696,226,5,928,4,0,0,0,5,0,0,0,5,5,5,16,3135,432,98,86,3745,141,30,173,3918,450,14,4386,192,23,6,5,222,9,0,4,227,17,0,244,150,25,3,3,186,7,0,9,191,14,0,205,9,0,8,0,14,0,0,0,16,0,0,15,7,0,0,6,8,0,0,0,8,0,0,9,351,54,12,13,429,17,3,17,450,34,0,483,3,0,0,0,3,3,0,3,9,0,0,9,3,3,0,0,9,0,0,0
SOSR321,5,3,11,0,24,0,0,0,24,4,0,22,3,0,0,17,26,3,0,3,25,3,0,29,1032,159,38,31,1254,33,0,40,1293,102,0,1393,17,9,4,0,26,10,0,10,32,10,0,42,23,0,3,3,23,3,0,6,29,3,0,31,38,11,6,5,50,10,0,11,63,7,0,74,1067,170,42,29,1305,51,3,48,1352,108,0,1467,202,49,10,5,260,14,4,12,273,92,0,364,4,0,0,0,6,0,0,0,6,0,0,9,1269,211,50,37,1571,57,5,68,1634,202,3,1835,74,8,3,0,88,3,0,4,92,9,0,103,61,15,0,0,72,0,3,3,77,7,0,86,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,136,19,5,0,162,3,3,6,171,15,0,183,3,0,0,0,6,0,0,0,4,0,0,4,3,0,0,0,4,0,0,0
SOSR322,15,0,0,0,13,0,0,0,13,0,0,15,0,0,0,4,4,0,0,0,4,4,0,6,358,52,9,9,423,9,0,12,436,21,0,458,7,3,0,0,11,3,0,3,7,0,0,10,4,0,0,0,4,4,0,4,4,3,0,12,10,3,0,0,14,5,0,5,19,4,0,22,365,50,9,9,433,10,0,13,451,25,0,474,69,13,4,3,92,13,3,12,105,50,3,158,0,0,0,0,0,0,0,0,0,0,0,3,442,64,16,9,528,21,3,25,552,74,6,632,24,0,0,0,28,0,0,3,28,0,0,31,18,4,0,0,23,0,0,0,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,47,0,3,4,48,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
