SOSR_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR399,5,17,16,10,11,21,7,7,5,99,14,19,12,26,25,38,7,32,86,257,195,274,297,410,473,463,235,575,158,3087
SOSR401,576,2773,2170,2704,4722,3459,1985,2293,198,20882,599,1943,1276,1578,3102,2391,968,1692,3454,17005,18870,67000,54395,68688,116212,82486,48295,60727,7893,524576
SOSR412,34,181,117,144,269,184,140,147,5,1220,35,96,64,66,178,148,70,102,236,993,1258,3767,3120,4099,6383,4595,3246,4457,528,31455
SOSR413,54,262,149,193,307,301,159,192,14,1629,64,164,115,108,174,162,73,130,291,1285,1750,5867,4569,5887,7888,6243,3930,5547,723,42410
SOSR414,7,70,28,44,69,65,36,56,4,376,19,42,28,28,47,55,15,40,56,324,425,1312,988,1313,1784,1469,854,1116,134,9400
SOSR415,61,264,156,206,323,320,171,242,25,1777,69,154,92,126,211,188,92,186,341,1458,2122,5792,4735,6047,7975,6849,4272,6883,840,45512
SOSR421,18,73,46,67,109,101,46,91,3,553,26,70,27,38,67,63,29,71,122,512,657,1876,1548,1892,2355,2016,1273,2245,278,14144
SOSR422,15,33,26,33,60,70,30,40,3,329,30,41,18,20,29,44,27,32,58,297,392,1099,790,1080,1274,1227,692,1285,149,7992
SOSR431,72,293,200,271,434,400,212,401,28,2312,138,284,171,242,303,327,128,371,585,2561,3009,8494,7062,8735,9530,10457,5871,15263,1470,69883
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR499,0,10,0,4,0,3,0,0,0,23,3,3,6,4,10,3,0,7,14,46,53,82,68,103,139,100,63,98,32,734
SOSR501,922,4928,3727,3988,6956,6552,3252,4660,329,35315,1394,4413,3173,3035,6385,7955,2932,5607,6529,41422,32305,109042,91536,95287,162204,166574,83045,134635,14577,889202
SOSR511,32,197,112,172,231,225,155,201,31,1349,66,146,80,86,165,217,84,179,217,1240,1398,3936,3110,3733,5289,4821,3457,5238,529,31516
SOSR512,80,287,195,236,376,422,235,489,22,2343,71,234,125,168,243,301,147,352,439,2081,2304,6133,4630,5960,8151,8010,5273,10170,986,51617
SOSR513,41,89,78,97,194,167,131,316,14,1125,68,106,50,87,157,177,111,319,239,1311,1372,2096,1605,2380,3939,4106,3213,6950,537,26200
SOSR514,22,102,80,60,89,100,50,74,7,586,37,81,43,49,98,102,57,83,117,669,744,1892,1560,1776,2337,2330,1558,2364,287,14850
SOSR515,53,179,119,160,209,272,145,275,21,1430,107,150,85,118,175,203,84,223,292,1438,2161,3831,3039,3751,5310,5601,4030,7675,739,36136
SOSR521,26,86,70,64,87,135,57,118,8,652,53,110,60,55,80,113,55,128,206,862,1000,1889,1544,1860,2276,2777,1734,3947,444,17460
SOSR522,14,43,37,43,77,85,21,55,17,389,23,34,21,24,38,51,20,57,102,355,372,819,618,844,1050,1161,700,1720,211,7494
SOSR531,94,333,237,284,350,473,237,566,41,2618,184,354,246,266,309,528,197,846,645,3580,4041,8465,7019,7793,8021,10784,6647,26736,1657,81157
SOSR579,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,50,0,60,16,12,11,0,4,14,11,274,4,334
SOSR599,0,6,3,3,8,6,7,5,0,44,17,9,8,8,6,7,10,27,33,126,140,151,146,136,200,222,136,587,60,1773
SOSR603,74,425,320,393,604,426,253,330,20,2856,98,277,192,210,355,323,108,196,486,2248,3151,10529,8546,10459,16884,12373,6820,8651,1096,78514
SOSR611,36,181,141,142,259,212,116,130,17,1246,46,116,83,90,173,132,59,99,226,1023,1316,4381,3587,4350,6711,4951,2758,3632,498,32194
SOSR612,9,63,38,46,82,64,42,50,8,403,11,48,28,39,43,45,26,28,74,333,406,1247,987,1226,1640,1303,808,1047,158,8822
SOSR613,14,64,50,70,118,91,56,59,0,530,19,63,30,22,70,75,22,38,80,423,540,1701,1326,1625,2462,1842,1130,1481,204,12309
SOSR614,3,19,18,17,36,31,11,9,0,151,13,14,12,22,22,15,16,16,46,166,191,485,433,527,797,564,343,440,83,3870
SOSR615,22,124,120,123,186,167,82,94,10,925,41,99,64,88,128,139,60,88,201,910,1059,2920,2644,3202,4692,3662,2135,2857,445,23622
SOSR621,19,38,26,26,50,50,29,32,4,272,22,44,25,23,45,39,16,37,78,315,417,1067,861,1000,1280,1194,668,1115,172,7766
SOSR622,3,21,23,19,41,44,10,23,3,186,10,12,14,24,20,21,17,10,29,157,237,602,523,642,787,722,405,605,98,4621
SOSR631,52,210,170,188,289,274,119,204,29,1543,113,206,118,170,224,233,78,207,425,1776,2077,5724,5188,5715,7267,6795,3659,7162,982,44577
SOSR679,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
SOSR699,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,7,0,4,0,18,14,38,27,28,45,38,17,39,10,247
SOSR703,51,167,145,175,453,400,210,340,28,1969,98,165,124,153,412,449,173,521,585,2680,2588,4015,3872,4900,13335,11687,6478,13744,1335,61953
SOSR712,13,40,25,33,168,108,60,71,0,515,23,14,20,25,95,78,31,58,99,438,509,749,639,1029,3147,2448,1321,1977,228,12045
SOSR714,10,7,9,3,22,33,11,17,3,113,9,12,3,7,13,15,0,13,24,92,133,151,113,196,661,480,271,552,56,2620
SOSR715,12,64,32,49,96,63,10,27,25,378,10,14,9,16,47,36,7,29,156,328,200,396,271,410,1205,850,435,718,252,4731
SOSR721,6,27,22,37,70,70,21,31,11,293,21,9,3,10,25,28,11,20,137,267,217,262,262,380,774,948,351,916,217,4320
SOSR722,9,19,41,27,56,51,8,39,14,271,7,14,8,8,18,19,9,16,34,139,120,231,240,337,621,472,184,411,92,2708
SOSR731,19,54,41,76,121,145,53,125,16,654,41,46,33,53,103,111,41,137,171,733,688,905,887,1150,2426,2458,1240,3586,400,13740
SOSR779,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9,3,3,0,0,0,0,0,14,10,28
SOSR799,0,0,0,0,0,0,0,0,0,9,4,3,7,0,3,3,0,5,4,36,52,28,40,30,78,93,56,175,18,574
SOSR802,152,819,608,676,1269,1026,617,846,70,6081,189,599,369,370,795,906,349,554,1214,5330,8435,20517,16438,19883,46826,41307,21416,27033,3009,204869
SOSR822,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,6,9,25,12,16,15,13,10,29,3,130
SOSR831,0,0,0,5,0,3,0,5,0,18,0,0,0,0,3,3,0,0,4,11,24,33,33,50,76,81,40,82,8,424
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,5,11,9,28,14,22,35,46,12,35,6,202
SOSR915,0,3,4,3,0,4,0,3,0,19,0,4,0,0,4,6,3,6,7,39,55,60,48,55,228,129,105,120,17,820
SOSR921,3,0,0,3,0,4,3,0,0,13,0,0,0,4,3,5,0,0,3,15,24,44,34,60,99,62,47,52,11,436
SOSR922,0,0,0,0,3,0,0,0,0,4,5,6,0,0,9,0,0,3,11,32,23,38,10,26,46,37,26,94,20,321
SOSR931,0,0,3,3,8,3,0,3,0,12,0,4,0,3,0,7,0,3,12,25,20,65,54,70,125,104,52,70,16,573
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,11
