SOSR_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR314,216,274,243,482,968,1299,984,2708,89,7258,549,692,814,1225,1680,1869,1114,1976,100,10022,426,536,469,734,2280,2259,1725,2915,198,11547,348,1158,1135,1525,1265,777,418,600,117,7339,314,881,921,1240,1924,1279,660,683,76,7989,211,1573,888,1061,997,620,395,508,115,6366,306,266,276,381,876,882,1014,2516,157,6671,305,1576,1024,1468,1801,1311,781,1128,244,9650,70,79,40,63,113,128,51,144,333,1026,2755,7037,5813,8180,11903,10428,7154,13173,1435,67857
SOSR315,311,369,415,598,1284,1670,1287,3631,127,9685,671,991,1167,1803,2149,2337,1334,2310,123,12880,611,908,786,1209,3246,3364,2610,3950,276,16957,575,1700,1722,2536,2099,1245,701,1061,235,11880,491,1293,1332,1680,2926,1769,911,968,144,11502,279,2079,1263,1519,1488,824,546,755,127,8880,504,446,442,604,1493,1386,1639,3913,254,10683,460,2464,1581,2047,2717,1961,1102,1555,309,14201,99,104,62,104,191,159,75,195,544,1544,4000,10360,8762,12097,17600,14718,10210,18340,2140,98215
SOSR321,129,170,192,281,542,698,464,1756,39,4280,300,443,520,809,888,982,537,903,50,5433,264,410,309,524,1269,1230,724,1445,117,6299,231,704,688,1023,755,454,265,355,91,4554,177,548,591,714,1118,707,309,355,53,4576,108,773,499,528,529,291,180,294,55,3252,187,201,182,260,570,574,496,1310,87,3872,195,1003,619,811,926,775,361,650,117,5463,43,55,34,51,85,60,40,87,235,697,1640,4307,3635,5012,6690,5776,3376,7148,842,38433
SOSR322,64,94,78,114,238,286,164,938,33,2012,109,172,185,254,345,384,165,355,26,1991,82,170,134,216,481,496,309,587,45,2517,70,291,265,439,294,202,81,139,33,1824,72,202,237,304,477,266,120,173,24,1890,51,318,185,203,206,101,66,108,22,1254,96,90,60,121,319,310,259,712,51,2026,119,460,293,360,445,383,188,401,80,2734,30,27,11,17,33,39,8,52,103,320,705,1825,1443,2020,2845,2473,1373,3473,413,16567
SOSR331,974,2009,1624,2452,2812,5740,3022,20648,775,40056,1271,2322,2751,3651,3739,4556,2201,4782,257,25528,1028,1844,1621,2223,5259,5859,3592,7547,533,29500,787,3053,2851,3631,2449,1554,873,1292,328,16818,820,3184,3050,3517,4847,3317,1470,2196,309,22704,434,3652,2026,2117,1996,1273,741,1392,218,13842,871,856,906,1184,2314,2521,2115,6907,449,18124,880,4279,2601,3212,3682,3723,1843,4663,608,25493,224,235,166,183,294,386,141,527,1250,3401,7288,21435,17613,22159,27391,28937,15982,49942,4727,195465
SOSR379,0,0,0,0,0,0,3,6,0,13,0,0,0,0,0,4,0,0,0,8,4,4,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,7,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,9,6,7,9,10,4,12,0,60
SOSR399,20,21,12,25,26,37,20,82,9,264,47,34,31,52,73,96,26,72,10,446,30,23,22,28,62,82,33,96,17,392,15,54,52,61,48,40,23,41,13,349,22,24,17,16,55,25,29,30,3,226,13,26,33,29,21,23,13,13,10,182,21,9,16,32,51,40,29,94,11,300,24,69,101,156,134,110,65,127,33,825,12,3,3,3,4,9,0,12,51,97,195,274,297,410,473,463,235,575,158,3087
SOSR401,1508,2229,2490,4257,10498,11575,9115,16200,456,58326,4998,9360,11266,14743,26266,22524,12126,16034,833,118145,1918,3895,4174,6331,17865,15501,8380,9327,925,68309,2951,13498,10455,13450,10411,6126,3447,3647,941,64919,2829,7601,8719,10991,23707,10867,5503,4133,578,74931,1732,15459,7588,7708,7851,4621,2904,3364,638,51853,929,1686,1930,2919,8042,4797,3410,4385,443,28543,1589,12597,7332,7670,10070,5450,2963,2948,899,51514,422,679,442,620,1505,1029,459,688,2189,8022,18870,67000,54395,68688,116212,82486,48295,60727,7893,524576
SOSR412,79,90,107,209,485,546,490,918,33,2961,228,288,466,604,1006,811,532,704,29,4659,175,238,251,375,1259,1056,669,853,70,4946,208,688,608,937,668,311,253,268,61,4001,140,406,463,623,1069,534,287,213,26,3759,127,979,518,624,539,242,188,191,40,3444,113,122,147,163,597,545,475,995,49,3207,154,926,526,544,679,489,284,259,70,3922,33,37,37,30,86,74,56,58,151,556,1258,3767,3120,4099,6383,4595,3246,4457,528,31455
SOSR413,155,205,207,371,705,815,724,1436,52,4666,373,667,838,1143,1480,1333,817,1285,68,7996,184,382,347,546,1304,1360,685,845,71,5729,251,1028,886,1185,900,520,306,376,76,5524,200,636,644,818,1401,572,323,280,31,4905,180,1348,710,774,663,331,270,285,48,4610,127,179,160,199,491,344,446,638,44,2632,251,1365,738,822,845,898,319,338,127,5699,27,61,40,45,97,71,48,58,199,656,1750,5867,4569,5887,7888,6243,3930,5547,723,42410
SOSR414,38,70,43,87,160,204,149,266,17,1039,76,101,141,185,185,180,124,197,7,1198,53,119,88,129,336,317,160,191,20,1416,75,230,193,258,151,81,53,58,8,1112,45,170,132,185,242,136,91,69,3,1066,39,223,156,159,129,101,69,67,10,955,28,49,33,53,131,117,80,157,12,662,68,344,189,242,424,307,119,94,18,1812,12,13,5,11,14,17,3,9,33,125,425,1312,988,1313,1784,1469,854,1116,134,9400
SOSR415,244,280,263,426,682,1032,730,1787,63,5509,338,474,683,851,1151,1148,794,1119,66,6624,269,430,435,610,1459,1546,862,1316,110,7032,291,1082,923,1211,762,509,246,355,93,5472,243,665,711,969,1205,682,337,330,41,5187,181,1072,673,754,639,365,317,299,42,4349,172,197,228,229,651,526,489,1102,65,3662,332,1542,797,932,1321,958,450,495,129,6959,54,43,31,45,98,83,43,84,225,714,2122,5792,4735,6047,7975,6849,4272,6883,840,45512
SOSR421,83,117,109,172,269,365,242,692,22,2069,103,156,237,309,302,320,189,312,21,1946,96,164,159,218,465,463,245,420,34,2265,83,339,295,335,195,122,89,101,29,1582,75,234,241,275,358,180,97,86,14,1554,55,303,178,189,151,107,90,98,20,1199,52,87,78,75,229,167,153,332,22,1196,79,456,255,311,358,261,167,191,41,2115,15,16,6,15,25,32,10,21,77,217,657,1876,1548,1892,2355,2016,1273,2245,278,14144
SOSR422,49,59,51,83,128,173,134,411,18,1115,54,98,97,158,165,177,90,133,10,987,55,92,78,114,247,290,137,212,14,1236,46,206,166,247,143,97,41,61,19,1035,50,127,107,133,163,96,60,38,0,770,24,155,102,101,78,63,37,51,9,611,35,51,47,64,119,125,97,246,11,783,68,296,147,182,222,199,93,111,19,1338,11,11,7,8,15,10,7,12,45,123,392,1099,790,1080,1274,1227,692,1285,149,7992
SOSR431,615,1061,922,1435,1387,2922,1789,7934,281,18338,553,853,1255,1419,1353,1490,857,1515,129,9423,342,634,603,905,1768,1881,1035,1770,158,9099,345,1241,1089,1269,724,491,293,381,97,5934,289,1176,1139,1306,1468,914,403,511,85,7297,182,1289,703,759,570,416,267,411,88,4688,226,302,272,376,715,737,536,1492,100,4748,373,1830,999,1190,1426,1473,651,1107,221,9277,88,100,70,82,109,131,33,150,323,1082,3009,8494,7062,8735,9530,10457,5871,15263,1470,69883
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR499,4,0,4,6,7,8,4,13,0,54,15,15,13,10,23,20,5,16,3,103,10,5,12,9,20,18,6,26,3,112,4,13,10,4,8,3,3,3,0,53,3,4,10,12,12,6,5,7,0,57,3,12,9,13,6,3,4,0,3,49,0,6,6,11,17,8,16,13,11,85,13,24,18,32,50,36,17,14,12,212,0,0,0,0,0,0,0,0,8,11,53,82,68,103,139,100,63,98,32,734
SOSR501,2616,3819,4447,6154,15171,23741,14782,29845,827,101408,7808,16440,18398,20523,36846,46579,21512,30510,1576,200198,4835,7381,7972,9880,28191,32906,16420,27616,2188,137393,4018,20070,16084,17106,14710,10987,5265,6739,1521,96505,4248,13781,15075,15299,31091,22986,9104,8470,1074,121136,2590,24213,13046,10742,11160,8688,4133,6149,1034,81754,2644,3428,3363,4425,11223,9176,6725,15211,1101,57296,2871,18732,12270,10226,11783,9263,4223,8273,1474,79117,671,1177,883,929,2022,2238,882,1819,3778,14396,32305,109042,91536,95287,162204,166574,83045,134635,14577,889202
SOSR511,96,113,96,203,409,555,408,846,25,2754,227,403,506,611,899,935,589,761,35,4962,259,273,279,360,1004,1335,952,1404,103,5975,129,632,611,765,509,302,155,206,47,3362,141,488,522,562,936,513,250,253,31,3696,131,975,492,481,475,260,179,217,48,3249,200,110,116,140,354,420,590,1028,40,3003,177,915,465,580,636,431,289,459,73,4017,37,31,22,31,64,77,39,76,125,504,1398,3936,3110,3733,5289,4821,3457,5238,529,31516
SOSR512,198,255,193,359,690,946,733,1694,51,5122,413,600,707,863,1399,1562,878,1334,44,7802,363,432,392,658,1539,1909,1324,2676,155,9447,289,1010,830,1255,915,743,376,449,99,5959,212,719,757,906,1490,976,416,443,62,5972,180,1391,661,746,868,507,330,336,73,5106,342,256,228,279,455,614,757,2399,113,5429,269,1404,815,843,689,658,378,702,150,5917,41,65,47,45,106,95,80,136,233,851,2304,6133,4630,5960,8151,8010,5273,10170,986,51617
SOSR513,123,82,63,138,378,518,384,1169,31,2901,242,223,280,371,752,899,497,832,39,4129,267,198,156,223,662,847,875,2076,81,5377,164,322,256,433,460,358,248,320,54,2617,186,266,268,382,777,587,325,456,39,3280,74,443,209,326,327,241,137,204,41,1994,139,107,72,115,227,288,449,1182,65,2640,139,422,287,367,315,309,229,583,55,2703,41,34,13,24,52,68,72,126,137,564,1372,2096,1605,2380,3939,4106,3213,6950,537,26200
SOSR514,62,74,92,113,221,289,201,413,17,1486,92,200,242,230,341,421,207,297,15,2045,173,153,182,224,521,627,398,651,49,2975,107,341,276,360,220,197,133,103,18,1760,65,261,237,256,365,249,106,96,12,1637,66,361,198,218,222,147,73,98,30,1422,86,70,69,69,128,134,321,459,30,1363,90,420,254,295,269,255,111,225,45,1959,9,13,12,13,32,19,20,26,72,212,744,1892,1560,1776,2337,2330,1558,2364,287,14850
SOSR515,184,164,153,218,400,669,490,1283,42,3611,297,360,425,486,784,1017,550,879,38,4832,406,368,350,456,980,1222,1108,1898,112,6906,254,614,509,733,642,482,287,404,64,3979,195,520,484,576,843,656,319,364,37,3991,114,648,395,433,446,337,183,206,52,2811,343,169,181,181,404,417,688,1797,96,4286,307,940,524,644,752,716,368,736,101,5082,61,43,19,34,60,87,36,109,196,639,2161,3831,3039,3751,5310,5601,4030,7675,739,36136
SOSR521,94,105,94,133,191,395,233,842,35,2124,137,164,176,208,321,397,239,384,26,2041,159,179,166,237,430,646,412,870,59,3160,107,302,260,339,276,253,135,174,55,1895,93,279,272,296,346,318,133,181,22,1947,48,270,168,198,148,156,88,103,13,1198,173,118,99,124,239,240,275,944,61,2258,150,454,295,311,291,338,198,376,59,2466,31,19,18,14,37,44,20,76,118,372,1000,1889,1544,1860,2276,2777,1734,3947,444,17460
SOSR522,38,64,48,72,99,134,118,457,12,1045,59,88,93,102,158,201,98,183,14,988,57,81,73,97,195,223,153,331,26,1235,43,116,125,203,121,139,52,92,24,919,28,122,90,125,158,110,40,67,4,746,20,92,47,63,56,56,48,52,5,443,54,50,34,46,111,112,111,371,20,908,45,191,108,130,133,164,76,145,35,1030,10,8,12,5,16,13,11,31,76,182,372,819,618,844,1050,1161,700,1720,211,7494
SOSR531,765,1113,1054,1326,1025,2648,1695,8865,302,18792,526,996,1136,1211,1203,1527,912,2291,109,9915,775,711,770,914,1610,2241,1386,5843,239,14491,308,1049,928,1034,730,673,318,591,98,5729,321,1312,1169,1209,1268,1103,501,908,92,7882,148,1152,623,634,517,451,254,437,67,4282,617,429,372,384,695,782,861,4584,180,8905,479,1586,895,1017,863,1222,665,2902,189,9821,93,124,63,72,110,134,63,310,374,1342,4041,8465,7019,7793,8021,10784,6647,26736,1657,81157
SOSR579,3,0,0,0,0,0,0,8,0,11,0,0,3,0,3,5,3,64,0,78,3,0,0,0,3,0,0,71,0,87,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,35,0,0,5,0,0,3,3,79,3,100,0,3,0,0,0,0,0,9,0,9,16,12,11,0,4,14,11,274,4,334
SOSR599,17,7,4,3,4,16,9,48,3,104,29,26,14,20,25,44,25,58,3,235,27,21,19,15,40,35,21,161,11,349,9,20,25,18,19,17,12,34,7,162,7,15,10,9,20,16,16,21,0,114,5,17,14,11,17,11,8,5,3,90,19,15,15,16,24,24,18,139,3,276,12,35,48,44,48,56,25,114,10,386,10,4,3,3,0,6,0,8,24,58,140,151,146,136,200,222,136,587,60,1773
SOSR603,250,367,404,661,1588,1748,1237,2472,59,8793,872,1546,2013,2706,4109,3303,1784,2353,111,18803,248,661,587,903,2436,2536,1146,1122,117,9756,451,2143,1669,2105,1514,923,558,663,138,10163,522,1150,1380,1631,3813,1675,821,676,71,11729,325,2392,1109,1029,1242,667,406,419,89,7678,116,283,254,308,732,546,461,464,82,3250,283,1879,1028,1011,1176,787,344,366,128,7017,89,106,104,105,284,181,59,108,299,1331,3151,10529,8546,10459,16884,12373,6820,8651,1096,78514
SOSR611,103,113,145,244,583,639,502,1005,33,3361,334,537,701,857,1372,1207,663,950,41,6659,128,284,250,358,1136,1010,484,482,55,4182,219,895,777,861,598,362,198,209,59,4179,171,471,501,677,1151,636,259,233,18,4116,137,1034,521,567,617,348,211,239,29,3713,77,137,151,180,494,338,280,318,34,2013,121,866,518,565,669,351,141,167,73,3475,22,46,20,41,84,55,27,43,154,486,1316,4381,3587,4350,6711,4951,2758,3632,498,32194
SOSR612,25,38,31,59,128,150,129,234,9,796,58,110,115,172,238,236,112,165,12,1216,44,95,72,112,279,317,176,190,15,1310,81,206,223,280,172,75,56,66,21,1185,53,116,130,147,298,156,73,77,9,1058,33,321,157,159,152,64,51,72,12,1024,37,53,56,65,137,137,111,141,8,742,73,288,199,219,217,140,85,93,27,1342,4,13,10,13,18,25,8,15,41,142,406,1247,987,1226,1640,1303,808,1047,158,8822
SOSR613,33,41,50,97,181,211,160,323,3,1094,71,158,182,274,408,353,189,246,18,1895,71,101,91,149,465,417,255,269,18,1830,89,284,312,360,240,150,71,91,32,1640,72,181,181,237,402,199,98,121,5,1504,55,421,238,222,215,108,77,76,15,1433,47,66,48,81,187,149,139,231,14,955,88,435,206,205,320,225,127,113,29,1756,8,10,18,6,45,38,11,16,56,213,540,1701,1326,1625,2462,1842,1130,1481,204,12309
SOSR614,12,8,9,21,64,61,41,94,4,323,21,30,33,54,100,62,34,50,5,394,16,38,35,41,154,189,69,83,11,630,41,90,109,161,92,40,30,41,11,610,23,41,74,70,110,40,31,21,3,408,21,127,69,61,89,23,15,9,7,436,27,17,19,28,69,68,75,84,6,392,21,123,77,84,107,79,31,43,19,590,6,6,3,6,16,4,8,7,24,84,191,485,433,527,797,564,343,440,83,3870
SOSR615,92,104,106,171,446,499,320,728,24,2494,164,232,365,452,640,522,277,388,23,3071,128,211,253,312,888,925,504,515,60,3793,142,575,564,690,391,239,149,175,38,2975,132,305,377,502,809,425,222,189,17,2973,107,651,405,396,415,227,116,150,35,2500,83,102,130,156,417,349,326,454,44,2061,189,701,416,468,615,418,199,220,76,3314,20,38,29,39,78,54,27,35,118,437,1059,2920,2644,3202,4692,3662,2135,2857,445,23622
SOSR621,46,67,43,73,139,189,116,332,10,1018,73,137,173,183,203,207,110,172,14,1278,58,82,81,118,229,288,132,195,22,1200,54,158,159,193,116,73,49,56,9,874,47,118,125,127,198,106,60,46,6,845,33,198,105,101,101,76,32,45,10,701,30,38,40,33,98,87,111,151,8,589,60,264,139,153,181,152,56,100,29,1118,16,9,5,7,19,20,5,16,54,152,417,1067,861,1000,1280,1194,668,1115,172,7766
SOSR622,29,23,30,44,67,91,66,159,3,517,41,59,92,104,106,103,60,91,9,657,31,59,50,86,161,160,88,96,16,747,33,104,108,119,54,46,21,38,13,536,28,77,87,77,145,76,33,34,0,554,26,99,55,56,58,35,17,34,3,389,13,14,29,40,85,82,71,92,11,436,35,150,71,111,100,118,43,63,17,692,3,11,7,15,14,15,7,8,21,87,237,602,523,642,787,722,405,605,98,4621
SOSR631,310,521,476,641,796,1385,783,2991,149,8058,364,657,968,1037,1140,1043,533,931,68,6737,251,477,477,652,1437,1581,754,997,117,6743,261,875,952,1003,572,325,243,268,67,4563,251,705,739,831,1190,652,260,309,50,4983,141,994,580,526,494,299,181,234,54,3505,181,219,230,248,570,595,473,752,87,3347,290,1206,705,732,957,831,388,572,132,5814,51,62,58,43,123,82,47,110,255,832,2077,5724,5188,5715,7267,6795,3659,7162,982,44577
SOSR679,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,4,4,0,0,0,9,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
SOSR699,0,3,0,0,3,4,0,6,0,17,3,0,3,3,3,12,8,10,0,49,0,3,0,3,8,13,3,4,0,38,3,3,7,7,8,0,0,0,5,33,0,5,3,3,7,3,0,0,0,27,0,3,4,4,0,0,0,0,0,14,0,4,3,0,5,0,0,3,0,20,0,8,10,4,5,7,0,6,0,54,0,0,0,0,0,0,0,0,0,3,14,38,27,28,45,38,17,39,10,247
SOSR703,263,144,169,298,1233,1596,1087,2647,70,7519,625,560,579,1001,2820,2826,1386,2612,123,12530,381,325,322,436,1982,2104,1249,3271,197,10275,421,718,818,865,1609,1371,888,1178,167,8042,379,462,513,800,3028,1858,765,1012,110,8922,137,983,612,600,928,518,298,444,84,4605,134,109,174,215,707,552,393,1079,78,3443,169,663,639,619,812,672,328,1276,148,5337,83,48,39,58,209,189,82,227,347,1275,2588,4015,3872,4900,13335,11687,6478,13744,1335,61953
SOSR712,55,44,30,61,289,289,212,435,13,1428,141,106,136,226,794,754,348,420,28,2956,42,35,39,70,340,360,222,307,16,1436,87,129,158,203,537,342,172,327,35,1989,71,96,90,165,634,325,153,127,17,1686,36,170,75,104,196,83,75,84,14,840,27,26,32,40,109,68,52,129,15,493,28,131,73,135,197,167,75,105,22,944,14,8,6,8,56,58,25,42,60,278,509,749,639,1029,3147,2448,1321,1977,228,12045
SOSR714,9,4,0,7,70,56,41,106,0,296,30,16,32,32,143,99,47,108,7,522,24,12,6,15,79,91,49,90,9,379,30,22,30,55,98,87,44,74,14,454,24,13,10,31,123,61,30,48,3,342,3,38,9,21,41,13,18,27,10,178,6,13,3,11,14,18,12,49,3,133,11,33,17,21,64,38,17,42,7,260,0,0,0,0,10,13,5,8,11,62,133,151,113,196,661,480,271,552,56,2620
SOSR715,20,10,12,12,95,74,55,180,4,468,51,66,73,92,328,272,89,153,18,1140,16,33,23,31,101,118,109,103,3,544,42,93,68,99,237,139,29,88,26,828,26,24,18,51,215,102,42,55,8,546,11,51,25,35,66,35,8,24,12,265,17,13,10,14,45,26,57,45,4,235,15,76,33,61,93,68,28,63,31,465,6,20,13,10,21,11,5,9,147,245,200,396,271,410,1205,850,435,718,252,4731
SOSR721,20,3,11,22,57,98,48,178,11,448,46,46,52,71,193,206,86,174,24,888,32,15,26,33,84,128,55,176,15,564,36,70,69,106,159,170,52,120,27,801,20,24,28,38,119,96,39,60,13,435,5,23,25,26,47,56,20,25,5,239,27,20,11,25,32,47,18,100,9,283,14,42,27,49,71,132,25,76,9,450,17,18,7,8,18,16,8,15,112,216,217,262,262,380,774,948,351,916,217,4320
SOSR722,16,15,10,14,70,59,29,121,3,328,35,45,34,56,110,138,46,83,12,559,13,11,27,29,64,54,16,42,7,257,23,57,72,103,136,68,30,44,14,551,19,17,20,37,87,43,8,24,4,254,6,23,18,19,33,19,9,3,0,134,3,16,11,20,18,23,9,43,3,150,9,34,37,49,83,60,20,43,10,351,9,16,10,13,18,11,7,8,33,113,120,231,240,337,621,472,184,411,92,2708
SOSR731,73,58,56,91,255,371,197,855,40,1996,126,126,150,192,401,395,183,346,33,1952,122,101,94,145,420,567,306,814,61,2615,85,123,139,194,281,252,130,191,33,1426,106,119,150,186,545,368,151,233,25,1880,23,157,91,93,123,94,58,78,12,735,57,39,46,70,166,132,88,456,29,1084,73,162,150,156,200,256,114,544,59,1713,21,8,15,22,49,30,12,68,106,340,688,905,887,1150,2426,2458,1240,3586,400,13740
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,14,10,28
SOSR799,9,3,3,0,9,6,10,9,0,41,17,3,14,7,19,13,11,29,0,108,7,3,3,0,9,32,14,45,0,104,12,5,4,13,14,16,8,13,5,84,4,4,3,3,4,3,4,7,0,34,4,4,0,5,11,3,0,5,0,32,7,0,3,0,6,5,4,36,0,63,0,4,9,9,16,13,5,39,5,104,0,0,0,0,3,3,0,0,3,15,52,28,40,30,78,93,56,175,18,574
SOSR802,1277,851,1156,2063,5902,7460,5340,8368,223,32635,2775,3804,3926,5744,15524,15033,7043,8224,480,62555,507,1057,1059,1408,4672,5120,2339,3118,252,19538,922,4668,3164,3100,3653,2443,1419,1782,428,21586,1695,2466,2782,3721,11443,6789,3000,2370,287,34551,513,4456,2099,1765,2001,1228,692,918,238,13914,166,475,340,426,780,872,596,914,96,4673,321,2482,1684,1311,1624,1305,573,784,221,10307,264,258,222,335,1222,1055,421,547,780,5112,8435,20517,16438,19883,46826,41307,21416,27033,3009,204869
SOSR822,0,0,0,0,0,0,4,18,0,25,0,3,3,3,0,3,4,4,0,22,0,3,0,3,0,3,0,3,0,12,0,9,3,0,0,0,4,0,0,15,3,3,6,0,9,3,0,0,0,20,0,4,4,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,25,12,16,15,13,10,29,3,130
SOSR831,3,7,7,8,6,16,10,35,0,94,7,5,6,14,11,18,10,17,0,86,3,0,3,5,12,22,3,18,0,72,0,10,3,5,12,9,3,7,0,50,7,3,4,7,23,9,4,3,0,62,0,8,6,0,4,0,0,0,0,21,0,3,0,0,0,0,0,6,0,14,5,0,0,0,3,9,0,3,4,23,0,0,0,0,0,3,0,0,0,8,24,33,33,50,76,81,40,82,8,424
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,6,0,7,3,21,3,9,3,4,5,13,6,7,0,57,0,0,0,0,5,10,0,4,0,14,3,5,0,8,8,3,0,5,0,34,3,9,0,3,11,5,0,0,0,28,0,4,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,3,0,3,3,3,3,0,0,20,0,0,0,0,0,0,0,0,3,6,9,28,14,22,35,46,12,35,6,202
SOSR915,6,6,4,3,34,17,14,23,0,100,3,4,5,6,32,21,8,4,0,85,7,6,12,14,36,30,25,25,0,145,7,10,3,13,16,8,30,28,3,120,12,7,11,9,38,20,4,6,0,103,3,0,3,0,3,0,0,0,0,13,5,6,3,3,34,13,13,22,3,101,13,19,9,7,46,21,10,9,7,132,0,4,0,0,4,0,3,3,3,19,55,60,48,55,228,129,105,120,17,820
SOSR921,5,3,0,7,7,20,8,24,3,78,0,5,0,5,13,18,3,3,0,44,3,4,3,6,19,7,16,11,3,77,3,4,7,10,11,4,0,3,0,49,8,0,3,6,10,6,5,3,0,37,0,3,6,14,12,4,11,7,0,53,0,3,0,0,10,0,0,3,0,17,3,13,8,25,21,3,3,0,0,76,0,0,0,0,0,3,0,0,3,7,24,44,34,60,99,62,47,52,11,436
SOSR922,3,3,0,0,3,3,5,44,3,64,9,5,0,4,0,11,4,9,3,45,3,3,0,3,12,9,3,9,3,40,3,7,6,7,7,5,11,10,3,54,0,0,3,5,9,0,0,12,0,33,0,8,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,6,6,20,3,7,0,3,9,4,0,9,7,39,0,3,0,0,0,0,0,3,0,12,23,38,10,26,46,37,26,94,20,321
SOSR931,0,4,3,17,14,14,15,20,3,92,0,9,9,3,10,17,5,10,0,67,4,10,4,3,36,22,9,15,3,112,3,10,16,10,13,12,5,3,0,76,3,8,6,15,24,14,7,5,0,83,0,11,7,9,7,4,3,4,0,59,0,4,3,7,3,4,3,0,0,25,3,7,5,6,15,6,0,4,0,48,0,0,0,0,4,3,0,3,3,12,20,65,54,70,125,104,52,70,16,573
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
