SOSR_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
SOSR179,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
SOSR199,..,0,0,0,0,0,8,3,25,9,40,..,0,4,0,3,4,0,10,17,9,41,..,0,0,0,0,0,0,0,18,3,25,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,3,0,10,37,10,70,..,0,0,0,0,0,0,0,0,0,0,..,3,7,0,3,3,3,16,56,23,112,18,10,11,3,3,7,11,88,61,9,218,5,12,24,7,11,15,26,86,83,27,295,0,0,3,3,0,9,15,12,16,11,65,0,0,0,0,0,0,0,0,0,0,0,5,12,20,9,11,21,49,96,99,34,359,0,0,0,0,0,0,0,0,0,16,17,22,23,29,11,17,24,58,184,165,60,594,37,8,13,3,9,7,22,48,55,18,220,45,14,64,22,23,17,55,91,124,37,489,3,0,8,0,0,6,15,21,11,17,86,0,0,0,0,0,0,0,0,0,0,0,45,14
SOSR201,..,2728,9218,2650,2929,2583,2347,2542,1269,1440,27699,..,2646,14426,4191,5077,6345,5389,5015,2020,1880,46982,..,26,185,169,364,974,1542,2831,2781,1195,10070,..,13,74,15,35,65,60,115,99,77,548,..,2683,14685,4381,5479,7383,6992,7958,4902,3148,57605,..,8,19,13,10,9,12,30,49,146,309,..,5423,23927,7045,8418,9983,9344,10529,6215,4735,85614,5866,9556,6907,1276,1545,1465,1903,2650,2318,1294,34789,5790,13464,20897,5831,7873,10714,15428,18217,12935,4618,115759,51,327,640,374,783,1485,2145,3116,2567,1487,12973,34,84,117,28,40,57,96,92,76,63,684,5876,13872,21653,6236,8685,12253,17677,21426,15571,6168,129412,8,27,24,3,5,8,20,23,11,272,403,11752,23460,28585,7511,10242,13725,19593,24093,17902,7734,164611,19150,7104,13565,4257,4683,4372,4111,4021,2331,1877,65479,25386,28093,72524,11297,14257,16038,17080,16359,9101,4472,214597,282,1458,5186,1407,2253,3094,2451,2902,1907,1294,22226,196,151,451,58,98,115,101,98,50,84,1403,25859,29696
SOSR203,..,71,233,72,61,61,71,56,33,31,688,..,42,247,66,87,153,89,97,38,34,852,..,0,3,3,4,28,30,64,71,32,235,..,0,0,0,0,4,0,6,3,0,13,..,42,247,71,99,177,122,167,117,66,1100,..,0,0,0,0,0,0,0,3,0,7,..,108,485,141,154,242,188,228,152,98,1801,116,205,187,40,16,21,48,55,45,30,754,58,176,350,61,130,184,205,266,194,57,1679,0,3,6,6,12,32,23,45,28,25,187,3,5,0,3,0,0,0,3,5,0,16,61,183,351,73,146,214,228,316,233,81,1886,0,0,0,0,0,0,0,0,0,8,9,180,385,536,108,162,239,271,368,275,116,2651,372,121,241,64,69,58,63,61,37,59,1146,213,212,1026,165,219,242,225,257,142,62,2752,3,4,76,26,27,57,27,41,35,14,301,4,0,6,0,0,3,0,0,0,6,18,219,222
SOSR211,..,100,346,103,111,89,103,78,34,72,1027,..,107,563,83,124,133,117,110,55,57,1360,..,0,11,4,7,26,33,65,73,18,239,..,0,3,0,0,0,0,3,0,6,13,..,107,582,88,130,162,151,175,129,85,1612,..,0,0,3,0,0,0,3,3,3,12,..,210,926,192,246,247,255,255,166,159,2653,203,296,267,44,52,34,35,33,19,54,1031,99,364,546,98,93,132,130,147,136,79,1828,0,5,24,8,7,22,33,39,49,29,224,4,7,7,3,3,0,0,0,3,3,26,110,368,577,108,106,156,160,185,183,116,2073,0,0,3,0,0,0,0,0,0,5,14,310,669,847,157,155,190,195,224,209,173,3117,505,148,271,66,86,74,51,73,29,54,1355,279,441,1496,214,238,238,203,207,116,62,3484,4,12,137,30,30,40,44,40,23,8,374,0,3,11,0,3,0,3,3,0,3,29,286,457
SOSR212,..,66,186,70,63,53,53,44,28,34,589,..,55,284,76,65,139,88,82,26,42,869,..,0,3,0,3,11,35,43,65,20,182,..,0,0,0,0,0,0,0,0,0,4,..,61,292,80,71,149,125,131,92,67,1055,..,0,0,0,0,0,3,3,0,0,8,..,121,471,148,133,201,185,180,118,100,1659,98,208,137,23,28,19,18,41,8,32,607,79,241,389,58,52,115,107,107,77,37,1253,3,4,13,6,5,14,31,50,72,48,250,0,3,3,0,0,0,0,0,0,0,14,81,248,403,62,56,129,135,159,152,83,1513,0,3,0,0,0,0,0,0,3,0,9,180,460,540,85,80,154,156,198,162,120,2129,290,108,187,62,46,44,42,47,28,28,894,205,232,854,113,178,172,184,183,107,74,2319,3,39,108,24,45,46,95,135,84,82,665,0,4,11,0,3,0,0,5,3,3,28,206,276
SOSR213,..,66,314,84,78,83,62,65,27,53,827,..,26,180,45,54,53,48,56,14,26,508,..,0,4,0,3,4,11,26,15,13,78,..,0,0,0,0,3,0,0,0,4,8,..,26,188,50,58,60,54,86,32,39,589,..,0,0,0,0,0,0,0,0,3,4,..,95,502,131,138,139,114,149,59,89,1422,137,216,194,26,30,13,18,22,17,27,698,26,113,209,36,54,41,42,50,19,22,614,0,3,3,0,11,5,7,16,7,12,61,0,0,0,0,0,0,0,3,0,0,5,33,116,213,36,59,50,43,67,25,31,683,0,0,0,0,0,0,0,0,0,0,7,169,331,406,67,91,61,65,91,43,66,1385,386,161,273,53,68,52,47,26,25,55,1143,117,150,692,107,110,132,139,125,41,40,1654,4,9,30,5,17,15,29,28,18,21,172,0,3,3,3,0,0,0,0,0,3,11,120,159
SOSR214,..,44,148,26,26,32,23,19,10,16,364,..,8,73,24,36,28,29,23,8,12,253,..,0,0,0,3,0,3,3,17,3,27,..,0,0,0,0,0,0,0,0,0,3,..,11,77,24,40,35,36,29,21,15,280,..,0,0,0,0,0,0,0,0,3,7,..,55,222,53,66,68,59,55,31,36,650,54,112,80,12,13,9,12,15,6,17,330,4,37,71,27,16,33,29,54,50,69,389,0,0,3,0,0,0,13,41,32,40,133,0,0,0,0,0,0,0,0,0,0,0,4,42,75,24,21,29,41,91,79,111,526,0,0,0,0,0,0,0,0,0,21,21,63,156,158,34,38,42,52,105,85,150,880,159,67,116,23,32,31,28,7,12,29,508,52,53,337,53,65,67,74,55,30,17,797,0,4,19,11,13,10,24,47,19,23,161,0,0,4,0,0,0,0,0,0,0,5,52,63
SOSR215,..,56,239,40,59,60,34,39,10,41,575,..,14,94,26,25,30,26,33,13,18,283,..,0,0,0,0,3,7,6,5,12,38,..,0,0,0,0,0,0,4,0,0,7,..,14,100,26,25,35,38,50,19,30,329,..,0,0,3,0,0,0,0,0,3,7,..,70,332,63,85,90,70,89,34,79,907,110,181,100,25,19,12,15,25,15,31,529,22,49,104,15,12,26,29,42,26,17,338,3,0,3,0,3,3,9,22,20,12,75,0,0,0,0,0,0,0,0,0,0,3,25,49,105,13,10,33,40,63,46,34,415,0,0,0,0,0,0,0,0,0,0,0,136,226,208,40,27,44,55,87,60,65,944,316,107,191,44,52,45,47,38,21,37,892,84,89,403,52,78,97,77,87,53,25,1049,0,6,43,6,14,15,31,29,26,23,206,0,0,4,0,0,0,5,0,0,0,15,86,99
SOSR221,..,17,44,6,9,8,21,7,6,13,130,..,0,16,7,7,6,3,8,6,4,48,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,16,7,7,5,0,8,5,4,53,..,0,0,0,0,0,0,0,0,3,3,..,19,57,16,12,19,20,10,16,18,185,14,38,18,0,5,4,6,9,0,3,100,0,3,9,4,3,4,5,6,3,3,30,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,5,7,3,0,38,0,0,0,0,0,0,0,0,0,0,0,14,47,26,4,6,5,14,12,3,8,136,79,22,48,14,12,17,15,4,3,12,215,16,9,47,10,11,20,21,13,8,5,158,0,0,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,16,9
SOSR222,..,7,27,6,13,15,5,10,4,3,92,..,3,15,3,7,6,4,4,3,5,42,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,15,3,7,6,6,3,4,8,46,..,0,0,0,0,0,0,0,0,0,0,..,15,43,15,16,18,9,10,7,5,139,20,22,8,4,5,0,5,7,3,6,71,0,7,11,0,3,5,0,0,4,8,46,0,0,0,0,0,0,0,3,3,3,15,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,3,5,6,4,11,9,57,0,0,0,0,0,0,0,0,0,0,0,21,22,20,4,6,3,6,14,14,21,128,52,11,27,6,4,6,3,7,3,4,129,12,11,31,12,8,16,18,7,7,23,143,0,0,3,0,0,0,6,11,14,0,40,0,0,0,0,0,0,0,0,0,0,0,12,11
SOSR231,..,127,386,79,76,68,59,50,28,79,962,..,20,142,48,40,38,37,67,49,27,470,..,0,3,0,0,0,7,26,22,13,71,..,0,0,0,0,0,0,0,0,0,4,..,20,142,48,42,45,50,90,65,44,549,..,0,0,0,0,0,0,0,0,4,8,..,149,531,130,121,116,107,143,103,126,1522,192,352,265,37,28,23,32,38,29,54,1058,40,85,162,27,35,34,60,71,72,36,627,3,0,4,0,10,7,9,12,23,31,96,0,0,0,0,0,0,0,0,0,4,10,46,85,166,28,41,39,69,86,99,73,732,0,0,0,0,0,0,0,0,0,75,80,239,436,434,68,71,68,101,127,125,204,1870,427,183,346,83,73,79,48,46,17,47,1342,178,157,604,98,122,107,113,104,71,66,1626,0,7,36,9,8,13,27,39,15,31,182,0,4,3,0,0,0,0,0,0,0,11,185,173
SOSR279,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,0,3,5,0,3,0,0,13,0,20,..,0,10,3,0,0,0,0,3,5,29,..,0,0,0,0,0,3,0,29,7,42,..,0,0,0,0,0,0,0,0,3,3,..,0,10,3,0,0,4,3,36,13,69,..,0,0,0,0,0,0,0,0,0,0,..,0,14,8,0,7,5,3,48,11,94,4,18,8,0,4,7,9,28,31,9,104,0,11,19,3,21,21,23,37,76,22,234,0,0,0,0,0,3,8,15,19,12,66,0,0,0,0,0,0,0,0,0,3,3,0,11,16,9,21,28,33,52,94,36,305,0,3,0,0,0,0,0,3,0,7,22,8,33,24,7,20,32,37,80,122,55,430,21,10,23,5,8,10,11,40,50,17,194,20,28,53,10,14,11,30,58,71,24,319,3,0,3,0,0,0,12,24,27,10,85,0,0,0,0,0,0,0,0,0,0,0,26,30
SOSR301,..,2017,8115,2197,2385,2013,1606,1584,727,1050,21686,..,899,5654,1753,1941,2118,1789,1494,738,699,17081,..,13,91,56,147,335,493,902,1055,396,3489,..,4,32,9,20,19,27,33,33,28,214,..,919,5780,1817,2101,2477,2304,2432,1835,1126,20785,..,3,29,4,10,9,12,8,16,57,143,..,2942,13918,4015,4496,4495,3916,4026,2578,2225,42610,4763,8526,7442,1161,1223,1080,1066,1202,1008,1001,28472,2138,4829,8042,1884,2454,3350,4134,4956,3792,1490,37065,25,103,152,103,146,340,546,883,1036,639,3987,24,37,45,15,14,20,11,29,27,37,257,2188,4973,8233,2002,2617,3712,4696,5867,4852,2172,41305,7,13,17,5,4,5,6,7,14,160,240,6951,13520,15699,3166,3843,4795,5768,7073,5875,3328,70020,12183,5316,8729,2399,2396,1996,1778,1646,1015,1141,38605,7234,7559,20321,3607,4333,5114,5435,5180,2977,1508,63268,92,353,1370,415,626,974,878,1095,870,728,7390,37,50,139,19,18,39,26,36,17,26,399,7366,7953
SOSR302,..,585,2687,694,756,639,579,461,321,393,7119,..,138,826,222,295,275,387,248,101,143,2631,..,0,5,4,19,38,68,114,122,59,432,..,0,8,8,4,0,3,7,0,3,22,..,143,840,229,314,313,451,368,227,210,3091,..,0,3,0,0,0,0,3,8,18,36,..,731,3534,925,1069,954,1031,833,546,620,10247,1294,2582,2793,439,432,381,394,450,372,359,9505,358,816,1106,254,371,571,849,900,624,315,6179,4,18,16,12,29,68,105,179,182,136,746,0,4,0,0,0,4,3,6,0,6,37,366,841,1129,266,406,648,961,1085,804,455,6957,3,0,7,3,0,0,0,0,0,25,35,1668,3426,3926,704,835,1035,1356,1532,1176,834,16496,3259,1885,3252,808,788,662,611,574,343,381,12563,1062,1168,3390,582,723,899,1078,1008,532,320,10750,7,45,190,59,89,107,155,192,171,145,1170,4,7,26,0,0,3,8,8,3,3,64,1070,1220
SOSR303,..,523,2045,526,557,527,424,428,235,229,5499,..,139,1036,280,341,418,344,412,186,90,3239,..,3,19,15,23,67,104,170,155,97,653,..,3,7,0,0,0,0,8,0,0,22,..,139,1062,296,362,478,449,587,342,191,3915,..,0,10,0,3,0,0,0,6,6,28,..,666,3117,819,926,1003,875,1018,579,430,9444,831,1729,1861,256,286,225,235,277,223,205,6130,182,648,1202,264,300,414,440,523,462,218,4638,3,13,12,8,21,48,47,77,103,61,401,0,4,11,0,3,0,0,4,0,0,28,186,664,1220,276,321,462,494,597,570,280,5066,0,3,3,0,0,0,0,3,3,12,30,1016,2393,3092,528,611,684,728,874,795,503,11222,2313,1089,1822,487,494,438,381,389,216,238,7870,568,672,2808,527,674,826,791,724,394,215,8207,13,50,162,55,78,121,121,155,105,121,984,3,7,18,7,8,10,8,4,3,6,68,591,733
SOSR311,..,106,448,131,134,86,67,56,42,54,1119,..,21,368,90,121,128,127,91,38,33,1017,..,3,3,0,3,5,14,56,23,16,133,..,0,0,0,0,0,3,0,4,0,8,..,25,374,95,125,134,152,145,68,50,1158,..,0,0,0,0,0,3,0,0,3,10,..,126,818,219,252,222,216,199,114,105,2289,162,367,392,64,64,43,35,51,54,57,1293,21,112,399,77,63,83,82,111,58,39,1044,0,0,4,3,14,9,12,22,25,31,118,0,0,3,0,0,0,0,0,3,0,9,21,112,411,84,75,89,93,128,88,78,1168,0,0,0,0,0,0,0,0,0,3,5,179,477,800,143,137,131,122,182,150,137,2466,517,218,427,105,125,65,73,94,37,76,1727,108,168,824,160,228,204,182,182,116,72,2249,4,12,82,13,65,24,33,62,38,58,391,0,0,6,3,0,0,3,0,5,3,18,110,184
SOSR312,..,17,103,46,46,47,35,27,8,14,343,..,4,100,24,55,40,53,40,18,13,353,..,0,0,0,0,0,6,12,20,4,50,..,0,0,0,0,0,0,0,0,0,6,..,4,103,28,56,40,64,58,40,17,402,..,0,0,0,3,0,0,0,0,0,7,..,18,203,69,107,86,100,86,53,33,754,38,61,84,18,18,23,20,17,10,17,304,6,9,64,20,12,20,29,20,11,12,211,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,7,6,13,64,23,18,22,26,20,13,14,221,0,0,0,0,0,0,0,0,0,4,3,46,70,149,38,38,49,49,38,20,30,523,125,55,117,29,32,44,27,17,7,11,475,26,29,198,52,70,48,58,43,20,9,559,0,0,8,0,3,0,3,3,10,6,33,0,0,0,0,0,0,0,0,0,0,7,26,35
SOSR313,..,87,339,112,128,70,56,52,33,43,921,..,16,142,43,87,59,55,43,13,35,489,..,0,0,0,4,0,9,12,11,3,41,..,0,3,0,0,0,0,0,0,0,3,..,16,148,45,85,58,63,57,31,40,536,..,0,0,3,0,0,0,0,3,0,6,..,105,485,167,217,126,115,108,65,85,1464,129,235,276,56,68,55,26,28,24,31,915,11,57,186,35,49,45,49,30,26,20,520,0,0,0,0,0,3,5,6,8,13,34,0,3,0,0,0,0,0,0,0,0,4,11,60,186,35,52,48,56,42,28,28,557,0,3,0,0,0,0,0,0,0,3,6,137,297,462,89,115,105,85,68,54,65,1480,396,164,335,106,114,72,50,49,20,42,1356,69,86,396,79,104,101,99,79,60,26,1095,3,5,14,6,3,6,5,22,16,15,94,0,0,0,0,3,3,0,0,0,0,12,70,96
SOSR314,..,92,388,98,93,100,64,54,29,49,969,..,18,138,52,47,65,67,39,11,36,471,..,0,0,3,3,7,9,30,18,6,78,..,0,0,0,0,0,0,0,0,0,0,..,18,138,52,47,72,81,62,33,44,550,..,0,0,0,0,0,0,3,3,0,13,..,113,529,148,137,174,146,127,64,95,1528,107,255,275,47,37,56,54,72,54,32,981,17,51,180,40,59,57,81,116,84,62,753,0,7,8,4,12,7,22,70,33,80,249,0,0,0,0,0,0,0,4,0,0,7,24,51,191,40,68,73,100,192,120,147,1005,0,0,0,0,0,0,0,3,3,3,11,129,309,464,84,110,122,155,262,175,184,2000,413,175,363,100,100,88,74,84,40,67,1501,80,73,555,110,121,161,166,216,91,102,1659,3,11,43,16,38,55,82,205,58,137,652,0,0,3,0,0,0,3,0,3,3,19,84,86
SOSR315,..,110,394,114,103,88,98,35,15,52,1017,..,30,147,62,76,47,57,68,19,12,510,..,0,0,3,3,0,19,13,16,4,59,..,0,0,0,0,0,0,0,0,5,4,..,30,152,67,82,53,70,79,35,18,580,..,0,0,0,0,0,0,3,4,6,4,..,134,549,174,183,143,168,120,50,77,1602,156,326,268,46,44,49,57,80,42,53,1117,29,54,142,56,54,30,64,88,73,48,627,0,5,9,3,0,8,17,39,38,31,151,0,0,0,0,0,0,0,0,3,3,4,28,55,147,61,57,37,74,126,115,81,788,0,0,0,0,0,0,0,0,0,27,27,181,384,417,108,99,86,130,205,154,160,1931,550,245,447,115,105,112,81,80,34,79,1858,96,90,465,95,139,151,161,198,103,80,1576,7,14,55,6,20,25,47,102,49,59,379,4,0,3,0,0,0,0,0,3,12,25,110,102
SOSR321,..,31,153,32,30,35,15,15,13,24,352,..,9,24,15,13,15,8,15,6,0,101,..,0,0,0,0,0,0,3,5,3,11,..,0,0,0,0,0,0,0,0,0,0,..,9,24,15,13,15,8,17,8,7,120,..,0,0,0,0,0,0,0,3,0,3,..,43,178,40,48,54,26,30,26,34,472,55,117,138,11,15,15,11,19,17,14,414,11,22,42,10,5,5,15,17,6,7,147,0,0,0,0,0,0,0,6,5,4,19,0,0,0,0,0,0,0,0,0,0,3,12,24,42,10,4,11,15,22,14,15,161,0,0,0,0,0,0,0,0,0,7,8,70,143,176,26,22,27,25,41,32,37,589,172,73,120,28,23,24,19,18,7,24,513,24,10,88,22,23,17,34,16,18,13,271,0,0,10,0,0,3,3,5,5,0,28,0,0,0,0,0,0,0,0,0,0,3,24,11
SOSR322,..,7,38,11,15,4,3,10,4,10,97,..,0,12,3,3,0,8,3,3,13,37,..,0,0,0,0,0,0,0,0,4,4,..,0,0,0,0,0,0,0,0,0,0,..,0,12,3,3,3,8,3,3,15,41,..,0,0,0,0,0,0,0,0,0,3,..,7,50,12,24,5,10,11,8,21,145,19,23,26,3,8,4,4,13,3,4,113,4,4,9,0,0,0,3,4,0,4,45,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,3,5,4,6,51,0,0,0,0,0,0,4,0,0,0,4,24,33,42,9,8,11,12,18,13,11,165,63,26,43,6,9,8,9,12,3,15,184,9,8,32,3,9,13,5,10,5,13,120,0,0,0,0,0,3,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,9,12
SOSR331,..,218,613,136,125,101,95,50,39,93,1467,..,24,158,48,49,55,42,39,13,23,451,..,0,3,0,0,3,6,12,19,3,53,..,0,4,0,0,0,0,0,0,0,5,..,24,165,48,49,58,50,51,31,28,507,..,0,0,0,0,0,0,0,0,3,5,..,244,777,185,172,158,141,95,68,126,1981,239,640,429,62,62,43,48,63,55,69,1703,44,114,153,32,33,28,61,86,72,53,676,0,0,0,0,9,3,3,15,32,57,125,0,0,0,0,0,0,0,0,0,3,9,45,113,157,32,42,33,65,103,102,113,806,5,0,0,0,0,0,0,0,0,22,22,290,760,586,90,101,75,111,164,158,201,2537,706,317,483,140,122,92,82,91,42,97,2175,168,112,353,82,115,102,132,148,91,99,1400,4,6,34,6,7,8,18,44,38,54,219,0,3,3,0,0,0,0,0,0,0,16,169,122
