SOSR_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR101,336,816,34,30,98,41,18,18,13,1404,1980,11735,223,156,347,102,83,79,130,14842,24112,51755,4222,2695,8530,4482,2428,2227,1526,101965,807,1802,113,96,276,154,96,78,74,3491,3023,7456,555,546,1014,375,270,241,142,13621,950,1439,162,189,336,99,62,41,62,3329,53360,125351,17168,12187,21381,14255,8846,9871,4168,266586,132,130,168,93,61,86,71,80,26,832,10796,11233,8224,4234,3861,3611,3303,2722,765,48757,11991,11328,11271,6235,5673,4973,3964,3910,999,60347,24734,10077,93652,9481,10682,9376,18685,16726,3527,196949,948,680,964,773,739,763,1020,1044,104,7037,2988,2343,2473,1805,1757,2019,2512,2137,342,18376,1946,3101,1650,689,843,830,1109,1063,299,11534,2073,2429,2859,1062,1060,1144,2375,2431,2532,17961,140171,241689,143730,40257,56659,42314,44845,42664,14700,767040,263,1156,13,52,193,41,0,5,16,1735,1095,8652,133,164,419,73,9,33,85,10665,14840,52972,1463,4405,12664,3978,279,1087,1151,92835,535,1942,39,155,438,112,3,36,53,3310
SOSR102,29,120,3,4,3,3,0,0,0,179,229,2114,30,23,44,16,6,10,18,2492,2098,4151,266,233,490,200,92,136,100,7766,72,176,6,9,24,9,3,0,3,301,362,1447,97,123,120,34,27,26,18,2254,218,349,41,57,59,14,12,8,8,773,5161,16959,1799,1921,1827,1124,550,857,342,30542,20,36,28,16,17,15,4,17,3,145,1744,2172,1497,1124,631,446,352,372,128,8468,2450,2508,2531,1816,1086,789,618,635,177,12613,7594,2941,35323,3969,3094,3157,7779,7206,1150,72218,193,147,270,277,149,250,303,459,25,2072,510,377,523,526,273,399,569,591,51,3815,204,354,224,122,79,92,152,205,25,1464,350,336,713,299,177,268,590,716,466,3915,21252,34190,43353,10514,8071,6804,11047,11249,2522,149012,35,215,0,16,12,3,0,0,0,285,137,1428,22,24,55,8,0,4,12,1691,1268,5761,124,386,702,176,14,62,80,8573,55,288,3,16,25,8,0,0,3,398
SOSR111,3,10,0,0,0,0,0,0,0,16,14,113,0,0,5,0,0,0,0,143,173,353,23,23,46,18,14,17,3,659,8,26,0,0,0,0,0,0,0,35,60,171,13,16,15,6,3,3,3,290,21,31,3,10,4,0,0,0,0,73,547,1589,189,158,149,100,86,81,30,2922,0,0,3,4,0,0,3,3,0,16,223,227,209,124,57,64,62,42,15,1015,286,286,338,188,118,74,105,75,26,1499,981,393,5297,506,389,425,1497,931,183,10604,26,22,42,28,18,43,66,72,4,319,59,35,65,32,31,50,87,69,4,437,21,30,22,9,7,8,25,23,3,151,32,39,84,33,10,25,89,84,54,447,2457,3331,6283,1136,838,815,2041,1391,327,18625,3,25,0,0,0,0,0,0,0,32,8,116,0,0,4,0,0,0,0,131,113,525,6,43,51,17,3,12,3,774,8,32,0,0,4,0,0,0,0,41
SOSR112,9,37,0,5,0,0,0,0,0,54,95,843,17,8,21,6,0,5,11,1008,650,1558,111,108,148,81,25,109,36,2822,8,67,8,5,5,0,0,3,0,103,176,748,44,53,48,16,17,13,11,1122,94,157,20,26,26,6,6,6,4,350,1908,6532,783,877,600,436,208,508,98,11952,7,15,13,13,0,7,0,0,0,50,687,882,468,495,210,196,124,152,35,3247,930,866,829,778,413,303,212,276,58,4670,3601,1186,14882,2039,1221,1692,3209,3401,439,31668,105,62,176,148,87,195,164,291,14,1240,236,122,196,213,116,194,226,330,26,1672,78,131,89,58,26,49,58,97,6,602,185,144,305,147,84,152,305,399,199,1923,8772,13353,17932,4969,3009,3330,4561,5607,946,62479,13,109,0,3,7,0,0,0,0,133,60,610,10,16,26,4,0,0,9,737,436,2342,33,194,239,50,0,55,34,3380,18,123,0,12,4,3,0,0,0,156
SOSR113,6,14,0,0,0,0,0,0,0,25,33,148,3,0,6,5,5,0,0,196,267,565,56,37,54,16,17,30,7,1040,8,17,0,0,0,0,0,0,0,28,80,280,21,24,15,7,6,7,3,439,39,52,11,12,12,4,3,0,3,128,786,2612,297,296,216,130,100,173,60,4676,4,3,9,3,0,4,3,0,0,28,349,391,276,241,108,77,58,77,31,1606,463,409,511,364,152,139,142,155,38,2376,2064,585,9778,1047,625,895,2790,2014,321,20118,58,34,80,78,40,108,111,184,10,704,124,74,137,104,33,102,185,203,13,974,51,55,39,20,9,21,50,64,6,316,106,64,191,95,47,94,243,297,131,1263,4423,5314,11398,2328,1311,1601,3727,3192,625,33913,3,32,0,4,3,0,0,0,0,46,8,114,6,0,5,0,0,0,0,140,163,842,22,52,79,18,3,24,7,1205,3,37,0,10,6,0,0,0,0,60
SOSR114,3,16,0,0,0,0,0,0,0,19,26,158,5,6,5,0,0,3,0,199,244,480,32,19,47,13,9,17,9,880,8,30,4,0,0,0,0,0,0,43,73,249,21,31,23,9,8,11,3,431,27,53,9,14,9,0,4,3,0,125,797,2501,293,327,205,156,80,176,47,4573,4,0,3,3,0,3,0,5,0,22,334,367,257,192,84,70,63,71,27,1470,422,352,347,313,143,107,124,120,33,1959,1995,566,7984,745,545,758,1966,2150,291,16997,64,23,67,48,42,62,69,166,8,548,127,70,102,104,42,106,138,175,16,875,33,39,58,27,15,18,28,59,9,284,140,73,236,87,39,123,239,288,116,1345,4296,4985,9419,1906,1191,1421,2738,3253,556,29765,8,42,0,0,7,3,0,0,0,51,18,117,3,5,8,0,0,0,3,147,163,778,13,58,91,18,3,16,12,1165,11,38,0,6,11,0,0,0,0,65
SOSR115,3,25,3,0,0,0,0,0,0,35,33,255,8,5,9,3,4,4,3,315,381,786,50,51,69,27,15,31,17,1409,8,24,0,0,3,0,0,0,0,43,104,409,30,35,34,14,11,5,12,652,47,64,12,17,12,0,3,4,0,155,1225,3542,367,481,284,195,144,261,62,6565,3,7,4,5,7,0,4,0,0,33,464,543,337,347,120,131,95,131,27,2197,600,566,550,588,230,174,178,229,47,3163,3066,810,12855,1214,805,984,3414,2931,443,26519,90,36,110,83,46,90,138,212,11,815,179,93,190,143,69,111,236,267,32,1327,50,69,62,25,18,24,45,63,6,369,216,101,363,115,54,123,408,438,150,1966,6488,7321,14932,3116,1748,1878,4682,4583,810,45568,13,64,0,4,6,0,0,0,0,82,26,220,9,5,11,3,0,4,4,279,311,1312,22,73,125,32,6,19,17,1913,7,75,0,6,7,0,0,3,0,99
SOSR121,7,11,0,0,3,0,0,0,0,12,7,89,5,4,0,0,0,0,5,113,106,201,14,3,17,3,5,3,0,350,7,11,0,0,0,0,0,0,3,19,21,133,16,14,3,3,3,4,0,204,18,26,5,6,6,0,0,0,0,53,391,1066,111,143,88,44,36,77,24,1974,4,3,0,3,0,0,3,0,0,15,136,152,108,113,44,31,31,35,12,675,188,145,169,147,59,42,44,68,11,859,927,225,3712,315,247,296,970,758,136,7575,29,13,23,12,11,28,43,49,0,208,71,28,41,50,21,44,48,69,3,375,14,16,19,7,10,6,9,11,4,96,66,28,96,31,14,35,103,104,57,533,1987,2149,4322,842,521,536,1285,1170,259,13064,6,18,0,3,0,0,0,0,0,21,5,66,0,0,10,0,0,0,3,84,69,379,4,22,39,7,0,3,7,531,3,12,0,0,3,0,0,0,0,23
SOSR122,0,0,0,0,0,0,0,0,0,4,9,56,0,0,0,0,0,0,0,68,66,122,6,10,15,10,0,7,3,241,0,3,3,0,0,0,0,0,0,10,15,67,0,10,6,0,0,0,0,102,10,9,0,3,0,0,0,0,0,22,218,482,62,67,66,33,13,43,16,1010,4,0,3,0,0,0,0,0,0,6,101,87,48,47,28,12,23,28,8,375,94,71,86,100,25,28,22,38,8,466,537,139,1948,165,120,155,503,532,72,4184,24,11,22,11,9,9,19,32,0,134,38,20,27,19,11,14,48,48,8,242,9,8,8,6,0,6,5,12,3,59,38,17,53,22,6,22,58,76,27,319,1163,1096,2279,464,289,288,696,814,149,7236,0,7,0,0,0,0,0,0,0,7,5,40,0,0,0,0,0,0,0,52,66,196,0,12,18,9,0,3,3,307,0,11,0,0,0,0,0,0,0,13
SOSR131,18,34,3,0,8,0,0,3,0,71,219,646,12,5,20,3,3,10,15,941,1031,1346,97,79,151,41,12,42,41,2836,37,81,6,0,3,0,0,0,3,128,324,592,60,46,56,24,13,19,14,1150,115,105,16,25,15,4,0,4,4,298,4599,6262,752,601,612,383,208,487,204,14112,21,10,13,12,0,10,7,3,3,74,2061,1021,596,451,232,224,219,278,73,5160,2063,836,902,649,317,259,260,383,90,5770,10914,1341,19799,1562,1139,1522,5664,5008,844,47807,439,70,173,110,51,107,199,305,14,1465,891,199,320,213,108,221,377,387,52,2762,231,152,111,37,29,42,80,111,15,810,1152,232,564,141,97,216,593,638,293,3939,24115,12937,23416,3930,2843,3062,7644,7695,1669,87309,33,93,0,10,10,0,0,0,3,145,132,532,12,14,38,3,0,5,14,744,784,2384,45,139,279,58,6,35,39,3771,44,118,0,15,18,0,0,0,5,211
