SOSR_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR101,10386,51685,222811,221641,181959,111100,21374,1562,215,822730,26132,41531,45870,29632,27845,28675,16905,3115,354,220052,1481,2061,4748,4219,3652,3813,1425,221,41,21666,1280,3123,6780,4891,4193,2541,736,187,55,23782,39273,98400,280212,260388,217649,146126,40436,5080,663,1088223,2471,6211,10939,8460,7670,5684,549,51,15,42049,7463,6889,4374,2006,1970,2748,855,104,10,26420,9940,13105,15311,10462,9641,8431,1403,160,19,68473,49209,111505,295519,270848,227285,154552,41842,5239,685,1156692,76466,36355,34895,25335,31019,54934,101768,67476,26244,454489,5974,9917,25238,18766,15396,12355,9315,5955,3281,106198,131656,157780,355650,314947,273705,221844,152924,78665,30209,1717381,5186,43407,161576,121853,115046,65639,9138,448,81,522375,34710,47379,71706,86564,74433,52410,16714,1722,172,385807,1778,2616,13120,8646,4090,3970,1276,139,20,35652,1143,2454,4564,3176,2887,1797,582,172,79,16843,42814,95857,250963,220241,196454,123807,27714,2476,349,960684,1560,3921,8114,5513,5119,2892,130,29,17,27299,7717,6308,6919,6489,5186,3540,433,52,22,36652,9277,10232,15036,11998,10300,6432,563,78,38,63951
SOSR102,3617,12655,37658,40624,40144,25409,3469,247,29,163854,7645,8086,7532,5889,6483,7462,3691,551,52,47391,455,596,1202,1068,1290,1411,338,49,11,6415,303,589,943,793,726,463,190,63,20,4086,12027,21921,47337,48372,48639,34752,7687,911,107,221750,1272,2117,2341,1925,2028,1632,103,7,6,11430,2245,1313,747,415,464,694,193,29,5,6107,3519,3428,3093,2342,2489,2326,299,33,6,17536,15547,25348,50429,50708,51130,37080,7982,946,117,239288,14082,5879,5894,5835,8634,18771,37085,23777,8905,128845,1168,1535,3119,2881,3270,3194,3062,2415,1493,22135,30797,32756,59439,59424,63032,59046,48128,27137,10512,390271,1792,9006,21563,19854,24151,14692,1401,64,3,92526,11093,11007,17263,22899,21909,16297,3682,281,32,104463,507,769,3178,1894,1357,1462,312,26,4,9511,307,446,593,541,578,443,132,69,27,3144,13701,21226,42600,45191,48004,32895,5517,444,67,209649,859,1153,1324,1090,1172,626,23,7,3,6258,2370,1255,1382,1372,1082,793,99,16,3,8363,3222,2404,2704,2464,2256,1418,123,23,3,14622
SOSR111,552,1868,5557,5352,4928,3284,446,16,0,22010,1043,782,884,725,687,876,453,63,8,5519,47,50,155,133,139,188,50,0,4,766,37,66,121,103,98,60,20,10,3,510,1672,2764,6714,6307,5854,4402,976,94,12,28804,203,318,346,294,284,203,10,0,0,1665,241,117,74,52,54,96,21,0,0,660,445,433,425,348,342,300,28,0,0,2325,2121,3200,7136,6654,6190,4703,1004,92,19,31121,1697,515,637,745,1006,1962,4027,2349,779,13735,196,251,497,467,469,428,323,247,119,3001,4014,3965,8270,7874,7666,7104,5356,2689,918,47859,257,1286,2913,2535,3029,1752,186,10,0,11973,1511,1362,2583,2889,2623,1962,443,38,0,13408,63,101,441,223,182,194,47,3,0,1254,50,60,71,82,77,34,12,4,9,407,1885,2815,6004,5730,5910,3944,688,54,10,27029,125,199,225,166,193,76,10,0,0,992,289,173,224,208,146,102,9,0,0,1162,418,370,448,377,338,182,23,0,0,2153
SOSR112,1816,6032,16393,16073,16079,11568,2022,179,24,70193,3397,2615,3202,2652,2938,3660,2151,391,31,21033,216,243,461,418,479,630,212,29,3,2686,184,263,418,342,342,242,95,33,12,1933,5618,9151,20477,19492,19831,16093,4478,632,71,95846,613,1017,1094,897,863,677,47,9,3,5221,765,398,321,236,222,278,99,10,0,2331,1380,1418,1412,1133,1085,963,148,21,7,7550,6998,10566,21885,20625,20912,17054,4627,655,75,103401,6691,2771,3540,3532,4214,8065,16243,10812,3859,59736,787,1056,1831,1575,1713,1842,1679,1171,659,12313,14476,14398,27256,25730,26836,26964,22555,12641,4593,175452,904,4039,9399,9167,11379,7686,919,52,9,43550,5041,4200,7918,8990,8921,7557,2077,218,22,44943,268,389,1295,661,560,682,190,17,5,4063,201,193,272,248,271,176,83,39,11,1490,6417,8820,18874,19064,21129,16095,3278,317,42,94056,400,517,655,546,502,311,14,4,0,2956,828,547,601,572,474,429,52,3,0,3504,1229,1068,1260,1118,979,732,72,4,4,6459
SOSR113,1063,3183,8738,8756,9288,6702,1068,92,20,38918,1910,1367,1777,1545,1890,2337,1169,194,16,12209,127,134,278,255,365,456,132,20,9,1774,104,159,237,215,220,174,63,31,13,1223,3204,4839,11033,10770,11765,9663,2442,342,60,54133,435,653,822,652,655,523,29,10,5,3788,427,203,194,122,159,230,68,8,0,1411,862,858,1014,770,815,757,96,11,10,5198,4072,5698,12048,11537,12580,10423,2543,351,71,59324,3838,1179,1912,2193,3074,6435,13193,8608,3012,43444,431,512,1058,955,1170,1280,1296,999,587,8286,8341,7388,15015,14687,16828,18137,17031,9962,3665,111059,472,1994,4302,4315,5760,3891,430,41,7,21194,2615,2052,4329,5356,5548,4708,1154,84,15,25861,152,224,650,385,349,453,113,15,3,2347,90,114,136,163,175,137,66,20,18,917,3326,4375,9415,10216,11830,9190,1766,162,45,50321,276,325,422,368,411,227,7,0,0,2048,419,243,415,359,310,252,22,3,0,2033,703,569,843,727,725,477,35,3,0,4081
SOSR114,993,2792,7039,7775,7997,6008,1107,131,22,33869,1592,1027,1470,1379,1636,2139,1128,195,16,10590,101,101,260,258,280,387,112,23,4,1529,77,149,204,211,192,162,70,36,13,1123,2765,4073,8977,9628,10111,8698,2425,384,57,47116,273,439,519,438,431,391,23,13,4,2537,274,142,131,132,115,197,44,5,0,1034,545,582,645,569,549,588,65,15,4,3569,3316,4659,9619,10195,10661,9286,2494,396,56,50686,3209,738,1176,1397,2255,4907,10778,7151,2412,34024,469,457,939,993,1089,1150,1235,981,463,7772,6990,5854,11739,12592,14002,15340,14500,8527,2938,92481,446,1761,3722,4085,5159,3465,457,18,13,19128,2247,1675,3675,4690,4864,4117,1034,88,13,22401,133,172,570,332,350,422,121,11,4,2128,98,86,142,187,166,157,44,36,15,931,2925,3683,8108,9297,10547,8165,1661,162,39,44582,199,228,265,312,291,208,3,6,3,1520,324,182,293,294,257,195,31,3,0,1581,523,408,557,611,545,402,36,7,5,3100
SOSR115,1576,4216,10801,11742,12452,9483,1768,184,39,52262,2127,1449,1985,2014,2583,3419,1758,270,38,15649,126,150,347,376,492,690,213,35,10,2447,150,221,338,305,305,274,100,43,17,1761,3982,6045,13473,14438,15841,13870,3837,539,96,72117,449,554,809,632,666,598,37,12,0,3759,374,186,158,132,179,286,55,10,0,1390,822,743,966,764,841,889,93,27,3,5152,4802,6785,14446,15205,16678,14756,3931,561,98,77268,4775,1201,1760,2229,3252,7986,17040,10284,3473,52007,659,627,1285,1276,1634,1888,1898,1278,643,11199,10232,8614,17493,18709,21565,24631,22871,12132,4215,140464,686,2482,5465,6167,8011,5420,712,55,17,29012,3123,2465,5395,6989,7527,6487,1651,149,24,33805,165,220,888,512,533,673,155,18,6,3170,167,131,218,209,231,207,78,49,19,1304,4139,5291,11967,13875,16293,12785,2596,276,65,67286,289,320,397,447,446,297,14,3,0,2209,423,257,410,393,332,333,41,0,5,2184,714,575,804,832,777,625,58,3,8,4399
SOSR121,406,1020,2491,3218,3835,2814,511,50,7,14350,627,431,482,574,782,1038,483,95,6,4519,40,33,89,93,139,183,62,8,0,653,34,53,71,77,94,73,30,16,3,455,1110,1531,3130,3965,4854,4108,1090,169,25,19974,114,173,181,170,179,200,14,0,0,1031,116,51,34,36,51,91,29,0,0,421,235,228,216,206,233,297,45,4,0,1451,1343,1760,3343,4172,5082,4402,1135,174,24,21426,1379,324,406,535,957,2366,4545,2385,707,13604,181,138,290,328,396,490,452,279,87,2635,2900,2213,4035,5045,6440,7260,6124,2833,815,37665,173,583,1171,1742,2366,1594,187,7,5,7814,940,598,1381,2020,2207,1906,436,41,4,9529,58,65,210,131,162,174,57,8,0,872,32,35,54,38,75,65,21,15,4,341,1206,1273,2807,3930,4812,3734,698,72,18,18558,65,76,83,100,119,87,4,3,0,534,136,59,100,117,103,105,12,0,0,643,198,131,183,217,224,197,13,3,0,1178
SOSR122,239,546,1333,1745,2059,1619,313,37,8,7899,340,212,282,320,481,642,319,55,5,2658,28,10,46,66,89,127,36,4,0,410,36,27,39,59,65,49,19,11,0,295,639,798,1695,2191,2691,2438,689,106,14,11261,74,74,116,101,134,145,0,0,0,650,52,29,22,19,33,57,18,0,0,229,122,103,137,117,168,204,20,0,0,876,767,903,1839,2308,2853,2645,707,106,14,12132,780,169,260,358,669,1546,2739,1461,363,8350,126,88,213,227,272,366,340,181,54,1867,1671,1163,2311,2894,3795,4555,3789,1746,439,22356,83,302,642,908,1304,881,121,13,0,4249,477,311,660,1061,1249,1059,300,26,5,5148,26,34,103,87,84,119,37,6,0,498,19,17,28,38,43,43,7,9,3,209,609,660,1440,2087,2686,2103,458,47,6,10101,37,47,73,68,67,54,3,0,0,355,74,30,45,62,59,54,3,0,0,337,113,79,117,131,131,111,8,0,0,693
SOSR131,3399,6956,14542,20325,27018,21551,6730,1416,202,102145,3637,2158,2342,2918,4660,6505,4257,1095,184,27754,256,247,476,582,948,1148,522,123,37,4342,300,303,470,570,699,552,344,207,50,3492,7592,9664,17839,24392,33329,29754,11860,2840,477,137742,471,630,751,749,953,916,74,5,3,4543,597,216,179,170,257,489,123,12,0,2049,1062,845,929,910,1213,1408,198,18,3,6592,8654,10508,18771,25306,34539,31159,12059,2858,477,144330,8683,1860,2827,3103,5065,11872,20968,9918,2444,66741,1392,1236,2126,2675,3807,4144,3411,1615,490,20886,18729,13601,23718,31084,43405,47179,36434,14394,3412,231960,1211,3809,7271,10326,15814,10787,2659,501,64,52446,5223,3402,6535,11562,13959,12016,3924,627,93,57349,331,258,1214,836,921,1217,408,79,11,5277,273,226,285,425,506,445,275,141,22,2591,7037,7696,15297,23148,31203,24468,7270,1350,192,117653,265,381,405,442,579,363,7,3,0,2442,690,261,377,454,503,462,56,6,3,2809,952,640,783,897,1085,817,66,10,5,5254
