SOSR_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
SOSR603,6053,139,3,0,145,7,6205,252,691,20,7,717,4,967,5,72,62,0,130,0,138,0,0,0,0,0,0,0,253,760,82,7,850,4,1106,0,0,0,0,0,17,18,6311,907,81,7,998,26,7328,6217,141,3,0,145,10,6368,220,492,28,0,520,3,745,3,56,62,0,121,0,127,0,0,0,0,0,0,0,227,553,93,0,646,3,875,11,0,0,0,0,9,16,6451,696,90,4,786,16,7255,3468,61,0,0,61,0,3535,68,220,14,0,238,0,303,3,37,39,0,80,0,89,0,0,0,0,0,0,0,76,258,61,0,317,0,391,4,0,0,0,0,0,10,3545,320,61,0,381,3,3932,2176,37,0,0,37,3,2214,42,116,14,0,130,0,173,3,15,21,0,37,0,41,3,0,0,0,0,0,3,50,133,33,0,167,0,219,3,0,0,0,0,3,3,2229,173,33,0,203,3,2437,2977,53,0,4
SOSR611,2567,29,0,3,27,3,2601,80,213,7,0,221,0,303,6,41,98,0,139,0,148,0,0,0,0,0,0,0,86,255,108,0,369,0,450,3,0,0,0,0,10,11,2651,287,108,3,394,13,3063,2644,38,0,0,38,3,2686,64,140,13,0,158,0,221,0,27,91,0,119,0,123,0,3,0,0,3,0,3,62,176,106,0,282,0,344,4,0,0,0,0,5,12,2713,212,106,0,322,13,3043,1450,26,0,0,26,0,1472,21,68,4,0,72,0,88,7,15,67,0,80,0,86,0,0,0,0,0,0,0,20,83,70,0,154,0,173,0,0,0,0,0,4,9,1478,104,70,0,173,4,1656,926,12,0,0,12,3,943,20,39,3,0,44,0,63,0,9,45,0,52,0,52,0,0,0,0,0,0,0,20,48,44,0,96,0,113,0,0,0,0,0,0,3,949,61,44,0,103,5,1055,1291,14,0,0
SOSR612,749,4,0,0,10,0,756,15,22,0,3,23,0,38,0,0,3,0,3,0,3,0,0,0,0,0,0,0,15,22,3,3,32,0,41,4,0,0,0,0,3,7,764,31,3,3,38,6,803,815,4,0,0,4,3,825,16,18,0,3,17,0,36,0,0,4,0,6,0,6,0,0,0,0,0,0,0,16,14,4,3,18,0,39,0,0,0,0,0,0,0,834,25,4,3,25,3,859,463,0,0,0,0,3,466,10,19,0,0,19,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0,24,0,29,0,0,0,0,0,0,0,470,21,0,0,26,3,497,320,0,0,0,0,0,323,5,8,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,18,0,0,0,0,0,0,0,331,7,0,0,7,0,336,419,4,0,0
SOSR613,1139,9,0,0,9,3,1144,21,41,3,0,41,0,65,3,3,0,0,3,0,3,0,0,0,0,0,0,0,26,43,3,0,45,0,65,3,0,0,0,0,0,5,1161,50,3,0,52,3,1218,1119,8,0,0,8,0,1133,18,26,3,0,30,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,3,0,32,0,46,0,0,0,0,0,3,5,1139,38,3,0,35,3,1183,635,5,0,0,5,3,645,11,11,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,16,0,22,0,0,0,0,0,0,0,647,16,0,0,18,3,672,400,0,0,0,0,3,403,4,12,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,12,0,18,0,0,0,0,0,0,0,408,9,0,0,9,3,423,583,6,0,0
SOSR614,376,0,0,0,0,3,381,7,6,0,0,6,0,6,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,6,3,0,3,0,12,0,0,0,0,0,0,0,384,6,3,0,4,3,391,404,0,0,0,0,4,405,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,410,0,0,0,3,4,416,211,0,0,0,0,0,216,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,215,4,0,0,4,0,221,126,3,0,0,3,0,129,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,127,4,0,0,6,0,132,165,0,0,0
SOSR615,2385,20,0,0,20,5,2410,56,52,0,0,52,0,107,0,8,0,0,8,0,8,0,0,0,0,0,0,0,56,61,0,0,61,0,112,12,0,0,0,0,4,10,2447,78,0,0,78,5,2535,2381,22,0,0,27,7,2416,36,29,0,0,29,0,61,0,3,0,0,3,0,3,0,0,0,0,0,0,0,38,30,0,0,30,0,67,6,0,0,0,0,0,10,2429,57,0,0,57,10,2491,1338,12,0,0,12,6,1361,21,23,0,0,23,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,28,0,50,3,0,0,0,0,0,3,1361,44,0,0,44,8,1409,837,10,0,0,10,3,851,23,18,0,0,18,0,43,0,0,3,0,3,0,3,0,0,0,0,0,0,0,23,23,3,0,24,0,45,5,0,0,0,0,0,8,864,34,3,0,34,3,899,988,13,0,0
SOSR621,710,10,0,3,11,0,723,24,34,3,0,31,0,55,0,3,0,0,3,0,5,0,0,0,0,0,0,0,19,35,3,0,39,0,59,4,0,0,0,0,0,4,738,51,3,3,52,0,790,788,10,0,0,9,3,805,25,19,0,0,19,0,47,4,0,0,0,0,0,4,0,0,0,0,0,0,0,27,19,0,0,19,0,44,4,0,0,0,0,0,3,818,29,0,0,36,4,855,430,4,0,0,4,0,436,6,14,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,14,0,20,3,0,0,0,0,3,5,446,12,0,0,12,3,457,235,0,0,0,0,3,240,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,5,7,236,4,0,0,4,9,249,333,3,0,0
SOSR622,336,0,0,0,0,0,335,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,340,4,0,0,8,0,343,460,3,0,0,3,0,467,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,468,3,0,0,3,0,472,269,3,0,0,3,4,273,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,270,3,0,0,3,4,278,145,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,149,3,0,0,3,0,148,205,3,0,0
SOSR631,3571,26,0,3,30,15,3615,97,63,0,0,65,0,165,3,0,0,0,0,0,4,4,0,0,0,0,0,4,102,66,0,0,64,0,169,8,0,0,0,0,8,12,3675,92,0,3,101,24,3796,4443,30,3,0,31,18,4490,105,76,0,3,77,0,187,0,3,0,0,5,0,5,3,0,0,0,0,0,4,106,83,0,3,87,0,190,14,0,0,0,0,4,23,4561,110,3,3,115,21,4707,2831,23,0,0,23,6,2862,52,38,0,0,41,0,93,0,0,0,0,3,0,3,0,0,0,0,0,0,0,52,39,3,0,43,0,93,11,0,0,0,0,6,18,2896,63,3,0,67,15,2974,1780,6,0,0,10,7,1797,22,30,0,0,29,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,3,0,32,0,56,10,0,0,0,0,0,10,1806,38,3,0,41,13,1859,2259,14,0,0
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,4066,180,0,3,185,3,4258,445,1594,46,9,1649,0,2096,11,146,68,0,219,4,230,0,8,0,10,15,0,15,454,1754,113,21,1882,3,2342,6,0,0,0,0,18,21,4528,1933,115,24,2071,21,6621,3409,178,3,0,183,3,3589,303,1258,55,6,1321,4,1625,6,113,77,0,191,0,203,3,7,0,9,10,0,19,312,1383,136,12,1525,8,1848,5,0,0,0,0,14,14,3723,1557,136,14,1709,19,5450,1693,87,3,0,91,3,1783,164,661,31,3,698,0,853,5,61,42,0,103,0,107,3,7,0,5,14,0,15,170,727,73,8,811,0,976,0,0,0,0,0,3,3,1866,816,75,8,895,10,2768,1016,46,0,0,45,4,1068,87,422,23,0,442,0,532,5,35,32,0,70,0,71,0,0,0,3,5,0,4,92,453,57,4,514,0,605,0,0,0,0,0,3,3,1116,500,52,4,556,6,1677,1247,43,0,0
SOSR712,767,40,0,0,40,0,805,59,316,3,3,319,3,385,0,10,0,0,12,0,12,0,3,0,0,3,0,3,62,326,4,3,336,3,400,0,0,0,0,0,3,3,834,365,4,3,370,8,1209,727,39,0,0,41,0,768,37,249,3,0,249,3,289,0,10,0,0,13,0,13,0,0,0,0,0,0,0,37,260,3,0,263,3,302,0,0,0,0,0,6,6,765,300,5,0,304,6,1075,385,13,0,0,13,0,395,17,113,0,0,118,0,130,0,4,0,0,4,0,5,0,0,0,0,0,0,0,17,114,0,0,119,0,139,0,0,0,0,0,3,3,402,126,0,0,133,5,535,239,12,0,0,12,0,249,19,69,0,0,66,0,89,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,68,0,3,70,0,87,0,0,0,0,0,0,0,258,79,0,3,83,0,333,291,3,0,0
SOSR714,217,3,0,0,3,0,219,20,60,0,0,60,0,84,4,3,0,0,3,0,4,0,0,0,0,0,0,0,21,62,0,0,61,0,85,0,0,0,0,0,0,0,242,65,0,0,70,0,307,181,14,0,0,14,0,192,14,44,0,0,44,0,52,0,0,0,0,0,0,0,0,0,0,3,3,0,3,14,44,0,3,40,0,56,0,0,0,0,0,0,0,188,52,0,3,56,0,246,88,0,0,0,0,0,91,3,20,0,0,20,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,20,0,28,0,0,0,0,0,0,0,95,25,0,0,23,5,124,54,0,0,0,0,0,56,3,10,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,10,0,14,0,0,0,0,0,0,0,60,13,0,0,13,4,74,45,4,0,0
SOSR715,283,3,0,0,3,0,286,16,662,14,3,676,0,698,0,18,47,0,65,0,63,0,3,0,7,11,0,11,20,684,56,14,749,0,768,0,0,0,0,0,26,26,308,688,56,11,754,26,1084,282,5,0,0,5,0,294,24,720,18,0,736,3,764,3,19,41,0,54,0,58,0,3,0,13,12,0,12,27,744,52,10,812,3,838,3,0,0,0,0,17,18,308,749,52,10,817,19,1147,127,4,0,0,4,0,134,7,426,16,4,440,0,444,3,16,15,0,28,0,33,3,0,0,8,8,0,11,6,438,34,8,483,0,488,3,0,0,0,0,8,16,140,441,34,8,483,8,637,75,3,0,0,3,0,80,4,288,3,0,290,0,294,0,11,9,0,19,0,19,0,0,0,3,3,0,3,4,300,13,4,317,0,323,0,0,0,0,0,8,8,81,302,13,4,321,8,410,53,3,0,0
SOSR721,225,5,0,0,5,0,226,25,515,6,0,529,0,549,0,9,7,0,17,0,17,0,0,0,6,6,0,6,25,520,20,8,546,0,575,0,0,0,0,0,6,6,246,525,20,8,551,6,804,241,11,0,0,11,3,251,12,520,16,0,536,0,549,0,10,12,0,17,0,17,0,0,0,6,6,0,6,12,531,22,3,555,0,569,0,0,0,0,0,0,0,255,535,22,3,565,3,825,121,3,0,0,3,0,126,7,287,11,0,294,0,299,0,0,7,0,8,0,8,0,3,0,7,10,0,10,5,288,16,7,309,0,318,0,0,0,0,0,4,4,125,296,16,7,313,4,442,53,5,0,0,5,0,53,4,198,16,0,206,0,216,0,0,8,0,5,0,5,0,3,0,0,4,0,4,4,198,17,0,220,0,224,0,0,0,0,0,0,0,58,202,17,0,225,0,284,32,0,0,0
SOSR722,142,19,0,0,23,0,161,12,497,11,0,511,0,527,0,0,13,0,11,0,11,4,0,0,8,10,0,13,15,500,26,10,530,0,548,0,0,0,0,0,4,4,160,518,22,10,552,4,712,127,10,0,0,15,0,142,12,551,11,0,567,0,578,0,4,11,0,17,0,17,0,4,0,3,11,0,11,12,561,28,3,593,0,604,0,0,0,0,0,6,6,138,569,27,3,606,6,744,62,3,0,0,3,0,63,8,270,5,0,278,0,280,0,3,8,0,9,0,9,0,0,0,3,0,0,0,8,275,16,3,292,0,295,0,0,0,0,0,3,4,69,274,16,3,291,3,358,35,3,0,0,3,0,40,4,141,3,0,144,0,148,0,6,5,0,8,0,8,0,0,0,0,0,0,0,4,150,7,0,160,0,159,0,0,0,0,0,3,6,36,151,7,0,160,3,204,29,3,0,0
SOSR731,1058,14,3,0,20,3,1083,58,344,7,0,354,0,413,0,23,17,0,42,0,39,3,0,0,10,10,0,9,58,369,26,11,407,0,467,3,0,0,0,0,6,7,1127,383,27,11,422,11,1559,1187,25,0,0,25,0,1207,52,414,8,3,430,0,484,0,11,10,3,27,0,31,0,0,0,5,5,0,8,57,429,24,14,466,0,520,4,0,0,0,0,6,10,1240,454,23,14,489,6,1737,613,11,3,0,19,0,626,31,246,3,0,254,0,285,3,11,13,0,25,0,25,0,0,0,3,3,0,3,35,258,16,3,277,0,313,3,0,0,0,0,0,3,646,275,17,3,297,0,947,375,5,0,0,7,0,383,14,141,0,0,140,0,152,0,0,12,0,12,0,12,0,0,0,0,0,0,0,14,139,15,0,153,0,174,0,0,0,0,0,3,5,388,151,12,3,164,6,560,435,7,0,0
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,13998,714,3,0,723,12,14733,1099,5163,144,29,5336,0,6434,11,329,128,0,460,0,469,11,28,0,13,43,0,56,1120,5525,269,47,5839,0,6960,14,3,0,0,3,10,29,15129,6246,275,46,6567,26,21722,13300,543,4,3,557,12,13868,884,4274,125,24,4418,5,5312,11,232,127,0,359,0,369,5,22,3,3,24,0,33,905,4528,253,29,4807,5,5713,15,10,0,0,6,17,36,14222,5077,263,31,5367,36,19623,7169,233,4,0,237,6,7414,425,1881,77,7,1966,0,2392,3,134,78,0,215,0,222,5,6,0,0,8,0,15,429,2024,153,10,2187,0,2620,6,3,0,0,3,7,23,7607,2255,159,17,2429,20,10058,4349,149,0,0,149,5,4508,278,1087,46,7,1142,0,1422,4,68,46,3,115,0,120,0,3,0,3,6,0,6,282,1157,99,14,1260,0,1550,3,0,0,0,0,4,13,4644,1308,99,14,1415,11,6065,6066,192,0,0
SOSR822,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,22,0,0,0,0,0,22,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,19,3,0,0,3,0,26,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,4,0,0,0
SOSR831,43,0,0,0,0,0,43,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,48,0,0,0,0,0,51,54,0,0,0,0,0,54,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,54,3,0,0,3,0,57,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,22,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,15,0,0,0
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
