SOSR_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SOSR501,452843,87657,36180,1270,1060,579004,47408,18929,7760,591,167,74856,9806,3264,1448,131,274,14919,510058,109846,45387,1986,1495,668779
SOSR511,18576,1862,492,143,40,21117,2456,774,333,104,3,3674,433,93,45,11,11,587,21460,2734,866,256,58,25377
SOSR512,29152,3133,276,540,120,33221,5082,1603,204,225,29,7144,787,223,43,49,32,1123,35022,4957,518,814,176,41485
SOSR513,11730,1070,822,325,116,14076,1723,430,201,124,51,2521,384,80,47,45,24,579,13831,1578,1082,498,186,17170
SOSR514,9579,321,60,47,42,10051,1684,151,43,24,12,1915,245,24,8,3,6,281,11506,494,111,77,60,12246
SOSR515,21231,1089,403,458,103,23287,4548,734,254,225,38,5799,695,139,41,63,36,970,26469,1967,695,745,179,30056
SOSR521,10956,350,125,202,98,11729,2954,242,102,98,31,3430,426,29,19,23,21,517,14331,620,248,326,151,15673
SOSR522,4584,82,29,119,38,4851,1658,58,19,48,15,1802,236,10,7,19,18,289,6482,151,52,182,75,6944
SOSR531,38837,144,66,859,423,40323,6730,62,45,440,83,7356,1093,16,15,142,95,1357,46657,216,121,1441,598,49039
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,47082,3379,4978,178,131,55754,8610,1270,2006,43,15,11942,1197,180,241,15,29,1660,56890,4831,7225,240,178,69360
SOSR611,19489,1805,1693,74,67,23126,3770,845,903,13,19,5550,545,119,113,5,15,791,23803,2769,2704,91,97,29465
SOSR612,6207,502,66,36,11,6820,1609,468,107,31,5,2220,195,52,9,10,0,263,8010,1026,187,70,15,9308
SOSR613,8590,567,138,64,19,9379,2384,526,97,39,4,3046,294,71,11,6,10,381,11259,1166,245,106,34,12810
SOSR614,2853,162,37,14,6,3071,1067,177,39,10,3,1299,93,13,0,0,0,108,4009,353,75,27,8,4479
SOSR615,17005,457,328,136,48,17968,4622,368,242,53,18,5299,568,49,33,16,7,673,22194,868,597,208,68,23936
SOSR621,5478,74,49,59,30,5688,1469,63,54,38,7,1626,200,11,7,3,0,227,7148,152,112,94,38,7537
SOSR622,3424,53,19,30,23,3549,980,37,27,11,13,1066,111,3,3,6,3,128,4513,98,49,46,40,4748
SOSR631,28204,85,38,187,183,28700,6230,39,19,99,44,6436,746,4,3,22,25,796,35178,123,63,309,253,35932
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,19489,3592,8208,459,127,31876,1867,869,1435,115,29,4309,650,176,375,87,38,1321,22004,4633,10017,660,188,37506
SOSR712,3994,1639,208,328,39,6205,619,412,81,90,8,1215,174,78,19,24,19,305,4791,2124,307,441,60,7725
SOSR714,1040,110,91,49,23,1311,233,59,73,16,12,392,49,17,9,0,5,80,1320,182,185,68,38,1785
SOSR715,1973,252,181,44,20,2474,666,131,66,12,3,876,149,38,27,8,3,226,2793,415,273,65,26,3577
SOSR721,1426,214,331,75,17,2062,643,84,132,36,5,898,113,13,30,17,3,179,2178,311,495,130,24,3141
SOSR722,1105,63,35,60,18,1277,1054,44,29,42,4,1174,95,5,12,30,10,145,2250,107,73,134,31,2597
SOSR731,5644,25,13,367,138,6190,1818,36,12,193,36,2094,309,6,0,112,12,443,7767,66,23,671,193,8721
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,87212,21752,18738,98,214,128010,6361,2851,2098,61,34,11410,1654,670,562,24,24,2935,95222,25270,21404,184,271,142353
SOSR822,79,7,0,0,0,85,6,5,0,0,0,5,4,0,0,0,0,4,87,14,0,0,0,99
SOSR831,178,0,0,3,0,181,21,0,0,0,0,25,4,0,0,0,0,4,206,0,0,3,0,214
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,169,64,81,3,3,320,27,18,19,0,3,68,4,3,10,0,0,18,194,85,108,3,10,399
SOSR921,249,0,3,6,3,261,56,0,3,3,0,63,9,0,0,0,0,9,317,0,4,5,3,333
SOSR922,126,0,0,0,0,132,29,0,0,3,0,34,9,0,0,3,0,8,162,0,4,7,4,172
SOSR931,358,0,0,0,0,359,76,0,0,0,0,76,21,0,0,0,0,21,450,0,0,0,0,454
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
