SOSR_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,156100,23448,5946,1081,222,186798,239091,30444,8332,227,433,278529,55019,25815,18013,112,273,99238,7450,9026,3087,8,29,19604,33950,11732,5413,113,148,51353,759,1302,735,13,16,2832,3423,1148,614,268,55,5505,1689,655,252,24,16,2640,102300,49679,28115,532,550,181172,2601,2982,1502,27,36,7139,9967,3296,1492,121,265,15144,510058,109846,45387,1986,1495,668779
SOSR511,6078,492,155,170,11,6902,9841,393,48,11,11,10308,2833,755,240,3,12,3838,355,506,80,0,0,936,1586,296,70,9,3,1959,35,55,94,0,0,183,138,48,10,48,3,255,75,24,8,3,0,114,5020,1689,499,63,21,7285,111,70,109,0,0,291,418,94,54,11,11,582,21460,2734,866,256,58,25377
SOSR512,10331,854,28,487,43,11744,13881,576,26,53,33,14569,4689,1370,186,12,23,6280,1439,910,109,18,16,2491,2863,417,51,29,15,3371,100,210,49,5,0,364,601,177,26,145,21,962,161,48,3,4,3,222,9853,3134,428,210,71,13690,170,176,5,20,4,376,795,222,30,41,29,1116,35022,4957,518,814,176,41485
SOSR513,1929,107,29,261,31,2355,3212,121,57,30,19,3433,2830,501,491,22,13,3862,1454,288,89,0,29,1864,835,103,66,26,10,1039,59,36,5,0,0,109,2866,313,265,94,50,3583,202,23,15,6,8,259,8238,1257,940,156,122,10712,111,10,4,10,3,142,342,77,49,41,22,534,13831,1578,1082,498,186,17170
SOSR514,3166,82,12,37,14,3316,5020,104,3,5,20,5152,1472,138,22,0,4,1640,354,93,42,0,0,482,967,39,8,3,8,1020,12,5,6,0,0,28,123,7,8,21,3,158,53,8,0,0,0,71,2991,286,85,28,14,3403,83,6,0,0,0,90,249,16,6,3,5,284,11506,494,111,77,60,12246
SOSR515,7625,173,55,407,40,8300,8138,71,32,34,37,8319,2987,344,169,12,11,3525,1676,577,179,4,4,2447,2090,143,48,52,24,2352,139,84,39,18,0,279,2755,336,97,115,16,3322,194,22,13,7,5,247,9840,1514,540,213,65,12170,151,75,34,23,5,288,715,130,37,62,43,982,26469,1967,695,745,179,30056
SOSR521,4755,48,16,162,44,5023,4937,26,8,29,32,5035,754,75,37,0,0,862,1102,186,66,4,6,1369,1246,54,16,29,12,1353,103,56,37,0,4,201,810,142,40,49,16,1058,128,3,12,8,4,153,4145,515,208,95,46,5003,73,3,0,6,5,95,418,26,18,26,22,517,14331,620,248,326,151,15673
SOSR522,2062,8,0,86,14,2176,1677,3,3,26,16,1723,243,13,0,7,0,265,952,36,13,0,3,1004,540,19,6,11,8,574,185,17,12,0,0,220,459,34,16,31,7,543,108,6,0,6,4,130,2485,123,44,52,22,2726,36,0,0,3,0,44,230,7,8,20,19,279,6482,151,52,182,75,6944
SOSR531,19432,44,16,738,202,20436,16536,28,21,238,140,16953,1398,18,3,15,5,1440,777,17,21,9,5,834,3717,17,16,63,40,3855,299,8,8,7,4,330,1787,45,15,154,69,2073,932,14,6,39,16,1005,8914,121,71,282,145,9539,642,12,5,40,22,717,1133,12,15,143,91,1388,46657,216,121,1441,598,49039
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,20590,772,923,78,32,22390,21462,702,793,39,29,23020,5640,1225,2483,42,36,9422,2521,740,921,0,3,4179,4145,729,1324,51,43,6290,318,212,215,0,0,749,373,87,132,15,6,617,224,46,51,3,0,327,13219,3039,5130,113,90,21581,365,125,144,0,0,640,1259,194,233,20,24,1726,56890,4831,7225,240,178,69360
SOSR611,8281,508,353,22,21,9192,8756,320,211,15,23,9327,2998,688,955,25,22,4681,885,417,423,0,3,1722,1803,365,440,22,17,2642,110,152,108,0,3,374,151,86,65,7,3,313,97,27,30,0,0,152,6040,1740,2015,53,43,9885,193,79,9,0,0,290,532,115,107,3,15,781,23803,2769,2704,91,97,29465
SOSR612,2880,191,29,34,9,3140,2578,50,6,3,3,2638,878,253,33,3,0,1171,555,289,22,0,0,864,698,116,17,0,3,844,83,24,24,0,0,137,55,19,15,15,0,101,28,19,7,3,0,53,2300,720,122,23,5,3172,43,4,22,3,0,69,212,63,9,6,0,288,8010,1026,187,70,15,9308
SOSR613,4149,174,28,53,4,4412,3839,48,15,6,3,3912,1200,308,72,6,9,1594,623,294,48,0,4,966,906,165,38,5,4,1116,60,40,24,0,0,124,87,30,6,19,5,153,57,11,3,4,0,73,2930,851,194,37,17,4027,34,25,0,0,0,59,307,71,10,6,10,405,11259,1166,245,106,34,12810
SOSR614,1500,39,16,9,0,1566,1288,13,3,9,3,1317,414,77,16,3,0,507,267,108,17,0,0,396,326,37,18,3,0,389,41,39,8,0,0,93,32,6,5,3,0,46,22,5,0,0,0,37,1106,283,55,15,0,1453,12,5,0,0,0,15,107,16,3,0,0,121,4009,353,75,27,8,4479
SOSR615,8448,139,105,89,22,8794,7795,76,45,23,19,7962,2315,204,194,24,8,2743,676,151,60,0,0,890,1777,81,87,25,5,1972,110,100,32,0,0,247,234,29,34,34,3,334,134,9,6,5,0,159,5254,574,411,85,16,6338,128,36,12,5,4,184,569,43,31,13,4,662,22194,868,597,208,68,23936
SOSR621,3044,15,8,33,14,3113,2478,11,8,23,18,2542,507,26,12,3,0,559,85,26,23,0,0,129,580,26,24,17,4,654,29,20,16,0,0,58,137,12,3,9,0,157,48,3,4,0,0,56,1382,112,80,27,11,1610,30,4,3,4,0,43,206,13,12,3,0,235,7148,152,112,94,38,7537
SOSR622,2025,27,3,18,9,2087,1618,14,3,12,14,1657,274,13,13,3,7,303,36,3,21,0,0,65,328,13,4,3,7,357,14,6,0,0,0,18,38,7,0,3,0,49,30,3,0,3,0,39,721,43,37,13,9,829,31,6,0,0,0,32,118,3,3,9,3,132,4513,98,49,46,40,4748
SOSR631,15446,64,9,155,79,15748,13661,29,4,72,86,13850,1226,7,12,5,7,1255,51,7,9,0,0,64,2503,11,12,28,23,2577,53,3,0,0,0,60,698,0,0,17,13,732,419,3,6,13,5,448,4948,31,40,59,52,5132,330,3,3,3,9,345,802,4,10,20,27,855,35178,123,63,309,253,35932
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,4264,458,705,365,17,5810,9208,1021,1870,61,21,12182,3491,1469,4464,36,27,9482,1198,614,680,7,9,2508,1678,637,1225,25,28,3591,104,51,34,0,3,188,1264,145,584,78,34,2101,102,37,71,6,8,220,7832,2956,7053,146,109,18087,92,37,37,12,4,187,612,166,345,79,37,1241,22004,4633,10017,660,188,37506
SOSR712,910,135,14,148,3,1206,2095,504,30,106,9,2738,566,721,164,42,12,1503,363,236,24,18,3,639,335,200,28,47,11,621,77,27,0,0,3,109,220,186,24,53,12,494,48,26,0,3,0,77,1599,1394,240,161,33,3439,29,17,3,4,0,53,153,72,18,28,16,290,4791,2124,307,441,60,7725
SOSR714,173,0,7,38,10,226,426,6,7,3,3,447,266,36,58,0,0,362,105,52,51,0,3,215,87,12,15,3,0,121,43,10,4,0,0,67,157,34,26,15,7,240,14,5,5,0,0,25,671,157,156,19,21,1031,7,0,0,0,0,9,43,11,14,0,5,74,1320,182,185,68,38,1785
SOSR715,134,4,4,18,4,163,147,3,11,0,0,167,120,14,39,0,0,173,1260,198,71,0,5,1533,93,5,26,10,5,144,88,19,7,0,0,111,681,111,85,16,13,899,95,28,6,0,0,134,2341,366,237,34,17,2997,30,6,3,4,0,45,140,39,24,12,0,208,2793,415,273,65,26,3577
SOSR721,119,3,7,36,3,161,182,0,13,11,5,201,32,0,9,0,0,40,916,127,80,10,3,1133,44,3,12,0,0,64,180,12,14,3,3,212,519,138,332,45,6,1040,75,13,10,4,0,96,1766,292,450,64,15,2583,24,4,0,7,0,36,94,16,25,22,3,154,2178,311,495,130,24,3141
SOSR722,193,3,0,60,3,259,203,0,0,7,7,212,22,3,0,0,0,26,1082,36,36,0,5,1162,96,7,0,9,0,114,256,21,6,0,0,291,208,25,18,12,8,270,64,3,3,12,4,80,1736,99,62,32,17,1945,30,0,0,4,3,42,91,3,6,35,10,148,2250,107,73,134,31,2597
SOSR731,1780,3,3,288,56,2124,3186,5,0,75,45,3308,290,0,4,8,3,307,533,24,3,20,3,578,555,7,11,46,28,640,359,10,0,4,21,389,407,13,4,78,11,512,195,4,0,17,10,219,2333,52,21,178,74,2653,160,0,0,36,3,199,315,7,0,104,16,439,7767,66,23,671,193,8721
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,31538,4906,1906,69,50,38470,42524,7688,4421,26,31,54700,7815,6008,9377,9,62,23274,4456,2460,1621,3,21,8559,4894,2434,2688,8,43,10065,228,230,179,3,17,651,1436,382,365,47,13,2239,272,112,70,0,0,463,19106,11625,14303,65,158,45254,333,387,223,0,7,955,1719,661,551,22,24,2977,95222,25270,21404,184,271,142353
SOSR822,42,0,0,0,0,45,29,0,0,0,0,29,4,3,0,0,0,12,0,5,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,13,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,87,14,0,0,0,99
SOSR831,37,0,0,0,0,39,101,0,0,0,0,103,0,0,0,0,0,4,13,0,0,0,0,13,30,0,0,0,0,31,3,0,0,0,0,3,13,0,0,0,0,13,10,0,0,0,0,10,62,0,0,0,0,69,3,0,0,0,0,3,3,0,0,0,0,3,206,0,0,3,0,214
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,71,14,27,0,3,113,44,9,11,0,0,58,0,0,3,0,0,7,12,26,29,0,0,67,22,10,12,0,0,52,0,0,0,0,0,0,39,16,21,0,0,74,3,0,0,0,0,4,77,54,66,3,0,205,0,0,0,0,0,3,6,4,10,0,0,18,194,85,108,3,10,399
SOSR921,107,0,0,0,0,111,99,0,0,0,0,101,32,0,0,3,0,30,0,0,0,0,0,0,48,0,3,3,0,56,0,0,0,0,0,0,9,0,0,0,0,11,12,0,0,0,0,7,97,0,4,3,0,109,3,0,0,0,0,3,15,0,0,0,0,15,317,0,4,5,3,333
SOSR922,15,0,0,0,0,17,3,0,0,0,0,3,8,0,0,0,0,14,37,0,0,0,0,36,11,0,0,0,0,11,4,0,0,0,0,5,42,0,0,0,0,42,10,0,0,0,0,10,109,0,3,0,0,112,28,0,0,3,0,36,4,0,0,3,0,8,162,0,4,7,4,172
SOSR931,164,0,0,0,0,164,134,0,0,0,0,135,29,0,0,0,0,29,7,0,0,0,0,7,50,0,0,0,0,50,21,0,0,0,0,21,7,0,0,0,0,7,15,0,0,0,0,15,133,0,0,0,0,133,9,0,0,0,0,13,16,0,0,0,0,16,450,0,0,0,0,454
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
