SOSR_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,354213,63296,28750,1273,739,448271,407073,75181,38830,773,930,522783,127120,78780,115154,1514,1158,323735,11023,9498,14122,102,94,34833,39824,16723,17320,625,465,74963,1666,1645,2950,27,48,6342,4493,1428,1901,965,130,8916,3423,1294,1231,78,68,6096,187547,109366,152687,3309,1967,454883,5392,4116,2539,51,103,12199,24259,7362,7077,337,676,39711,978483,259326,229883,5735,4412,1477840
SOSR203,17589,1480,298,106,31,19512,17804,1167,266,65,35,19334,7489,2917,1072,47,46,11581,1520,812,141,0,0,2476,2610,576,172,22,12,3395,294,243,61,4,0,598,229,65,37,115,5,452,177,53,26,15,8,275,12316,4674,1505,202,79,18771,351,95,21,15,4,483,1306,271,99,9,13,1705,49368,7684,2189,399,170,59805
SOSR211,27326,2305,254,85,58,30030,33508,1897,167,40,85,35692,15000,5036,1001,37,79,21149,2537,1260,239,0,15,4047,4449,838,163,24,29,5500,405,228,91,0,8,736,573,126,61,40,9,804,340,88,21,4,4,454,23292,7571,1573,111,142,32687,482,109,8,0,11,619,2257,488,111,26,39,2914,86861,12374,2112,255,337,101942
SOSR212,17404,1425,445,116,41,19426,20664,641,286,21,21,21631,7757,2401,1390,17,33,11597,1588,552,428,0,5,2576,2730,464,221,12,25,3450,203,96,150,0,0,451,319,69,43,64,9,503,178,52,30,0,3,262,12771,3640,2258,93,84,18847,293,210,40,3,5,553,1391,331,216,18,39,2000,52524,6236,3250,255,187,62461
SOSR213,30367,1949,728,195,76,33316,31001,939,180,32,59,32216,11100,2873,1344,32,49,15399,2165,1019,414,0,5,3601,4011,595,200,37,35,4871,312,247,62,0,0,616,406,102,39,85,22,653,324,98,26,8,9,465,18316,4926,2079,164,123,25612,450,197,48,0,11,704,2302,410,169,21,85,2994,82441,8418,3204,420,354,94837
SOSR214,19487,735,457,250,105,21032,16213,294,127,22,49,16697,6080,894,783,23,31,7816,1274,381,272,0,8,1928,2552,200,186,32,34,3002,146,126,63,0,4,340,249,25,36,93,22,424,253,26,32,3,4,329,10561,1657,1369,151,100,13843,241,82,87,5,15,430,1480,141,121,31,35,1811,47974,2914,2168,459,304,53821
SOSR215,30468,820,484,478,118,32367,28259,269,175,147,129,28977,7898,780,739,106,40,9567,1167,361,335,3,4,1863,4223,263,235,75,51,4849,226,129,89,0,0,450,459,47,45,150,21,726,422,41,46,10,4,516,14388,1630,1495,338,123,17975,384,51,51,13,12,507,2268,183,147,77,54,2730,75762,2950,2352,1055,435,82548
SOSR221,9499,57,32,233,42,9866,8550,35,13,59,30,8686,1570,69,42,15,13,1697,133,59,52,0,0,243,1345,36,18,42,8,1446,37,39,29,0,3,108,155,9,11,108,3,280,128,7,3,4,7,143,3361,211,144,169,37,3923,105,5,3,11,4,137,644,32,22,41,20,755,22162,343,215,513,135,23363
SOSR222,5901,73,44,83,44,6149,5340,32,19,47,43,5488,745,20,46,7,8,826,46,20,45,0,0,114,836,18,28,22,14,919,13,9,10,0,0,31,127,7,19,14,6,178,81,3,7,0,0,88,1848,79,154,52,35,2159,73,0,8,9,0,88,442,11,21,9,16,506,13605,191,254,197,146,14393
SOSR231,61161,142,73,892,455,62722,54173,136,51,277,368,55003,4933,80,135,42,59,5248,88,10,25,0,0,121,8171,49,70,115,104,8511,70,0,7,0,6,85,2580,37,21,285,57,2978,1633,9,16,27,28,1713,17476,186,266,471,257,18658,1398,10,0,26,19,1453,3561,15,20,137,124,3861,137775,480,419,1802,1224,141696
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,158469,10557,12439,1245,275,182996,224715,13392,14297,296,402,253106,91520,32174,45918,241,747,170606,12273,5428,7519,46,47,25310,27933,6757,10519,146,266,45617,903,1214,1567,13,61,3749,4197,1402,1149,1147,96,7987,1732,438,586,27,25,2817,138553,47421,67246,1622,1246,256084,2185,1996,1785,34,52,6055,10883,2734,2873,214,624,17328,534804,76100,98640,3415,2601,715565
SOSR302,32797,8715,8068,773,135,50489,48766,9752,5827,59,141,64548,18965,13866,16258,34,184,49302,1214,1268,1291,4,23,3791,5328,4635,4894,39,82,14972,109,241,342,0,3,696,543,552,607,313,46,2064,357,222,317,17,13,928,26513,20776,23713,402,349,71750,490,483,447,12,6,1439,2524,1254,1415,72,269,5532,111081,40983,39467,1318,905,193760
