SOSR_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR231,2997,2275,824,1294,1245,474,222,453,119,9902,2725,1923,1123,2557,1988,650,314,692,157,12120,10538,1695,17536,4680,3814,2189,4241,5250,742,50692,465,111,247,395,577,312,167,431,22,2729,883,235,395,724,679,368,275,459,48,4070,287,203,152,113,157,72,79,129,15,1206,1563,566,730,619,559,486,523,817,445,6306,27625,27359,22204,12778,12110,5499,6140,9206,1963,124885
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
SOSR299,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
SOSR301,6092,9672,3970,4975,5816,2200,1095,1536,450,35805,10848,11515,7610,15577,14322,5891,2320,3722,876,72678,18343,10075,68510,25108,23558,12961,13887,17260,2635,192336,872,650,949,1754,2338,1961,868,1755,112,11258,1837,1528,1496,3519,3853,2122,1458,1965,254,18030,813,1746,845,788,1157,568,449,767,160,7287,1314,1997,1857,1787,1870,1342,1437,2165,1811,15590,86341,214074,96200,72765,85655,39378,25091,37182,9616,666288
SOSR302,2009,2651,995,1693,1649,979,235,471,145,10822,3077,3090,2101,5104,3633,2190,522,1118,250,21083,6409,2756,21687,7235,6093,4880,3373,5601,831,58861,237,177,255,471,552,575,160,437,37,2906,661,456,506,1159,1216,968,341,589,95,5994,266,428,220,239,372,228,96,205,48,2100,507,633,692,652,577,635,348,667,547,5265,21625,41863,28663,21068,19515,13729,5702,10766,2596,165535
SOSR303,1894,3254,1123,1984,1658,741,301,446,145,11542,3132,3309,2215,5565,3883,1671,561,997,270,21607,7129,3313,27592,10342,8111,5335,4792,6271,934,73810,272,216,376,708,797,839,249,646,36,4135,628,482,507,1408,1142,825,399,658,62,6114,249,440,232,284,287,193,86,193,51,2013,435,636,693,751,576,622,434,790,527,5458,22203,54090,35119,26433,22360,12530,7387,11635,2574,194333
SOSR311,402,779,320,538,358,150,87,113,21,2759,792,914,584,1613,995,323,206,276,63,5755,2223,1096,10953,3424,2658,1718,2410,2345,332,27150,97,68,123,274,255,349,122,288,7,1580,170,121,168,437,323,235,199,262,23,1934,44,119,77,72,66,38,44,95,15,571,147,180,262,266,150,199,197,339,198,1933,5609,14825,13128,7837,6033,3359,3441,4131,780,59137
SOSR312,76,175,93,114,75,18,15,25,3,596,171,194,162,314,208,61,48,76,21,1251,440,250,2864,825,623,333,712,626,90,6757,33,24,38,56,79,77,41,94,11,445,32,25,39,99,57,51,46,59,0,421,8,30,17,14,15,14,21,33,3,153,30,35,58,63,44,54,63,96,55,497,1184,2887,3472,1720,1379,668,1000,1097,203,13599
SOSR313,311,532,213,394,249,110,71,96,14,1994,523,594,407,1056,660,255,142,181,52,3865,1537,707,7311,2218,1824,1121,2072,1629,240,18670,78,42,132,161,209,227,111,234,11,1199,122,69,121,290,202,164,161,167,14,1296,38,62,46,42,48,29,39,46,0,349,116,144,208,147,139,169,175,256,146,1506,3950,9362,8866,5252,4067,2321,2888,2833,561,40105
SOSR314,342,627,253,381,281,123,59,117,25,2208,650,556,480,1062,772,264,155,267,49,4268,1731,798,7469,2042,1748,1042,1926,1765,201,18716,99,60,94,171,180,183,105,202,12,1111,147,101,126,296,246,164,135,208,14,1453,46,58,61,44,40,24,45,112,11,431,171,135,237,206,136,191,219,425,131,1852,4659,9225,9151,5037,4241,2292,2776,3627,515,41518
SOSR315,471,800,340,649,415,182,102,156,42,3148,962,832,628,1736,1069,410,224,385,71,6322,2339,1082,11002,3410,2653,1511,3132,2928,317,28373,113,94,145,259,265,280,147,368,18,1686,257,147,219,472,331,232,276,323,22,2282,51,87,61,66,76,45,60,99,7,555,215,215,387,337,233,249,368,542,213,2758,6235,11718,13311,8172,6193,3312,4465,5345,796,59547
SOSR321,206,408,117,264,179,58,36,64,17,1341,321,372,230,646,404,138,93,152,30,2382,1041,407,4054,1323,1044,554,1190,1124,147,10892,52,32,49,98,113,94,46,147,11,655,81,76,94,157,145,97,90,129,13,883,24,46,24,38,32,19,31,32,9,232,107,102,159,172,107,112,149,218,117,1241,2646,4925,4929,3141,2494,1211,1686,1989,398,23419
SOSR322,96,130,41,84,62,26,16,31,8,503,150,137,71,241,158,39,41,50,12,896,459,229,1589,516,424,204,522,545,66,4563,28,15,34,52,57,50,28,75,3,354,39,29,30,63,52,27,37,61,4,348,17,15,10,13,9,4,14,15,3,97,67,42,73,72,49,42,102,150,47,648,1170,1783,1923,1235,1018,429,790,995,165,9507
SOSR331,1903,1871,580,940,958,319,246,335,99,7252,2432,1613,1104,2355,2058,583,384,665,142,11343,7967,1837,18450,4758,4443,2278,5307,5492,693,51222,424,109,255,387,550,373,235,585,36,2948,875,246,400,755,698,382,444,592,72,4458,209,152,129,115,148,64,107,153,35,1118,1073,441,672,509,476,431,639,894,446,5581,20840,23331,22686,11550,12038,5106,7653,9592,1768,114572
SOSR379,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
SOSR399,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
SOSR401,3467,6592,2051,4104,3428,1284,530,850,280,22581,5234,5901,3836,8093,5976,2283,925,1548,424,34216,9783,5244,37173,15302,12768,7372,6174,8581,1407,103818,567,383,604,1149,1534,1318,457,1159,87,7256,1101,894,916,2335,2342,1258,613,926,140,10525,431,974,491,537,632,300,234,452,114,4159,732,1084,1057,1188,1020,857,633,1131,841,8544,41947,109359,51951,45143,42404,20776,11645,19874,4739,347844
SOSR412,163,325,82,243,133,54,28,40,12,1078,305,303,185,534,299,109,57,60,17,1879,712,349,3216,1330,902,604,842,751,152,8853,46,26,46,91,135,131,62,137,14,677,57,38,55,185,116,83,71,87,8,707,18,34,22,32,25,8,22,21,6,191,42,51,65,105,52,62,99,116,41,619,1901,4283,3800,2873,1928,1133,1211,1274,295,18701
SOSR413,275,555,120,361,231,78,36,61,18,1742,324,444,222,677,371,152,54,121,32,2401,968,519,3412,1696,995,717,725,1035,130,10190,70,43,64,122,146,163,59,174,8,845,108,81,65,255,179,109,79,124,11,1013,44,62,39,32,41,13,21,72,7,317,83,86,110,130,85,99,82,196,80,953,3101,7429,4291,3895,2664,1590,1102,2052,364,26493
SOSR414,51,125,15,69,70,27,9,33,3,398,80,74,38,141,93,51,18,42,3,531,254,91,823,355,266,201,173,330,30,2528,14,0,26,29,27,32,8,42,0,186,18,16,23,63,41,34,25,46,3,275,10,5,13,10,13,7,0,12,0,72,24,14,39,37,21,32,25,85,19,293,631,1095,1030,811,644,407,262,665,69,5611
SOSR415,293,522,118,399,242,99,44,75,14,1813,415,397,219,804,398,181,68,141,22,2649,1226,493,4351,1604,1164,747,934,1308,167,12002,66,41,74,130,152,148,76,163,15,866,132,75,107,274,182,131,85,173,18,1175,27,35,29,20,41,23,15,64,7,266,134,90,153,131,106,115,100,269,99,1196,3249,6137,5263,3895,2784,1644,1384,2437,393,27177
SOSR421,104,162,47,125,68,30,13,26,4,575,133,131,66,255,106,41,26,42,7,819,476,160,1358,453,352,209,337,424,43,3818,30,9,20,28,56,45,21,51,0,265,40,27,33,74,59,33,30,52,7,356,12,5,6,9,14,7,3,16,0,72,71,31,46,46,34,38,47,54,36,406,1165,1766,1653,1146,848,456,491,751,120,8404
SOSR422,46,68,10,63,40,18,12,11,3,276,60,64,34,137,63,18,15,29,3,419,279,93,732,286,169,102,180,269,26,2139,20,5,16,24,27,11,13,28,0,145,29,20,19,34,32,14,13,44,0,203,9,5,0,6,3,3,3,11,0,53,35,25,24,39,27,15,31,44,15,262,621,864,871,678,423,206,283,468,64,4472
SOSR431,901,855,200,461,384,130,75,139,32,3174,986,582,300,783,577,211,89,215,36,3779,3350,638,5302,1617,1422,749,1230,1921,192,16420,238,55,91,137,235,142,81,238,15,1235,462,108,155,297,247,150,117,241,23,1805,105,59,57,37,53,20,30,71,13,444,514,182,212,176,161,140,188,301,128,2011,9096,8651,6653,4155,3965,1772,1897,3528,533,40253
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
SOSR501,6450,11125,5268,5755,6381,2592,1529,1885,503,41486,7989,9022,8228,11659,9634,4538,2360,3134,706,57268,15482,8481,74113,21778,17495,9895,13113,13438,2775,176568,805,529,1033,1798,2268,1835,749,1568,134,10719,1757,1457,1895,3706,4120,1902,1297,1657,236,18018,970,1809,1015,944,1292,612,451,760,169,8016,1274,2106,1993,2151,2117,1520,1358,1899,1477,15894,75198,185192,105779,66119,70184,34257,25469,32406,8849,603457
SOSR511,161,333,164,195,177,46,63,65,15,1209,264,254,306,436,255,130,83,108,23,1862,615,370,3792,1062,849,540,856,780,134,9001,41,17,57,77,125,161,36,111,9,623,75,55,77,160,161,94,80,87,3,800,26,40,28,31,22,15,34,38,7,238,39,52,72,87,61,65,78,140,51,646,1873,4664,4728,2400,2039,1182,1308,1547,286,20026
SOSR512,329,582,195,346,311,102,89,97,15,2069,406,488,339,717,443,191,113,164,38,2879,1195,572,6028,1756,1218,780,1412,1114,222,14295,84,42,86,149,207,188,93,187,19,1052,122,62,102,243,222,122,117,156,18,1174,43,67,38,53,50,21,40,45,4,365,94,103,149,147,104,114,165,188,111,1179,3323,7162,7283,4028,3133,1729,2192,2202,479,31533
SOSR513,187,261,150,139,151,61,47,57,8,1057,242,235,237,355,305,86,75,87,25,1637,632,371,3493,600,679,298,754,565,181,7579,47,37,54,78,101,82,44,75,6,524,66,52,75,98,126,62,79,89,9,653,22,25,26,19,17,11,10,33,5,169,58,58,107,88,90,84,105,105,70,762,2012,3793,4430,1773,1926,841,1192,1173,372,17516
SOSR514,81,144,66,100,75,50,28,38,0,581,124,127,107,240,130,80,30,68,5,919,362,132,1918,486,303,217,371,387,58,4225,22,13,25,59,53,37,26,54,0,291,41,28,50,81,58,47,50,38,8,392,10,12,16,19,18,10,9,13,0,97,29,24,51,48,50,50,54,63,33,400,994,1859,2347,1240,881,592,597,822,118,9457
SOSR515,196,330,147,210,161,67,52,76,21,1254,260,240,226,473,264,123,100,129,9,1815,805,413,4399,1033,859,400,1141,938,147,10125,55,56,66,127,165,108,70,161,7,821,90,65,98,172,147,79,85,145,12,902,21,25,21,28,37,15,24,47,6,225,100,68,134,124,117,113,157,207,99,1123,2253,4385,5371,2612,2171,1031,1747,1965,349,21873
SOSR521,130,155,50,108,88,25,25,36,5,625,120,113,111,190,138,49,39,46,11,817,450,198,1885,513,376,156,563,461,86,4688,21,12,22,50,64,44,18,61,4,308,51,30,40,81,106,35,40,60,11,444,25,13,15,15,21,3,9,37,5,143,55,34,84,74,53,54,83,133,46,622,1242,1819,2328,1212,1006,423,830,909,184,9949
SOSR522,63,66,26,50,26,5,12,14,0,277,50,36,29,84,62,19,24,23,9,343,194,96,687,223,141,69,196,213,25,1847,16,12,15,30,37,12,8,37,0,169,18,16,27,35,39,11,22,33,0,191,9,5,0,4,3,3,3,3,0,38,28,26,44,38,21,15,40,55,30,292,578,850,864,558,396,169,317,421,76,4228
SOSR531,1013,813,392,399,443,147,180,211,40,3625,914,543,552,613,582,216,260,279,61,4013,3083,757,9219,1538,1390,642,2445,2203,349,21627,199,66,116,160,227,139,115,253,15,1289,450,105,200,296,313,133,201,213,20,1938,115,84,51,55,64,31,40,81,10,536,537,152,222,209,235,108,262,306,134,2167,9440,9078,11346,3858,4328,1698,3760,4091,751,48353
SOSR579,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
SOSR599,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
SOSR603,477,789,266,448,498,134,41,71,49,2760,724,763,468,987,922,328,94,138,71,4498,1648,787,5606,2646,2172,1063,754,1079,235,15985,68,60,90,191,222,245,38,211,11,1143,139,138,101,406,356,162,61,146,36,1552,55,147,50,57,98,26,27,43,7,517,131,166,172,219,154,130,100,184,116,1367,6536,17418,7569,6749,6722,2774,1293,2311,787,52156
SOSR611,156,303,107,174,160,56,16,41,13,1015,248,337,195,457,347,131,45,72,23,1854,879,303,2451,1174,836,550,475,578,93,7344,34,12,42,95,115,108,30,106,9,554,53,39,46,184,151,88,41,75,8,693,14,57,12,29,40,11,7,19,3,205,43,62,74,91,59,57,58,109,67,617,2302,6161,3174,2758,2215,1191,731,1156,279,19963
SOSR612,42,88,40,64,38,11,6,10,6,294,71,69,59,159,114,31,7,25,5,535,242,107,872,395,282,179,164,227,29,2503,11,3,11,40,30,37,15,49,0,196,26,12,13,67,42,19,12,30,8,229,3,11,7,11,12,3,0,11,7,55,11,14,27,22,14,33,28,38,10,201,532,1117,1051,831,622,339,245,429,77,5223
SOSR613,48,101,35,79,56,4,4,14,10,353,78,120,68,213,124,44,20,24,7,693,364,136,1222,545,377,228,250,338,49,3507,15,9,26,42,50,60,20,59,7,294,19,16,16,87,67,31,16,33,5,297,3,10,4,8,7,3,3,3,0,49,23,15,25,50,26,41,34,52,20,281,729,1752,1442,1133,816,445,354,564,113,7347
SOSR614,12,35,7,20,12,6,3,4,0,101,18,37,22,56,23,7,4,11,4,190,98,33,429,204,93,74,95,88,24,1136,6,4,3,25,18,25,5,13,3,98,6,0,3,51,11,9,5,12,0,98,3,3,0,0,0,0,0,3,0,14,12,4,10,14,11,8,11,19,13,102,207,366,486,406,187,135,135,154,50,2121
