SOSR_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR721,24,41,19,30,23,3,3,4,0,141,40,30,36,67,35,6,4,14,6,238,111,102,305,134,101,36,77,71,29,959,8,22,11,39,25,11,9,5,4,132,18,23,11,51,18,8,9,9,7,161,0,9,4,3,3,0,0,3,3,18,15,44,5,40,12,18,9,46,72,257,346,699,422,485,285,98,116,192,123,2769
SOSR722,21,29,5,19,4,0,0,4,0,81,22,17,11,32,12,0,0,6,0,109,52,50,114,105,47,15,29,69,13,494,12,18,13,36,15,5,3,19,4,121,5,8,3,13,9,3,5,8,3,64,3,0,0,7,3,0,0,3,0,21,11,25,18,41,10,16,6,17,27,175,217,437,163,296,130,44,58,132,57,1532
SOSR731,84,130,52,66,64,13,15,25,0,441,183,120,106,181,172,40,19,40,20,878,514,236,1688,384,424,133,335,423,61,4203,32,31,20,42,56,23,8,58,5,276,34,25,41,61,84,27,21,42,9,356,3,18,7,8,12,3,4,8,3,63,62,44,67,62,64,27,48,97,43,514,1292,1646,2075,916,1084,296,480,748,170,8702
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
SOSR799,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
SOSR802,1619,2226,684,1068,1775,424,107,230,194,8339,2477,2585,1337,2235,3043,627,177,400,341,13217,3133,2262,9006,3721,4270,1393,1029,1511,562,26888,192,174,158,375,486,265,67,183,30,1936,386,394,191,496,914,263,100,204,74,3021,205,443,130,150,238,77,33,83,48,1416,252,388,288,264,396,172,73,219,309,2364,26527,56985,14264,13453,22959,5424,2082,4232,3575,149496
SOSR822,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,7,0,11,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15,8,9,8,0,3,0,80
SOSR831,7,10,0,3,8,0,0,0,0,32,11,8,7,8,3,0,0,0,0,34,21,5,40,17,11,3,3,9,0,112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,70,83,54,33,41,12,10,9,9,315
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
SOSR915,10,3,3,4,0,0,0,6,0,22,7,13,6,16,8,0,0,8,4,53,20,3,85,32,28,4,17,13,3,201,3,0,0,6,3,0,4,7,0,19,0,0,4,3,8,0,7,0,0,22,0,0,0,0,0,0,0,4,0,8,5,3,7,7,3,0,6,3,0,35,81,73,109,77,62,9,37,48,14,505
SOSR921,4,3,0,7,4,5,0,0,0,19,4,3,7,3,3,0,0,4,0,23,14,6,41,7,3,0,8,12,0,89,0,0,0,3,0,0,0,0,0,11,4,0,0,3,0,7,0,5,0,19,0,0,0,0,0,0,0,0,0,5,9,4,3,3,5,4,0,11,0,34,44,38,50,33,17,21,10,35,3,255
SOSR922,3,3,0,4,0,0,0,0,0,10,5,0,3,3,0,0,0,0,0,17,14,0,18,16,10,0,3,6,0,69,0,3,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,13,53,42,25,33,23,0,13,10,7,208
SOSR931,3,7,3,3,5,3,0,3,0,30,4,0,4,10,9,3,0,3,0,37,18,4,76,9,7,4,6,7,0,138,0,0,0,0,3,0,0,0,0,8,4,3,3,9,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,3,3,0,6,5,4,0,3,3,30,59,54,90,54,50,25,9,18,5,373
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
SOSR999,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
