SOSR_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOSR231,33,3,0,37,43,8,0,0,56,0,0,0,60,4,0,59,2379,252,71,49,2750,26,9,31,2785,157,7,2946,349,52,15,15,431,4,3,4,439,93,0,530,4,0,0,3,13,0,0,0,13,0,6,17,2733,306,86,67,3189,26,10,35,3232,248,15,3497,332,38,3,6,379,3,0,4,385,27,0,413,347,74,3,5,425,3,0,7,431,29,0,463,14,0,8,0,24,0,0,0,23,3,0,26,10,0,0,10,14,0,0,0,14,0,0,14,700,115,17,19,845,7,3,11,860,59,3,915,0,3,0,0,5,0,0,0,7,0,0,7,4,0,0,0,7,0,0,0,7,0,0,7,5,3,0,0,14,0,0,0,13,0,0,13,711,119,18,20,865,7,3,9,873,59,3,932,117,18,4,5,146,0,0,0,150,40,0,188,5,0,0,0,5,0,0,0,5,0,0,5,833,133,21,24
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,295,30,0,325,369,46,10,11,437,68,15,83,522,53,0,572,11946,1420,237,166,13763,471,91,555,14317,818,11,15149,2127,346,65,39,2572,101,26,136,2706,814,11,3531,4,6,0,6,13,0,0,0,13,4,18,41,14076,1771,296,212,16351,575,118,687,17039,1636,44,18722,2621,283,50,9,2974,94,28,120,3088,241,0,3334,1995,346,33,10,2384,62,6,72,2452,212,3,2669,104,19,31,0,155,6,0,6,154,11,0,171,24,3,0,39,66,4,0,5,68,13,0,80,4751,651,113,60,5571,159,35,196,5767,479,5,6251,51,13,0,3,69,15,3,14,90,10,0,97,64,17,0,3,84,10,8,22,104,23,0,126,118,28,0,7,156,23,13,34,192,30,0,221,4867,684,114,68,5727,190,43,233,5962,509,5,6475,943,179,33,29,1177,54,20,76,1254,540,0,1794,6,0,0,0,5,0,0,0,5,0,3,15,5812,862,143,91
SOSR302,50,3,0,53,57,17,3,0,75,25,5,29,103,5,0,104,2292,377,53,33,2754,87,23,104,2860,169,7,3037,340,70,9,7,433,18,3,17,451,136,0,585,4,0,0,0,4,0,0,0,4,0,3,6,2642,447,62,42,3190,103,25,121,3313,305,12,3630,512,75,7,4,600,12,4,18,616,48,0,669,312,81,9,0,402,18,9,23,421,41,4,462,11,4,3,0,18,0,0,0,20,4,0,22,3,3,0,8,12,0,0,0,12,0,0,15,839,168,19,9,1034,28,7,37,1075,94,3,1172,18,3,0,0,21,3,0,3,19,0,0,24,12,0,0,0,12,0,0,0,15,3,0,19,26,3,0,0,28,3,0,4,37,4,0,39,866,169,19,9,1065,30,12,41,1110,98,3,1213,151,37,0,7,194,10,4,16,209,88,0,295,0,0,0,0,0,0,0,0,0,0,0,0,1019,210,25,14
SOSR303,41,0,0,39,49,12,0,4,76,13,0,13,84,10,0,94,1869,241,51,34,2195,70,12,80,2275,126,3,2410,232,58,11,6,308,19,10,31,336,120,0,457,3,0,0,0,3,0,0,0,3,0,3,11,2105,297,59,45,2507,92,15,108,2618,243,4,2867,381,66,8,0,457,15,0,15,471,30,0,494,265,53,5,3,322,11,0,11,334,39,0,372,7,0,8,0,22,0,0,0,22,0,0,19,5,0,0,6,17,0,0,0,17,0,0,13,667,114,21,6,815,24,0,25,834,70,0,906,11,4,0,0,18,5,0,5,17,3,0,22,6,4,0,0,9,3,0,3,12,5,0,20,16,6,0,0,24,3,0,3,34,11,0,45,681,126,21,13,840,29,5,28,870,77,0,950,87,26,3,0,121,6,0,8,129,67,0,198,0,0,0,0,0,0,0,0,0,0,0,3,773,149,29,15
SOSR311,12,3,0,16,15,4,0,3,23,0,0,5,23,6,0,29,434,50,11,5,507,8,8,11,522,41,0,567,77,15,0,5,92,3,0,3,94,29,0,126,0,0,0,0,0,0,0,0,0,0,0,0,507,65,11,11,600,10,4,16,616,74,0,692,72,3,0,0,76,0,0,3,80,10,0,81,45,4,0,0,54,3,0,3,54,4,0,67,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,122,10,0,0,134,4,0,3,142,12,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,125,10,0,0,133,4,0,5,144,12,0,154,24,4,0,0,33,0,0,0,33,11,0,42,0,0,0,0,0,0,0,0,0,0,0,0,151,11,4,0
SOSR312,0,0,0,0,4,0,0,0,3,0,0,0,6,0,0,6,54,4,0,3,55,3,0,3,59,4,0,69,7,3,0,0,11,4,0,4,18,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,5,75,3,0,3,80,9,0,86,3,0,0,0,3,0,0,0,4,0,0,9,7,0,0,0,8,3,0,3,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,3,15,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,3,17,3,0,22,0,0,0,0,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4
SOSR313,3,0,0,3,3,3,0,0,12,0,0,0,14,0,0,14,201,35,0,3,235,4,0,4,244,22,0,264,32,10,0,3,42,3,0,3,45,24,0,74,0,0,0,0,0,0,0,0,0,0,0,0,239,37,0,3,285,6,0,6,291,42,0,337,34,3,0,0,44,0,0,0,45,7,0,47,25,13,0,0,38,0,0,0,44,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14,0,0,80,3,0,6,86,10,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,65,14,0,0,87,3,0,4,90,10,0,97,10,0,0,0,9,0,0,0,14,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,72,16,0,0
SOSR314,10,0,0,10,7,0,0,0,7,6,0,3,7,0,0,7,262,27,10,3,300,6,3,4,307,22,0,324,40,10,4,0,55,0,0,0,59,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,301,31,13,5,352,7,3,8,362,28,0,388,51,5,0,0,58,3,0,3,55,3,0,59,37,7,3,0,44,0,0,0,50,4,0,52,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,94,10,3,0,109,3,0,3,108,6,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,94,10,3,0,111,3,0,3,110,8,0,118,7,3,0,0,13,0,0,0,13,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,100,9,3,0
SOSR315,5,0,0,5,6,3,0,0,14,3,0,3,17,0,0,17,361,52,12,12,441,18,3,22,468,34,0,498,62,14,0,3,77,3,0,3,79,37,0,119,0,0,0,0,0,0,0,0,0,0,0,3,423,70,15,13,520,20,5,25,549,63,0,614,59,7,3,0,72,3,0,3,79,9,0,84,50,5,4,0,64,4,0,4,66,12,0,79,3,3,7,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,120,19,6,0,145,8,0,8,155,19,0,173,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,117,19,6,0,151,8,0,8,154,19,0,173,23,3,0,0,25,0,0,0,25,12,0,40,0,0,0,0,0,0,0,0,0,0,0,0,145,21,6,0
SOSR321,4,0,0,4,5,0,0,0,10,0,0,0,10,0,0,10,141,19,7,3,170,3,3,12,175,15,0,198,24,3,0,3,25,0,0,0,29,17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,160,26,5,7,195,5,3,12,207,35,0,238,25,4,0,0,27,0,0,0,33,3,0,33,20,6,0,0,24,0,0,0,23,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,4,0,49,3,0,3,52,10,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,44,8,4,0,50,3,0,3,54,10,0,64,10,3,0,0,13,3,0,3,12,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,53,11,4,0
SOSR322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,47,0,3,4,48,4,0,55,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,50,3,3,7,54,4,0,53,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,11,0,0,14,5,0,0,0,5,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
SOSR331,9,7,0,18,21,0,0,0,21,4,0,4,19,9,0,25,1046,142,19,18,1218,27,0,25,1244,89,0,1337,154,34,7,3,199,12,0,11,213,71,0,284,0,0,0,0,3,0,0,0,3,0,3,4,1202,172,30,17,1419,36,4,35,1454,161,8,1623,205,22,5,0,236,0,0,0,237,23,0,261,167,33,6,0,208,3,0,7,212,15,0,229,6,3,3,0,14,0,0,0,14,0,0,10,3,0,0,8,11,0,0,0,11,0,0,11,377,62,19,12,462,8,0,4,473,38,0,509,3,0,0,0,4,0,0,0,4,0,0,4,6,3,0,0,4,0,0,0,7,0,0,7,8,4,0,0,13,0,0,0,17,0,0,17,390,65,19,12,479,5,0,4,484,38,0,524,58,9,5,0,79,7,0,7,82,38,0,120,0,0,0,0,0,0,0,0,0,0,0,0,449,75,20,12
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,178,16,0,194,199,64,6,3,271,55,16,68,339,33,0,369,7358,1126,165,97,8743,250,48,300,9043,613,9,9662,1154,302,33,39,1531,68,25,97,1624,769,7,2397,9,0,0,8,16,3,0,3,16,0,11,29,8517,1425,201,146,10291,320,76,393,10683,1382,25,12088,1675,252,26,12,1961,61,9,69,2030,187,0,2222,1665,329,36,9,2034,44,7,59,2090,168,0,2261,59,14,33,0,106,6,0,6,110,21,0,130,20,5,0,22,42,0,0,0,42,3,0,46,3416,590,90,44,4144,113,23,133,4278,383,6,4661,33,14,3,0,47,14,3,20,65,12,0,76,39,16,0,0,52,5,7,10,63,10,0,76,68,29,3,0,101,22,7,28,127,26,0,147,3487,623,95,44,4245,128,26,156,4399,404,6,4812,589,171,22,17,802,52,18,71,865,547,3,1419,0,0,0,0,0,0,0,0,0,4,5,10,4073,794,115,65
SOSR412,8,0,0,8,12,0,0,0,12,0,0,0,9,0,0,10,255,36,6,3,306,5,4,6,313,23,0,333,38,3,0,0,37,0,0,3,43,24,0,69,0,0,0,0,0,0,0,0,0,0,0,0,293,41,10,3,348,5,3,9,355,43,0,402,40,3,0,0,42,3,0,3,44,3,0,50,25,6,0,0,30,0,0,0,30,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,0,0,74,3,0,3,78,9,0,87,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,3,62,11,0,0,78,4,0,4,84,9,0,92,11,0,0,0,14,0,0,0,16,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,77,13,0,3
SOSR413,6,0,0,12,9,3,0,0,10,0,0,0,14,0,0,19,348,57,9,3,409,9,3,15,422,36,0,456,51,8,0,0,60,0,0,0,60,16,0,76,0,0,0,0,0,0,0,0,0,0,0,0,395,64,7,3,470,9,3,15,484,54,3,541,65,7,0,0,79,0,0,0,79,12,0,91,73,6,0,0,77,0,0,0,77,6,0,87,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,139,20,5,0,165,0,0,0,165,17,0,181,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,0,5,0,0,0,0,3,0,0,3,7,0,0,8,143,19,5,0,166,0,0,3,165,23,0,188,27,3,0,0,33,3,0,3,38,14,0,51,0,0,0,0,0,0,0,0,0,0,0,0,174,22,4,0
SOSR414,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,58,12,0,0,70,0,0,0,72,4,0,73,12,0,3,0,15,0,0,0,15,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,66,12,3,0,87,0,0,0,87,9,0,91,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,14,0,0,0,14,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,14,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0
SOSR415,7,0,0,7,3,0,0,0,3,0,0,0,7,0,0,7,310,47,16,6,377,4,3,8,386,29,0,416,38,9,3,0,52,3,0,3,51,15,0,68,0,0,0,0,3,0,0,0,3,0,0,3,348,57,18,4,433,10,3,10,438,37,0,478,52,4,0,0,59,0,0,0,59,0,0,58,33,4,3,0,43,0,3,3,50,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,13,4,0,102,0,3,3,105,5,0,113,3,0,3,0,9,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,4,0,0,3,7,0,0,7,89,13,9,0,112,0,3,3,119,5,0,124,17,5,0,0,18,0,0,0,18,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,111,15,9,0
SOSR421,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,99,14,4,4,116,0,0,0,117,12,0,129,15,3,0,0,16,0,0,0,21,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,113,13,4,4,137,6,0,6,138,16,0,160,14,0,0,0,14,0,0,0,17,0,0,13,23,3,0,0,31,0,0,0,31,0,0,31,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,44,3,0,4,50,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,46,3,0,4,52,0,0,48,3,0,0,0,7,0,0,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0
SOSR422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,0,0,57,0,0,0,60,3,0,68,4,0,0,0,4,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,3,3,50,11,0,0,59,0,0,0,61,6,3,73,3,0,0,0,8,0,0,0,8,0,0,8,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
SOSR431,7,0,0,7,11,0,0,0,19,3,0,3,20,3,0,22,614,79,18,12,724,3,0,10,730,37,3,766,75,16,0,5,94,0,0,0,93,32,0,124,3,0,3,0,5,0,0,0,5,0,0,5,688,96,19,15,819,3,0,11,831,66,0,903,104,11,0,0,115,0,0,0,115,9,0,127,90,29,3,0,125,0,0,0,125,7,0,136,6,0,3,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,209,40,6,3,256,0,0,0,256,22,0,274,5,0,0,0,5,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,10,0,0,0,11,0,0,0,11,0,0,11,212,40,6,3,264,0,0,0,262,22,0,286,34,6,0,0,36,0,0,0,36,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,243,42,11,3
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
