SOSR_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,2782,7216,17789,16072,14653,9716,2648,303,34,71219,3850,10783,28036,23747,21611,13442,3878,789,209,106342,82091,194256,531171,480629,414102,269934,68146,7558,1020,2048906
SOSR102,897,2093,4001,3697,3629,2425,599,72,12,17420,901,1785,3224,3301,3594,2459,705,214,52,16239,25731,43146,89936,93558,96640,67648,13204,1357,175,431399
SOSR111,115,293,647,505,466,328,75,15,3,2448,127,241,443,397,425,299,100,20,14,2068,3556,5577,12721,12038,11762,8351,1658,142,27,55831
SOSR112,369,907,1729,1512,1503,1133,385,45,3,7598,457,653,1317,1254,1342,1029,374,118,28,6585,12036,17974,39349,38555,40961,32191,7758,954,116,189897
SOSR113,239,535,954,959,950,678,188,25,3,4523,247,450,727,751,861,715,253,80,40,4125,6529,9218,20457,20985,23594,18857,4209,503,106,104451
SOSR114,212,497,821,751,767,604,195,25,4,3878,258,365,686,763,746,663,239,84,32,3838,5691,7755,17084,18929,20660,16859,4089,539,95,91699
SOSR115,329,627,1143,1153,1119,889,268,36,9,5582,367,527,1010,1128,1270,1061,369,116,43,5899,8121,11336,25440,28314,32130,26652,6430,815,166,139406
SOSR121,94,149,299,298,386,236,89,5,3,1568,102,134,249,287,392,307,97,28,12,1613,2317,2804,5932,7896,9662,7841,1788,245,40,38532
SOSR122,50,87,155,132,191,161,35,3,0,815,60,56,126,177,205,194,65,25,5,904,1251,1459,3137,4274,5374,4542,1147,157,21,21364
SOSR131,676,1013,1482,1812,2203,1596,463,57,8,9314,772,860,1321,1924,2700,2103,1057,419,76,11236,14631,17362,33132,47544,64534,54217,19128,4188,665,255400
SOSR179,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
SOSR199,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
SOSR201,2051,7204,18169,15276,14873,9547,2568,294,34,70016,3133,9575,24658,21223,20775,12928,3979,823,262,97352,80544,190212,513039,454577,409017,261707,63358,6727,1087,1980273
SOSR203,84,335,614,485,480,360,102,15,3,2466,143,306,580,532,538,406,124,33,18,2688,3919,7852,15990,14684,14539,10644,2213,240,48,70130
SOSR211,211,589,1083,839,814,682,192,15,3,4432,283,536,886,962,951,663,187,56,9,4539,7202,13107,27376,24910,24401,18284,3661,362,65,119360
SOSR212,149,351,673,596,602,421,106,19,5,2922,177,286,620,570,608,428,140,36,17,2871,4807,7287,15976,15268,16333,12038,2592,250,55,74610
SOSR213,206,518,985,828,857,676,185,31,3,4284,277,400,814,792,898,711,230,75,25,4214,6682,9334,21512,22474,23812,18509,3948,514,84,106877
SOSR214,105,233,445,392,448,403,98,18,3,2144,152,203,388,459,509,440,148,64,14,2383,3285,4402,9514,10811,12863,10393,2494,337,71,54179
SOSR215,165,394,778,680,766,577,206,28,3,3593,224,385,617,736,953,772,291,88,20,4084,4705,7119,16247,18327,20624,17073,4345,547,125,89120
SOSR221,47,115,194,209,188,157,53,0,0,965,55,63,147,218,264,243,85,23,10,1104,1248,1644,3823,4881,6088,5166,1265,162,40,24320
SOSR222,26,57,101,112,121,102,31,4,0,547,51,59,121,111,168,142,53,20,5,729,805,1095,2514,3094,3971,3579,808,115,28,16005
SOSR231,433,698,1002,1227,1744,1289,355,36,7,6790,598,699,1015,1515,2238,1886,913,290,71,9210,11331,13855,25363,36129,50857,43557,14633,2963,520,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
SOSR299,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
SOSR301,1755,4368,9611,7875,7305,4794,1215,138,6,37069,2014,4615,10119,9492,8379,5093,1506,335,98,41640,54355,104138,238375,223433,204156,128503,27962,2589,317,983828
SOSR302,405,998,2498,2322,2004,1360,417,26,0,10033,616,1167,2661,2729,2652,1779,606,134,32,12379,14730,24358,55320,56426,54143,36762,10325,1033,109,253203
SOSR303,618,1406,2781,2473,2423,1572,465,39,0,11778,659,1016,2172,2410,2389,1721,550,136,34,11096,19168,28773,61604,63885,65759,45204,10413,985,119,295899
SOSR311,265,544,1045,873,871,631,156,15,0,4400,232,398,779,746,801,503,163,54,20,3694,6688,9164,20779,19970,21639,15221,2871,326,43,96707
SOSR312,47,122,201,170,167,111,26,10,0,859,59,112,199,195,212,97,29,6,0,910,1443,2173,4854,4724,4873,3131,572,60,10,21827
SOSR313,207,387,683,600,492,381,99,12,0,2869,193,256,491,485,506,378,162,49,19,2538,4385,6175,13855,13703,14315,10248,2288,280,45,65297
SOSR314,185,344,625,605,551,381,115,16,3,2819,199,274,627,569,536,389,158,44,12,2806,4447,5993,14522,14968,14946,10244,2397,298,48,67857
SOSR315,304,486,942,828,827,585,155,12,3,4144,264,384,786,853,904,730,224,61,14,4215,5933,8316,19512,21364,22383,16566,3655,437,53,98215
SOSR321,109,172,320,344,361,263,85,10,0,1662,107,133,271,364,381,304,130,22,3,1717,2283,2723,6192,8049,9608,7591,1747,198,35,38433
SOSR322,41,74,147,143,128,134,37,0,0,702,42,63,98,145,203,173,60,11,0,794,807,1150,2605,3279,4103,3604,885,124,10,16567
SOSR331,544,713,1168,1463,1634,1165,317,27,7,7040,576,661,1264,1784,2289,1805,750,279,37,9452,11498,13236,27246,38878,50388,39084,12252,2529,344,195465
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
SOSR399,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
SOSR401,653,2209,4893,4296,4515,3259,941,115,8,20882,668,1660,3932,3552,3577,2477,833,230,76,17005,24876,50353,119757,112893,114423,81748,18407,1871,261,524576
SOSR412,59,143,281,221,253,205,58,8,0,1220,53,99,194,199,221,162,39,19,6,993,1914,2942,6348,6349,7527,5314,929,113,15,31455
SOSR413,72,176,327,328,341,273,91,15,0,1629,74,102,235,271,281,209,79,25,9,1285,2560,3808,7876,8673,9823,7556,1878,210,30,42410
SOSR414,19,42,80,62,80,65,26,3,0,376,22,24,73,54,68,49,19,13,4,324,524,733,1796,1833,2084,1837,516,68,15,9400
SOSR415,82,188,384,352,368,316,66,13,0,1777,93,131,224,282,326,257,107,30,14,1458,2573,3809,8372,9199,10641,8429,2112,307,59,45512
SOSR421,27,51,106,119,116,102,29,5,0,553,36,27,64,84,138,101,40,16,8,512,709,1041,2417,2712,3429,2936,752,123,18,14144
SOSR422,21,44,73,61,56,62,11,3,0,329,21,20,38,46,60,72,19,16,0,297,380,566,1304,1442,1973,1767,464,81,12,7992
SOSR431,155,242,337,438,592,421,112,16,0,2312,166,165,328,399,630,535,245,81,15,2561,3514,4552,8883,12929,18276,15667,4995,898,164,69883
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SOSR499,4,0,0,7,5,0,0,0,0,23,0,6,15,8,9,8,3,0,0,46,23,88,242,125,131,102,24,3,0,734
SOSR501,1558,4127,9406,7198,6905,4706,1256,150,14,35315,1795,4077,10116,9118,8765,5387,1721,385,72,41422,44345,85651,217399,195435,187098,125554,30293,3079,339,889202
SOSR511,96,162,314,278,282,170,48,5,0,1349,87,108,247,268,268,201,53,9,0,1240,2060,2645,6439,6956,7281,5026,1006,87,10,31516
