SOSR_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOSR211,4,32,163,311,98,48,25,10,0,690,0,0,3,19,37,46,55,37,19,215,0,23,11,29,13,16,11,3,3,116,13,82,85,348,487,597,641,408,186,2845,0,5,21,67,29,20,3,3,0,156,0,3,3,13,14,11,15,3,0,61,0,4,9,37,41,67,198,81,53,504,0,0,0,3,7,27,28,33,9,109,0,0,6,16,10,9,8,0,0,54,29,111,101,964,83,82,47,19,11,1443,3,4,10,73,29,11,6,0,0,140,3,13,14,33,7,3,11,0,0,80,0,0,3,26,6,3,5,3,0,50,0,8,9,46,16,27,38,15,9,172,0,0,0,14,28,63,63,61,37,260,0,8,4,53,11,7,6,3,0,91,0,8,4,53,13,0,0,0,0,81,0,0,0,12,17,8,9,0,0,53,3,24,22,83,52,42,18,9,0,251,0,4,5,41,32,103,120,45,8,365
SOSR212,3,17,37,164,56,23,21,4,4,323,0,0,0,6,17,10,21,12,9,74,0,11,0,10,6,5,11,0,3,50,10,51,39,216,306,355,441,251,126,1797,0,5,11,41,12,17,5,5,0,89,0,3,3,11,16,6,3,3,4,47,0,3,9,21,21,48,114,47,24,293,3,0,3,9,12,20,49,65,9,166,0,3,18,43,8,12,4,0,0,85,22,67,68,591,82,63,35,21,3,949,4,0,0,39,3,3,4,4,3,65,5,31,10,28,0,0,0,0,0,74,4,9,45,138,33,14,4,0,0,255,3,13,10,35,24,27,25,10,11,151,0,0,0,18,44,94,200,184,104,646,3,4,3,33,11,0,0,0,0,59,0,3,17,55,3,0,0,0,0,76,0,3,4,3,12,3,0,0,0,20,3,13,32,135,30,30,8,7,0,254,0,0,0,12,7,33,38,10,4,115
SOSR213,3,9,33,150,65,32,10,3,0,299,0,0,0,8,25,18,34,18,3,113,0,10,0,10,0,5,14,3,3,46,12,127,91,428,601,787,995,661,298,4005,0,3,6,31,29,14,5,6,0,94,0,3,3,17,10,5,9,6,0,56,0,3,7,66,27,82,248,104,71,612,0,3,0,3,11,31,30,28,9,115,0,3,7,28,5,13,3,0,0,68,19,37,25,386,39,36,29,13,12,598,0,4,11,43,12,9,8,3,0,92,0,3,4,17,5,0,0,0,0,28,0,0,7,0,3,0,0,0,0,10,0,20,3,65,24,37,24,29,8,222,0,0,0,15,36,112,194,234,113,704,0,10,3,36,10,8,3,0,3,72,0,0,5,28,3,0,0,0,0,39,0,0,0,8,4,4,0,0,0,17,4,9,11,78,30,36,12,3,0,184,0,0,0,4,13,52,102,54,19,243
SOSR214,3,8,48,76,35,13,9,3,0,192,0,0,0,3,5,14,13,10,3,53,0,0,0,7,0,3,6,9,0,29,6,53,33,192,321,445,596,428,175,2246,0,0,0,16,8,8,3,0,0,38,0,0,3,5,8,3,3,0,3,29,0,0,4,26,24,50,138,54,35,340,0,0,0,3,6,15,31,20,3,75,0,0,5,19,6,0,3,0,0,32,9,19,14,221,19,27,16,7,3,331,0,5,5,21,4,7,8,3,0,53,0,0,0,5,0,0,0,0,0,12,0,4,3,22,9,0,0,0,0,34,0,3,3,27,14,26,32,15,7,120,0,0,0,6,36,56,116,110,38,360,0,0,5,27,9,3,4,0,0,47,0,0,8,9,8,0,0,0,0,21,0,0,0,0,3,3,0,0,0,8,0,9,16,33,21,20,3,3,3,110,0,3,6,3,5,39,49,24,0,132
SOSR215,0,8,29,89,43,21,7,10,3,204,0,0,0,9,22,11,26,22,3,88,0,0,3,9,0,9,11,3,5,43,3,73,65,356,609,753,1066,637,261,3826,0,3,0,21,19,7,8,0,0,62,0,3,0,20,9,19,4,8,0,66,0,3,3,59,64,74,199,89,67,559,0,0,0,4,10,30,26,12,8,91,0,0,6,28,6,11,0,0,0,51,12,25,22,220,19,32,27,18,6,366,0,0,0,25,7,5,4,7,6,58,0,0,0,14,0,0,0,0,0,18,0,0,0,14,0,0,0,0,0,16,0,5,3,48,32,27,42,27,12,203,0,3,9,12,24,74,133,143,86,476,0,10,3,32,9,7,5,0,3,68,3,0,9,23,3,0,0,0,0,32,0,0,0,3,7,3,0,3,0,17,6,9,7,55,22,32,9,4,0,139,0,0,3,7,9,48,46,15,3,132
SOSR221,0,0,0,14,3,4,8,0,0,26,0,0,0,0,3,4,0,3,0,17,0,0,0,6,0,0,0,0,0,5,0,19,10,87,185,294,357,166,59,1175,0,0,0,8,3,4,0,0,0,16,0,0,0,4,8,0,6,0,3,23,0,0,0,13,15,32,56,35,12,162,0,0,0,0,0,4,18,8,3,31,0,0,3,4,0,0,0,0,0,5,0,7,4,44,5,6,6,3,0,78,0,3,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,8,5,9,0,48,0,0,0,0,4,16,24,12,5,62,0,0,0,5,3,0,5,0,0,17,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,12,7,11,3,3,0,40,0,0,0,5,0,7,12,7,0,38
SOSR222,0,7,0,21,9,0,4,0,0,42,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,3,0,0,3,0,9,8,73,110,204,192,80,30,712,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,0,14,0,0,0,10,9,17,27,16,4,90,0,0,0,0,3,4,8,0,0,10,0,4,3,5,0,0,0,0,0,8,0,3,0,23,6,7,3,3,3,40,0,0,4,8,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,3,0,0,36,0,0,0,0,3,17,6,8,4,37,0,0,3,8,4,0,0,0,0,13,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,3,0,0,0,16,0,0,0,0,6,5,9,0,0,17
SOSR231,3,19,41,104,70,45,25,7,0,311,0,0,0,14,30,62,74,49,11,235,0,0,0,8,0,14,18,3,0,39,9,119,163,637,1290,1720,1564,569,168,6242,0,12,3,43,17,17,3,0,0,94,0,6,14,38,16,9,18,4,0,108,0,9,31,111,129,169,320,118,39,932,0,3,3,3,27,60,73,63,16,249,0,3,11,27,18,16,3,0,0,76,10,27,45,350,58,81,34,12,4,614,0,4,0,52,22,17,13,3,3,109,0,0,0,4,3,4,0,0,0,13,0,0,0,20,3,3,0,0,0,34,0,18,10,75,49,56,60,19,3,287,4,3,4,34,71,233,339,241,71,996,0,9,9,48,23,15,7,0,0,104,0,3,3,19,6,4,0,0,0,41,0,0,3,17,14,15,3,3,0,56,0,4,18,74,55,41,22,8,0,235,0,0,0,21,27,130,146,32,5,359
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,4,43,31,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,24,32,16,18,16,3,0,116,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,3,3,3,0,6,0,0,19,0,0,0,0,3,0,0,3,0,3,0,0,5,11,0,0,0,0,0,18,3,0,12,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,0,0,12,0,0,3,4,0,0,0,0,0,9,0,0,6,7,3,0,8,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,8,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4
