SOSR_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOSR301,170,620,5224,9163,2409,1585,768,454,168,20569,0,3,27,169,197,170,170,146,41,922,14,90,57,133,48,59,97,44,21,563,265,2329,2736,7628,8022,6122,6053,3653,1593,38400,14,129,373,2030,1004,824,386,165,34,4968,12,70,146,612,236,133,116,69,23,1421,15,84,250,995,621,512,1068,390,233,4170,6,21,30,71,67,140,286,290,127,1030,36,151,862,1470,542,694,255,93,24,4124,333,1100,1492,9932,1291,849,519,258,115,15878,34,170,372,1159,371,240,208,118,39,2714,31,233,247,1325,222,120,67,25,14,2282,41,124,132,399,120,62,19,4,3,913,31,238,126,1274,402,317,283,204,104,2977,15,45,87,373,211,357,662,706,371,2830,49,149,447,1823,543,177,96,47,37,3361,82,389,1019,3693,737,247,99,35,3,6307,4,20,11,107,104,90,60,21,6,422,57,263,1083,2031,914,775,446,148,41,5763,0,4,10,31,33,83,158,66,24,406
SOSR302,37,140,853,1773,625,323,163,66,21,4009,0,0,12,67,67,95,104,80,22,448,3,6,13,42,30,52,68,35,28,278,77,741,1009,2579,2631,2250,2525,1514,716,14044,0,18,38,172,112,85,37,28,5,495,3,22,36,142,63,62,50,36,14,429,3,15,79,269,166,181,393,243,114,1463,0,3,12,24,24,29,92,54,17,257,13,38,167,229,137,142,46,10,0,786,32,105,213,1037,164,106,90,51,27,1816,4,21,64,240,98,85,43,24,20,591,0,22,22,187,49,54,23,16,10,386,3,8,20,51,19,18,3,3,0,122,11,42,36,191,96,90,87,56,20,634,0,10,29,89,67,122,192,124,66,691,20,153,242,1397,619,199,118,45,17,2808,10,93,288,789,317,96,52,21,3,1675,0,3,0,30,29,28,19,11,0,120,3,35,106,297,215,154,78,29,14,933,0,0,0,7,18,61,122,44,22,267
SOSR303,12,62,142,609,235,128,53,36,17,1299,0,0,0,11,28,30,22,27,12,138,3,21,3,29,13,17,18,12,11,128,79,719,839,2509,2771,2207,2574,1543,635,13886,3,25,63,155,100,80,34,28,6,508,3,16,51,168,61,51,45,23,7,419,7,35,92,398,278,247,426,244,105,1824,0,0,3,14,11,16,23,33,6,118,0,22,42,123,39,62,13,10,0,308,51,181,214,1355,215,103,85,50,17,2266,10,29,36,211,65,51,47,18,20,476,0,20,25,76,19,18,24,3,0,178,32,62,15,101,12,3,0,0,0,227,3,50,37,214,120,75,95,59,28,672,6,15,29,110,60,95,139,126,88,668,19,86,98,920,321,70,39,11,11,1571,18,50,103,656,72,18,5,3,0,925,0,4,0,10,16,4,3,3,0,38,9,28,68,226,160,108,56,34,10,688,0,0,3,15,14,36,52,18,3,135
SOSR311,4,14,23,150,71,37,6,8,3,317,0,0,0,0,10,4,8,9,0,36,0,3,0,5,3,3,8,3,0,30,6,105,161,411,580,627,841,549,199,3480,3,10,26,71,52,26,6,8,3,203,0,0,9,17,9,12,16,3,0,70,3,7,19,52,54,73,125,89,29,444,0,0,0,0,4,4,3,0,3,13,0,6,11,49,13,7,3,3,0,89,18,73,43,424,41,17,24,12,0,655,3,13,8,43,21,17,15,14,3,130,0,0,0,16,0,0,3,0,0,25,0,5,0,9,0,0,0,0,0,10,0,5,9,45,13,10,25,20,10,144,0,0,3,25,12,23,41,43,33,181,3,3,12,61,9,0,0,0,0,92,3,3,15,90,7,4,0,0,0,119,0,3,0,0,3,0,0,0,0,6,0,4,12,77,24,33,13,3,4,173,0,0,0,0,3,14,60,30,20,139
SOSR312,0,9,3,40,18,7,0,3,0,82,0,3,0,0,3,5,0,0,0,10,3,11,0,10,0,3,0,0,0,30,3,12,14,80,101,125,131,74,31,577,0,3,7,25,15,5,5,0,0,57,0,0,0,3,0,0,5,3,0,11,0,3,3,9,7,23,20,10,10,82,0,0,0,4,0,0,0,3,0,13,0,3,0,0,0,0,0,0,0,3,11,32,13,150,16,12,4,3,0,231,0,3,3,16,3,3,0,0,0,35,0,0,0,15,3,3,0,0,0,21,0,0,0,8,0,0,0,0,0,12,0,3,0,14,4,3,5,3,0,42,0,3,0,8,0,3,0,3,3,27,0,0,0,10,6,0,3,0,0,19,0,5,0,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,13,6,8,0,0,0,38,0,0,0,0,0,3,4,0,0,4
SOSR313,0,6,5,61,23,16,7,6,0,140,0,0,0,0,3,7,12,3,0,30,0,0,0,5,3,0,0,7,0,17,14,73,84,310,430,439,619,408,160,2536,0,3,16,60,23,21,7,3,0,138,0,0,0,10,8,14,14,5,3,57,0,8,17,48,51,49,92,57,31,348,0,0,0,0,0,3,3,0,0,11,0,0,3,7,5,7,0,0,0,30,3,19,18,182,23,18,11,13,3,297,0,4,4,31,13,8,12,10,3,89,0,0,0,11,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,13,3,47,17,13,21,7,0,119,0,0,3,6,8,9,15,17,8,79,0,3,7,36,10,10,4,0,3,65,0,0,9,35,3,0,0,0,0,50,0,0,0,0,0,0,0,3,0,8,0,4,7,26,29,16,6,0,0,90,0,0,0,0,0,5,13,3,3,22
SOSR314,0,5,28,84,38,20,6,3,3,181,0,0,0,4,7,3,8,3,3,27,0,0,0,3,0,0,0,3,0,7,12,90,154,432,507,385,495,246,98,2427,0,9,9,31,14,15,9,0,0,81,0,8,12,20,14,4,9,7,0,74,0,4,18,69,27,53,75,44,18,305,0,0,0,0,0,7,5,17,0,34,0,0,27,32,3,3,0,0,0,63,9,29,39,303,30,31,16,6,4,464,0,5,4,31,13,15,3,0,3,74,0,0,0,14,0,3,3,0,0,20,0,3,3,8,0,0,0,0,0,12,3,13,10,58,23,15,12,9,5,138,0,3,10,16,14,34,111,150,80,414,0,8,23,98,22,5,7,0,0,171,0,6,48,92,4,0,0,0,0,156,0,0,0,3,0,3,0,0,0,9,0,4,11,34,20,21,4,4,0,103,0,0,0,0,4,0,12,6,9,31
SOSR315,3,14,9,75,30,19,7,0,3,160,0,0,0,7,7,9,5,3,0,37,0,3,0,0,0,3,4,3,7,21,14,113,157,542,740,847,1031,509,158,4111,3,4,14,34,27,23,12,5,0,122,0,0,17,46,27,13,14,13,6,134,0,4,21,89,73,119,157,74,38,576,0,0,0,3,0,7,4,3,7,17,0,3,11,19,10,7,3,3,0,54,9,19,22,155,13,23,20,8,5,269,4,6,12,45,19,15,13,3,10,113,0,0,0,3,0,0,0,0,0,12,0,0,0,3,0,0,3,0,0,8,0,20,5,61,34,17,32,15,10,192,0,0,6,20,11,31,75,117,86,356,3,11,17,99,16,8,0,0,0,158,0,3,42,121,3,3,3,0,0,172,0,0,0,0,3,0,3,0,0,9,0,0,3,37,31,37,22,4,0,134,0,0,0,5,0,8,21,9,0,43
SOSR321,0,0,0,10,8,4,4,0,0,39,0,0,0,0,3,0,0,4,0,11,0,0,0,0,0,3,3,0,0,7,0,37,71,222,358,384,466,201,39,1778,0,7,3,14,4,13,5,0,0,49,0,3,0,5,4,6,11,0,0,31,0,5,6,37,43,41,78,31,9,247,0,0,0,0,0,0,3,0,0,5,0,0,0,5,5,4,0,0,0,20,3,3,0,37,5,9,8,3,0,70,0,3,0,20,7,7,8,5,4,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,8,6,5,0,55,0,0,6,12,8,14,20,14,11,77,0,3,9,36,7,3,0,0,0,55,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,9,9,3,0,51,0,0,0,0,0,6,5,3,4,18
SOSR322,0,0,0,0,5,0,0,0,0,10,0,0,0,0,3,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,17,65,129,138,178,72,19,625,0,0,0,8,3,6,0,0,0,13,0,0,0,5,0,3,0,0,0,11,0,0,0,10,4,18,39,7,3,87,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,16,3,3,0,0,0,27,0,0,0,9,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,7,0,0,31,0,0,0,5,0,0,17,19,20,68,0,0,0,17,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,14,0,0,0,0,0,3,6,3,0,14
SOSR331,3,16,21,89,57,29,12,11,0,241,0,0,0,0,11,19,11,20,0,62,0,0,0,0,3,3,3,5,4,22,14,180,292,918,1702,1627,1638,572,116,7048,0,3,6,52,40,42,19,5,3,171,0,10,20,52,34,31,35,7,0,188,5,8,37,176,191,213,286,90,23,1027,0,0,0,3,4,6,8,5,3,32,0,9,31,36,16,20,5,4,0,116,7,15,13,106,29,26,35,12,10,249,0,13,8,55,22,28,26,9,3,173,0,0,0,5,4,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,19,20,78,51,38,37,28,3,262,0,0,5,21,33,70,134,104,45,413,4,0,25,98,43,17,13,3,0,207,0,10,16,65,3,11,0,0,0,105,0,0,0,3,3,5,0,0,0,12,0,4,15,60,55,69,30,0,0,240,0,0,0,3,10,28,56,21,6,110
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,3,20,37,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,88,47,90,90,12,0,411,0,0,0,4,0,0,0,0,0,10,0,0,15,22,0,3,0,0,0,42,0,0,18,12,0,10,4,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,16,3,0,3,15,0,0,3,0,0,26,0,0,4,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,15,4,3,3,0,0,0,32,0,0,6,15,0,0,0,0,0,21,0,0,0,15,0,0,3,0,0,16,0,0,9,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SOSR401,100,495,3406,6181,1262,911,416,190,70,13034,0,3,25,180,202,245,270,252,79,1263,14,77,37,170,59,86,111,65,47,660,111,1214,1658,4112,7434,7381,6722,4908,2303,35853,0,16,37,210,108,88,58,25,4,541,5,29,45,175,104,76,61,51,21,569,3,42,112,399,339,530,1308,693,530,3957,0,28,49,127,188,625,1172,1433,465,4084,21,60,503,593,138,225,100,22,9,1658,292,1209,1040,7726,818,502,362,203,87,12241,33,81,112,545,118,68,72,36,15,1079,23,203,297,1011,221,150,86,43,21,2046,11,52,115,280,102,46,25,7,3,654,6,83,50,282,171,200,190,209,77,1268,10,31,68,234,468,1319,2425,2713,1292,8563,12,38,115,492,151,40,40,13,7,921,27,177,318,1016,252,66,21,6,0,1879,6,12,50,184,138,148,103,44,26,715,48,203,844,1531,479,435,334,89,38,4001,0,0,6,20,34,137,236,132,60,620
SOSR412,0,0,7,23,16,5,0,0,0,60,0,0,0,0,0,6,12,10,0,31,0,0,0,3,0,0,4,0,0,8,4,29,37,156,541,640,523,454,176,2563,0,0,4,11,0,3,0,0,0,25,0,0,0,3,9,5,3,4,3,29,0,3,0,13,28,25,76,40,30,214,0,0,0,0,0,3,15,12,7,41,0,0,0,7,0,0,0,0,0,14,3,14,10,64,4,5,7,3,3,117,0,3,0,18,5,3,0,0,0,25,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,8,10,11,4,51,0,0,0,3,5,17,38,65,25,153,0,6,0,6,3,0,0,0,0,12,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,7,7,4,0,45,0,0,0,0,0,5,12,3,0,21
SOSR413,0,15,19,125,36,11,4,0,0,213,0,0,0,0,3,11,12,15,3,40,0,0,0,0,0,0,0,0,0,3,6,63,96,224,498,578,713,485,168,2831,0,0,5,13,11,0,3,0,0,26,0,3,5,10,8,3,7,6,0,39,0,3,3,19,35,59,118,51,28,322,0,0,0,3,3,4,11,10,3,40,0,0,3,7,3,3,0,0,0,18,5,22,14,121,12,10,11,11,3,207,0,0,5,12,3,8,3,0,0,37,0,0,5,17,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,4,13,8,13,14,8,5,76,0,0,0,3,8,13,50,64,32,175,0,3,4,22,7,5,5,0,0,55,0,0,10,16,3,0,3,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,4,33,9,6,3,0,0,66,0,0,0,0,0,6,7,6,6,23
SOSR414,0,3,0,12,5,3,3,0,0,27,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,9,9,46,109,157,271,182,74,861,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,6,8,14,28,25,24,100,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,6,0,0,0,9,0,3,0,0,0,16,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,8,0,21,0,0,0,0,3,3,4,3,3,14,0,0,0,5,0,0,0,0,0,10,0,0,4,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0
SOSR415,0,10,7,33,10,5,0,0,0,63,0,0,0,0,3,3,9,9,7,34,0,0,0,0,0,0,0,3,0,7,6,61,87,289,603,682,691,476,158,3057,0,0,0,6,0,3,0,0,0,10,0,3,4,7,13,5,3,0,0,39,0,0,4,32,45,49,103,62,44,335,0,0,3,3,4,22,48,62,9,151,0,0,0,12,0,3,0,0,0,22,6,24,8,113,19,17,11,3,3,204,0,0,0,18,4,3,3,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,13,12,8,5,10,3,56,0,0,8,3,11,21,46,62,17,163,0,0,0,15,6,0,0,0,0,26,0,6,0,19,4,0,0,0,0,26,0,0,0,0,3,3,0,0,0,7,0,0,0,24,10,5,5,0,0,53,0,0,0,0,3,7,7,0,0,24
SOSR421,0,0,3,6,7,7,0,0,0,19,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,10,22,62,210,218,227,129,51,934,0,0,0,0,0,3,0,0,0,4,0,0,0,3,6,0,0,0,0,5,0,0,0,9,3,7,29,8,11,72,0,0,0,0,0,0,6,0,0,8,0,0,3,3,0,0,0,0,0,10,5,3,0,11,0,7,3,0,0,29,0,0,0,3,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,20,0,0,0,0,0,4,10,11,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,7
SOSR422,0,0,0,3,3,0,4,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,23,124,134,130,56,9,492,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,19,13,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,4,20,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,5,0,0,12,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4
SOSR431,0,4,3,31,11,7,3,0,0,64,0,0,0,0,3,9,13,5,0,31,0,0,0,0,0,0,3,3,0,7,0,60,84,298,793,1062,793,315,56,3459,0,0,3,8,6,3,0,0,0,26,0,0,0,18,16,8,11,3,0,45,0,0,4,52,59,76,101,51,17,363,0,0,0,3,9,40,60,55,12,168,0,4,0,8,4,0,0,0,0,18,4,3,3,56,22,21,17,8,3,146,0,0,3,18,8,6,0,3,0,39,0,0,0,9,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,25,17,16,9,8,0,87,0,0,6,8,19,62,73,88,16,267,0,4,3,7,13,0,0,0,0,33,0,6,4,12,0,0,0,0,0,25,0,3,0,4,3,0,3,3,0,17,0,3,7,15,13,15,12,0,0,63,0,0,0,3,0,7,4,3,0,24
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,10,19,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,148,629,2151,6860,2110,1253,463,259,127,14001,0,15,34,365,308,472,431,354,135,2116,16,150,57,252,96,116,156,84,55,984,445,4138,5323,16760,17061,13359,12008,7383,2920,79404,0,30,32,220,102,93,34,13,4,532,18,68,134,799,226,106,96,62,14,1525,18,89,272,1225,686,531,1046,375,272,4519,3,25,13,82,71,140,264,360,158,1118,36,122,471,1328,369,417,176,70,22,3010,413,1459,1920,11556,2144,1736,1484,820,359,21889,65,364,763,3080,900,595,339,129,63,6297,30,197,221,1446,307,209,125,49,23,2612,34,155,233,754,222,96,41,9,4,1546,63,541,444,3659,863,811,607,407,164,7550,24,111,171,840,562,1123,2193,2075,1095,8189,46,136,198,1550,483,165,107,43,13,2740,47,177,387,2072,345,153,48,14,4,3256,6,23,26,158,102,91,42,23,9,464,95,676,1907,5501,2354,2421,1508,593,161,15208,0,0,8,25,41,98,122,48,15,367
SOSR511,0,13,6,70,21,4,0,0,0,111,0,0,0,0,0,3,3,3,0,14,0,0,0,5,0,0,0,0,0,3,9,107,95,349,498,396,399,211,120,2190,0,0,0,3,3,0,0,0,0,8,0,0,3,14,4,3,5,0,3,28,0,0,3,28,14,21,53,5,10,137,0,0,0,0,0,3,0,4,0,8,0,0,0,9,0,0,0,0,0,18,9,21,9,141,12,14,14,8,8,227,0,4,8,39,9,3,3,0,0,60,0,0,3,20,3,0,0,0,0,27,0,0,4,10,0,3,0,0,0,25,0,23,17,66,21,20,13,0,3,165,0,0,0,5,5,27,52,47,36,178,0,3,3,23,11,0,0,0,0,38,0,4,14,46,3,0,0,0,0,64,0,0,0,7,7,5,3,0,0,14,0,0,0,32,20,22,12,5,0,88,0,0,0,0,0,3,3,0,0,6
SOSR512,0,4,5,73,32,15,3,3,0,142,0,0,0,3,3,8,3,4,0,26,0,3,0,4,0,0,3,0,0,12,7,95,88,463,614,636,641,469,181,3204,0,12,6,32,13,9,3,3,0,67,0,0,4,19,8,10,5,0,0,51,0,12,8,57,34,27,83,23,21,270,0,0,0,0,0,0,0,4,0,6,0,0,0,10,5,7,0,0,0,24,9,38,21,223,38,25,18,23,6,392,3,13,6,77,18,11,3,0,0,129,0,3,0,19,0,3,0,0,0,29,0,0,0,3,0,0,0,0,0,5,7,26,8,82,16,20,25,13,15,209,0,5,3,14,12,19,45,56,25,177,0,0,0,23,10,0,0,0,0,35,4,0,3,24,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,3,3,5,28,10,22,9,10,3,86,0,0,0,0,0,3,3,0,0,14
SOSR513,3,7,8,48,11,8,0,0,4,74,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,21,31,286,180,122,76,32,18,769,0,0,7,10,0,3,0,0,0,18,0,0,18,32,9,3,4,0,0,60,0,0,12,49,17,10,16,6,0,107,0,0,0,0,3,3,0,0,0,4,0,0,3,16,3,4,3,0,0,35,5,14,19,120,19,11,0,0,0,198,0,8,8,62,20,3,3,0,0,105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,4,3,67,3,11,3,0,0,94,0,0,3,9,0,0,3,3,3,28,0,3,4,26,3,0,0,0,0,39,0,0,11,33,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,9,3,0,0,61,0,0,0,0,0,0,0,0,0,3
SOSR514,0,0,0,17,7,3,0,0,0,26,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,3,0,0,0,8,4,104,111,432,325,259,250,106,57,1652,0,0,0,3,0,0,0,0,0,4,0,0,3,19,5,0,3,3,0,33,0,8,7,38,15,13,47,3,4,132,0,0,0,0,0,0,0,0,0,4,0,0,3,8,3,0,0,0,0,18,0,6,3,29,3,6,6,8,0,70,0,3,3,20,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,3,20,11,9,9,3,0,62,0,0,5,24,3,3,5,8,0,51,0,0,0,17,3,0,0,0,0,24,0,0,4,25,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,9,3,3,0,30,0,0,0,0,3,3,0,0,0,6
