SOSR_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,79197,101898,181092,217361,251768,469127,5227,5527,10757,24177,27513,51689,1264,1313,2576,515783,566664,1082448,1818,2103,3925,78647,82530,161179,4227,5577,9805,5471,5824,11294,3782,4586,8364,12551,12760,25308,9344,10520,19871,21941,25762,47710,38766,44178,82943,2065,2787,4853,4301,5190,9489,36412,45003,81414,45841,51745,97587,1835,2050,3878,1030810,1153411,2184221,88573,79966,168542,132301,118771,251073,16701,17911,34611,181,202,386,14397,12195,26593,10340,11324,21663,24924,23718,48642,554046,499456,1053500,6009,4737,10752,2337,3201,5547,562398,507396,1069788,196137,187428,383566,2131038,2190497,4321535
SOSR102,4214,6091,10303,89476,105736,195212,23,23,46,6852,7879,14732,415,431,849,112285,126888,239166,447,612,1059,9286,9171,18465,1720,2274,3999,894,1016,1907,1274,1629,2896,335,310,643,2510,2862,5373,5048,6066,11116,12377,14220,26603,1409,1815,3215,1489,1796,3284,16797,22119,38915,11502,12994,24498,470,582,1045,274602,318417,593017,2679,2357,5033,4882,4301,9184,318,367,688,148,134,282,587,488,1073,1076,1555,2639,1816,2180,3997,151211,131040,282252,1789,1399,3189,747,1117,1870,153755,133556,287313,39767,38746,78512,482030,506012,988046
SOSR111,405,593,1004,12485,14482,26965,0,0,0,933,1033,1960,125,119,246,15366,17230,32602,57,69,126,253,267,523,151,227,376,124,127,257,468,645,1113,15,16,33,256,264,521,516,609,1125,1910,2200,4108,209,302,515,182,205,387,2460,3363,5829,1258,1439,2705,26,36,69,36801,42648,79450,602,599,1200,298,235,530,30,26,51,16,22,42,182,180,359,135,192,328,336,385,724,17167,15035,32197,207,182,383,50,100,148,17416,15312,32735,5268,5024,10293,61164,64825,125992
SOSR112,1692,2406,4095,43653,52596,96251,5,7,15,2768,3195,5962,598,645,1249,52905,61049,113957,238,283,523,880,875,1751,765,1031,1794,287,380,673,659,875,1537,164,150,313,815,931,1741,2217,2692,4909,7582,9061,16640,701,866,1559,688,815,1499,8203,10721,18932,4536,5340,9878,229,250,473,127882,151764,279649,1436,1335,2768,1337,1140,2471,155,180,335,113,124,233,403,367,768,549,939,1484,1063,1420,2487,61618,56063,117682,724,618,1346,343,549,890,62687,57227,119914,23506,20864,44364,219757,236331,456094
SOSR113,803,1191,1999,30027,34905,64930,0,0,0,1934,2280,4212,172,155,332,30989,34530,65516,93,114,208,498,480,985,638,873,1509,237,294,528,364,437,807,61,51,113,577,719,1297,1009,1270,2274,4317,4957,9276,583,767,1349,1590,1801,3388,5989,7808,13794,2469,2885,5355,125,171,294,81675,94500,176168,544,492,1035,604,406,1009,61,66,127,47,36,81,461,391,855,239,412,651,743,837,1582,37904,33148,71051,348,241,585,177,275,450,38426,33663,72088,13788,13131,26916,136649,144280,280928
SOSR114,682,1032,1708,25873,30229,56100,0,0,0,1514,1661,3172,244,280,525,27915,31096,59013,47,75,122,350,324,680,435,585,1018,121,146,266,363,428,788,25,24,45,250,269,518,933,1188,2121,4519,5159,9681,371,498,874,306,421,724,4593,5820,10420,1926,2282,4203,50,89,135,69836,80575,150408,424,388,808,308,246,552,85,91,175,54,41,93,140,128,263,221,350,568,410,519,931,30542,27659,58199,265,234,503,142,276,415,30945,28175,59123,11980,11915,23896,114669,122935,237603
SOSR115,1031,1566,2592,41665,47210,88870,4,0,12,1880,2148,4031,206,207,415,40167,44050,84219,97,117,215,711,702,1412,656,858,1510,228,293,527,677,829,1511,53,57,113,457,526,982,1117,1422,2538,6173,6745,12927,453,539,992,394,455,850,6730,8673,15407,2883,3437,6318,148,165,314,104709,118433,223135,396,382,781,422,299,724,138,150,287,63,60,126,585,527,1112,353,547,894,1002,1132,2136,47483,42635,90119,430,369,804,253,395,647,48171,43397,91571,18207,17011,35225,174076,182376,356452
SOSR121,256,422,683,10849,11845,22689,0,0,0,551,594,1149,22,24,41,10457,11084,21546,34,43,73,177,161,336,227,249,475,71,78,145,276,297,568,3,3,10,159,167,319,416,487,908,1669,1761,3432,110,151,258,125,179,303,2089,2440,4537,909,982,1890,41,44,81,28171,30584,58759,69,74,143,73,56,129,36,41,79,35,43,78,32,37,69,109,182,294,170,258,437,13376,11738,25113,145,123,267,49,103,157,13573,11964,25535,4474,4307,8780,46831,47711,94540
SOSR122,178,229,406,6527,6800,13330,0,0,0,377,388,764,11,7,17,5795,6005,11801,21,24,47,109,110,217,76,89,167,33,40,72,72,90,163,7,5,12,85,82,161,163,179,342,904,968,1872,103,117,220,88,149,235,1082,1236,2314,491,533,1024,31,41,68,15962,16856,32822,49,49,97,46,39,86,18,25,35,19,13,35,21,13,32,59,97,153,102,125,221,7760,6645,14407,96,62,157,48,65,108,7902,6769,14671,3010,2677,5685,27253,26762,54021
SOSR131,1664,2182,3847,63081,63847,126934,76,60,133,3444,3444,6889,139,139,279,68165,66258,134423,154,170,319,1472,1347,2818,932,1102,2035,326,349,681,1272,1397,2675,106,88,197,805,777,1575,2030,2258,4284,10699,9895,20600,649,712,1355,1186,1269,2451,12416,12982,25406,5635,5980,11616,338,319,664,172937,172389,345324,466,406,865,905,779,1687,242,241,485,87,95,184,317,273,588,693,965,1658,1098,1333,2427,71923,59599,131516,679,561,1235,410,595,1002,73009,60753,133756,34704,29215,63921,285013,267300,552316
