SOSR_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SOSR301,0,0,0,107,207,20759,829,608,89,113,84,88,79,39,1009,23701,4597,122,83,9,14,18,12,14,3,496,5359,1612,30,17,12,3,7,3,0,0,133,1821,1170,54,29,11,6,3,9,3,4,163,1457,25,0,0,0,0,0,0,0,0,28,51,2809,83,47,21,14,13,13,6,10,325,3328,52,3,3,0,0,0,0,0,0,137,196,7457,201,139,30,26,24,16,18,14,963,8888,151032,35702,43563,8977,8849,7084,6003,5791,3449,7758,278203,68355,31024,56972,10669,12058,13383,13601,13734,8719,5844,234366,13144,3538,6465,1443,1986,3000,2917,3918,3908,3391,43713,618,225,399,70,79,101,82,125,90,197,1997,82114,34784,63838,12185,14121,16482,16606,17782,12724,9439,280081,381,53,114,19,24,31,30,32,37,1170,1883,233526,70542,107514,21185,22995,23601,22635,23600,16204,18368,560168
SOSR302,0,0,0,11,45,8172,468,319,37,44,41,36,32,32,427,9604,2079,94,47,11,8,3,5,8,9,283,2544,568,20,9,0,0,0,0,0,0,101,696,197,13,8,0,0,0,0,0,0,36,259,3,0,0,0,0,0,0,0,0,8,13,768,29,14,0,0,0,3,0,3,141,966,18,0,0,0,0,0,0,0,0,9,29,2866,119,65,13,9,4,9,8,5,436,3537,52737,13230,16751,3192,3115,2577,2338,2082,1349,3194,100565,15967,6048,9459,1611,1996,2252,2827,2595,1480,1414,45651,2114,681,991,224,310,424,541,692,618,660,7253,144,40,52,12,13,19,18,24,9,38,365,18224,6768,10507,1851,2318,2690,3385,3309,2110,2117,53272,126,19,21,6,0,9,9,12,6,148,360,71084,20018,27280,5056,5435,5276,5728,5397,3467,5455,154197
SOSR303,0,0,0,21,61,7081,374,213,30,26,27,24,30,6,287,8091,1842,72,47,5,0,3,0,7,0,228,2198,388,7,3,0,0,0,0,3,0,49,453,115,11,3,6,0,3,0,0,0,18,158,4,0,0,0,0,0,0,0,0,10,12,510,17,8,7,0,3,0,0,0,75,618,30,0,0,0,0,0,0,0,0,35,65,2377,92,52,10,3,10,0,5,0,340,2886,46371,9330,11582,2131,2170,1862,1541,1573,954,2358,79871,9744,4203,9425,1660,1979,2157,2046,2124,1269,958,35560,926,337,778,239,256,431,440,537,494,486,4921,108,37,67,8,17,16,16,23,4,37,318,10776,4575,10264,1910,2254,2604,2498,2682,1767,1477,40795,123,17,30,0,7,0,5,12,5,179,383,57268,13921,21869,4043,4424,4461,4050,4267,2731,4014,121048
SOSR311,0,0,0,17,27,2458,82,51,4,14,9,9,0,3,132,2764,568,21,7,0,0,0,0,0,0,71,673,120,4,0,0,0,0,0,0,0,11,137,35,0,0,0,0,0,0,0,0,7,44,4,0,0,0,0,0,0,0,0,0,4,160,4,0,0,0,0,0,0,0,21,189,3,0,0,0,0,0,0,0,0,13,19,733,26,6,0,0,0,4,0,0,106,881,12805,1827,2452,522,528,312,262,273,173,686,19842,2288,962,3175,550,685,567,553,519,270,270,9828,212,99,339,50,136,66,80,167,119,169,1442,37,0,18,3,6,3,8,0,10,11,90,2535,1063,3533,604,826,642,639,682,398,449,11360,50,0,13,0,0,0,3,0,6,60,129,15384,2889,5993,1126,1357,951,906,957,578,1193,31329
SOSR312,0,0,0,0,3,349,9,0,0,0,0,0,0,0,20,387,90,0,3,0,0,3,0,0,0,21,115,15,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,109,0,3,0,0,3,0,0,0,21,141,2680,357,568,150,168,173,121,92,35,153,4495,465,172,794,190,239,187,193,154,71,64,2523,31,14,28,9,12,17,15,24,38,15,203,3,0,4,0,6,0,3,0,0,4,29,503,184,819,205,252,202,210,181,113,82,2759,6,0,0,0,3,0,0,0,0,6,21,3186,546,1392,352,426,376,332,274,153,246,7271
SOSR313,0,0,0,10,21,1612,50,33,9,7,3,0,16,3,88,1807,414,13,7,0,0,0,3,0,0,44,489,68,6,0,0,0,0,0,0,0,4,78,16,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,3,86,6,0,0,0,0,0,0,0,12,100,4,0,0,0,0,0,0,0,0,4,13,502,16,9,0,0,0,3,0,0,66,595,9148,1402,1831,487,502,316,212,220,104,508,14729,1527,559,1538,267,393,309,290,203,127,153,5371,105,26,57,17,22,28,26,59,39,72,450,21,4,10,7,3,3,0,5,0,3,53,1649,591,1610,291,419,336,316,264,170,231,5876,29,6,3,3,0,0,0,0,3,32,73,10824,1995,3445,785,917,653,536,486,280,766,20682
SOSR314,0,0,0,4,9,1469,29,35,3,4,9,3,0,0,69,1630,296,7,3,0,0,0,0,0,0,32,335,120,0,0,0,0,0,0,0,0,21,146,93,0,0,0,0,0,0,0,0,12,106,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,33,255,3,0,0,0,0,0,0,0,0,3,5,517,4,4,0,0,0,3,0,0,67,593,8856,1454,2040,420,374,367,277,284,156,521,14746,1717,524,1684,316,351,386,385,437,219,346,6381,354,60,147,39,80,104,139,323,128,279,1651,21,0,15,0,3,7,3,3,3,6,68,2099,584,1845,361,430,503,527,764,353,633,8093,24,3,10,0,3,0,4,5,12,44,98,10981,2044,3886,777,807,868,805,1051,517,1200,22939
SOSR315,0,0,0,10,16,2455,66,34,4,10,4,7,3,3,91,2680,465,10,8,0,0,0,5,0,0,59,552,143,3,0,0,0,0,0,0,0,21,164,77,0,0,0,0,0,0,0,0,19,99,3,0,0,0,0,0,0,0,0,0,3,228,0,3,0,0,0,0,0,0,36,271,3,0,0,0,0,0,0,0,0,9,9,696,13,12,0,0,0,5,0,0,103,830,15654,2060,2337,457,429,388,330,251,135,810,22857,2238,619,1495,321,388,294,356,411,225,270,6611,290,63,154,30,33,48,102,177,116,162,1174,38,4,9,3,3,0,4,0,6,20,91,2565,682,1656,361,424,343,463,593,340,453,7878,37,4,0,0,0,0,0,3,4,181,227,18251,2748,3998,820,852,731,798,848,474,1445,30966
SOSR321,0,0,0,0,4,934,20,16,0,0,4,0,0,0,26,1002,122,3,8,0,0,0,0,0,0,14,146,41,3,0,0,0,0,0,0,0,5,51,8,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,8,62,0,0,0,0,0,0,0,0,0,0,0,174,3,5,0,0,0,0,0,0,20,207,6594,812,898,121,113,123,85,86,57,297,9180,921,208,372,83,77,62,69,72,34,81,1983,63,4,21,0,4,5,11,19,23,19,164,18,8,0,0,0,5,0,0,0,0,32,1002,217,395,80,86,74,79,90,54,105,2178,23,0,0,0,0,0,0,0,3,39,72,7621,1032,1292,203,193,198,159,179,111,444,11432
SOSR322,0,0,0,3,7,375,6,4,0,0,0,0,0,0,30,415,56,0,0,0,0,0,0,0,0,3,61,23,0,0,0,0,0,0,0,0,0,22,15,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,3,88,0,0,0,0,0,0,0,0,7,100,2561,236,275,31,62,27,28,43,13,164,3444,386,61,123,14,17,31,29,26,17,62,775,48,4,7,0,3,4,5,12,5,13,104,4,0,0,0,3,0,0,0,0,3,8,441,69,131,16,22,33,30,35,22,78,883,12,0,0,0,0,0,7,3,0,9,30,3014,299,405,51,88,62,62,79,39,257,4352
SOSR331,0,0,0,7,24,3269,89,48,8,5,5,8,9,4,137,3583,476,8,7,0,4,3,0,3,3,38,539,162,3,0,0,0,0,0,0,0,0,164,46,3,3,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,203,6,4,0,0,0,0,0,0,3,216,3,0,0,0,0,0,0,0,0,4,8,682,15,11,0,4,3,0,7,3,44,762,26932,3622,3322,591,509,391,351,311,174,1416,37630,4424,951,1541,273,314,291,329,340,214,389,9058,442,71,131,25,29,29,44,95,102,167,1131,46,11,15,3,0,0,3,3,0,22,91,4910,1029,1681,304,345,318,373,437,316,569,10280,91,3,3,0,0,0,0,0,3,286,388,31928,4650,5003,893,860,718,726,752,490,2273,48299
SOSR379,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,8,22,8,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,23,0,3,3,0,0,0,0,0,9,40
SOSR399,0,0,0,0,0,71,0,3,0,0,0,0,0,3,3,88,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,1034,135,120,24,31,36,33,173,245,124,1958,144,37,69,16,21,39,84,177,213,74,869,10,4,8,0,5,5,26,54,50,58,224,3,0,0,0,0,0,0,0,5,4,19,152,44,82,19,30,45,115,231,263,139,1112,3,5,0,0,0,0,0,0,7,70,84,1191,182,203,46,56,84,154,401,514,338,3157
SOSR401,0,0,0,78,201,26148,317,240,65,34,35,39,32,25,967,27902,5599,40,20,0,8,0,4,0,0,469,6146,3045,15,13,4,0,0,0,0,0,195,3278,2398,29,36,3,0,8,3,0,0,218,2692,53,0,0,0,0,0,0,0,0,19,70,5495,48,51,9,3,4,6,0,0,430,6046,58,0,0,0,0,0,0,0,0,87,146,11153,86,69,9,11,7,9,4,0,984,12336,97406,9303,13502,2419,2719,2012,1836,1855,1159,3637,135843,50465,14218,34776,6090,7037,7958,8169,9172,5027,3310,146221,13798,2155,4472,1176,1575,2096,2163,2754,2689,2023,34904,541,110,213,37,41,54,49,72,58,128,1306,64809,16480,39469,7299,8646,10101,10384,11999,7772,5465,182427,350,30,43,3,3,4,10,9,15,505,969,162562,25814,53004,9721,11368,12118,12229,13864,8940,9611,319239
SOSR412,0,0,0,0,12,1459,8,7,0,0,0,0,0,0,70,1555,413,4,3,0,0,0,0,0,0,37,455,92,0,0,0,0,0,0,0,0,10,98,26,0,0,0,0,0,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,13,134,0,0,0,0,0,0,0,0,0,0,3,536,4,3,0,0,0,0,0,0,51,598,6961,325,421,75,79,47,71,63,13,273,8327,926,178,643,119,143,172,113,107,34,85,2518,102,8,85,18,9,41,29,20,11,30,356,5,0,4,0,0,0,0,0,0,4,20,1033,189,736,140,145,211,147,128,46,122,2897,31,0,0,0,0,0,0,0,0,8,44,8027,520,1155,210,229,260,213,192,64,401,11268
SOSR413,0,0,0,7,20,1611,19,15,3,0,0,3,3,0,68,1721,430,0,4,0,0,0,0,0,0,42,471,93,0,0,0,0,0,0,0,0,4,97,25,0,0,0,0,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,10,128,0,0,0,0,0,0,0,0,0,0,0,548,0,4,0,0,0,0,0,0,49,604,7459,599,774,122,179,116,79,73,47,315,9756,1163,312,880,144,186,174,200,175,61,110,3413,110,29,91,14,13,27,85,152,77,118,712,9,0,7,0,0,3,0,3,0,3,26,1280,348,979,159,204,207,282,333,144,233,4150,26,4,3,0,0,0,0,0,0,106,144,8765,952,1758,280,380,322,356,400,188,654,14052
SOSR414,0,0,0,0,0,540,8,3,0,0,0,0,3,0,29,588,156,0,0,0,0,0,0,0,0,9,168,39,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,5,39,3,0,0,0,0,0,0,0,0,0,4,193,0,0,0,0,0,0,0,0,15,213,2183,122,119,34,25,19,10,27,11,114,2665,225,41,112,32,62,57,45,53,34,42,708,25,16,45,28,44,29,17,25,14,13,248,0,3,4,0,3,0,0,0,0,0,16,253,60,164,61,108,82,60,79,48,52,970,14,3,0,0,0,0,0,0,0,4,20,2452,182,287,95,133,102,72,109,60,171,3659
SOSR415,0,0,0,3,16,1608,15,12,0,3,6,3,3,0,69,1717,405,6,4,0,0,0,0,0,0,35,450,95,0,0,0,0,0,0,0,0,9,111,29,0,0,0,0,0,0,0,0,11,43,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,28,154,3,0,0,0,0,0,0,0,0,6,9,529,6,4,0,0,0,0,0,0,68,615,7755,533,846,79,146,103,90,63,39,354,10014,1095,210,616,139,157,168,124,141,61,95,2806,203,42,85,15,63,29,28,44,37,53,603,22,0,6,0,3,3,4,3,0,10,48,1324,253,708,156,228,202,148,184,96,160,3460,27,0,0,0,0,0,0,0,0,28,56,9099,785,1555,233,376,305,241,256,135,534,13525
SOSR421,0,0,0,0,8,372,3,4,0,0,0,0,0,0,16,400,100,3,0,0,0,0,0,0,0,12,110,17,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,114,3,0,0,0,0,0,0,0,17,133,2378,141,198,26,30,14,19,6,12,122,2952,207,42,95,14,30,32,36,49,15,26,555,34,7,15,0,0,3,6,18,9,23,124,3,0,0,0,0,0,0,0,0,0,4,243,51,110,14,32,40,45,63,25,57,678,8,0,0,0,0,0,0,0,0,7,12,2636,191,311,44,66,47,62,76,37,184,3649
SOSR422,0,0,0,0,0,243,0,0,0,0,0,0,0,0,8,249,38,0,0,0,0,0,0,0,0,3,42,10,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,52,0,3,0,0,0,0,0,0,3,54,1478,58,86,7,7,21,10,10,3,62,1759,166,24,43,6,6,6,8,10,6,10,282,18,3,0,0,0,0,0,6,3,0,30,0,0,0,0,0,0,0,0,0,0,0,184,30,39,6,8,6,7,13,10,10,309,6,0,0,0,0,0,0,0,0,0,6,1670,90,133,17,18,30,24,20,13,74,2078
SOSR431,0,0,0,4,11,1464,9,3,3,0,0,0,0,0,68,1544,216,0,3,0,0,0,0,0,0,8,221,79,0,0,0,0,0,0,0,0,5,82,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,123,0,3,0,0,0,0,0,0,5,127,0,0,0,0,0,0,0,0,0,0,0,335,0,3,0,0,0,0,0,0,12,352,9609,730,791,127,129,104,83,52,42,471,12131,1818,215,359,100,68,71,85,62,53,118,2958,459,36,61,21,14,17,28,42,21,52,748,14,3,8,0,0,0,0,3,0,9,35,2292,258,426,119,82,89,105,102,69,183,3735,24,0,0,0,0,0,0,0,0,125,150,11928,989,1216,248,215,191,193,161,113,779,16025
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOSR499,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,172,10,21,3,8,7,5,31,30,18,304,21,15,31,5,3,4,23,41,40,16,197,8,0,6,0,0,6,8,10,20,3,64,0,0,0,0,0,0,0,3,0,0,4,28,15,37,5,3,16,26,49,60,23,267,0,0,0,0,0,0,0,0,0,33,33,204,26,54,12,9,16,34,82,91,71,605
SOSR501,0,0,0,134,293,33247,1107,882,112,101,102,116,108,56,1396,37218,7512,222,130,12,11,6,10,13,5,705,8627,2624,41,25,4,5,3,3,0,0,222,2930,1641,40,34,8,12,5,0,3,0,150,1904,47,0,0,0,0,0,0,0,0,32,80,4316,79,60,12,13,6,7,9,6,408,4916,104,3,0,0,0,0,0,0,0,205,308,11925,300,194,25,29,15,12,17,6,1321,13856,211363,38511,58504,14211,15953,11017,8298,6733,3521,9116,377218,75853,30189,68057,13445,16848,15707,14616,13925,7798,5612,262051,13554,3172,7061,1468,2185,2598,2793,3656,2909,2906,42301,641,230,433,88,119,119,101,98,81,216,2125,90052,33591,75550,15006,19152,18419,17507,17684,10795,8728,306475,547,45,82,13,27,26,35,30,24,1190,2020,301960,72147,134137,29230,35131,29462,25840,24443,14341,19028,685713
SOSR511,0,0,0,3,3,781,18,21,5,4,3,0,0,0,29,862,242,7,3,0,0,0,0,0,0,24,279,67,0,0,0,0,0,0,0,0,6,67,29,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,3,96,0,0,0,0,0,0,0,0,4,104,3,0,0,0,0,0,0,0,0,0,3,337,11,5,0,0,0,0,0,0,26,386,5812,993,1680,369,385,277,180,179,53,284,10206,850,373,1255,238,279,354,265,211,87,98,3997,99,9,56,8,12,35,30,50,46,48,398,9,4,10,0,3,0,0,8,7,4,49,959,386,1321,247,295,386,294,269,133,152,4447,8,0,5,0,0,0,4,0,0,44,67,6779,1380,3003,619,680,663,474,450,188,483,14714
SOSR512,0,0,0,4,16,1412,27,21,0,9,3,7,0,0,85,1569,416,10,10,0,0,3,0,0,0,55,490,85,3,0,0,0,0,0,0,0,13,102,18,0,0,0,0,0,0,0,0,15,31,0,0,0,0,0,0,0,0,0,0,0,101,3,0,0,0,0,0,0,0,29,134,9,0,0,0,0,0,0,0,0,6,13,521,9,12,0,0,3,0,0,0,91,644,9236,1170,2118,588,609,350,287,208,93,489,15151,1229,625,2047,502,557,434,318,319,135,188,6355,124,34,96,29,30,60,49,48,44,74,595,14,5,18,5,5,0,3,6,6,3,73,1366,664,2170,537,587,495,368,371,185,273,7022,30,4,3,0,0,0,0,3,3,94,140,10630,1837,4294,1129,1199,843,659,579,285,853,22313
SOSR513,0,0,0,0,3,164,5,8,0,3,0,0,0,0,7,188,36,0,3,0,0,0,0,0,0,7,46,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,43,0,3,0,0,0,0,0,0,14,61,2673,545,1149,288,339,247,206,129,59,276,5917,501,339,1169,262,304,257,279,275,137,122,3647,31,9,31,7,19,18,33,61,36,35,282,6,0,12,0,7,4,0,0,0,3,46,539,347,1222,271,327,279,318,340,168,160,3973,12,0,9,0,0,5,3,0,0,19,47,3231,887,2379,561,672,539,521,466,231,453,9936
SOSR514,0,0,0,4,8,377,14,12,0,0,0,0,3,0,55,465,86,0,0,0,0,0,0,0,0,32,120,23,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8,33,0,0,0,0,0,0,0,0,0,10,9,106,3,3,0,0,0,0,0,0,47,162,3164,577,1111,248,333,189,117,87,54,258,6137,334,147,447,94,90,119,80,97,56,81,1531,29,7,21,7,6,10,12,28,34,26,178,4,0,0,0,0,0,0,0,0,4,11,366,152,468,95,99,135,93,124,90,113,1725,13,0,3,0,4,0,0,0,0,20,38,3541,728,1579,348,436,322,206,212,145,385,7900
SOSR515,0,0,0,0,12,1027,25,14,3,3,0,0,3,0,32,1106,233,3,0,0,0,0,0,0,0,25,257,46,0,3,0,0,0,0,0,0,0,54,20,0,0,0,0,0,0,0,0,5,26,3,0,0,0,0,0,0,0,0,0,3,70,0,3,0,0,0,0,0,0,5,80,3,0,0,0,0,0,0,0,0,0,3,302,3,3,0,0,0,0,0,0,31,340,6836,808,1179,269,339,219,161,127,88,413,10437,845,249,1029,206,241,292,209,259,130,178,3646,101,27,168,27,44,46,50,98,73,76,713,17,0,9,5,3,9,3,0,0,7,46,963,282,1205,236,291,348,261,361,201,265,4401,20,8,9,0,0,0,0,3,0,10,52,7818,1099,2393,502,625,563,430,490,285,692,14896
SOSR521,0,0,0,0,8,505,15,0,3,0,0,0,0,0,31,555,91,4,4,0,0,0,0,0,0,3,106,20,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,125,4,4,0,0,0,0,0,0,5,140,3900,456,518,101,137,79,74,72,27,240,5598,381,125,313,122,131,129,113,97,51,65,1519,25,3,15,3,9,5,4,27,21,40,150,11,0,4,0,0,3,0,0,0,3,20,418,123,325,127,135,138,112,129,69,103,1690,14,0,3,0,0,0,0,0,0,10,32,4329,576,850,230,268,218,190,203,101,354,7317
SOSR522,0,0,0,0,5,229,8,4,0,0,0,0,0,0,9,245,40,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,50,1530,156,197,44,73,53,37,32,15,81,2232,134,24,89,29,34,30,23,32,37,22,459,11,0,3,0,0,0,3,0,14,3,34,3,0,3,0,0,0,0,0,0,0,13,148,22,99,29,34,30,27,36,56,24,505,12,0,0,0,0,0,0,0,0,3,22,1690,185,298,69,109,84,69,66,66,117,2756
