SOSR_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR315,1445,1404,2854,9391,8605,18004,1640,1633,3270,810,891,1701,11840,11133,22972,5727,5564,11292,1080,1060,2145,940,926,1860,7744,7551,15295,192,239,432,121,317,437,403,381,785,446,1066,1513,21,22,44,1183,2019,3207,503,856,1358,237,652,884,119,282,401,556,1340,1893,3,19,22,1414,3146,4555,181,232,415,362,763,1124,17,13,30,562,1005,1565,13248,11232,24479,37448,37491,74936
SOSR321,522,538,1061,3573,3295,6865,564,598,1161,375,365,744,4518,4253,8774,2073,1975,4048,498,484,983,450,441,887,3027,2896,5924,58,74,125,40,121,165,139,149,280,160,375,536,3,8,15,402,722,1124,185,303,490,90,223,314,54,89,145,179,495,673,3,3,8,504,1120,1620,59,108,171,113,293,407,5,3,8,180,410,590,5069,4238,9307,14215,14185,28401
SOSR322,207,189,393,1598,1557,3156,173,197,366,133,121,252,1901,1871,3772,811,827,1643,193,178,370,127,105,232,1130,1112,2238,26,37,63,18,51,71,50,75,117,59,189,247,0,3,4,147,347,502,80,143,225,33,98,132,11,53,62,79,196,282,3,0,4,210,490,708,25,34,61,61,104,161,5,5,8,90,144,238,2314,2067,4385,6005,6228,12238
SOSR331,2090,1907,3995,13697,12437,26127,3053,2964,6017,2402,2307,4710,19154,17701,36855,8981,8466,17451,2775,2545,5322,2736,2718,5451,14489,13729,28218,290,360,651,136,432,568,779,632,1405,621,1526,2147,31,28,57,1854,2975,4829,1440,2381,3820,405,976,1386,310,531,841,767,2207,2977,9,31,35,2940,6123,9058,257,309,572,432,1151,1585,24,30,48,718,1490,2210,24008,18983,42989,65251,62908,128159
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21,14,18,33
SOSR399,19,15,31,91,93,182,8,10,21,34,29,66,129,133,264,54,47,97,6,0,4,12,12,21,70,59,128,12,10,22,11,17,24,8,19,33,17,25,41,3,7,9,53,80,136,53,75,127,40,63,100,12,10,19,26,22,52,3,5,9,126,171,301,20,29,51,18,39,57,0,3,5,41,71,112,1598,1045,2650,2039,1581,3621
SOSR401,7336,6991,14329,32403,30146,62549,10310,10126,20442,7343,7329,14669,50056,47598,97658,17399,16290,33689,7681,7849,15532,7532,7388,14915,32611,31523,64135,2196,2173,4367,2133,3339,5472,2180,1725,3903,3700,5834,9534,92,95,187,10297,13170,23464,17294,20405,37695,7046,8022,15073,1644,2035,3682,4782,7630,12406,92,155,244,30857,38246,69107,1487,1858,3348,2059,3531,5585,66,82,147,3614,5470,9083,32753,33467,66223,167521,176474,344000
SOSR412,478,449,927,2405,2345,4746,654,605,1259,538,559,1099,3599,3511,7109,1330,1249,2578,563,610,1174,384,362,745,2275,2216,4487,101,134,235,77,199,280,180,219,403,195,429,628,11,9,14,562,993,1559,214,419,636,88,237,328,39,100,135,156,362,517,3,7,6,499,1121,1622,47,79,125,75,215,289,9,3,8,130,297,425,2489,2609,5099,10033,11193,21222
SOSR413,662,625,1288,3079,2897,5980,861,865,1727,820,811,1625,4762,4568,9331,1671,1645,3318,517,576,1092,740,726,1471,2930,2950,5874,103,141,245,65,183,254,215,192,411,245,483,729,7,7,15,642,1002,1647,402,582,989,155,277,432,58,100,160,225,543,773,4,5,12,844,1514,2362,71,95,161,103,237,339,4,5,5,174,338,509,4447,3810,8257,14465,14807,29277
SOSR414,125,140,263,671,705,1375,36,35,71,249,236,493,959,974,1936,440,431,873,38,32,70,99,133,241,582,600,1179,16,29,44,7,43,52,42,48,89,68,104,166,3,0,6,134,225,357,32,74,109,22,32,60,11,12,23,42,89,129,0,3,7,108,225,330,22,22,44,29,47,79,0,0,0,49,72,119,772,802,1570,2725,3025,5752
SOSR415,663,619,1283,3572,3263,6836,576,542,1113,828,804,1633,4975,4607,9583,2256,2118,4375,250,257,500,594,579,1169,3100,2949,6049,110,111,217,54,158,209,261,201,459,292,496,785,9,8,18,721,973,1693,240,439,681,111,221,337,44,66,113,206,466,669,0,5,5,604,1207,1810,51,67,123,112,247,355,4,0,11,167,314,482,4174,4302,8473,14410,14966,29379
SOSR421,197,183,380,1155,1088,2244,100,82,178,169,191,358,1422,1363,2785,661,635,1298,76,77,147,144,165,311,878,880,1754,20,32,48,9,54,62,75,57,128,88,143,228,3,3,4,187,294,479,81,146,221,30,62,92,16,19,33,55,139,197,0,4,4,175,371,547,21,20,40,26,73,95,0,3,5,43,93,138,1248,1263,2513,4159,4441,8600
SOSR422,120,122,236,773,686,1456,52,51,105,77,57,129,902,793,1696,400,408,809,32,29,66,61,59,113,492,495,990,17,18,34,17,26,42,52,37,92,43,121,162,3,0,3,126,200,325,27,58,84,16,41,53,9,7,17,20,68,95,0,0,0,68,175,245,10,13,29,20,49,71,0,0,0,30,67,95,866,821,1688,2605,2674,5282
SOSR431,825,746,1573,4928,4352,9279,675,618,1295,1307,1259,2565,6908,6225,13138,2899,2812,5712,440,460,903,1016,1067,2085,4359,4339,8694,88,107,202,58,160,218,356,230,582,254,554,805,4,11,13,757,1062,1818,533,813,1343,122,242,360,70,123,199,226,533,766,5,11,17,958,1723,2680,68,83,154,133,313,446,5,7,7,212,399,607,6786,5201,11989,20806,19697,40503
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,5,8,8,28,30,55,0,3,5,0,5,8,29,43,76,34,38,70,0,0,0,4,6,15,39,47,86,4,5,12,7,10,20,0,4,3,3,7,10,0,0,0,21,24,43,22,12,35,16,19,33,0,3,3,7,9,12,0,0,0,40,38,81,11,10,21,7,3,13,0,0,0,18,11,29,403,220,625,552,393,946
SOSR501,11773,11216,22989,55896,51744,107647,14326,14130,28465,11083,11103,22189,81310,76987,158294,33058,31211,64270,13755,13835,27587,14392,14416,28808,61203,59461,120667,4657,4097,8752,3434,5045,8480,4488,2583,7076,4846,7642,12482,177,138,314,17597,19505,37100,23843,27117,50962,8994,10804,19796,2860,3765,6628,7790,12254,20039,164,252,414,43646,54185,97833,2593,2942,5535,3448,6410,9864,97,113,211,6147,9467,15609,66155,63315,129472,287818,294144,581963
SOSR511,501,429,928,2419,2326,4742,504,516,1019,387,362,751,3310,3210,6522,1732,1702,3439,446,461,909,393,391,782,2573,2556,5127,128,139,264,60,163,220,214,121,333,147,325,471,7,7,13,553,748,1304,88,252,338,81,212,295,35,74,104,140,398,540,0,7,7,339,943,1286,41,77,112,105,191,290,0,5,3,145,264,415,2975,2617,5586,10396,10770,21164
SOSR512,710,671,1380,3502,3293,6791,987,1069,2057,808,826,1631,5296,5184,10480,2300,2184,4487,995,1083,2075,711,686,1391,4003,3954,7951,194,241,438,87,201,295,342,298,640,329,721,1049,15,11,27,969,1481,2451,192,259,451,153,231,385,39,105,142,238,627,867,3,3,4,628,1222,1846,73,116,191,131,246,382,9,5,10,212,374,587,5669,5027,10696,17484,17909,35392
SOSR513,407,391,801,2156,1978,4131,392,398,786,101,95,196,2648,2467,5115,1303,1203,2506,210,214,428,92,78,168,1606,1497,3102,49,30,81,26,57,74,114,132,249,192,405,602,3,7,10,384,632,1013,26,74,102,41,101,143,10,44,52,186,385,570,5,3,3,262,607,870,21,45,66,50,142,196,4,5,7,72,192,262,3950,3403,7358,9335,9183,18515
SOSR514,279,246,530,1316,1160,2472,288,281,564,170,145,320,1768,1587,3355,760,747,1509,180,207,381,118,143,259,1059,1094,2156,37,54,90,27,50,74,93,62,150,83,210,292,3,3,9,239,385,620,45,90,139,39,100,136,16,20,36,70,158,232,3,0,3,174,366,544,12,28,40,50,107,159,0,0,3,65,132,203,1716,1667,3382,5307,5481,10780
SOSR515,667,540,1208,2994,2852,5847,629,653,1284,262,262,523,3882,3763,7648,2115,1966,4084,306,326,626,196,175,373,2616,2470,5083,112,101,215,38,86,128,195,175,373,204,442,645,3,11,14,557,814,1371,71,154,222,49,156,202,23,59,79,158,387,539,4,3,9,299,754,1056,112,53,166,78,191,266,7,3,8,195,247,446,5288,4917,10208,13507,13508,27016
SOSR521,280,254,534,1593,1503,3097,183,206,394,145,181,327,1930,1888,3817,938,864,1809,118,115,234,206,207,413,1263,1192,2456,46,46,89,9,39,48,87,73,159,78,178,257,3,3,5,231,337,571,40,85,126,18,81,99,15,33,45,56,163,222,0,0,3,137,362,495,26,38,61,33,89,123,3,3,8,62,129,195,2540,2401,4945,6435,6573,13003
SOSR522,137,110,247,671,691,1357,143,127,269,73,75,151,888,890,1779,366,360,734,67,90,161,66,83,145,501,538,1041,19,10,31,3,17,21,24,36,55,25,75,100,0,0,0,65,139,205,20,30,52,14,21,34,0,13,17,16,73,91,0,0,0,56,140,196,6,15,21,14,31,48,0,0,3,24,45,69,1513,1317,2832,3191,3174,6361
SOSR531,880,730,1610,4499,4303,8802,1057,952,2008,996,941,1931,6547,6196,12744,2864,2433,5296,845,806,1653,1179,1241,2427,4891,4485,9378,177,164,338,68,133,202,406,212,615,351,593,942,10,13,24,1019,1112,2130,388,659,1048,118,248,375,91,125,212,317,600,917,6,3,10,920,1641,2559,100,109,213,130,358,491,11,9,12,246,476,720,14306,7209,21510,28803,21841,50646
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,3,0,3,70,8,75,87,6,94
SOSR599,14,7,17,51,51,96,13,3,16,13,14,26,72,70,139,21,26,49,0,3,7,3,3,7,27,35,61,5,7,9,14,10,28,3,3,11,14,14,30,0,0,0,34,40,67,27,34,61,25,14,38,4,3,8,9,19,25,0,0,0,67,70,128,8,10,20,14,11,27,0,0,0,28,16,43,982,607,1592,1215,838,2049
SOSR603,689,670,1361,5316,4814,10129,1617,1718,3335,862,859,1717,7796,7388,15184,3059,2675,5738,1303,1420,2720,1083,1039,2122,5439,5135,10579,510,504,1015,257,411,664,423,286,709,519,769,1284,13,22,33,1717,1990,3704,2113,2340,4454,1171,1210,2386,212,278,493,860,1606,2463,9,18,27,4370,5448,9824,148,190,338,284,493,778,9,11,23,439,688,1133,6083,6046,12133,26545,27369,53912
SOSR611,334,306,639,2372,2209,4580,488,523,1012,397,375,774,3257,3111,6367,1351,1305,2656,440,438,875,481,474,953,2271,2211,4486,270,257,527,167,215,383,191,174,365,208,359,564,9,7,16,840,1018,1857,953,961,1915,445,425,870,69,96,169,267,538,806,6,6,11,1742,2029,3766,71,65,138,113,171,285,0,3,0,184,239,428,2735,3007,5745,11359,11923,23282
SOSR612,88,72,164,756,781,1541,182,181,357,70,79,150,1015,1036,2049,487,503,997,123,121,250,44,41,89,662,667,1330,84,114,196,24,71,91,58,58,114,66,115,177,3,0,6,227,352,581,32,58,96,22,58,79,12,15,22,54,93,143,0,0,0,117,220,342,13,31,39,32,44,69,0,0,0,38,78,114,826,922,1746,2975,3344,6324
SOSR613,106,78,182,1009,988,1996,264,216,483,104,93,194,1375,1299,2675,637,661,1302,224,214,439,81,72,150,946,947,1894,123,137,261,32,72,97,84,54,141,69,117,191,0,0,3,314,384,694,74,125,201,46,90,137,11,39,51,84,201,280,0,0,0,213,457,674,19,24,44,29,67,101,0,3,5,48,99,149,1090,1224,2315,4098,4479,8576
SOSR614,46,49,100,376,340,716,102,97,193,3,15,24,484,446,930,199,195,392,70,65,133,7,11,19,274,271,545,39,42,78,3,11,17,34,19,50,20,34,59,0,3,3,91,102,196,15,31,37,10,24,37,5,7,11,18,44,59,0,0,0,50,110,157,3,9,11,3,22,32,0,0,0,8,32,44,417,481,896,1381,1492,2867
SOSR615,248,211,461,2067,1983,4050,421,385,802,223,181,404,2713,2548,5262,1136,1082,2216,245,319,565,180,193,373,1566,1593,3155,167,203,373,38,95,137,150,104,253,147,253,401,5,3,5,507,660,1169,116,204,322,60,109,170,18,41,57,123,324,447,0,6,7,321,683,1005,37,58,93,55,135,187,3,5,5,91,195,292,2295,2413,4704,7745,8297,16039
SOSR621,69,62,130,620,638,1260,121,111,228,77,75,154,818,825,1641,331,312,644,66,95,160,62,65,123,459,469,932,52,50,100,10,19,27,41,28,64,32,61,95,0,4,3,134,165,295,49,57,103,29,45,77,3,12,15,55,111,164,0,0,0,136,223,356,6,20,19,23,40,65,0,0,0,23,60,83,780,812,1588,2415,2619,5034
SOSR622,29,35,64,407,341,751,46,65,110,35,22,60,490,428,921,212,194,404,65,48,120,43,35,79,321,277,598,37,30,67,6,20,24,26,15,42,28,52,78,3,0,5,104,113,221,26,35,57,3,18,23,0,19,20,26,66,87,0,0,0,57,136,192,17,14,30,5,26,34,0,0,0,24,36,62,543,563,1102,1562,1596,3157
SOSR631,325,319,640,3260,2924,6183,774,777,1547,485,495,979,4520,4197,8714,1913,1699,3614,696,669,1370,462,473,934,3073,2843,5918,288,285,573,55,119,176,290,151,439,254,436,688,11,4,8,889,1000,1887,260,385,648,103,227,329,34,68,97,220,598,810,7,6,16,614,1286,1900,87,103,190,83,208,289,12,9,18,185,318,499,4128,3794,7916,13733,13746,27481
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,7
SOSR699,3,3,4,8,12,18,3,0,4,3,0,8,9,17,24,4,6,13,0,3,3,0,3,3,4,12,20,3,9,8,0,0,0,0,4,7,0,0,0,0,0,0,3,9,13,5,8,17,12,3,17,0,0,0,0,6,3,0,0,0,20,21,39,0,0,0,3,3,5,0,0,0,3,3,5,119,61,181,165,121,285
SOSR703,910,868,1779,3489,3322,6811,690,593,1289,734,723,1452,4911,4637,9554,2141,2063,4198,525,528,1047,657,761,1425,3327,3346,6671,93,77,168,97,134,226,180,163,343,380,637,1018,10,13,25,768,1016,1782,646,776,1424,580,863,1440,190,315,499,851,1630,2477,8,19,31,2279,3597,5871,113,123,233,249,559,806,10,11,21,367,695,1063,8428,5970,14401,20982,20137,41117
SOSR712,176,197,370,622,581,1203,170,178,353,241,246,492,1040,1009,2048,235,213,445,206,171,379,331,296,623,778,671,1445,15,8,27,8,16,27,49,41,89,79,163,242,3,0,6,167,226,388,18,50,74,44,95,138,17,42,54,183,426,610,0,0,3,266,613,884,37,26,61,53,96,143,3,0,3,89,120,208,1488,1562,3048,4002,4393,8397
SOSR714,59,47,105,205,194,397,35,22,61,15,10,24,248,229,482,147,126,276,38,24,62,5,13,13,191,158,352,0,0,4,0,0,4,13,7,19,19,32,46,0,0,0,33,44,76,5,16,18,13,18,30,3,15,13,31,71,100,0,3,3,49,121,170,9,3,10,6,13,24,0,0,0,19,17,39,678,645,1325,1277,1265,2541
SOSR715,209,187,397,758,687,1447,263,243,507,51,57,105,1073,992,2068,534,424,961,132,120,252,31,53,86,694,600,1295,11,3,16,7,15,22,5,12,12,34,56,90,0,0,0,60,79,146,4,10,13,20,20,31,0,12,11,50,107,154,0,0,0,70,143,210,5,6,16,17,26,48,0,3,3,29,39,68,1305,1091,2405,3448,3134,6585
SOSR721,138,167,303,750,673,1423,42,49,87,22,38,65,821,756,1579,358,381,736,22,16,39,51,70,120,430,465,899,3,5,10,6,13,21,6,4,13,18,45,66,0,3,3,43,74,120,5,16,22,10,26,38,8,6,13,43,82,120,0,0,5,67,132,202,6,9,14,11,17,28,0,3,0,18,33,52,1029,940,1970,2542,2575,5119
SOSR722,140,132,271,720,699,1418,37,34,68,16,13,33,771,746,1520,243,233,477,28,23,51,59,61,116,327,319,643,13,8,20,6,11,21,4,4,7,12,55,65,0,0,0,34,82,114,0,6,10,5,10,18,0,6,7,23,47,75,0,0,0,32,77,107,6,7,19,3,17,21,0,0,0,14,26,40,724,707,1436,2042,2093,4132
SOSR731,239,239,473,1266,1148,2413,142,110,255,199,183,381,1612,1442,3047,587,541,1123,124,114,237,278,257,528,988,903,1890,16,11,27,13,22,27,74,45,118,73,123,197,4,0,5,184,203,384,45,56,101,30,62,90,25,48,72,66,240,314,3,0,3,175,412,579,27,17,45,34,84,115,8,3,13,70,100,172,3528,2399,5928,6784,5687,12470
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,16,7,23
SOSR799,3,0,3,22,25,48,3,0,5,3,6,10,32,35,62,5,7,11,0,0,0,0,0,3,7,3,13,17,5,27,3,0,6,3,0,3,3,3,8,0,0,0,25,11,39,3,0,3,0,7,8,0,0,0,6,3,10,0,0,0,12,13,18,9,14,16,4,4,7,0,0,0,10,14,22,449,379,822,527,450,986
SOSR802,3099,2786,5885,10686,9988,20669,4197,3882,8078,1989,1956,3943,16872,15822,32694,6896,6675,13572,3283,3064,6340,2063,2132,4198,12239,11873,24107,597,606,1205,590,777,1370,1171,761,1935,1430,2150,3578,29,24,51,3823,4310,8130,8119,8973,17095,3373,3112,6489,760,974,1738,3680,5083,8765,43,51,93,15981,18198,34175,456,436,889,739,1484,2226,15,20,34,1209,1937,3147,11676,11251,22926,64894,66180,131068
SOSR822,0,4,4,3,4,9,7,4,13,10,3,15,17,15,36,3,4,4,3,6,11,5,3,8,6,17,20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,6,7,10,0,0,0,0,3,0,0,3,3,0,0,0,8,9,19,0,0,0,0,0,4,0,0,0,3,0,3,4,7,9,39,54,90
SOSR831,6,3,13,27,10,37,16,16,27,4,3,10,41,31,74,5,18,28,11,6,14,3,3,7,18,29,51,0,0,0,0,0,0,10,3,10,3,7,12,0,0,0,8,7,20,9,9,15,3,3,8,0,0,0,0,7,5,0,0,0,8,22,33,3,4,9,0,3,4,0,0,0,3,3,7,43,46,86,141,143,288
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,3,0,5,11,12,20,0,0,3,0,0,0,11,12,16,3,4,3,0,0,0,0,0,0,5,4,6,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,5,7,18,13,28,10,8,18,0,4,4,3,3,6,0,0,0,29,31,62,0,3,3,0,0,0,0,0,0,0,6,6,76,25,105,123,84,211
SOSR915,22,9,28,65,63,125,0,0,0,0,0,0,61,63,131,37,57,97,0,0,0,0,0,3,38,58,96,0,0,0,3,3,3,0,0,3,3,0,3,0,0,0,11,8,17,0,0,0,0,0,3,0,0,0,9,5,12,0,0,0,5,5,14,0,0,5,0,4,4,0,0,0,0,8,12,164,113,280,309,266,571
SOSR921,0,3,4,35,24,61,0,0,0,0,0,0,35,24,61,23,21,43,0,0,0,0,3,3,23,22,43,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,3,3,0,4,3,28,37,66,91,93,184
SOSR922,3,3,7,30,25,60,0,0,0,0,0,0,30,25,60,12,24,37,0,0,3,0,0,0,14,23,39,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,7,0,0,0,0,0,3,0,0,0,5,3,6,0,0,0,5,5,10,6,0,6,0,0,0,0,0,0,6,0,6,36,24,59,106,87,186
SOSR931,17,13,34,47,46,97,0,0,0,0,0,0,51,46,99,39,34,69,0,0,0,0,0,4,34,33,68,0,0,0,0,0,0,4,0,5,3,0,3,0,0,0,10,7,14,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,3,7,5,0,0,0,0,0,5,0,0,0,0,0,5,304,77,382,424,187,611
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,7,6,16
