SOSR_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR179,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
SOSR199,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
SOSR201,35350,32749,68098,113547,105324,218876,35304,34531,69830,19125,19861,38989,167980,159713,327695,71461,67128,138592,29156,30304,59455,27566,28529,56096,128180,125959,254141,10418,9462,19875,7121,10058,17177,9571,4467,14041,10640,13743,24376,366,285,646,38113,38012,76124,76494,86764,163256,26355,29364,55719,6123,7609,13730,17609,27300,44904,465,612,1075,127044,151645,278693,8255,9877,18131,10071,18638,28709,268,389,657,18593,28905,47500,132003,135783,267781,647266,672771,1320030
SOSR203,1285,1164,2447,3931,3696,7632,1385,1356,2746,709,705,1416,6028,5763,11792,2550,2201,4755,1141,1452,2594,1316,1169,2485,5009,4825,9834,328,372,703,151,295,452,442,269,707,432,550,979,5,16,21,1354,1508,2861,2199,2599,4794,811,805,1620,198,293,492,520,966,1488,9,22,27,3739,4690,8431,205,262,468,338,608,951,13,13,23,554,884,1440,5149,5710,10859,23129,24544,47668
SOSR211,2468,2345,4815,7938,7428,15367,3004,2993,5998,1160,1163,2323,12097,11587,23677,5097,4810,9906,2492,2388,4877,1323,1369,2692,8910,8562,17471,549,564,1115,288,511,798,764,492,1252,661,1047,1711,31,16,46,2291,2629,4921,2224,3382,5606,750,1180,1927,242,412,650,900,1670,2573,19,23,46,4139,6670,10807,374,426,800,491,957,1450,22,23,42,886,1410,2295,9842,10596,20439,40627,43791,84423
SOSR212,1387,1251,2643,4795,4338,9138,1943,2019,3966,500,473,976,7243,6838,14078,3327,3389,6716,1727,1742,3466,541,522,1063,5602,5648,11246,332,397,725,176,351,523,563,371,933,451,760,1215,12,11,23,1531,1890,3417,686,1162,1853,259,516,776,132,230,361,421,891,1316,5,14,22,1497,2820,4314,199,228,424,263,542,805,15,8,23,477,777,1252,6744,7300,14045,24487,26520,51008
SOSR213,2116,1957,4074,7258,6742,14003,2593,2578,5174,993,902,1894,10841,10229,21072,4451,4107,8554,2346,2452,4795,1172,1204,2376,7968,7755,15724,355,447,800,132,392,530,714,451,1166,575,942,1523,24,22,43,1798,2258,4056,898,1411,2305,290,736,1026,152,300,455,579,1332,1912,11,11,25,1935,3791,5725,247,280,523,368,792,1165,14,16,30,627,1092,1718,9143,9993,19132,34428,37082,71510
SOSR214,1118,988,2108,3577,3435,7015,1401,1340,2745,327,324,648,5305,5105,10412,2562,2376,4934,1150,1132,2282,552,551,1100,4264,4058,8324,196,206,399,65,184,251,401,227,629,281,477,760,10,22,28,958,1111,2070,342,522,863,125,260,386,61,110,164,237,641,873,3,9,17,762,1538,2297,146,139,283,204,396,596,4,7,18,350,543,899,6402,6449,12853,19164,19796,38958
SOSR215,1830,1677,3512,6486,6011,12492,1892,1957,3847,640,636,1271,9015,8602,17615,4319,4074,8388,1277,1267,2538,893,844,1738,6489,6183,12670,233,290,525,103,252,358,599,370,972,468,742,1210,17,17,30,1413,1677,3089,654,1034,1690,245,527,766,99,217,317,393,1109,1505,9,13,24,1404,2906,4304,155,194,353,300,635,938,12,15,24,468,847,1318,8816,9456,18269,29431,31340,60777
SOSR221,483,400,882,2028,1825,3854,310,284,599,178,180,358,2524,2292,4809,1162,1187,2342,307,371,681,236,225,462,1704,1779,3486,57,64,124,22,56,79,150,74,227,114,198,313,9,10,17,349,403,752,138,233,369,53,107,156,32,48,75,106,301,407,0,0,0,327,688,1010,56,59,116,66,172,234,0,8,10,124,234,359,2714,2687,5395,8221,8480,16704
